Season,R2,MAE,MAPE,RMSE,Station,Model,TLPercentage
Spring,0.9908026713319394,0.2011143850817264,4.876186293093959,0.24328924748905442,A19 Villena,M4,0.99
Summer,0.9806531216905556,0.1557022792111803,3.4720305473334023,0.2093228646689022,A19 Villena,M4,0.99
Autumn,0.9525033168278172,0.22352475434432537,16.028435165802687,0.26376113735613976,A19 Villena,M4,0.99
Winter,0.9666416285446011,0.1805700545487404,11.236027608329373,0.2268276335931508,A19 Villena,M4,0.99
Spring,0.9890727968331706,0.18640705438879318,4.729715964441256,0.23948485409896747,AB05 Albacete,M4,0.99
Summer,0.9787901784077951,0.19106222773382825,3.70533721254555,0.2491150842507956,AB05 Albacete,M4,0.99
Autumn,0.9336258920652106,0.17265080440153768,11.883888318658046,0.23656897339234273,AB05 Albacete,M4,0.99
Winter,0.9339695208733314,0.18442560907793046,12.079949329593815,0.26175085630063527,AB05 Albacete,M4,0.99
Spring,0.981948277305645,0.1290256648000918,3.228962307961619,0.18354743709889637,AL02 Almería,M4,0.99
Summer,0.9828760290219272,0.13153118371522798,3.0899895304111658,0.17393495845406168,AL02 Almería,M4,0.99
Autumn,0.9264981133697798,0.16621704289648268,10.201694485527886,0.22111630829707724,AL02 Almería,M4,0.99
Winter,0.9215199398096753,0.1957721341775709,11.154299880420625,0.24106582797438322,AL02 Almería,M4,0.99
Spring,0.9860199948948176,0.12205085172281638,3.5736018612078038,0.18495726825525438,AL12 Tíjola,M4,0.99
Summer,0.9731306566273947,0.17295818473220964,3.909354337512278,0.22686008550147374,AL12 Tíjola,M4,0.99
Autumn,0.9287799465088525,0.17518370869117517,10.919092795374347,0.22616380690310076,AL12 Tíjola,M4,0.99
Winter,0.9515380599344897,0.2688082506447355,17.24750838548991,0.3207404618726676,AL12 Tíjola,M4,0.99
Spring,0.984808306392433,0.261697599321779,5.534780646247086,0.31653781019116284,BA09 Villafranca de los Barros,M4,0.99
Summer,0.973551413206398,0.14709649712174805,2.952560739230578,0.21525889689573813,BA09 Villafranca de los Barros,M4,0.99
Autumn,0.945564250272486,0.1750363946222997,11.89650941915982,0.23628170759944994,BA09 Villafranca de los Barros,M4,0.99
Winter,0.9557083780764297,0.16668145081170307,10.836029210973216,0.2132067708215829,BA09 Villafranca de los Barros,M4,0.99
Spring,0.9774990281360163,0.14620497012650602,4.455005522753123,0.20599265386388205,BU04 Tardajos,M4,0.99
Summer,0.9804823334942915,0.1621754298567554,3.959082338778508,0.20501644424360954,BU04 Tardajos,M4,0.99
Autumn,0.9186261940888507,0.17034154158181808,19.4996088915221,0.2397661872454648,BU04 Tardajos,M4,0.99
Winter,0.9213170927289142,0.19779111271689026,20.449928592268137,0.2547545538156017,BU04 Tardajos,M4,0.99
Spring,0.9737542597897196,0.1668933830296538,5.652078911646161,0.22659014542562342,BU07 Santa Gadea del Cid,M4,0.99
Summer,0.9739030367664557,0.15914539809636705,4.30871149144365,0.2105018196339118,BU07 Santa Gadea del Cid,M4,0.99
Autumn,0.9278034830045236,0.3289490845968964,38.94641992195391,0.3692657001398503,BU07 Santa Gadea del Cid,M4,0.99
Winter,0.9350818051013996,0.16210622195573335,14.28790388809589,0.20901404214665478,BU07 Santa Gadea del Cid,M4,0.99
Spring,0.9836262116748911,0.12589476992320237,4.722302452647337,0.1745545123924918,C02 Boimorto,M4,0.99
Summer,0.9714874909869913,0.15129923108290927,5.8000106387542525,0.1963159758929838,C02 Boimorto,M4,0.99
Autumn,0.8766033944280227,0.1909220050077815,24.01860087614906,0.24280196970863321,C02 Boimorto,M4,0.99
Winter,0.9380039139811742,0.14218504626565506,15.265921842276441,0.18805872419188022,C02 Boimorto,M4,0.99
Spring,0.9777970738094174,0.15315279485998665,4.626162635210639,0.24600895960389846,CA07 Jimena de la Frontera,M4,0.99
Summer,0.9698937924855277,0.14081263896244678,3.1906721397074884,0.19088166252100514,CA07 Jimena de la Frontera,M4,0.99
