Season,R2,MAE,MAPE,RMSE,Station,Model,TLPercentage
Spring,0.8139690943116704,1.221688998075019,26.360714468415363,1.3229315638966461,AL02 Almería,M4,0.9
Summer,0.7188056187878883,1.4300072637449266,30.033563617443882,1.5381702999607116,AL02 Almería,M4,0.9
Autumn,0.7882563463847941,1.2922700669512095,84.58844702145238,1.4638117540265774,AL02 Almería,M4,0.9
Winter,0.6920009227334145,1.3070863888740727,63.88791744767543,1.5232767906024247,AL02 Almería,M4,0.9
Spring,0.6403534788787121,0.6243610621680364,14.816538849659084,0.8087256503384531,AL12 Tíjola,M4,0.9
Summer,0.803092827927306,1.1408402695281616,27.263496311832125,1.3263613081117849,AL12 Tíjola,M4,0.9
Autumn,0.5274719589311317,0.5391820394914282,26.32403286631454,0.808925954334131,AL12 Tíjola,M4,0.9
Winter,0.4363098050149213,0.6476465666439988,28.983505737417335,0.8640841070734011,AL12 Tíjola,M4,0.9
Spring,0.759571882043055,0.9242974431094699,20.52611360824975,1.0775897077085543,AB05 Albacete,M4,0.9
Summer,0.8391523453812065,0.9680155922099652,18.7039399001164,1.1456255337111265,AB05 Albacete,M4,0.9
Autumn,0.6439854706984414,1.5896721992626328,113.2013721232911,1.7596591994873354,AB05 Albacete,M4,0.9
Winter,0.5810170943791744,1.3061743348494461,71.08494472086205,1.5620993170400965,AB05 Albacete,M4,0.9
Spring,0.4395096181084643,0.6177764647662692,16.575036275740953,0.7604692595457779,GC05 Arucas,M4,0.9
Summer,0.35455396748884394,1.1135267322031044,32.66487558366978,1.2285005468852126,GC05 Arucas,M4,0.9
Autumn,0.7353698646993425,1.1291513031277944,47.42527715598894,1.2537577739013455,GC05 Arucas,M4,0.9
Winter,0.6156485290727783,0.9228786727730356,32.56145565686086,1.06574699604568,GC05 Arucas,M4,0.9
Spring,0.05130991299093515,1.4182958678956208,33.84104505489416,1.6797273258288208,GC07 Tinajo,M4,0.9
Autumn,0.16490971486561076,1.727965749940781,79.28913112489853,1.9601926780588115,GC07 Tinajo,M4,0.9
Winter,0.05067820930199813,1.4970137458094155,40.02719427413459,1.7259556251183492,GC07 Tinajo,M4,0.9
Spring,0.7248727371433832,1.1593752408255684,31.764992809869714,1.2980638475800268,IB04 Son Ferriol,M4,0.9
