Season,R2,MAE,MAPE,RMSE,Station,Model,TLPercentage
Spring,0.8076442558314341,0.4193238262891981,10.507491318486215,0.5786703975442267,AL02 Almería,M4,0.9
Summer,0.8089084830402666,0.588152356013298,13.512187611345027,0.7121269899078732,AL02 Almería,M4,0.9
Autumn,0.7574460151929776,0.8661635579953115,63.33806649127381,0.9287883474476994,AL02 Almería,M4,0.9
Winter,0.7914049910831147,0.41954936837625273,20.876703210553323,0.526241552461612,AL02 Almería,M4,0.9
Spring,0.6665789893943792,0.49395908503087366,11.896865341829415,0.6485957981341066,AL12 Tíjola,M4,0.9
Summer,0.85076050132651,0.43703391396785873,12.198159330140674,0.5386746238887901,AL12 Tíjola,M4,0.9
Autumn,0.1829741562203314,0.5778595555068603,28.79150202130055,0.7683175676078058,AL12 Tíjola,M4,0.9
Winter,0.4092415441320408,0.521232919936315,23.95211008235731,0.7220879984998018,AL12 Tíjola,M4,0.9
Spring,0.5698960275684376,0.8864715755605062,18.12652184064175,1.165614736499356,AB05 Albacete,M4,0.9
Summer,0.7547485606894974,0.8320214625111776,15.15417269573992,1.0407110369368382,AB05 Albacete,M4,0.9
Autumn,0.6181681980315378,1.3285401356267723,96.05545009152976,1.4804114250070335,AB05 Albacete,M4,0.9
Winter,0.40687686707505744,0.6632307103652931,33.3456054796436,0.8672135655413429,AB05 Albacete,M4,0.9
Spring,0.014188382703800547,0.940596263069831,25.928537573627647,1.1788888562159363,GC05 Arucas,M4,0.9
Summer,0.257511715383558,0.7373645689572255,22.400678013190785,0.8982490760498085,GC05 Arucas,M4,0.9
Autumn,0.8846215650864165,0.7179148789250936,28.579411393225858,0.8057562518807339,GC05 Arucas,M4,0.9
Winter,0.6869119933808553,0.6613925705759932,19.75978332352896,0.7736709878298522,GC05 Arucas,M4,0.9
Spring,0.3788773600915937,0.8090092671674565,16.50114296282547,1.0092469104614703,GC07 Tinajo,M4,0.9
Autumn,0.12201957493103084,0.8537794550668626,40.32492118138639,0.9762722637102333,GC07 Tinajo,M4,0.9
Winter,0.08854037804090173,1.9442988052940369,43.87678526879776,2.23013817197889,GC07 Tinajo,M4,0.9
Spring,0.7180550954881393,0.5159276720418294,15.85079791883555,0.6843056190598397,IB04 Son Ferriol,M4,0.9
Summer,0.7568703486110495,0.44026879931511936,10.155684866904945,0.6250954605633072,IB04 Son Ferriol,M4,0.9
Autumn,0.8018205284510965,0.8203500032064966,84.10704530015786,0.9036837762756167,IB04 Son Ferriol,M4,0.9
Winter,0.41210857391539224,0.4682171737186809,27.25082258429981,0.6603333058211779,IB04 Son Ferriol,M4,0.9
Spring,0.7862692183281454,0.41689449427259645,11.37781252514492,0.511092174337287,IB01 Santa Eulalia,M4,0.9
Summer,0.75307786136166,0.6910609798664874,20.879991233689303,0.872276067301592,IB01 Santa Eulalia,M4,0.9
Autumn,0.6884638037437015,0.5537839665149735,52.82174669932769,0.6364704973679214,IB01 Santa Eulalia,M4,0.9
Winter,0.7395936644968047,0.33015645639168345,20.991144455455636,0.4253334429319012,IB01 Santa Eulalia,M4,0.9
Spring,0.8451393739448992,0.37049776975318066,10.038631683682379,0.501262674666888,M03 Aranjuez,M4,0.9
Summer,0.7542837895931908,0.751537774510579,23.64797570987736,0.9731880770923629,M03 Aranjuez,M4,0.9
Autumn,0.2366213053233945,0.5677710629334048,76.68443588979072,0.6518450584678289,M03 Aranjuez,M4,0.9
Winter,0.7349951695696485,0.4879397436330911,34.29489594897304,0.7215481345207766,M03 Aranjuez,M4,0.9
Spring,0.5923811847463974,0.40039802250001705,12.760425359253254,0.5765232189963869,V05 Cheste,M4,0.9
Summer,0.8336825976112626,0.543858770827144,14.420764653775835,0.646160410428128,V05 Cheste,M4,0.9
Autumn,0.6224781351853854,0.6555374795086412,70.42661062957882,0.7635537627151835,V05 Cheste,M4,0.9
Winter,0.7177804684584111,0.386666322485092,25.47011248594998,0.5005988057074887,V05 Cheste,M4,0.9
Spring,0.7169672773210373,0.444724074648624,10.212494503294405,0.6038998247678047,A19 Villena,M4,0.9
Summer,0.9089751589554691,0.36245219711708165,8.800626469830853,0.4803226795358198,A19 Villena,M4,0.9
Autumn,0.6950648829072672,0.5509254676803405,31.891815271866648,0.6603594236997558,A19 Villena,M4,0.9
Winter,0.7880637698340306,0.390070985043093,18.23362889211185,0.489137574480188,A19 Villena,M4,0.9
Spring,0.6911943707398674,0.7037546043947008,16.249625340391596,0.8528211979168552,TE05 Teruel,M4,0.9
Summer,0.6128863572199931,0.8008474128848156,20.236438304443567,0.9263279711597037,TE05 Teruel,M4,0.9
Autumn,0.17560340948892292,0.48927216401582274,62.41446246721417,0.5934326727227783,TE05 Teruel,M4,0.9
Winter,0.6661183672150237,0.42691292810379555,28.358657532497844,0.5396795288473781,TE05 Teruel,M4,0.9
Spring,0.7137741165488711,0.661851624571228,12.4382047542986,0.8526594069137036,GR02 Puebla de Don Fadrique,M4,0.9
Summer,0.8430360777462536,0.6431574076402045,10.584328620882252,0.8394011534113135,GR02 Puebla de Don Fadrique,M4,0.9
Autumn,0.5869341316031783,0.4905263457893647,25.573723614307404,0.620908467306773,GR02 Puebla de Don Fadrique,M4,0.9
Winter,0.5494370723571491,0.8533151154757874,32.83191078947371,1.0240207871288687,GR02 Puebla de Don Fadrique,M4,0.9
Spring,0.8528134995923186,0.39545800394541425,11.061671784412336,0.5159403665270438,SA01 Ciudad Rodrigo,M4,0.9
Summer,0.909315189228408,0.6777506989654175,18.7560901238187,0.7449405397036274,SA01 Ciudad Rodrigo,M4,0.9
Autumn,0.5815429310114993,0.4339933409585057,66.42529189822953,0.50897600404082,SA01 Ciudad Rodrigo,M4,0.9
Winter,0.7277907455253098,0.2894230549489533,21.138041155186215,0.39015005203652964,SA01 Ciudad Rodrigo,M4,0.9
Spring,0.8872168076787309,0.3068397517742581,6.487875730902427,0.4616110918234469,BA09 Villafranca de los Barros,M4,0.9
Summer,0.9098199314369354,0.3950066026899958,8.54142318304137,0.5075561334080169,BA09 Villafranca de los Barros,M4,0.9
