Season,R2,MAE,MAPE,RMSE,Station,Model,TLPercentage
Spring,0.9893785285207272,0.19763854154876906,4.351320583138494,0.25376994585823287,AL41,M4,0.99
Summer,0.9792314472298058,0.15818793648121784,2.9236277911950372,0.21929245789472873,AL41,M4,0.99
Autumn,0.9691157831603967,0.14111266303418285,7.3224090549897785,0.1809325590531386,AL41,M4,0.99
Winter,0.9738302951411579,0.14478963996124267,6.846432299429899,0.19504043756116785,AL41,M4,0.99
Spring,0.9913550307446667,0.18789377671641272,5.024995924670401,0.20999258369372292,CA73,M4,0.99
Summer,0.9808379611685717,0.1150775480716028,3.06714108478327,0.1530577863352053,CA73,M4,0.99
Autumn,0.9146018114108904,0.16954757508237792,11.198750017552017,0.220020794757708,CA73,M4,0.99
Winter,0.9224016556486382,0.2244263360765725,14.516117294236158,0.27321241244388994,CA73,M4,0.99
Spring,0.9802159831122064,0.30326313331022836,7.988894267492927,0.369200348591983,CI42,M4,0.99
Summer,0.9873472458221719,0.11804907576475544,2.7925885896186875,0.1596627328294456,CI42,M4,0.99
Autumn,0.951038529092624,0.15016782545781399,10.87778863952331,0.19346314430601913,CI42,M4,0.99
Winter,0.9594232922550701,0.18531846781921385,11.322913549003268,0.247123253666902,CI42,M4,0.99
Spring,0.9821505889405512,0.16628228575912948,4.768236942955194,0.22904395530916832,CR12,M4,0.99
Summer,0.9732616761310873,0.21067834171160696,5.094295846920706,0.2623620953098065,CR12,M4,0.99
Autumn,0.9055240349303798,0.19416662314203048,14.166749329393397,0.24233132580642314,CR12,M4,0.99
Winter,0.9629692765110832,0.3182961106439455,22.424803713179767,0.35953647622013646,CR12,M4,0.99
Spring,0.9863158731015091,0.2995997634134632,6.286561274620886,0.34198054921422716,JU71,M4,0.99
Summer,0.9798568945985512,0.15150941459571612,3.147314390661552,0.21227078633634255,JU71,M4,0.99
Autumn,0.9421889354753151,0.3222208445338053,20.281468613276143,0.3655986281002167,JU71,M4,0.99
Winter,0.9639533026918956,0.16907843839263917,8.266877471580102,0.22127316155225998,JU71,M4,0.99
Spring,0.9882381079396455,0.28296967881397134,5.82654926116625,0.331856835680792,LO51,M4,0.99
Summer,0.9818638189127884,0.1644119084164691,3.5823996634581947,0.22015604010835493,LO51,M4,0.99
Autumn,0.9473137282206167,0.2540170943137654,14.156563955912272,0.31003739178058287,LO51,M4,0.99
Winter,0.9520976308557958,0.21320544982753176,10.51093845511562,0.2675368720273722,LO51,M4,0.99
Spring,0.9855381882640694,0.18988816913277584,4.856586804340857,0.26072794135403055,MO22,M4,0.99
Summer,0.9863647799813068,0.10552930390813017,2.228486272826544,0.15791891308899128,MO22,M4,0.99
Autumn,0.9565274008931315,0.17197863152612258,9.75694867657781,0.2119990790270303,MO22,M4,0.99
Winter,0.9695860281431335,0.28595212475156784,13.9960965230007,0.3452890576263336,MO22,M4,0.99
Spring,0.9566184568424051,0.2520362215751969,5.5262235514599185,0.3438000188992034,AL41,M3,0.99
Summer,0.9455196435782702,0.289162551820605,5.495657944089097,0.3901377820341045,AL41,M3,0.99
Autumn,0.938543361091633,0.17101867192716738,8.304391827797089,0.23150912407190105,AL41,M3,0.99
Winter,0.9378871529191459,0.19546351587677002,9.128624604709504,0.2733708100282656,AL41,M3,0.99
Spring,0.8600466381173069,0.29247786499358513,8.003216754313744,0.46867537575761337,CA73,M3,0.99
Summer,0.8322176075178309,0.24241410727812865,6.565042294811545,0.4119860104250851,CA73,M3,0.99
Autumn,0.826476009154191,0.24101999281093453,15.78668153451094,0.32845034158008846,CA73,M3,0.99
Winter,0.8466869187702669,0.26349620133398427,15.847065902578903,0.3399227593670458,CA73,M3,0.99
Spring,0.9766156171010756,0.28049921426046615,7.4238323035201645,0.35150162147108044,CI42,M3,0.99
Summer,0.97958718223412,0.16189522410223642,3.571958060381042,0.2016293816620402,CI42,M3,0.99
Autumn,0.9435602808643642,0.19047098275069355,13.904560091797233,0.23720271536722973,CI42,M3,0.99
Winter,0.9472105904365159,0.22084441828918458,13.495279911181033,0.2866651428755071,CI42,M3,0.99
Spring,0.9661106979411622,0.20359064737955726,5.985655661893693,0.2843635581902238,CR12,M3,0.99
Summer,0.9673883290216138,0.2001070891328999,4.965432039847339,0.2502824864488253,CR12,M3,0.99
Autumn,0.8114875406079665,0.36490637683868404,28.945628278859047,0.44814190055874464,CR12,M3,0.99
Winter,0.8948864636334493,0.3706644657699101,23.095414362835957,0.4301017090573658,CR12,M3,0.99
Spring,0.9662118352579648,0.23797044208520438,5.59371474956228,0.30350853346256035,JU71,M3,0.99
Summer,0.9538695483087963,0.19846517345484563,4.331312125665726,0.3241054925534845,JU71,M3,0.99
Autumn,0.9110414706315846,0.3649738501107671,23.872278967558056,0.427027123144186,JU71,M3,0.99
Winter,0.9280869022072531,0.24189675823974613,11.741151777910586,0.30485310004071675,JU71,M3,0.99
Spring,0.9343240534275233,0.2949700097435886,6.160251305649123,0.3927319127638731,LO51,M3,0.99
Summer,0.9066747574848427,0.30944624440543617,6.486315080998624,0.4312287594329328,LO51,M3,0.99
Autumn,0.8701167882423687,0.26891718888415966,13.751743146489323,0.3482494807843994,LO51,M3,0.99
Winter,0.896221537776348,0.2942336083156834,13.629918740801546,0.4088624512988751,LO51,M3,0.99
Spring,0.9804906584719084,0.15414692345560563,3.769458723429105,0.21804669289300824,MO22,M3,0.99
Summer,0.9862493137825791,0.11079923043085409,2.3885816282519285,0.15812316644683383,MO22,M3,0.99
Autumn,0.9292920065271048,0.20187561822898223,11.263687419607386,0.25499855170860564,MO22,M3,0.99
Winter,0.9496191428472358,0.34956421317005154,16.888718300981814,0.4246526458303579,MO22,M3,0.99
Spring,0.8735254294745077,0.43810911261919633,9.547970135499613,0.5969794779335086,AL41,M2,0.99
Summer,0.8803017085223004,0.4182540266779703,7.267046898636997,0.5713043126281879,AL41,M2,0.99
Autumn,0.6562569216726987,0.4656414957544697,27.420517417957768,0.5886626366420713,AL41,M2,0.99
Winter,0.6578982121488057,0.6656360323162078,25.43187462933958,0.8953480384036163,AL41,M2,0.99
Spring,0.9254875077138819,0.295672615444338,8.411320829489839,0.36829074999851213,CA73,M2,0.99
Summer,0.9260990555736918,0.2313402499528689,5.950016890861621,0.3005694551475648,CA73,M2,0.99
Autumn,0.6965317135716191,0.2826916337056831,18.658295695198824,0.3633327069947778,CA73,M2,0.99
Winter,0.7529380844168521,0.4045111220312003,23.176093440534057,0.5368212397415427,CA73,M2,0.99
Spring,0.9366966161812894,0.8177560121004547,17.113259184201347,0.9394486378549594,CI42,M2,0.99
Summer,0.938837257108441,0.2701294930630672,6.1311976263223755,0.3553423116035735,CI42,M2,0.99
Autumn,0.7922182654578559,0.3823332094447517,38.04310649807607,0.45637093805608264,CI42,M2,0.99
Winter,0.7777641841478123,0.40031617546844483,21.276073722355278,0.5517300764616401,CI42,M2,0.99
Spring,0.9215588183465323,0.4374658583611557,13.131547230838628,0.5234816216900343,CR12,M2,0.99
Summer,0.8980052885633201,0.33838017879479004,8.910417668645634,0.4511167968587673,CR12,M2,0.99
