Season,R2,MAE,MAPE,RMSE,Station,Model,TLPercentage
Spring,0.9813329937647718,0.3396411199014163,6.78804353412394,0.40738135136299203,AL41,M4,0.99
Summer,0.9731557823603653,0.20971007355824253,4.145550319449837,0.2834356236561762,AL41,M4,0.99
Autumn,0.9387240497678959,0.18862758829522486,10.071230875245757,0.2473826037376318,AL41,M4,0.99
Winter,0.97217580437925,0.16585225605010986,7.7118410326067295,0.22690823434500346,AL41,M4,0.99
Spring,0.989901509938444,0.24057328738070827,6.465658684779552,0.2613890062917096,CA73,M4,0.99
Summer,0.9795538073906507,0.1474287555462846,3.828825659407342,0.19037326649443057,CA73,M4,0.99
Autumn,0.91081251603592,0.29869677336168027,21.123467700368252,0.34733084671312175,CA73,M4,0.99
Winter,0.9263919381258532,0.2537886894644266,15.00546031373487,0.31320800620875844,CA73,M4,0.99
Spring,0.9799303705039921,0.2613341994726098,7.076572295499595,0.3357395677883273,CI42,M4,0.99
Summer,0.9868603051188128,0.1658796623202085,3.593861513821787,0.20065748884359452,CI42,M4,0.99
Autumn,0.9549338786653545,0.14192252517183185,11.400107104004546,0.1880320030429677,CI42,M4,0.99
Winter,0.9502690723862919,0.24574008926725388,14.20916542220613,0.3165289552222426,CI42,M4,0.99
Spring,0.9826835041443795,0.2970054181089107,8.37622803209218,0.34408904449266986,CR12,M4,0.99
Summer,0.9658423244067169,0.1931793263228351,5.0350689742093175,0.2558005644182368,CR12,M4,0.99
Autumn,0.9351210972004695,0.1673943434997841,13.218147024940457,0.21540186483232546,CR12,M4,0.99
Winter,0.9553946427925402,0.32361308744748274,20.428287386928552,0.3756051764767778,CR12,M4,0.99
Spring,0.9835146545030642,0.23503089505877695,5.567268858653547,0.29471987978105096,JU71,M4,0.99
Summer,0.9779800789208102,0.1641041670301381,3.385729257529254,0.21962349316608468,JU71,M4,0.99
Autumn,0.9513026706381108,0.17116144154145907,9.70312448802719,0.2208682292253654,JU71,M4,0.99
