Season,R2,MAE,MAPE,RMSE,Station,Model,TLPercentage
Spring,0.7922466521586482,0.6525628692838882,12.30353810493821,0.7893832666460308,AL41-alhama,M4,0.9
Summer,0.8405217914446667,0.36023068225383764,7.66061883858129,0.5328269213217298,AL41-alhama,M4,0.9
Autumn,0.7306732501252142,0.5730054304685938,54.73266046459234,0.6813661725375186,AL41-alhama,M4,0.9
Winter,0.738246349756426,0.5722754282195395,30.31176945839396,0.7045066401869926,AL41-alhama,M4,0.9
Spring,0.6688144785811507,0.824894590695699,21.951421803389227,0.978862282472422,CA73-cartagena,M4,0.9
Summer,0.7203661565521813,1.2647299530506135,34.32571550991918,1.3787039920252702,CA73-cartagena,M4,0.9
Autumn,0.7630297722317481,0.8284503165210587,50.722172017012255,0.9636028238842519,CA73-cartagena,M4,0.9
Winter,0.6947751890155475,0.9097288204402459,48.694483737539876,1.0861593440734314,CA73-cartagena,M4,0.9
Spring,0.67451923193599,0.7028190785513985,17.28689177186449,0.8689780767518741,CA91-fuenteAlamo,M4,0.9
Summer,0.7428222221210912,0.7738657819032668,19.72060071193252,0.9701557164961838,CA91-fuenteAlamo,M4,0.9
Autumn,0.6487701713907722,0.7215507465672781,53.10321487843325,0.9084037844205051,CA91-fuenteAlamo,M4,0.9
Winter,0.7660814809803177,0.5999236039999053,32.221535316941704,0.7498157801821546,CA91-fuenteAlamo,M4,0.9
Spring,0.7254336143593328,0.6667317599720426,14.06686882229825,0.8438244603641313,CI42-cieza,M4,0.9
Summer,0.8236262066795579,0.7244510666728019,15.86117640616817,0.880495081859651,CI42-cieza,M4,0.9
Autumn,0.7585009276617172,0.7914748352406972,63.0413400681478,0.9249935873616024,CI42-cieza,M4,0.9
Winter,0.7422223108123465,0.5225555135564107,29.50048802454311,0.647612545983062,CI42-cieza,M4,0.9
Spring,0.6901504398528406,0.529664394476197,11.942364813672471,0.7638314379893283,CR12-caravaca,M4,0.9
Summer,0.8561385975026734,0.9265958281755449,21.497663862224385,1.054827624974146,CR12-caravaca,M4,0.9
Autumn,0.7734114688762699,0.49017950874263955,25.43167533136092,0.639979382620925,CR12-caravaca,M4,0.9
Winter,0.6274635893705037,0.429529729994332,18.839608424277763,0.6274938057189864,CR12-caravaca,M4,0.9
Spring,0.6876625727758671,0.5705043365160624,10.934774210157748,0.793522422719884,JU71-jumilla,M4,0.9
Summer,0.8490890513326598,0.4439526926279068,8.405052864692001,0.6113126027293109,JU71-jumilla,M4,0.9
Autumn,0.713460440290647,0.3919354443665011,17.169750988287777,0.5012980828705429,JU71-jumilla,M4,0.9
Winter,0.7592041973714999,0.35744126226843853,14.297319139058134,0.4854435925563305,JU71-jumilla,M4,0.9
Spring,0.7320340150540395,0.4570314106411404,10.344332038422953,0.6974176227764992,LO51-aguilas,M4,0.9
Summer,0.843756004096199,0.40173678267002105,9.102851380211044,0.5357386279501423,LO51-aguilas,M4,0.9
Autumn,0.8349558075506864,0.3261615502116192,13.094773174800977,0.4502538456602,LO51-aguilas,M4,0.9
Winter,0.8554628722261347,0.39458726691036683,13.763304448618307,0.5081298094109659,LO51-aguilas,M4,0.9
Spring,0.814428887375446,0.48637191253238254,10.195348489231082,0.6211420379276659,MO22-molinaSegura,M4,0.9
Summer,0.8361059547146455,0.6794302504062653,14.477965338039795,0.8363136663810888,MO22-molinaSegura,M4,0.9
Autumn,0.5863176166196453,0.4906583263255932,20.341992403905575,0.6266976249256466,MO22-molinaSegura,M4,0.9
Winter,0.798123053189688,0.387717163184794,15.629043238218557,0.5054683436792626,MO22-molinaSegura,M4,0.9
Spring,0.7603070724603255,0.6526852798015759,12.270584336535546,0.8001486486588987,AL41-alhama,M3,0.9
Summer,0.823918493461524,0.3728140927164394,8.156386408164376,0.5727717795507319,AL41-alhama,M3,0.9
Autumn,0.7681213822119939,0.5542509712470985,52.40980033316453,0.639150617694036,AL41-alhama,M3,0.9
