Season,R2,MAE,MAPE,RMSE,Station,Model,TLPercentage
Spring,0.554993620128492,0.9562783862567033,21.350708259529153,1.0782900055930635,AL02 Almería,M4,0.9
Summer,0.5974558739783501,1.1181000611734446,24.180620594170072,1.2726419944631646,AL02 Almería,M4,0.9
Autumn,0.7835461049825243,1.3039095006978785,91.3925706942654,1.3693539341622296,AL02 Almería,M4,0.9
Winter,0.7766138722301306,1.0433506394589775,55.96438479616004,1.1312353691531982,AL02 Almería,M4,0.9
Spring,0.6269429118973971,0.5658203296242886,13.352686115313247,0.7855834495381484,AL12 Tíjola,M4,0.9
Summer,0.8198607492216149,1.1196569530669802,26.236698409037253,1.2943809047787382,AL12 Tíjola,M4,0.9
Autumn,0.6091937195550329,0.3843944013453038,19.62561560642575,0.5029389987205692,AL12 Tíjola,M4,0.9
Winter,0.486744760551153,0.49902545453674513,22.724770884276882,0.6461097274380266,AL12 Tíjola,M4,0.9
Spring,0.7684522400631822,0.7119185819146071,15.315603022435262,0.8745967885622893,AB05 Albacete,M4,0.9
Summer,0.733833533340195,0.8466890419875038,15.677305017672733,1.0126127820729216,AB05 Albacete,M4,0.9
Autumn,0.702362275439959,1.130938510640567,86.08501216605902,1.226513812872537,AB05 Albacete,M4,0.9
Winter,0.6282612576287203,0.8503770970875942,50.56061807084906,1.0212171068353713,AB05 Albacete,M4,0.9
Spring,0.4176503682817409,0.543359202208727,13.708548088882056,0.6981451277825963,GC05 Arucas,M4,0.9
Summer,0.34219009034589937,0.5670523329264704,16.8997841497382,0.7068150410522892,GC05 Arucas,M4,0.9
Autumn,0.8446934956782598,0.9615627690899525,40.8826703342481,1.0557862820536328,GC05 Arucas,M4,0.9
Winter,0.737781360444729,0.5502640934828289,20.258263995745914,0.6583095560002694,GC05 Arucas,M4,0.9
Spring,0.38034591962655834,0.8388145262335083,17.30553227842689,1.0135034606128939,GC07 Tinajo,M4,0.9
Autumn,0.2345489577725278,1.253266637202259,59.97442980888765,1.403023949554314,GC07 Tinajo,M4,0.9
Winter,0.10891437282921788,0.8176247788135548,19.02126105608413,1.1612287590319692,GC07 Tinajo,M4,0.9
Spring,0.7477478951848849,0.9648674785685054,26.47762212470112,1.1008381486011813,IB04 Son Ferriol,M4,0.9
Summer,0.685050181796395,1.3900052340278304,35.160501816741366,1.5068998407596885,IB04 Son Ferriol,M4,0.9
Autumn,0.8667544652111788,1.1763124655475428,104.84937584445288,1.2178240352579985,IB04 Son Ferriol,M4,0.9
Winter,0.7557039605417272,0.9374322701672206,69.90418061365887,1.0065991541916557,IB04 Son Ferriol,M4,0.9
