Season,R2,MAE,MAPE,RMSE,Station,Model,TLPercentage
Spring,0.8314684632949886,0.5465341516098021,13.489356797832333,0.6884753954041362,AL02 Almería,M4,0.9
Summer,0.8233022162331205,0.5686627554178237,13.188067928665326,0.6844594752538405,AL02 Almería,M4,0.9
Autumn,0.7456236944391859,1.0368372701856867,77.36074339973021,1.0874407761277283,AL02 Almería,M4,0.9
Winter,0.7988220546644355,0.39131358170145547,18.3390646268902,0.5286727599120841,AL02 Almería,M4,0.9
Spring,0.6801427634523763,0.49113736485197274,11.580512385310337,0.6356013896348807,AL12 Tíjola,M4,0.9
Summer,0.7791514931132807,0.608004735495179,17.662331162781157,0.738393900739313,AL12 Tíjola,M4,0.9
Autumn,0.14331243448946168,0.4943935206869654,28.01648704121157,0.6270566539696245,AL12 Tíjola,M4,0.9
Winter,0.3698970021755125,0.550780604170041,24.418276769844862,0.7525326502187126,AL12 Tíjola,M4,0.9
Spring,0.6157982753306817,0.8207274053929645,17.449184042794563,1.0593996336978264,AB05 Albacete,M4,0.9
Summer,0.8020238107792026,0.616154891967222,11.439870974246118,0.7489592692588835,AB05 Albacete,M4,0.9
Autumn,0.6505747342728593,1.2979543640431233,97.186728691243,1.4173337985318495,AB05 Albacete,M4,0.9
Winter,0.41094612373956185,0.666303572993432,31.51781807750304,0.8653186030679005,AB05 Albacete,M4,0.9
Spring,0.0016349069615525433,0.8331759037294176,21.862829349237657,1.0369665521951956,GC05 Arucas,M4,0.9
Summer,0.14580651403781617,0.6311592724295009,19.656601980162694,0.807994612043975,GC05 Arucas,M4,0.9
Autumn,0.8805556572120319,0.7504011971895149,30.749740410112558,0.8318460234258337,GC05 Arucas,M4,0.9
Winter,0.6868629736761397,0.736691294092876,22.834573163884247,0.8307072438849619,GC05 Arucas,M4,0.9
Spring,0.3207098469728685,0.7623218883853488,15.84249309168903,0.9594542649383933,GC07 Tinajo,M4,0.9
Autumn,0.32195021989888567,0.6974695199868339,30.81972154895933,0.8029182259073098,GC07 Tinajo,M4,0.9
Winter,0.05176878702346661,2.1483479759601503,48.914556987240104,2.4386807739400305,GC07 Tinajo,M4,0.9
Spring,0.6910524790658736,0.6630941302006191,20.537033275549827,0.8271055496373669,IB04 Son Ferriol,M4,0.9
Summer,0.8002583785983256,0.40928958133210325,10.789319242569642,0.5516624104512269,IB04 Son Ferriol,M4,0.9
Autumn,0.8189047935295048,0.9736275138265219,100.83645914333148,1.059557162703233,IB04 Son Ferriol,M4,0.9
Winter,0.27249803477932233,0.536147301204365,27.517295370879406,0.7934852450174246,IB04 Son Ferriol,M4,0.9
Spring,0.7826189761296499,0.4844212852568563,14.72325858423342,0.6104200296358971,IB01 Santa Eulalia,M4,0.9
Summer,0.7761958232685724,0.7509206424089914,22.814477319890777,0.9076654581867131,IB01 Santa Eulalia,M4,0.9
Autumn,0.810333305847473,0.7591839063529693,70.77416400811683,0.8390578679264193,IB01 Santa Eulalia,M4,0.9
Winter,0.6918072377451107,0.44947827271739677,23.26098717070178,0.5774133742723859,IB01 Santa Eulalia,M4,0.9
Spring,0.848315742117652,0.49896397654893665,13.592479003676072,0.6446651188618082,M03 Aranjuez,M4,0.9
Summer,0.6951820759422086,0.8792854873923796,28.122884294091687,1.10103372099095,M03 Aranjuez,M4,0.9
Autumn,0.6651520888825504,0.8345480325052282,114.71840966633648,0.8941365925685291,M03 Aranjuez,M4,0.9
Winter,0.6213886152786975,0.435306013932149,31.39350318811737,0.6143460921748497,M03 Aranjuez,M4,0.9
Spring,0.646812946356859,0.40543554054277214,12.964320834484392,0.5791047987546243,V05 Cheste,M4,0.9
Summer,0.7298083935184879,0.5792109644277182,18.777026921245856,0.703242724405174,V05 Cheste,M4,0.9
Autumn,0.7057737908156959,0.8038040405565744,78.88755858613672,0.8754834736622154,V05 Cheste,M4,0.9
Winter,0.7545727250838695,0.3745000078519903,27.475043013834693,0.4844406799347279,V05 Cheste,M4,0.9
Spring,0.6222665549849057,0.5643388203224182,12.52235406252072,0.8166327571492192,A19 Villena,M4,0.9
Summer,0.8813793253825262,0.4781182245060565,11.55332669843664,0.5996889715864882,A19 Villena,M4,0.9
Autumn,0.6940067139150206,0.677004986947779,38.97087487027019,0.8020691737091026,A19 Villena,M4,0.9
Winter,0.7007577058536562,0.5410812111067982,23.522242273036397,0.6785141425697447,A19 Villena,M4,0.9
Spring,0.6650957612921711,0.5567825795868767,13.605644108825299,0.7021039185036262,TE05 Teruel,M4,0.9
Summer,0.45762418177621966,0.9477951561797728,25.330739298949773,1.0721803122960971,TE05 Teruel,M4,0.9
Autumn,0.42820629550258255,0.5986851996092278,77.97805174216383,0.6974748252528954,TE05 Teruel,M4,0.9
Winter,0.4732545838808327,0.5571728891044802,34.02123802999027,0.716086300249298,TE05 Teruel,M4,0.9
Spring,0.6352820989566421,0.7007980898807101,13.998503491981795,0.8954116466895203,GR02 Puebla de Don Fadrique,M4,0.9
Summer,0.8194598357171816,0.5886762619171143,9.600618266112544,0.7621344977652346,GR02 Puebla de Don Fadrique,M4,0.9
Autumn,0.5568930739369187,0.4714689840761851,25.234628060638016,0.5848019985592716,GR02 Puebla de Don Fadrique,M4,0.9
Winter,0.6171252275455953,0.9036647160305302,34.982312214260794,1.059647209745931,GR02 Puebla de Don Fadrique,M4,0.9
Spring,0.8410836163891121,0.44100421942486234,12.045897222498631,0.5569884439945574,SA01 Ciudad Rodrigo,M4,0.9
Summer,0.8849212074192594,0.5667464462331749,17.68913267832782,0.715496290978009,SA01 Ciudad Rodrigo,M4,0.9
Autumn,0.683865702659375,0.7734580170054791,108.28490982530137,0.822401618565596,SA01 Ciudad Rodrigo,M4,0.9
Winter,0.5311762529461266,0.4739656509105961,31.78449297882854,0.5860017451467667,SA01 Ciudad Rodrigo,M4,0.9
Spring,0.8936630053988422,0.2957760793635051,6.391000170298381,0.4506655926898525,BA09 Villafranca de los Barros,M4,0.9
Summer,0.9224117776987596,0.4190376470791002,9.521511342136519,0.548446788758833,BA09 Villafranca de los Barros,M4,0.9
Autumn,0.6321374222478414,0.9985004431756209,78.1296711982514,1.2063818271411255,BA09 Villafranca de los Barros,M4,0.9
Winter,0.6230993201895312,0.5455894143540918,27.86409347792715,0.6584374527204541,BA09 Villafranca de los Barros,M4,0.9
Spring,0.7432013553321631,0.36608899330376515,9.236411647765788,0.49319970016442827,CA07 Jimena de la Frontera,M4,0.9
Summer,0.7213144171441573,0.6045602472898184,14.927760183054787,0.7787121529833455,CA07 Jimena de la Frontera,M4,0.9
Autumn,0.6391371637028115,1.1535537400041327,98.33753987042984,1.2037759231979193,CA07 Jimena de la Frontera,M4,0.9
Winter,0.3555478346325651,0.5987135162209115,28.58767193781448,0.7612322574933401,CA07 Jimena de la Frontera,M4,0.9
Spring,0.8448565828089649,0.5283841422970244,12.453555476856033,0.6369791091689497,SE19 IFAPA Centro Las Torres-Tomejil,M4,0.9
Summer,0.8428839261309062,0.801183272021558,18.618808310111625,0.8976741235023008,SE19 IFAPA Centro Las Torres-Tomejil,M4,0.9
Autumn,0.7828309676149101,1.1779324564431064,110.70007581744055,1.2180018635780208,SE19 IFAPA Centro Las Torres-Tomejil,M4,0.9
Winter,0.4729180866963205,0.6003834964708819,36.99120964262906,0.7683605765761403,SE19 IFAPA Centro Las Torres-Tomejil,M4,0.9
Spring,0.785570145861208,0.5137863300566778,14.003032866570543,0.6235527093157279,BU04 Tardajos,M4,0.9
Summer,0.8423337211310069,0.7713312114426947,20.18591505581588,0.9405866029274602,BU04 Tardajos,M4,0.9
Autumn,0.6006256740625764,0.3365232592754502,52.15765153008988,0.4102540198658187,BU04 Tardajos,M4,0.9
Winter,0.6033293041240467,0.4518071293197632,32.199438160014054,0.5999126167173755,BU04 Tardajos,M4,0.9
Spring,0.8128417763610479,0.480667211896091,15.67788783806214,0.604052511622204,LE09 Santas Martas,M4,0.9
Summer,0.8723193892681315,0.6167062000750806,15.759271956031437,0.7689750663896826,LE09 Santas Martas,M4,0.9
Autumn,0.8406421334624006,0.6143004221168611,101.74566634729783,0.6659127419379357,LE09 Santas Martas,M4,0.9
Winter,0.6124568614444944,0.5756061891568476,37.605149659794876,0.7384026030214272,LE09 Santas Martas,M4,0.9
Spring,0.8276578537659671,0.40692521288892963,16.292779510574118,0.5325434082782271,C02 Boimorto,M4,0.9
Summer,0.7778241684563636,0.5573909271906411,19.68337575492435,0.6466122634595324,C02 Boimorto,M4,0.9
Autumn,0.9107997528817317,0.2129490234205627,21.580826019797495,0.2648824303966342,C02 Boimorto,M4,0.9
Winter,0.8185006689234192,0.28752712777968614,23.576111337198682,0.3559410189829307,C02 Boimorto,M4,0.9
Spring,0.7705840207916419,0.6273479809228686,12.440641515475253,0.7740268886118409,Z04 Fabara,M4,0.9
Summer,0.877549665243104,0.6053385952943551,11.82946879241292,0.7445672165242143,Z04 Fabara,M4,0.9
Autumn,0.7390986511819405,0.6496962645969805,65.61788955559588,0.7354030785743978,Z04 Fabara,M4,0.9
Winter,0.6722991035494036,0.7176906032680453,34.792952082508755,0.9413301599382563,Z04 Fabara,M4,0.9
Spring,0.667588690052953,0.490033716132609,15.045428877874102,0.65484308353572,HU14 Banastón,M4,0.9
Summer,0.7385193528924167,0.7731967071938571,17.52441799983395,0.8985566853818824,HU14 Banastón,M4,0.9
Autumn,0.6852349502834817,0.7584021956566317,146.7622799410063,0.8127414169861965,HU14 Banastón,M4,0.9
Winter,0.7189302905174756,0.424871429230756,40.25944671417175,0.5296007484033127,HU14 Banastón,M4,0.9
Spring,0.8268289081252624,0.4182916999893188,10.042144581211298,0.5385378548648408,CR03 Porzuna,M4,0.9
Summer,0.8965051211032435,0.531185864296603,13.486020433374582,0.6924809957006708,CR03 Porzuna,M4,0.9
Autumn,0.8297732236939205,0.7797727688423249,92.1915146240129,0.821578446789419,CR03 Porzuna,M4,0.9
Winter,0.5342274021758019,0.5083609025978273,34.15047442844054,0.6353175596212497,CR03 Porzuna,M4,0.9
Spring,0.8468548351766564,0.9304795316258749,18.714610677095852,1.0256607182122879,J06 Alcaudete,M4,0.9
Summer,0.8610161031778125,0.5251767743576234,13.490079652929188,0.6770730590645029,J06 Alcaudete,M4,0.9
Autumn,0.7252876544628543,0.8514429405849229,85.29822407028482,0.9055688652385734,J06 Alcaudete,M4,0.9
Winter,0.6163359452773014,0.43540776470465314,28.914530376996034,0.5579464927252468,J06 Alcaudete,M4,0.9
Spring,0.5922171474946416,0.7466924706309002,17.17232643502577,1.0499364305023227,Z07 Sádaba,M4,0.9
Summer,0.6931293225857463,0.9033050010962429,19.565114112338154,1.0449670672927662,Z07 Sádaba,M4,0.9
Autumn,0.723418179738513,0.5114743827124355,63.27719688443584,0.594351074620779,Z07 Sádaba,M4,0.9
Winter,0.5891231970154008,0.45067432706162985,24.761405400940394,0.6298526004014418,Z07 Sádaba,M4,0.9
Spring,0.7733307961728925,0.3627447801861232,9.923649890934884,0.5756883673941279,SG01 Gomezserracín,M4,0.9
Summer,0.8625821377186664,0.6012113784275285,16.618267018504852,0.7651133295698214,SG01 Gomezserracín,M4,0.9
Autumn,0.8199357909341292,0.7773539514177438,117.62022085997334,0.8276270124662829,SG01 Gomezserracín,M4,0.9
Winter,0.6902372020114189,0.49254301876857104,33.80816918731694,0.6310139234369595,SG01 Gomezserracín,M4,0.9
Spring,0.5813190011811321,0.6264448236228096,11.080157208863177,0.8066045631526535,GC09 Antigua - Pozo Negro,M4,0.9
Summer,0.8214868871119371,0.6614560372255625,10.639694014725718,0.950472296767668,GC09 Antigua - Pozo Negro,M4,0.9
Autumn,0.7697154143969721,0.4889091197881123,15.271315763410575,0.585668749489559,GC09 Antigua - Pozo Negro,M4,0.9
Winter,0.5600080585111857,0.4787832164680667,12.051978290381674,0.5824393299857442,GC09 Antigua - Pozo Negro,M4,0.9
Spring,0.6334892222171318,0.574620014110226,17.81034315002196,0.7197285143674175,BU07 Santa Gadea del Cid,M4,0.9
Summer,0.5999505642100679,0.7806681046615049,18.062564685866317,0.984491654563597,BU07 Santa Gadea del Cid,M4,0.9
Autumn,0.8474400904129445,0.42611092816355145,51.07210678363623,0.5163429290167707,BU07 Santa Gadea del Cid,M4,0.9
Winter,0.5947195097006115,0.4106125691649274,24.868148672520626,0.5286969845541343,BU07 Santa Gadea del Cid,M4,0.9
Spring,0.8218260932081217,0.553074660647583,13.611657944045696,0.6955944632517033,AL02 Almería,M3,0.9
Summer,0.8539031843995395,0.39451081686973566,9.014018978656974,0.5024158036913734,AL02 Almería,M3,0.9
Autumn,0.792836691141815,0.9486968141124313,68.98323894379142,1.0004024162912164,AL02 Almería,M3,0.9
Winter,0.7308149061125714,0.6297376882248482,29.02717805231645,0.8791250780317167,AL02 Almería,M3,0.9
Spring,0.7282285420868186,0.4217322601658292,10.203252532247133,0.5487845578506879,AL12 Tíjola,M3,0.9
Summer,0.8451561853728504,0.5030837044279167,15.57484896395971,0.6519021233454712,AL12 Tíjola,M3,0.9
Autumn,0.32239357468404733,0.44370831291419344,21.369674572940852,0.6400174160570603,AL12 Tíjola,M3,0.9
Winter,0.28083984222929526,0.5286766138149541,23.85148193936533,0.8105489925649847,AL12 Tíjola,M3,0.9
Spring,0.6951150593677318,0.5904850969987657,12.680823263528954,0.8214709311110495,AB05 Albacete,M3,0.9
Summer,0.8559075026963275,0.5159252757114273,10.07375965208441,0.6757350629355862,AB05 Albacete,M3,0.9
Autumn,0.6426172531137011,1.0445408462520185,79.86048590896685,1.1446309857723178,AB05 Albacete,M3,0.9
Winter,0.5358102071218106,0.598602645318179,30.343471303917806,0.7709809793549661,AB05 Albacete,M3,0.9
Spring,0.1310197995629874,0.5820611058434381,16.2639273124776,0.7323128928730536,GC05 Arucas,M3,0.9
Summer,0.3621653955774346,0.4238357637573611,13.630356927685833,0.5870817228036757,GC05 Arucas,M3,0.9
Autumn,0.3742803407031547,0.883945722083494,38.749131043370255,1.1250440988882837,GC05 Arucas,M3,0.9
Winter,0.2936584168068731,0.6283445876856548,19.116637353103286,0.8328815669803827,GC05 Arucas,M3,0.9
Spring,0.20014656628638758,0.6442961884556523,14.656300507356953,0.8105497636518073,GC07 Tinajo,M3,0.9
Autumn,0.10435748844433418,0.7588530001042685,34.23283482754737,0.8878648914700206,GC07 Tinajo,M3,0.9
Winter,0.03911663956561168,2.222702081967371,49.64946282520602,2.651193716197472,GC07 Tinajo,M3,0.9
Spring,0.713853827264188,0.6568707755405849,20.33996958994314,0.8108797075058876,IB04 Son Ferriol,M3,0.9
Summer,0.7400320449909149,0.5063448167437817,15.321945519716856,0.6988506290180438,IB04 Son Ferriol,M3,0.9
Autumn,0.7048483345285166,0.9468561962303622,94.37284389616994,1.0427445662980004,IB04 Son Ferriol,M3,0.9
Winter,0.6459732537018268,0.36512459997546265,22.031256353554383,0.5012151124057089,IB04 Son Ferriol,M3,0.9
Spring,0.739720599070845,0.6676271086724854,19.596791742861797,0.8196232095124523,IB01 Santa Eulalia,M3,0.9
Summer,0.6820445099889672,0.6705995251701999,19.438524324950635,0.8129017758400787,IB01 Santa Eulalia,M3,0.9
Autumn,0.5422060733072673,0.5504608829580283,49.48600237236568,0.6239402415631353,IB01 Santa Eulalia,M3,0.9
Winter,0.8235531320121684,0.4331979599318156,23.297608970664804,0.5586214436237121,IB01 Santa Eulalia,M3,0.9
Spring,0.8686543563524934,0.46370003963572193,13.26513642971089,0.607032041639562,M03 Aranjuez,M3,0.9
Summer,0.8904864944906745,0.7751693970798355,24.676195458325793,0.9517407625268947,M03 Aranjuez,M3,0.9
Autumn,0.6451189299635608,0.8165693147141421,101.24628265744693,0.8879622090821526,M03 Aranjuez,M3,0.9
Winter,0.6942374620657036,0.37571397843676313,27.07405671366885,0.5215002784880172,M03 Aranjuez,M3,0.9
Spring,0.6016802106507899,0.45254761268310556,14.896256943910046,0.6452876288410495,V05 Cheste,M3,0.9
Summer,0.874686949890761,0.6499177584089715,16.70825555731493,0.7859972855284599,V05 Cheste,M3,0.9
Autumn,0.7351401921654165,0.7152629380969312,63.81581112511976,0.791645010334582,V05 Cheste,M3,0.9
Winter,0.7651112626442316,0.42887971699799676,29.12095801578432,0.5464278599810585,V05 Cheste,M3,0.9
Spring,0.4420739817277977,0.6463340547032673,14.73628487313998,1.0498811511116606,A19 Villena,M3,0.9
Summer,0.8913316960456232,0.3461423413573116,8.404261379523147,0.49020599550979155,A19 Villena,M3,0.9
Autumn,0.7310498652808479,0.5239381295222271,29.439564757294466,0.6619571743889199,A19 Villena,M3,0.9
Winter,0.7872744006220578,0.4354556808511502,20.366136683001262,0.5451627996037592,A19 Villena,M3,0.9
Spring,0.7528455126313853,0.47491195045539014,10.858108240982581,0.5972925787938669,TE05 Teruel,M3,0.9
Summer,0.8012704722289874,0.7500618524669049,16.83489889119924,0.9255600439999471,TE05 Teruel,M3,0.9
Autumn,0.18889130873814267,0.45852966901387365,51.323126156507435,0.5869112155064201,TE05 Teruel,M3,0.9
Winter,0.7406966754060919,0.35800178787989606,23.95805082757554,0.47428763643536337,TE05 Teruel,M3,0.9
Spring,0.7080550434998597,0.5961034987263997,12.238520170353679,0.7514886797578649,GR02 Puebla de Don Fadrique,M3,0.9
Summer,0.8608253176876741,0.5992005718808461,10.309627645550739,0.7590044426418181,GR02 Puebla de Don Fadrique,M3,0.9
Autumn,0.6428722090802418,0.5011226888446301,27.295402276329156,0.6291017371581871,GR02 Puebla de Don Fadrique,M3,0.9
Winter,0.562110067435918,0.9099505618794698,33.45460055561968,1.088087795096593,GR02 Puebla de Don Fadrique,M3,0.9
Spring,0.8815597849206602,0.3131242163847181,9.53310184510563,0.40488088542097467,SA01 Ciudad Rodrigo,M3,0.9
Summer,0.9012527349549466,0.7106368184389782,20.320837513993105,0.7923782639873339,SA01 Ciudad Rodrigo,M3,0.9
Autumn,0.6869766513121293,0.6728918980013561,88.47494838108257,0.7395432514879114,SA01 Ciudad Rodrigo,M3,0.9
Winter,0.6458491375286866,0.3918394996605885,27.55120693520868,0.5293496957894311,SA01 Ciudad Rodrigo,M3,0.9
Spring,0.8281334725709668,0.4289158533467611,9.915667386610147,0.6165443260885795,BA09 Villafranca de los Barros,M3,0.9
Summer,0.9045598974685295,0.3989379136534541,9.168690328514204,0.5576191258256371,BA09 Villafranca de los Barros,M3,0.9
Autumn,0.5033615047341291,1.0564498582739066,77.69993748631624,1.383248815666835,BA09 Villafranca de los Barros,M3,0.9
Winter,0.6681663492073634,0.483000040101428,25.596625035901678,0.6082866092241799,BA09 Villafranca de los Barros,M3,0.9
Spring,0.76329961427155,0.4507872637123956,11.395151505239173,0.6066083821990684,CA07 Jimena de la Frontera,M3,0.9
Summer,0.7692684877356069,0.5322009163445162,13.393081767836321,0.7005803305563377,CA07 Jimena de la Frontera,M3,0.9
Autumn,0.633625124430355,0.9876882282248074,82.62561762036285,1.0436861407644082,CA07 Jimena de la Frontera,M3,0.9
Winter,0.3578807915015926,0.6963138721040676,37.67156072630802,0.9448899341144543,CA07 Jimena de la Frontera,M3,0.9
Spring,0.8178838354097142,0.5755608714521621,13.48058194523582,0.6912399133833674,SE19 IFAPA Centro Las Torres-Tomejil,M3,0.9
Summer,0.8273195856798407,0.7956084996867354,17.734430346342386,0.9111822537087555,SE19 IFAPA Centro Las Torres-Tomejil,M3,0.9
