Season,R2,MAE,MAPE,RMSE,Station,Model,TLPercentage
Spring,0.9895905593117138,0.24107610619955464,4.90253676437968,0.28284390793393105,AL41,M4,0.99
Summer,0.9902705663676509,0.12763227701622998,2.5886716569902797,0.16777845818081383,AL41,M4,0.99
Autumn,0.9711811224421361,0.13250941139548572,7.348998294528123,0.16554367334143197,AL41,M4,0.99
Winter,0.9665194300673191,0.14577674600982665,7.019662198509652,0.1994249556036866,AL41,M4,0.99
Spring,0.9777038597724497,0.29033823548941995,7.090427992893922,0.3254985088186666,CA73,M4,0.99
Summer,0.9697154462210489,0.19094168666590036,5.502518894624042,0.2530088528139383,CA73,M4,0.99
Autumn,0.8799902487086217,0.22557248260246987,14.823793327540136,0.279120891673222,CA73,M4,0.99
Winter,0.9063214650884117,0.23219212610268553,14.853191563635212,0.2892773273905761,CA73,M4,0.99
Spring,0.9867526554116304,0.31590064849031113,7.959339738099495,0.3440811785006037,CA91,M4,0.99
Summer,0.982829108321039,0.19228101103571696,4.959334623255434,0.23681917983351314,CA91,M4,0.99
Autumn,0.93642451659843,0.3632299804587474,33.31634567987061,0.41959994771243225,CA91,M4,0.99
Winter,0.9346980653063302,0.1890668072989256,11.43978217079874,0.2460986021020946,CA91,M4,0.99
Spring,0.9885421999638456,0.13361349127136965,3.8369490520865086,0.1841149440636032,CR12,M4,0.99
Summer,0.9791840236839877,0.2485895297080555,5.837023451578684,0.28380158232708264,CR12,M4,0.99
Autumn,0.9437919778706786,0.2790331743420274,18.940576841534902,0.31505481111345496,CR12,M4,0.99
Winter,0.9723217525588048,0.16303742927685977,9.970834469911201,0.20753245408888327,CR12,M4,0.99
Spring,0.9882736127334902,0.20848082447514948,4.684620934783097,0.24831109891598924,JU71,M4,0.99
Summer,0.9866905742139511,0.14259917658918048,3.0056681142397834,0.18765452945332864,JU71,M4,0.99
Autumn,0.9621291260477307,0.1479923022512544,8.676924278305648,0.19353984202464183,JU71,M4,0.99
Winter,0.9705179606726752,0.14010125029754641,6.944071883278677,0.1876532996068834,JU71,M4,0.99
Spring,0.9874378108694712,0.3678715357811319,7.269711089430579,0.41728379628381773,LO51,M4,0.99
Summer,0.9779523602204248,0.18255987654656336,4.058546543397428,0.25272969721413485,LO51,M4,0.99
Autumn,0.9242732721520229,0.2385243745267502,12.499657010119833,0.2981667657742103,LO51,M4,0.99
Winter,0.9427005139398018,0.24263202349344887,11.780086743454968,0.3038658575233855,LO51,M4,0.99
Spring,0.9883605116456493,0.13653569393559184,3.4405213537961568,0.19250634857440566,MO22,M4,0.99
Summer,0.9896615880990943,0.1467226551917179,3.285796815140086,0.1846546522748566,MO22,M4,0.99
Autumn,0.9655812607176792,0.14191664390948228,8.013999716901276,0.17708100422574685,MO22,M4,0.99
Winter,0.9686402866528245,0.16862440617370605,7.531543947272238,0.22619036011928229,MO22,M4,0.99
Spring,0.9710339757072156,0.21775517422018695,4.956701439045612,0.2892283705931191,AL41,M3,0.99
Summer,0.9747202596622561,0.17133474989826541,3.3414100006654297,0.2328882814063482,AL41,M3,0.99
Autumn,0.94777666302653,0.1687189013210695,8.70390556950295,0.22892956232158101,AL41,M3,0.99
Winter,0.9273173690892362,0.22142588247680664,10.701740842133498,0.29832432532299064,AL41,M3,0.99
Spring,0.903668308579226,0.2604856827371829,7.222988429935976,0.3468778704552512,CA73,M3,0.99
Summer,0.8970330930924624,0.21829491554688069,5.795717373626179,0.31490414613692275,CA73,M3,0.99
Autumn,0.8231401141399167,0.26121752638703505,17.497149732600814,0.32792638922907896,CA73,M3,0.99
Winter,0.8133953209381979,0.2900154451625167,17.74448117306983,0.37668341781562364,CA73,M3,0.99
Spring,0.9768780963523644,0.2815162971600964,7.473839731178848,0.33026676266074545,CA91,M3,0.99
Summer,0.9796425276272465,0.1205390139951131,3.001506990109928,0.1614198283586739,CA91,M3,0.99
Autumn,0.9328608347880535,0.14364553451538087,10.559034708262583,0.19124833909619685,CA91,M3,0.99
Winter,0.9416074443230955,0.1715393916908926,10.575921975059426,0.22277327806022384,CA91,M3,0.99
Spring,0.974198333249812,0.17811005346553843,5.240680917312523,0.24814095953059292,CR12,M3,0.99
Summer,0.9681525040539716,0.21752111657873374,5.2790884682841055,0.25507762108025184,CR12,M3,0.99
Autumn,0.8574544826643851,0.19677132768984196,12.0610988352691,0.26427408212925824,CR12,M3,0.99
Winter,0.9313261943084465,0.30957583714073245,20.23295325214686,0.36291661447536316,CR12,M3,0.99
Spring,0.970293820763912,0.18496787696980346,4.707177021670915,0.2598957963185765,JU71,M3,0.99
Summer,0.9730685775389936,0.16034332449821864,3.4160133603442553,0.23942821105932544,JU71,M3,0.99
Autumn,0.9292400908713435,0.2840262222638732,17.6148329361434,0.347077091849285,JU71,M3,0.99
Winter,0.9319059729862961,0.22368375761413573,11.732845380773844,0.29027109336292367,JU71,M3,0.99
Spring,0.947900011374738,0.3087925713193455,6.539036529350032,0.39150429022826555,LO51,M3,0.99
Summer,0.9386386808295956,0.3031424679485928,6.404941194716648,0.3820090523977519,LO51,M3,0.99
Autumn,0.8794521461222048,0.2951614772096915,16.11186039346617,0.3741230498337436,LO51,M3,0.99
Winter,0.8775605482563175,0.28082455240853943,12.83129721521076,0.3815751415256127,LO51,M3,0.99
