Season,R2,MAE,MAPE,RMSE,Station,Model,TLPercentage
Spring,0.798887811221891,0.6486934535384761,12.22953937355358,0.7764035698409176,AL41-alhama,M4,0.9
Summer,0.8532849801573015,0.35372553169682724,7.292719430497064,0.5070549609270838,AL41-alhama,M4,0.9
Autumn,0.7328400261003394,0.600105003429225,57.510200266837174,0.7095044623308164,AL41-alhama,M4,0.9
Winter,0.7434032702873523,0.58570567903259,32.663345551671036,0.722565895326024,AL41-alhama,M4,0.9
Spring,0.6924353846709942,0.5577569862473241,16.02755402073125,0.7090054570813172,CA73-cartagena,M4,0.9
Summer,0.8223587875112172,0.8201614172090167,22.777365055569447,0.9266768302982422,CA73-cartagena,M4,0.9
Autumn,0.8126248120418341,0.7200916734421798,45.53551029240127,0.7970629990022452,CA73-cartagena,M4,0.9
Winter,0.7729714867199295,0.6850956564168877,39.88195317959087,0.7805164121508762,CA73-cartagena,M4,0.9
Spring,0.696951360638227,0.6337045973447002,15.798312812870034,0.7791833071953873,CA91-fuenteAlamo,M4,0.9
Summer,0.7857105058684231,0.6429150974489511,16.05388199536879,0.8247924581025565,CA91-fuenteAlamo,M4,0.9
Autumn,0.6370806105068063,0.7183811779393683,54.127367113496824,0.8783167868414343,CA91-fuenteAlamo,M4,0.9
Winter,0.794537488358368,0.5353111115337053,30.012809945039194,0.6297138934454182,CA91-fuenteAlamo,M4,0.9
Spring,0.738195667690612,0.672745942701511,14.01882014227753,0.8415255819792401,CI42-cieza,M4,0.9
Summer,0.8129623420605583,0.661767752110914,14.312773865721612,0.8507416829330426,CI42-cieza,M4,0.9
Autumn,0.7571343432397025,0.7001586605005352,58.01814833673645,0.8111428417045634,CI42-cieza,M4,0.9
Winter,0.8246672586475721,0.41662712290531695,24.693432224925367,0.5120032707063403,CI42-cieza,M4,0.9
Spring,0.6935584622964847,0.5309804127870114,11.898389401463762,0.7574107281790047,CR12-caravaca,M4,0.9
Summer,0.8428599821584952,0.9174982118242869,20.686668949924886,1.0801056473382877,CR12-caravaca,M4,0.9
Autumn,0.790193479048017,0.34804248133830784,18.601310302050862,0.44601253195145596,CR12-caravaca,M4,0.9
Winter,0.7220118263333145,0.3397399768040275,15.315375519906485,0.43976120925477463,CR12-caravaca,M4,0.9
Spring,0.689615644305071,0.5590702600012496,10.625151920028145,0.776660391357046,JU71-jumilla,M4,0.9
Summer,0.858099794068461,0.4860061559265202,9.22541941903647,0.6335213987777932,JU71-jumilla,M4,0.9
Autumn,0.7388898031783776,0.39232028938406405,17.13457821464569,0.4995355294072092,JU71-jumilla,M4,0.9
Winter,0.8175331039907681,0.3242242552982176,12.530169021730183,0.4388670916777882,JU71-jumilla,M4,0.9
Spring,0.7505968441542604,0.4620790813264302,10.47078439678068,0.6672896302543276,LO51-aguilas,M4,0.9
Summer,0.8580086178419272,0.37955054152563766,8.221315665442544,0.502943295123271,LO51-aguilas,M4,0.9
Autumn,0.785231490632101,0.3556712575625001,14.49064580585247,0.5152111155337277,LO51-aguilas,M4,0.9
Winter,0.8554798870230259,0.40964414280922107,13.829242227380266,0.5668159405588291,LO51-aguilas,M4,0.9
Spring,0.8204425155451995,0.4801579525311123,10.03918169880821,0.6046128787404751,MO22-molinaSegura,M4,0.9
Summer,0.8424383540439235,0.5836271454088013,12.468332237022066,0.7570707426564723,MO22-molinaSegura,M4,0.9
Autumn,0.5973849127667227,0.453876559419348,19.1895533262995,0.5614630791107806,MO22-molinaSegura,M4,0.9
Winter,0.8312764414155099,0.3393631957632604,14.29157800690859,0.450661189008949,MO22-molinaSegura,M4,0.9
Spring,0.7540623909539899,0.6765668953259786,12.771838228821956,0.8177117236422013,AL41-alhama,M3,0.9
Summer,0.8274802182716665,0.3828452537059784,8.351921363024214,0.5672200700513597,AL41-alhama,M3,0.9
Autumn,0.7577223768593995,0.5951060050654124,57.43225203675565,0.6867377331288343,AL41-alhama,M3,0.9
Winter,0.7395428270645993,0.5966713383139634,33.98809327658866,0.7227365097561175,AL41-alhama,M3,0.9
Spring,0.5634082468364696,1.3935900239414638,35.116986073436095,1.6067226623141773,CA73-cartagena,M3,0.9
Summer,0.5543220074533176,1.7955863090753557,48.09675249907984,1.9451242592612443,CA73-cartagena,M3,0.9
Autumn,0.6296085594313857,0.9366467309859862,58.94162229877986,1.1195320664334334,CA73-cartagena,M3,0.9
Winter,0.5662264397798857,1.110286161783265,61.330342067329966,1.3166270481785745,CA73-cartagena,M3,0.9
Spring,0.605739675174345,0.8027726396984524,19.526722047272134,1.0265716452444185,CA91-fuenteAlamo,M3,0.9
Summer,0.7129358644020434,0.9376612462997436,23.859865773275562,1.127196601824764,CA91-fuenteAlamo,M3,0.9
Autumn,0.7154578195487605,0.7618062806416708,56.688287196852706,0.8898344643941571,CA91-fuenteAlamo,M3,0.9
Winter,0.8027072411108732,0.647244610321231,34.894705881206164,0.7617530520095773,CA91-fuenteAlamo,M3,0.9
Spring,0.7309022051448,0.7476580877304078,15.6237728405486,0.9064706993245649,CI42-cieza,M3,0.9
Summer,0.8330806856762135,0.8148607176542282,17.252847989812743,0.9654198698793185,CI42-cieza,M3,0.9
Autumn,0.7807396352334683,0.8103142754141105,64.41015379677529,0.9388501929736913,CI42-cieza,M3,0.9
Winter,0.7932447037341689,0.5095283405664491,29.705247031275523,0.6018521866120555,CI42-cieza,M3,0.9
Spring,0.6596093904121878,0.5360290895266966,12.254312218348828,0.7807915802078031,CR12-caravaca,M3,0.9
Summer,0.8346697422126474,0.9428461991548538,23.16213664233691,1.07117980351989,CR12-caravaca,M3,0.9
Autumn,0.7900114702951554,0.44724475145339965,22.361414633960084,0.5999393612194696,CR12-caravaca,M3,0.9
Winter,0.6157223532181688,0.4535420743721288,20.68444650157649,0.6257167509714755,CR12-caravaca,M3,0.9
Spring,0.6563124761049993,0.583868608103858,11.19106670104846,0.8110022551466636,JU71-jumilla,M3,0.9
Summer,0.8427286962528081,0.41084258747100827,7.721284051010184,0.5929702376999653,JU71-jumilla,M3,0.9
Autumn,0.6866628042836302,0.4042606096957103,17.999149259874034,0.5167442749012914,JU71-jumilla,M3,0.9
Winter,0.7817036494359438,0.3301918230114913,13.335768912062942,0.45874334627197083,JU71-jumilla,M3,0.9
Spring,0.607752866845594,0.5700109747780694,13.074908069351343,0.864336221208938,LO51-aguilas,M3,0.9
Summer,0.7935205244405829,0.4767867618799209,11.006385524439564,0.6405245900355956,LO51-aguilas,M3,0.9
Autumn,0.8191665882980516,0.3485835340511368,14.543298268535331,0.47545934964876735,LO51-aguilas,M3,0.9
Winter,0.817985545675182,0.43330450825574923,14.90221927768185,0.5737962261181553,LO51-aguilas,M3,0.9
Spring,0.7691477990148187,0.5715353008906047,11.920592186938904,0.7230012276848349,MO22-molinaSegura,M3,0.9
Summer,0.8203720529523543,0.7666609830856324,16.102565738010522,0.9386661964415807,MO22-molinaSegura,M3,0.9
Autumn,0.5339458229434587,0.5007213357348501,21.093733349996903,0.633535436086567,MO22-molinaSegura,M3,0.9
Winter,0.809554318296163,0.3526772794490907,14.62996228802815,0.4760784815632956,MO22-molinaSegura,M3,0.9
