Season,R2,MAE,MAPE,RMSE,Station,Model,TLPercentage
Spring,0.8009338356139944,0.5615621739493476,11.010329399710363,0.6922136440445711,AL41-alhama,M4,0.9
Summer,0.8453356647362771,0.4679027755260467,9.754117493716405,0.6551082044988102,AL41-alhama,M4,0.9
Autumn,0.7428905661296071,0.461895157400384,33.72715519986835,0.6017732127075449,AL41-alhama,M4,0.9
Winter,0.739117833081157,0.5925539366791888,26.509837877609655,0.7756940382361506,AL41-alhama,M4,0.9
Spring,0.670430234806184,0.4505259255303277,13.676784726173826,0.6134827118792077,CA73-cartagena,M4,0.9
Summer,0.7656520977367754,0.407843741774559,11.9170923454503,0.5296622472379909,CA73-cartagena,M4,0.9
Autumn,0.7639458682008883,0.39717662851494484,24.59439106676304,0.5108312146304403,CA73-cartagena,M4,0.9
Winter,0.8112303965763688,0.3345503044128418,18.331771001603634,0.45682557086121073,CA73-cartagena,M4,0.9
Spring,0.6882663095920502,0.4144259758525425,11.254824728675223,0.6118583159307692,CA91-fuenteAlamo,M4,0.9
Summer,0.7653130572665066,0.4058358459472656,10.638261493195134,0.5611131626777467,CA91-fuenteAlamo,M4,0.9
Autumn,0.6162316976866948,0.4280618765842484,32.86961883478929,0.6005946075779627,CA91-fuenteAlamo,M4,0.9
Winter,0.8071563618255454,0.35893787895760887,18.25900726331186,0.45908704668718303,CA91-fuenteAlamo,M4,0.9
Spring,0.7420882847270889,0.4717539978557162,9.959280176676103,0.641367275434314,CI42-cieza,M4,0.9
Summer,0.8126544443596644,0.39144817674159993,8.980734036705698,0.5715967983335161,CI42-cieza,M4,0.9
Autumn,0.7321634408446229,0.40215474728719286,28.73265645752528,0.5395220141386644,CI42-cieza,M4,0.9
Winter,0.8187227729972607,0.3472702924216666,20.487573933603745,0.4394725451325679,CI42-cieza,M4,0.9
Spring,0.6965958282266255,0.46664351620457384,10.861882377952327,0.6295656365993173,CR12-caravaca,M4,0.9
Summer,0.8310340320794293,0.375759280025959,9.793380255756585,0.5455692202508552,CR12-caravaca,M4,0.9
Autumn,0.8394547698088026,0.24035177424802617,12.387494701189535,0.36676816104298343,CR12-caravaca,M4,0.9
