Season,R2,MAE,MAPE,RMSE,Station,Model,TLPercentage
Spring,0.7813179763086294,0.6196886062622071,12.071464289913296,0.745588698695365,AL41-alhama,M4,0.9
Summer,0.8257554933554907,0.530841454744339,11.04678419933282,0.7283480194732735,AL41-alhama,M4,0.9
Autumn,0.7235772429780555,0.5641258821717228,53.15140553670887,0.6957851535442109,AL41-alhama,M4,0.9
Winter,0.7352184869777844,0.6317435664492772,28.986731368298962,0.8151998435507782,AL41-alhama,M4,0.9
Spring,0.4918650432015513,0.6358531114790175,18.545964008644766,0.8380480902275659,CA73-cartagena,M4,0.9
Summer,0.8032310089950798,0.3621704212427139,9.99202598316639,0.45461929367025156,CA73-cartagena,M4,0.9
Autumn,0.8117100280210648,0.4844175353682184,36.45085050041969,0.5410956431403432,CA73-cartagena,M4,0.9
Winter,0.7159538274407181,0.3756239616580126,16.450433947652655,0.5251654216596063,CA73-cartagena,M4,0.9
Spring,0.7156789455550607,0.39529038185543486,10.894434938706329,0.5729220207075824,CA91-fuenteAlamo,M4,0.9
Summer,0.7398630714337101,0.468082402229309,11.007950533487957,0.6000401471409611,CA91-fuenteAlamo,M4,0.9
Autumn,0.6444714995221817,0.601500562300165,51.62977795978128,0.7154389940718422,CA91-fuenteAlamo,M4,0.9
Winter,0.7058232617528116,0.4826474477023613,20.668041300589227,0.6412141715204343,CA91-fuenteAlamo,M4,0.9
Spring,0.6795493247299387,0.657249953005049,13.588914958772136,0.8548665063707576,CI42-cieza,M4,0.9
Summer,0.7381183308401684,0.650952402472496,14.876065479454859,0.8557974764720003,CI42-cieza,M4,0.9
Autumn,0.7910438779697823,0.6100817053002048,54.97027429171052,0.6749889259926185,CI42-cieza,M4,0.9
Winter,0.8279559498942358,0.33475797949767694,16.653966078718977,0.45306401249069705,CI42-cieza,M4,0.9
Spring,0.5932527607939118,0.5837793779915029,13.427090189013057,0.8138315313441024,CR12-caravaca,M4,0.9
Summer,0.7442781632770354,0.6045241794586181,17.859995177070832,0.800508411657236,CR12-caravaca,M4,0.9
Autumn,0.8154939933522746,0.2854323755684546,16.77851822645374,0.36586572715147175,CR12-caravaca,M4,0.9
Winter,0.6018419455506674,0.5740619282606171,23.38117789054151,0.7217130304020875,CR12-caravaca,M4,0.9
Spring,0.6593711418489321,0.6570042178895737,12.46427633336744,0.8487705309474868,JU71-jumilla,M4,0.9
Summer,0.8615915422946957,0.5252106009721756,9.959218012353663,0.6673990038595272,JU71-jumilla,M4,0.9
Autumn,0.7238431073307512,0.38915820610092344,17.9466396761353,0.486181606129085,JU71-jumilla,M4,0.9
Winter,0.7553174506898835,0.3837342405900723,16.42346585767823,0.4959791887298541,JU71-jumilla,M4,0.9
Spring,0.762766593464364,0.4374574142562018,10.258467834577178,0.6487673757847283,LO51-aguilas,M4,0.9
Summer,0.8209800650063184,0.5599061566591264,11.194164193755244,0.7666626060998318,LO51-aguilas,M4,0.9
Autumn,0.8248351398068946,0.3400214845588409,14.525339029266584,0.4746252360755043,LO51-aguilas,M4,0.9
Winter,0.8279784102633495,0.4489830377625256,14.907568505057945,0.5940209596453465,LO51-aguilas,M4,0.9
Spring,0.8000670243382709,0.3821747041278414,8.280869668054564,0.5135529187737411,MO22-molinaSegura,M4,0.9
Summer,0.7984833207096557,0.5017703160047532,10.759116017107404,0.6571364005123572,MO22-molinaSegura,M4,0.9
Autumn,0.5771511639663364,0.3806307542471238,17.016458679161587,0.4841971091439569,MO22-molinaSegura,M4,0.9
Winter,0.8156581411695114,0.36579458853093594,15.063258905935767,0.4843768631316076,MO22-molinaSegura,M4,0.9
Spring,0.7571916380885712,0.6695131768120659,12.632334181304275,0.8052124052692428,AL41-alhama,M3,0.9
Summer,0.8211404294718262,0.44902550959587095,9.631334553114405,0.6348803595343243,AL41-alhama,M3,0.9
Autumn,0.7470027922997441,0.5358514727167337,49.33094144120729,0.6409601567159119,AL41-alhama,M3,0.9
Winter,0.7144369812711002,0.6080213268037613,27.7237900464847,0.8272715938930699,AL41-alhama,M3,0.9
Spring,0.5067109710995673,0.7239592700534396,20.53281695034996,0.9475388909982525,CA73-cartagena,M3,0.9
Summer,0.7038830347606297,0.478407556772232,14.676852799579427,0.653078629309351,CA73-cartagena,M3,0.9
Autumn,0.6279156640862041,0.3484823819815394,27.204435822373295,0.4181326190781589,CA73-cartagena,M3,0.9
Winter,0.7522232809334324,0.40053574405065395,19.632770229415673,0.5752673499520322,CA73-cartagena,M3,0.9
Spring,0.6459160153747942,0.4559400477939181,12.265715308960399,0.65702771372127,CA91-fuenteAlamo,M3,0.9
Summer,0.7751501926042819,0.41977534186840054,10.863534364270567,0.5713980876546658,CA91-fuenteAlamo,M3,0.9
Autumn,0.7480890009475119,0.3886103154952268,33.27301546350228,0.45362233976370014,CA91-fuenteAlamo,M3,0.9
Winter,0.8076859173552251,0.3469090536745584,16.465826361839145,0.4522248768512552,CA91-fuenteAlamo,M3,0.9
Spring,0.729357869459212,0.42997076908747356,9.396431638496248,0.596537253381012,CI42-cieza,M3,0.9
Summer,0.7536031164658462,0.5078173190951347,11.474190322902375,0.7193434642267497,CI42-cieza,M3,0.9
Autumn,0.7494116675830952,0.5582685654421887,45.57064481950627,0.6681348361031478,CI42-cieza,M3,0.9
Winter,0.8251939586398777,0.26019426636579557,13.698682718929545,0.3809035119927639,CI42-cieza,M3,0.9
