Season,R2,MAE,MAPE,RMSE,Station,Model,TLPercentage
Spring,0.9857926809600569,0.15483519673136972,4.105730382748256,0.2176440566106365,A19 Villena,M4,0.99
Summer,0.9866603739300437,0.14237668238930712,3.2857769748752568,0.1876778086483939,A19 Villena,M4,0.99
Autumn,0.9661223117989738,0.14026632064744593,9.077017473316873,0.18388137872412283,A19 Villena,M4,0.99
Winter,0.9756140714619373,0.12697187430287749,6.847099196436054,0.16643669960915794,A19 Villena,M4,0.99
Spring,0.9888539431871304,0.14649722961635256,3.862932136692052,0.19719906280539748,AB05 Albacete,M4,0.99
Summer,0.9874563971554957,0.14900101679123484,2.8253344252480543,0.1927365892667113,AB05 Albacete,M4,0.99
Autumn,0.9759759786061556,0.14623081544857103,11.812276678708123,0.18414468350451602,AB05 Albacete,M4,0.99
Winter,0.9711451571566715,0.1190164265171561,8.604569795390221,0.15641346708057755,AB05 Albacete,M4,0.99
Spring,0.9728910883849954,0.15906053148501834,3.8256318729060426,0.20062504018066635,AL02 Almería,M4,0.99
Summer,0.944723057009778,0.24013252502353616,5.651934670352583,0.30129668896366607,AL02 Almería,M4,0.99
Autumn,0.9499897145523273,0.5084686106585161,31.767807298387098,0.5404030942286544,AL02 Almería,M4,0.99
Winter,0.931700756401222,0.31119748474218384,17.969622745431625,0.3630134492751601,AL02 Almería,M4,0.99
Spring,0.98657832654564,0.14006816333926678,4.115769608558506,0.19030272405491583,AL12 Tíjola,M4,0.99
Summer,0.9871295176624988,0.14882677702089336,3.5858898429738875,0.19813608513136688,AL12 Tíjola,M4,0.99
Autumn,0.959620402808966,0.21117824363870646,12.378958319085728,0.2580319584855473,AL12 Tíjola,M4,0.99
Winter,0.9608160141590967,0.14266473171961455,7.9332031113472565,0.1825958396634551,AL12 Tíjola,M4,0.99
Spring,0.9879501375454662,0.1470390686690718,3.666272006792181,0.1939400392740747,BA09 Villafranca de los Barros,M4,0.99
Summer,0.9771433621789933,0.20052628362135352,4.059027676788944,0.24978426792084263,BA09 Villafranca de los Barros,M4,0.99
Autumn,0.9727959055974144,0.2605715558163079,18.38271137233922,0.3059227488093406,BA09 Villafranca de los Barros,M4,0.99
Winter,0.9638541767240145,0.14777870036797708,10.129921437958842,0.19146846011738958,BA09 Villafranca de los Barros,M4,0.99
Spring,0.9806168669701036,0.18702226219824652,5.9477155330355655,0.249463687126284,BU04 Tardajos,M4,0.99
Summer,0.9841677096095477,0.1427962369782905,3.452021578576974,0.18221072173077774,BU04 Tardajos,M4,0.99
Autumn,0.9604066918484429,0.1677379869502498,20.968657242867998,0.20278737660715704,BU04 Tardajos,M4,0.99
Winter,0.9477965173594765,0.14026301501006772,15.118295787364147,0.18009144385881318,BU04 Tardajos,M4,0.99
Spring,0.9737700351380858,0.24743077103625524,8.641167301351203,0.3101421186340069,BU07 Santa Gadea del Cid,M4,0.99
Summer,0.9785223627049703,0.1702314970672257,4.849937471171946,0.21884878643681813,BU07 Santa Gadea del Cid,M4,0.99
Autumn,0.9510131637678207,0.16827210729934156,18.74924372549086,0.20516186165966868,BU07 Santa Gadea del Cid,M4,0.99
Winter,0.9547250449679348,0.1454364150510735,13.584421186294742,0.17737546022918943,BU07 Santa Gadea del Cid,M4,0.99
Spring,0.9847364740918405,0.1463442487374542,5.494729638495949,0.18727612487933015,C02 Boimorto,M4,0.99
Summer,0.9742421241895453,0.14997465256847894,5.377565667301616,0.19165599083870952,C02 Boimorto,M4,0.99
Autumn,0.9233374787704361,0.23820151804242815,31.153122546788158,0.28199813214869873,C02 Boimorto,M4,0.99
Winter,0.9474572493912553,0.1579813391039732,17.489717537371913,0.1981979631686706,C02 Boimorto,M4,0.99
Spring,0.9807289978491858,0.15454551903267044,4.2241229327465915,0.19811753445642583,CA07 Jimena de la Frontera,M4,0.99
Summer,0.9678284248762786,0.2193379192820214,5.249436556994615,0.280191143942708,CA07 Jimena de la Frontera,M4,0.99
Autumn,0.9392226525239291,0.33590779264917786,24.479906813667395,0.3877637477706314,CA07 Jimena de la Frontera,M4,0.99
Winter,0.9198066126674707,0.18247928919514095,11.740344786553681,0.2393392957016212,CA07 Jimena de la Frontera,M4,0.99
Spring,0.9867425311480259,0.15217144752229292,4.174764073481503,0.20519678297089167,CR03 Porzuna,M4,0.99
Summer,0.9838699719418008,0.1718946941500496,3.6060050851000254,0.21265234102251288,CR03 Porzuna,M4,0.99
Autumn,0.9777873464642736,0.1670535637716228,14.702501174348745,0.20017012866118647,CR03 Porzuna,M4,0.99
Winter,0.9676333304264455,0.12606898995409166,9.565796178376914,0.16179347259373594,CR03 Porzuna,M4,0.99
Spring,0.9570817812358794,0.14311043840314389,3.9673920488073686,0.17843863429011447,GC05 Arucas,M4,0.99
Summer,0.9685473721076026,0.11060844682192397,3.7133578102381604,0.1421171303190729,GC05 Arucas,M4,0.99
