Season,R2,MAE,MAPE,RMSE,Station,Model,TLPercentage
Spring,0.9880940187184208,0.21831960227497188,5.682781605371741,0.2722893145602051,A19 Villena,M4,0.99
Summer,0.9904772298209601,0.13298683079330753,2.9022432157913443,0.16929311577224915,A19 Villena,M4,0.99
Autumn,0.973901657187105,0.13019047563329286,9.73469876678075,0.16112166151012194,A19 Villena,M4,0.99
Winter,0.973265967172555,0.14018944531250002,7.56648955153212,0.17988950543371743,A19 Villena,M4,0.99
Spring,0.9891444112792392,0.22338282617164662,6.342305486547042,0.28890715257506616,AB05 Albacete,M4,0.99
Summer,0.9905361376984074,0.13286315895303727,2.565086288551308,0.17164432501003568,AB05 Albacete,M4,0.99
Autumn,0.9754857218390395,0.11393334716394406,8.784125640094583,0.14596296138195997,AB05 Albacete,M4,0.99
Winter,0.9750105500304777,0.19339350033354757,15.961821129793538,0.23833448031537502,AB05 Albacete,M4,0.99
Spring,0.9723220394461263,0.5826101992044009,13.071392365863124,0.6214218765388192,AL02 Almería,M4,0.99
Summer,0.9499065070871487,0.23408404006534939,5.524627496385662,0.2980701289549879,AL02 Almería,M4,0.99
Autumn,0.9521510277326264,0.16595090694500444,10.538263564739635,0.2079645910366588,AL02 Almería,M4,0.99
Winter,0.9175168214879516,0.22618254995817405,12.026965560235658,0.2770887416359873,AL02 Almería,M4,0.99
Spring,0.9864137255808233,0.2667719149744356,7.152999754726517,0.3115630951809405,AL12 Tíjola,M4,0.99
Summer,0.9859259465110572,0.1272479391972953,2.90122825781425,0.1780610219028816,AL12 Tíjola,M4,0.99
Autumn,0.9551974440168574,0.14772071857662764,9.08560202850249,0.18956341175027305,AL12 Tíjola,M4,0.99
Winter,0.9558660922887205,0.19882236025865796,12.613377959261124,0.24658781682358438,AL12 Tíjola,M4,0.99
Spring,0.9855912714291518,0.5488045330980541,11.993097580838679,0.5793853420990205,BA09 Villafranca de los Barros,M4,0.99
Summer,0.9774974058823926,0.20451100897876334,4.099585315130175,0.2653452294044749,BA09 Villafranca de los Barros,M4,0.99
Autumn,0.9741830248544217,0.2956177062935182,22.8234857195078,0.3284586836320485,BA09 Villafranca de los Barros,M4,0.99
Winter,0.9637623747579417,0.14581074361455185,9.014174294555808,0.19161306060744734,BA09 Villafranca de los Barros,M4,0.99
Spring,0.9789989964654563,0.17466840301287384,5.057326377429023,0.2296727253502107,BU04 Tardajos,M4,0.99
Summer,0.9835545512986301,0.1499015381480048,3.5895557326769376,0.19059532231238746,BU04 Tardajos,M4,0.99
Autumn,0.957464219711183,0.12556202637313477,13.530955511204551,0.16540449639957105,BU04 Tardajos,M4,0.99
Winter,0.9593956826704053,0.11829712660900615,11.096797612528759,0.15613850383298697,BU04 Tardajos,M4,0.99
