Season,R2,MAE,MAPE,RMSE,Station,Model,TLPercentage
Spring,0.9923149886771262,0.1465375220852762,3.5180608082667817,0.1830095492447195,A19 Villena,M4,0.99
Summer,0.9873909234590658,0.20248503432195405,4.279035227958096,0.2491517584564994,A19 Villena,M4,0.99
Autumn,0.9694356230567289,0.15822504699448525,10.745518624509993,0.19462251547254544,A19 Villena,M4,0.99
Winter,0.9592495048565788,0.21200426853179932,12.716228510994181,0.27244397716700053,A19 Villena,M4,0.99
Spring,0.9921574331721433,0.17394766197621242,4.464867602070076,0.22755602437176228,AB05 Albacete,M4,0.99
Summer,0.9882020676264777,0.2255679313530651,4.241152702561383,0.2715430001377206,AB05 Albacete,M4,0.99
Autumn,0.9612165833865571,0.19203809881647793,16.04977160184468,0.23323473842155695,AB05 Albacete,M4,0.99
Winter,0.9510834250945256,0.18745808531951902,12.150101429654406,0.2412085941214789,AB05 Albacete,M4,0.99
Spring,0.9686950270156895,0.400681849423992,8.742749260690989,0.44944001053767074,AL02 Almería,M4,0.99
Summer,0.9427265846775701,0.2372898710589312,5.677719139208547,0.30161176103943294,AL02 Almería,M4,0.99
Autumn,0.9474679149055133,0.3724989591395414,25.62402407138631,0.40706610237833973,AL02 Almería,M4,0.99
Winter,0.9161870372450973,0.256066722264989,13.554435992139593,0.3134207522644922,AL02 Almería,M4,0.99
Spring,0.9910937715237377,0.14378076602499207,4.197766741744478,0.19695463583089043,AL12 Tíjola,M4,0.99
Summer,0.9842012699852224,0.21385647457017812,4.938467735787948,0.2679339538411544,AL12 Tíjola,M4,0.99
Autumn,0.9451910109329056,0.32036331032128895,20.829839808748904,0.3641519176420616,AL12 Tíjola,M4,0.99
Winter,0.9520731710663972,0.2303378108026864,14.441755046839292,0.29098115943630476,AL12 Tíjola,M4,0.99
Spring,0.9903552355152669,0.3049151979587703,7.2656798696179274,0.3448288537946037,BA09 Villafranca de los Barros,M4,0.99
Summer,0.9713484273074581,0.22700973645234718,4.725296537534074,0.3002261469120055,BA09 Villafranca de los Barros,M4,0.99
Autumn,0.9687639011175225,0.31475637821924124,24.982060748645267,0.3477943793553958,BA09 Villafranca de los Barros,M4,0.99
Winter,0.9580359111699678,0.18831241699536458,11.642250559652956,0.2278701618130864,BA09 Villafranca de los Barros,M4,0.99
Spring,0.979743407951606,0.1590364727897459,4.65228900160154,0.20548862109405203,BU04 Tardajos,M4,0.99
Summer,0.9843503107955028,0.15767966770820688,4.032247382086516,0.1987923916945786,BU04 Tardajos,M4,0.99
Autumn,0.9497801713902024,0.274412401571485,37.148025255568,0.31340126343606,BU04 Tardajos,M4,0.99
Winter,0.9527826104178447,0.17988282490436844,21.62442263528232,0.2122124834824225,BU04 Tardajos,M4,0.99
