Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2017-01-01,3.27,-3.42,100.0,96.3,1.21,106.82870370370371,0.32
2017-01-02,5.74,-2.71,100.0,98.5,0.95,75.34722222222221,0.33
2017-01-03,12.91,-1.19,99.9,50.03,1.02,100.92592592592592,0.84
2017-01-04,11.16,0.8,98.5,75.3,2.73,96.41203703703704,0.81
2017-01-05,12.33,-0.58,100.0,58.11,1.97,121.87499999999999,1.0
2017-01-06,9.76,-4.17,100.0,75.3,1.38,106.24999999999999,0.61
2017-01-07,6.4,-4.52,100.0,88.7,1.24,73.26388888888889,0.43
2017-01-08,9.25,-5.16,97.48,58.22,0.71,98.49537037037037,0.61
2017-01-09,10.82,-3.68,94.59,42.84,0.65,124.07407407407408,0.69
2017-01-10,9.02,0.51,99.8,51.48,2.9,35.416666666666664,1.19
2017-01-11,12.56,1.44,95.0,57.44,2.58,53.47222222222222,1.25
2017-01-12,16.32,-2.08,97.5,48.2,2.22,120.71759259259258,1.55
2017-01-13,10.67,-1.0,92.3,35.97,3.2,92.47685185185185,1.69
2017-01-14,7.63,-3.5,86.6,36.25,3.01,131.94444444444443,1.5
2017-01-15,7.03,-3.23,88.9,54.41,3.55,55.43981481481481,1.23
2017-01-16,11.02,1.5,77.1,45.78,5.27,124.42129629629629,2.16
2017-01-17,9.92,-6.33,78.8,13.55,5.27,138.65740740740742,2.77
2017-01-18,3.85,-10.93,83.9,28.27,1.42,105.78703703703704,0.97
2017-01-19,2.51,-2.56,98.3,56.3,3.38,22.569444444444443,0.88
2017-01-20,4.46,-0.12,98.4,88.0,2.63,63.88888888888888,0.49
2017-01-21,6.83,1.22,95.9,62.36,2.43,64.93055555555556,0.93
2017-01-22,8.91,-1.07,95.8,55.61,3.21,96.06481481481482,1.25
2017-01-23,7.77,-0.86,94.7,62.26,1.36,104.97685185185185,0.84
2017-01-24,9.52,-1.26,91.2,43.9,2.58,125.69444444444443,1.45
2017-01-25,11.8,-2.69,92.0,37.25,1.94,143.40277777777777,1.51
2017-01-26,9.31,-3.77,95.1,43.07,1.87,92.93981481481481,1.23
2017-01-27,7.97,1.96,92.7,80.4,3.28,46.18055555555556,0.79
2017-01-28,8.58,0.88,94.2,64.09,4.92,147.56944444444443,1.34
2017-01-29,10.46,0.28,96.6,76.0,1.19,79.39814814814815,0.79
2017-01-30,13.01,2.85,96.7,74.1,1.48,91.89814814814815,0.96
2017-01-31,15.98,0.28,98.3,50.77,1.48,131.25,1.43
2017-02-01,15.71,-1.0,97.5,47.79,2.06,141.2037037037037,1.69
2017-02-02,12.56,3.24,95.0,70.7,3.23,60.41666666666666,1.17
2017-02-03,13.44,3.06,95.4,55.8,4.5,126.85185185185186,1.86
2017-02-04,13.36,8.72,91.1,66.09,6.01,109.37499999999999,1.81
2017-02-05,11.62,2.68,92.6,43.54,7.27,143.63425925925927,2.45
2017-02-06,13.84,2.51,85.0,46.72,5.36,141.89814814814815,2.51
2017-02-07,15.11,5.95,85.1,58.97,4.21,112.73148148148148,2.06
2017-02-08,9.45,0.89,78.9,37.6,4.87,167.36111111111111,2.35
2017-02-09,11.42,-2.08,86.0,32.44,1.65,136.45833333333331,1.65
2017-02-10,10.19,1.56,92.5,46.12,2.86,120.94907407407406,1.66
2017-02-11,11.01,4.73,89.2,63.74,3.36,44.675925925925924,1.36
2017-02-12,14.17,5.4,90.8,50.32,3.5,120.94907407407406,2.05
2017-02-13,11.82,5.0,93.7,60.23,3.0,93.05555555555554,1.49
2017-02-14,13.81,-1.07,97.6,43.73,1.07,175.69444444444443,1.55
2017-02-15,14.16,-1.33,97.8,50.04,2.24,165.27777777777777,1.83
2017-02-16,12.83,3.45,96.1,51.4,2.61,132.29166666666666,1.75
2017-02-17,13.82,1.7,93.9,45.22,1.53,162.73148148148147,1.74
2017-02-18,15.16,-2.68,97.9,42.17,1.43,143.5185185185185,1.73
2017-02-19,10.81,-0.18,96.3,58.65,2.54,67.01388888888889,1.32
2017-02-20,12.88,-1.0,98.5,46.65,2.05,181.94444444444443,1.86
2017-02-21,14.85,-0.39,94.3,41.85,2.16,172.22222222222223,2.13
2017-02-22,16.13,1.7,89.8,40.89,2.12,140.74074074074073,2.18
2017-02-23,17.87,5.69,93.3,53.82,1.65,107.9861111111111,1.79
2017-02-24,13.97,5.55,96.2,62.97,1.74,106.94444444444444,1.47
2017-02-25,15.17,-1.0,97.4,31.4,1.3,206.59722222222223,2.11
2017-02-26,16.77,0.48,97.9,55.01,1.17,185.06944444444443,1.87
2017-02-27,13.35,4.0,94.4,53.9,2.8,128.58796296296296,1.89
2017-02-28,14.16,4.61,84.5,52.42,4.52,133.33333333333331,2.44
2017-03-01,15.02,0.75,96.8,50.48,0.87,166.55092592592592,1.69
2017-03-02,17.99,-0.59,97.5,34.64,1.31,213.65740740740742,2.4
2017-03-03,15.85,3.18,90.2,54.5,4.37,161.6898148148148,2.54
2017-03-04,4.28,0.01,96.6,74.9,2.78,65.74074074074073,0.87
2017-03-05,12.41,-0.6,97.3,74.7,3.32,130.4398148148148,1.44
2017-03-06,16.38,6.97,93.7,58.7,3.34,171.99074074074073,2.38
2017-03-07,17.73,7.44,90.9,48.13,2.93,209.375,2.89
2017-03-08,21.02,1.57,94.5,27.6,0.97,225.46296296296296,2.66
2017-03-09,26.41,1.1,96.4,13.52,0.62,235.3009259259259,2.75
2017-03-10,25.32,1.58,91.6,22.18,0.82,239.35185185185185,2.97
2017-03-11,24.67,2.11,92.2,26.11,1.18,226.96759259259258,3.19
2017-03-12,18.34,4.73,90.8,37.15,3.27,222.56944444444443,3.41
2017-03-13,8.53,1.29,96.5,87.8,3.07,25.34722222222222,0.66
2017-03-14,14.64,2.52,96.5,55.65,3.96,191.2037037037037,2.47
2017-03-15,15.1,1.04,96.2,36.69,2.62,242.82407407407408,2.94
2017-03-16,15.43,-1.12,97.6,33.24,1.95,241.66666666666663,2.81
2017-03-17,15.64,-0.6,94.0,37.63,2.31,240.62499999999997,2.91
2017-03-18,18.79,-1.0,97.4,28.28,0.99,247.45370370370367,2.77
2017-03-19,20.62,-1.26,96.5,25.71,0.99,254.8611111111111,2.99
2017-03-20,21.36,4.33,92.5,33.83,1.79,245.60185185185182,3.47
2017-03-21,16.04,8.19,87.1,54.82,3.8,234.25925925925924,3.09
2017-03-22,14.44,4.45,91.1,39.94,3.24,186.1111111111111,2.86
2017-03-23,10.19,-2.62,93.5,38.4,2.83,247.80092592592592,2.56
2017-03-24,11.11,-4.17,95.9,34.32,1.06,243.86574074074073,2.25
2017-03-25,13.82,-3.43,97.0,38.73,2.04,229.16666666666666,2.65
2017-03-26,16.04,0.9,95.8,34.52,2.95,255.78703703703704,3.37
2017-03-27,14.96,3.66,93.5,49.7,2.28,204.62962962962962,2.63
2017-03-28,17.64,1.1,97.0,39.65,0.98,262.26851851851853,2.88
2017-03-29,19.81,-0.32,97.3,31.12,0.93,271.87499999999994,3.13
2017-03-30,18.73,5.07,94.4,33.56,3.05,253.81944444444443,3.84
2017-03-31,20.75,6.09,85.9,35.11,2.22,230.67129629629628,3.71
2017-04-01,15.98,2.44,82.9,28.1,3.45,277.5462962962963,3.96
2017-04-02,16.86,1.03,89.3,27.35,2.04,286.80555555555554,3.62
2017-04-03,17.92,-2.68,96.3,27.34,0.98,287.26851851851853,3.17
2017-04-04,20.95,-0.65,97.7,22.46,0.94,287.38425925925924,3.46
2017-04-05,17.92,0.16,96.2,31.06,1.76,281.01851851851853,3.52
2017-04-06,18.86,-0.24,96.2,29.84,1.09,291.31944444444446,3.39
2017-04-07,18.46,3.2,90.2,35.32,2.26,293.75,3.87
2017-04-08,19.67,-0.66,97.4,28.34,1.52,298.84259259259255,3.76
2017-04-09,18.73,1.64,94.6,43.5,2.3,300.69444444444446,3.77
2017-04-10,21.76,0.83,96.4,24.69,1.39,304.0509259259259,4.04
2017-04-11,24.18,1.03,96.0,20.16,0.98,304.39814814814815,4.05
2017-04-12,25.54,2.53,92.9,21.17,1.21,304.0509259259259,4.4
2017-04-13,26.14,3.6,93.2,22.93,1.14,291.8981481481481,4.32
2017-04-14,26.22,6.64,89.9,27.6,0.99,268.287037037037,4.04
2017-04-15,25.0,6.37,87.4,25.97,1.3,286.1111111111111,4.35
2017-04-16,23.38,4.08,95.8,44.17,2.28,295.4861111111111,4.35
2017-04-17,25.99,7.1,96.7,28.94,1.48,282.6388888888889,4.5
2017-04-18,27.01,6.97,89.7,24.81,1.35,292.2453703703704,4.68
2017-04-19,14.45,8.71,93.1,72.5,3.12,60.763888888888886,1.52
2017-04-20,15.71,5.08,82.8,46.04,3.96,267.5925925925926,3.73
2017-04-21,16.44,1.23,92.9,32.7,3.15,325.9259259259259,4.16
2017-04-22,18.12,1.43,95.6,44.26,2.15,294.09722222222223,3.69
2017-04-23,23.37,4.2,93.0,27.75,1.58,309.02777777777777,4.53
2017-04-24,24.79,4.35,90.0,34.83,1.36,241.2037037037037,3.93
2017-04-25,24.17,9.87,95.0,39.84,1.66,254.39814814814815,4.13
2017-04-26,18.15,10.41,85.1,45.08,2.01,133.5648148148148,2.77
2017-04-27,12.63,6.49,95.5,73.0,1.55,81.24999999999999,1.41
2017-04-28,9.13,4.87,94.5,84.7,2.21,64.81481481481481,1.04
2017-04-29,10.94,6.36,95.6,85.1,3.3,112.73148148148148,1.39
2017-04-30,17.74,7.24,95.5,44.05,3.45,316.2037037037037,4.21
2017-05-01,16.91,3.46,92.6,33.22,1.45,337.15277777777777,4.03
2017-05-02,22.29,0.89,96.7,26.32,0.84,334.9537037037037,4.24
2017-05-03,22.51,7.44,91.6,33.69,2.43,334.02777777777777,5.06
2017-05-04,24.13,7.31,77.7,33.62,2.24,268.98148148148147,4.79
2017-05-05,25.06,10.93,93.2,35.76,2.42,285.8796296296296,5.01
2017-05-06,21.75,6.09,92.7,30.84,1.7,335.0694444444444,4.73
2017-05-07,25.92,3.67,96.5,23.67,1.04,344.21296296296293,4.91
2017-05-08,28.29,6.82,90.3,22.92,1.09,336.22685185185185,5.21
2017-05-09,27.43,8.25,84.2,29.28,1.87,290.04629629629625,5.25
2017-05-10,22.23,12.56,93.1,42.61,2.01,199.76851851851853,3.69
2017-05-11,20.01,8.37,92.7,37.96,3.74,292.1296296296296,4.7
2017-05-12,19.95,7.03,92.8,45.26,2.94,295.60185185185185,4.34
2017-05-13,21.02,8.99,90.2,41.61,1.71,238.1944444444444,3.82
2017-05-14,24.65,5.29,95.6,29.35,1.1,346.6435185185185,4.91
2017-05-15,28.26,5.9,94.6,24.74,1.7,318.5185185185185,5.53
2017-05-16,29.77,10.53,81.8,19.21,1.92,301.5046296296296,6.0
