Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2017-01-01,9.75,0.32,99.6,56.87,0.94,122.56944444444444,0.74
2017-01-02,10.35,-0.09,100.0,52.34,0.78,109.49074074074075,0.74
2017-01-03,16.25,5.34,64.8,24.03,1.65,104.2824074074074,1.86
2017-01-04,15.31,6.87,87.4,47.99,1.46,100.92592592592592,1.28
2017-01-05,15.04,4.06,99.1,43.7,1.34,124.42129629629629,1.2
2017-01-06,11.49,1.86,100.0,54.25,0.98,109.72222222222221,0.85
2017-01-07,10.62,1.65,100.0,60.22,0.86,124.18981481481481,0.77
2017-01-08,12.76,0.05,100.0,28.6,0.92,128.125,1.03
2017-01-09,11.89,1.85,93.1,25.04,1.33,128.58796296296296,1.27
2017-01-10,12.1,3.46,68.65,36.05,1.88,52.43055555555556,1.63
2017-01-11,14.51,5.4,89.9,40.28,1.02,72.68518518518519,1.15
2017-01-12,17.12,5.86,81.5,41.15,1.43,129.86111111111111,1.51
2017-01-13,15.04,2.99,90.1,32.02,1.75,132.52314814814812,1.62
2017-01-14,9.69,-0.03,94.7,31.63,1.41,130.4398148148148,1.19
2017-01-15,9.42,-0.76,65.38,37.6,1.78,133.91203703703704,1.42
2017-01-16,12.16,1.79,64.76,38.13,2.16,134.1435185185185,1.75
2017-01-18,3.73,-6.39,99.2,23.52,1.14,110.87962962962962,0.92
2017-01-19,1.92,-1.77,100.0,80.4,1.38,20.023148148148145,0.47
2017-01-20,2.79,-0.36,100.0,89.7,0.49,28.819444444444446,0.44
2017-01-21,4.6,-0.02,94.8,79.3,1.87,41.898148148148145,0.62
2017-01-22,7.81,2.59,84.2,47.74,1.52,66.2037037037037,1.1
2017-01-23,11.5,1.25,87.0,40.48,1.39,103.00925925925925,1.3
2017-01-24,11.75,2.59,80.6,35.64,1.91,134.49074074074073,1.65
2017-01-25,14.44,1.85,77.4,24.5,2.18,148.37962962962962,2.17
2017-01-26,10.08,1.25,100.0,36.73,1.75,95.13888888888889,1.34
2017-01-27,9.42,0.7,100.0,53.85,1.6,73.84259259259258,1.05
2017-01-28,9.69,3.66,84.0,43.11,2.64,143.17129629629628,1.69
