Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2017-01-01,6.16,-10.37,97.1,48.23,0.75,95.60185185185185,0.42
2017-01-02,7.03,-7.76,94.2,57.68,0.46,57.060185185185176,0.39
2017-01-03,10.77,-5.15,97.8,50.9,0.61,68.40277777777777,0.51
2017-01-04,5.69,-2.14,97.4,89.5,0.62,21.874999999999996,0.39
2017-01-05,10.3,-2.01,99.4,51.44,1.03,73.49537037037037,0.65
2017-01-06,8.69,-4.68,88.9,21.03,2.32,106.24999999999999,1.41
2017-01-07,9.5,-5.49,74.1,14.13,1.92,105.32407407407406,1.41
2017-01-08,10.37,-3.14,86.9,24.79,2.51,104.05092592592592,1.53
2017-01-09,8.63,-2.01,89.8,54.59,2.36,104.74537037037037,0.91
2017-01-10,8.1,0.54,91.0,69.4,2.68,36.92129629629629,0.84
2017-01-11,13.31,-0.87,97.4,63.69,2.4,47.56944444444444,1.01
2017-01-12,9.37,-2.14,98.8,79.1,1.44,42.70833333333333,0.54
2017-01-13,4.82,-4.95,98.6,67.26,1.62,57.17592592592593,0.56
2017-01-14,3.48,-5.09,97.0,66.12,1.39,56.94444444444444,0.52
2017-01-15,5.42,-1.54,96.3,75.4,2.24,57.407407407407405,0.58
2017-01-16,7.97,2.54,86.7,74.2,2.8,50.0,0.84
2017-01-17,5.98,-3.9,99.7,42.83,2.19,92.12962962962962,0.93
2017-01-18,0.61,-6.13,90.1,55.4,1.05,114.35185185185186,0.46
2017-01-19,5.47,-10.55,94.5,47.59,0.51,118.98148148148147,0.42
2017-01-20,8.6,-6.1,95.0,49.93,0.85,65.50925925925925,0.68
2017-01-21,10.8,-5.44,100.0,42.53,0.35,99.53703703703702,0.49
2017-01-22,6.86,-6.59,97.3,55.56,0.64,86.45833333333333,0.53
2017-01-23,8.67,-2.81,97.7,46.58,0.8,115.85648148148147,0.65
2017-01-24,9.3,-6.44,99.5,37.08,1.04,127.54629629629629,0.82
2017-01-25,9.52,-8.54,93.5,31.96,0.39,129.62962962962962,0.52
2017-01-26,7.46,-7.74,92.5,45.36,1.26,69.09722222222221,0.86
2017-01-27,4.82,2.07,100.0,77.4,2.33,29.745370370370367,0.59
2017-01-28,5.96,-1.64,100.0,78.1,0.76,34.72222222222222,0.49
2017-01-29,8.67,0.8,100.0,90.5,1.03,28.935185185185183,0.49
2017-01-30,11.75,5.69,100.0,80.1,1.21,29.745370370370367,0.65
2017-02-01,7.9,-0.2,96.4,79.5,1.88,19.907407407407405,0.64
2017-02-02,7.9,2.61,95.1,73.2,5.26,38.888888888888886,0.99
2017-02-03,9.77,3.15,88.7,63.77,7.61,75.92592592592592,1.62
2017-02-04,10.18,5.35,95.5,75.2,7.9,20.25462962962963,1.14
2017-02-05,7.7,0.54,87.7,52.05,6.77,103.70370370370371,1.76
2017-02-06,10.37,2.12,93.6,75.5,3.13,42.592592592592595,0.93
2017-02-07,11.77,-0.4,96.8,59.94,2.26,73.14814814814815,1.17
2017-02-08,5.62,-2.2,93.1,59.22,1.62,98.0324074074074,0.88
2017-02-09,8.49,-2.47,97.4,49.03,0.87,107.17592592592592,0.88
2017-02-10,7.23,-1.8,92.7,58.95,1.99,81.36574074074073,1.0
2017-02-11,3.88,1.54,95.7,83.6,3.52,42.129629629629626,0.62
2017-02-12,8.57,2.41,96.7,72.6,3.08,29.62962962962963,0.89
2017-02-13,9.04,2.21,94.7,72.3,3.63,44.791666666666664,1.0
2017-02-14,10.97,1.07,96.5,57.94,1.56,115.85648148148147,1.17
2017-02-15,13.04,-0.67,96.2,50.9,1.33,126.62037037037035,1.3
2017-02-16,12.64,3.01,97.0,60.07,1.35,128.4722222222222,1.23
2017-02-17,13.24,-0.6,98.6,41.52,0.78,139.93055555555554,1.22
2017-02-18,10.23,-2.94,97.2,64.77,1.58,100.11574074074073,1.05
2017-02-19,11.17,2.28,92.3,58.34,2.97,155.90277777777777,1.6
2017-02-20,11.71,0.67,96.3,46.89,2.44,153.7037037037037,1.7
2017-02-21,13.85,0.54,95.0,50.9,2.73,144.9074074074074,1.85
2017-02-22,19.0,-2.61,98.4,23.3,0.88,165.85648148148147,1.81
2017-02-23,17.06,0.67,95.9,41.79,1.61,126.04166666666667,1.86
2017-02-24,8.61,0.62,91.2,61.02,3.62,104.86111111111111,1.42
2017-02-25,14.24,-4.33,96.3,36.5,1.07,177.8935185185185,1.66
2017-02-26,15.05,-3.81,96.9,40.18,1.04,172.80092592592592,1.66
