Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2017-01-01,1.66,-2.69,99.0,83.0,0.86,27.314814814814813,0.34
2017-01-02,5.12,-2.63,99.7,73.5,1.28,37.61574074074074,0.46
2017-01-03,9.13,-3.69,100.0,64.12,0.4,39.93055555555556,0.41
2017-01-04,11.28,-3.96,100.0,62.63,0.5,48.84259259259259,0.46
2017-01-05,8.52,-4.39,100.0,43.22,0.74,58.44907407407407,0.58
2017-01-06,8.32,-7.25,98.1,41.41,0.8,62.15277777777778,0.61
2017-01-07,9.8,-8.32,92.6,25.27,0.76,64.00462962962963,0.76
2017-01-08,10.67,-6.38,92.6,24.39,0.66,63.541666666666664,0.71
2017-01-09,11.67,-1.22,96.9,52.68,0.65,63.0787037037037,0.57
2017-01-10,9.36,2.07,99.1,72.0,1.11,15.046296296296296,0.62
2017-01-11,13.7,3.94,99.7,75.1,1.34,30.324074074074073,0.67
2017-01-12,12.71,2.0,100.0,68.97,2.27,59.72222222222222,0.83
2017-01-13,6.82,1.27,93.7,71.7,3.19,53.93518518518518,0.77
2017-01-14,6.19,0.32,99.4,72.3,2.1,78.58796296296296,0.56
2017-01-15,8.23,2.21,94.0,73.8,1.93,29.282407407407405,0.69
2017-01-16,8.97,5.48,94.8,79.8,2.85,21.759259259259256,0.72
2017-01-17,8.1,-0.67,89.3,54.86,4.4,89.4675925925926,1.33
2017-01-18,-0.22,-2.62,90.2,65.71,1.94,18.75,0.61
2017-01-19,3.54,-5.03,97.5,64.94,0.47,59.14351851851852,0.4
2017-01-20,6.46,-7.12,98.5,62.06,0.48,84.02777777777777,0.41
2017-01-21,9.6,-3.96,99.3,57.67,0.4,90.3935185185185,0.45
2017-01-22,7.83,-4.84,99.0,66.98,1.54,66.89814814814815,0.66
2017-01-23,9.61,-1.28,96.0,51.15,1.31,89.4675925925926,0.83
2017-01-24,9.53,-4.43,97.4,52.36,1.36,110.41666666666666,0.82
2017-01-25,6.99,-6.11,100.0,59.9,0.72,99.53703703703702,0.53
2017-01-26,5.28,-6.71,97.3,62.58,1.81,76.27314814814814,0.7
2017-01-27,9.23,1.94,91.7,70.6,1.37,37.03703703703704,0.73
2017-01-28,8.54,-0.95,95.6,62.25,1.85,109.37499999999999,0.85
2017-01-29,11.3,0.67,93.8,67.19,1.85,48.61111111111111,0.9
2017-01-30,13.77,8.16,88.5,72.0,1.82,36.11111111111111,0.98
2017-01-31,11.19,3.27,99.7,67.61,1.55,82.4074074074074,0.84
2017-02-01,14.64,2.33,99.7,64.37,1.36,66.89814814814815,0.95
2017-02-02,13.2,6.48,91.6,62.75,4.63,32.175925925925924,1.57
2017-02-03,12.98,6.96,79.0,54.25,5.09,63.19444444444444,2.12
2017-02-04,13.85,8.49,88.5,53.79,5.53,27.199074074074073,2.08
2017-02-05,11.57,2.46,92.4,58.26,5.4,84.60648148148147,1.7
2017-02-06,13.02,4.01,87.2,68.61,2.66,89.00462962962963,1.24
2017-02-07,10.77,2.07,97.8,72.2,2.89,24.884259259259256,0.92
2017-02-08,7.69,0.26,95.7,68.55,2.6,69.67592592592592,0.91
2017-02-09,10.5,-2.42,99.4,46.39,1.01,96.29629629629629,0.98
2017-02-10,8.91,0.49,93.3,66.55,1.69,91.89814814814815,0.94
2017-02-11,6.62,1.33,98.3,80.3,0.57,16.550925925925924,0.52
2017-02-12,9.71,4.35,98.3,73.2,4.73,18.171296296296298,0.98
2017-02-13,11.91,6.16,95.1,66.57,3.7,63.88888888888888,1.3
2017-02-14,10.22,0.86,98.0,74.8,1.73,116.89814814814814,0.96
2017-02-15,11.56,0.32,100.0,69.97,1.03,89.12037037037037,0.89
2017-02-16,12.35,0.46,100.0,69.89,0.55,85.30092592592592,0.82
2017-02-17,13.76,0.26,100.0,64.84,0.4,81.01851851851852,0.81
2017-02-18,15.21,-2.22,100.0,52.33,1.03,115.04629629629629,1.25
2017-02-19,13.77,2.87,97.7,58.14,1.06,77.31481481481481,1.11
2017-02-20,14.34,1.2,97.6,50.24,1.08,145.60185185185185,1.4
2017-02-21,14.94,-0.41,100.0,55.95,0.89,142.59259259259258,1.29
2017-02-22,15.82,1.2,100.0,54.62,0.62,117.70833333333333,1.17
2017-02-23,16.1,0.87,100.0,51.26,0.5,119.56018518518518,1.17
2017-02-24,9.83,1.67,97.9,66.63,2.0,77.31481481481481,1.08
2017-02-25,19.09,-3.56,99.6,28.74,0.64,178.81944444444443,1.64
2017-02-26,17.55,-1.41,99.1,42.57,0.66,173.0324074074074,1.56
2017-02-27,15.57,2.34,95.2,45.89,5.1,141.89814814814815,2.62
2017-02-28,12.91,1.0,96.5,56.74,5.11,89.35185185185185,1.9
2017-03-01,14.03,-1.21,100.0,58.06,2.31,97.56944444444444,1.53
2017-03-02,16.37,5.75,91.2,50.71,2.07,160.18518518518516,2.09
2017-03-03,14.64,3.0,98.0,43.23,2.28,80.43981481481481,1.84
2017-03-04,11.16,2.07,90.9,44.7,3.33,158.5648148148148,2.1
2017-03-05,13.51,6.09,95.5,60.89,3.54,81.94444444444444,1.68
2017-03-06,18.7,4.21,93.7,34.59,4.47,184.72222222222223,3.52
2017-03-07,17.97,5.62,95.3,44.87,2.0,112.15277777777777,2.12
2017-03-08,21.83,1.94,100.0,36.46,0.68,190.27777777777777,2.1
2017-03-09,25.57,2.87,100.0,22.55,0.94,170.37037037037038,2.62
2017-03-10,26.63,0.67,98.9,21.27,1.01,215.3935185185185,3.0
2017-03-11,22.84,2.54,95.5,31.69,1.64,148.14814814814815,2.8
2017-03-12,12.57,4.88,92.7,64.56,2.34,61.574074074074076,1.36
2017-03-13,9.23,5.09,93.4,71.7,3.47,56.01851851851851,1.18
2017-03-14,13.97,1.67,97.5,66.67,2.31,103.70370370370371,1.52
2017-03-15,19.56,2.01,98.5,42.91,0.66,169.3287037037037,1.98
2017-03-16,20.16,-0.01,100.0,34.51,0.86,204.97685185185185,2.35
2017-03-17,21.22,-0.07,97.8,30.88,0.97,220.94907407407405,2.62
2017-03-18,18.49,1.67,97.2,41.7,1.12,204.97685185185185,2.4
2017-03-19,20.63,-0.34,98.7,37.6,1.09,220.60185185185182,2.62
2017-03-20,19.43,5.48,98.3,50.97,1.26,190.50925925925927,2.35
2017-03-21,10.97,4.01,95.6,70.9,0.8,47.56944444444444,0.93
2017-03-22,11.5,2.6,97.5,54.12,2.76,99.07407407407408,1.7
2017-03-23,9.42,-2.55,93.1,43.9,2.52,168.63425925925927,1.99
2017-03-24,12.68,-4.96,97.2,30.64,1.07,210.41666666666666,2.13
2017-03-25,5.63,2.4,98.2,62.45,2.29,31.712962962962965,0.94
2017-03-26,15.11,3.68,97.4,53.9,2.46,166.89814814814815,2.26
2017-03-27,14.64,6.56,96.9,50.61,2.05,163.65740740740742,2.25
2017-03-28,17.57,3.47,99.4,40.03,1.64,251.27314814814815,2.98
2017-03-29,22.1,0.67,99.5,32.9,1.28,247.68518518518516,3.25
2017-03-30,20.7,3.68,98.5,49.22,1.52,220.13888888888889,2.92
2017-03-31,18.31,7.36,95.7,34.8,2.09,188.0787037037037,3.03
2017-04-01,14.09,4.81,95.3,47.31,2.99,201.7361111111111,2.67
2017-04-02,11.77,-0.41,97.2,64.74,2.04,129.2824074074074,1.65
2017-04-03,19.16,-2.02,99.6,37.13,0.76,264.6990740740741,2.79
2017-04-04,14.43,1.47,97.5,52.89,1.55,154.74537037037035,2.06
2017-04-05,11.17,4.81,94.4,76.0,1.85,64.81481481481481,1.16
2017-04-06,15.36,1.33,95.9,51.81,2.21,229.2824074074074,2.75
2017-04-07,21.17,-1.68,99.3,40.76,0.8,275.81018518518516,3.09
2017-04-08,22.9,1.34,97.9,34.17,1.22,273.6111111111111,3.61
2017-04-09,24.1,4.28,87.8,27.52,1.11,279.0509259259259,3.82
2017-04-10,25.43,1.4,96.8,25.51,1.14,283.912037037037,3.97
2017-04-11,20.57,2.28,98.7,32.97,1.46,254.39814814814815,3.44
2017-04-12,24.71,-0.07,99.6,19.2,0.8,273.9583333333333,3.58
