Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2017-01-01,6.75,-2.23,99.7,73.7,1.17,21.990740740740737,0.51
2017-01-02,10.7,5.15,90.6,51.66,3.44,39.12037037037037,1.39
2017-01-03,14.09,7.64,95.5,56.5,2.15,52.08333333333333,1.09
2017-01-04,14.95,7.88,96.0,69.19,0.89,63.657407407407405,0.58
2017-01-05,14.34,3.13,99.0,56.29,1.18,78.00925925925925,0.71
2017-01-06,14.68,2.0,96.4,54.73,1.08,87.38425925925925,0.7
2017-01-07,14.61,2.01,84.3,33.25,1.2,90.3935185185185,1.02
2017-01-08,14.68,0.6,85.1,32.85,0.75,90.16203703703704,0.72
2017-01-09,13.68,-0.75,93.6,43.06,0.7,77.31481481481481,0.63
2017-01-10,7.35,5.34,98.6,92.2,1.36,18.98148148148148,0.42
2017-01-11,8.61,5.4,99.3,89.7,0.9,25.810185185185183,0.43
2017-01-12,6.54,-1.24,100.0,88.4,1.68,12.962962962962964,0.43
2017-01-13,4.94,-2.63,99.4,79.4,1.21,48.61111111111111,0.41
2017-01-14,5.92,-3.58,100.0,73.6,0.73,67.59259259259258,0.38
2017-01-15,4.92,-1.97,100.0,81.5,0.84,40.856481481481474,0.39
2017-01-16,8.28,-0.56,98.5,76.4,1.04,56.01851851851851,0.49
2017-01-17,9.94,-0.36,99.1,59.24,1.48,64.35185185185185,0.76
2017-01-18,5.39,0.33,72.3,47.41,2.64,97.4537037037037,1.16
2017-01-19,4.61,-1.96,86.0,62.9,1.48,55.43981481481481,0.66
2017-01-20,9.66,-3.29,89.2,40.8,1.38,103.58796296296295,0.91
2017-01-21,11.6,-1.22,95.3,48.18,0.94,99.30555555555556,0.74
2017-01-22,8.81,-3.97,99.7,64.27,1.08,81.24999999999999,0.6
2017-01-23,9.32,-4.57,100.0,51.2,0.98,98.72685185185183,0.68
2017-01-24,11.87,-4.11,99.8,39.78,0.89,102.66203703703702,0.81
2017-01-25,11.47,-2.28,97.4,36.03,1.06,101.27314814814814,0.92
2017-01-26,8.63,4.54,96.9,68.43,3.3,36.80555555555556,0.93
2017-01-27,5.81,1.8,96.6,83.8,2.13,34.49074074074074,0.54
2017-01-28,7.94,1.46,99.1,79.0,2.04,45.254629629629626,0.62
2017-01-29,8.21,4.86,98.1,83.5,3.43,29.513888888888886,0.64
2017-01-30,8.75,5.19,98.3,80.9,4.1,19.212962962962962,0.72
2017-01-31,8.36,4.39,97.2,77.1,2.87,32.407407407407405,0.75
2017-02-01,8.61,3.18,98.0,75.6,3.98,40.16203703703704,0.84
2017-02-02,8.76,2.86,95.4,76.6,4.88,42.129629629629626,0.91
2017-02-03,8.36,1.37,98.8,67.33,6.11,25.115740740740737,1.13
2017-02-04,8.1,1.23,100.0,71.6,4.12,7.291666666666666,0.88
2017-02-05,7.16,1.73,95.0,66.79,2.99,60.53240740740741,0.94
2017-02-06,6.74,2.64,99.1,88.4,3.48,20.833333333333332,0.51
2017-02-07,4.39,-0.76,99.5,71.0,1.57,76.1574074074074,0.65
2017-02-08,7.67,-4.11,99.8,58.36,0.81,81.82870370370371,0.72
2017-02-09,10.03,1.66,92.1,40.14,3.09,71.41203703703704,1.66
2017-02-10,9.41,2.13,90.2,52.3,2.69,112.73148148148148,1.38
2017-02-11,10.08,2.47,92.1,66.87,2.5,107.87037037037037,1.13
2017-02-12,9.03,3.01,92.8,74.1,3.03,38.657407407407405,0.93
2017-02-13,8.43,3.67,93.3,79.0,2.76,52.89351851851852,0.83
2017-02-14,8.7,4.41,97.5,76.8,3.04,45.37037037037037,0.84
2017-02-15,13.88,3.66,96.8,60.53,1.52,102.54629629629629,1.22
2017-02-16,16.67,4.74,90.2,44.92,0.88,135.76388888888889,1.38
2017-02-17,16.15,3.28,94.5,38.95,0.93,142.59259259259258,1.43
2017-02-18,8.82,2.13,98.6,74.4,1.15,68.63425925925925,0.79
2017-02-19,13.87,2.2,96.4,55.55,1.58,139.58333333333334,1.43
2017-02-20,15.28,1.26,97.1,61.42,1.6,141.31944444444446,1.43
2017-02-21,15.54,4.14,95.6,62.53,1.39,150.9259259259259,1.46
2017-02-22,19.55,1.39,97.7,32.37,0.97,158.21759259259258,1.8
2017-02-23,9.05,1.18,99.6,76.0,1.48,85.64814814814815,0.86
2017-02-24,10.93,1.05,96.4,59.49,1.83,141.4351851851852,1.36
2017-02-25,14.01,3.14,91.2,56.77,2.09,158.33333333333331,1.72
2017-02-26,9.35,4.06,97.9,80.1,2.42,48.958333333333336,0.82
2017-02-27,8.55,3.94,97.2,66.58,3.93,45.254629629629626,1.14
2017-02-28,7.87,3.67,97.4,74.2,3.12,58.91203703703703,0.94
2017-03-01,8.48,3.32,97.6,79.3,3.45,61.111111111111114,0.89
2017-03-02,9.41,3.72,96.4,70.9,3.22,65.27777777777777,1.11
2017-03-03,7.49,-1.02,97.7,74.1,2.35,37.61574074074074,0.8
2017-03-04,7.67,-0.96,97.4,58.3,2.48,99.7685185185185,1.25
2017-03-05,6.39,3.31,99.0,82.9,3.01,35.416666666666664,0.68
2017-03-06,10.31,2.43,98.7,57.24,2.26,135.06944444444443,1.51
2017-03-07,6.45,-0.5,99.7,83.1,1.74,60.99537037037036,0.73
2017-03-08,13.06,-0.98,99.2,54.4,0.9,148.49537037037035,1.43
2017-03-09,20.42,0.38,98.6,37.39,1.11,189.23611111111111,2.3
2017-03-10,22.9,9.3,77.3,29.2,1.77,189.58333333333331,3.22
2017-03-11,13.4,1.58,97.4,57.04,2.15,46.75925925925926,1.38
2017-03-12,6.26,0.36,99.2,71.6,2.73,106.94444444444444,1.07
2017-03-13,10.26,1.8,92.1,44.75,2.56,172.80092592592592,2.01
2017-03-14,14.08,5.42,84.8,58.72,3.26,194.79166666666663,2.36
2017-03-15,20.09,4.01,88.9,26.52,1.59,203.00925925925924,2.93
2017-03-16,21.42,5.07,96.8,30.88,1.63,199.65277777777777,2.98
2017-03-17,17.55,0.58,97.8,48.41,1.51,203.125,2.33
2017-03-18,18.42,0.18,97.5,40.09,1.12,205.32407407407405,2.35
