Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2017-01-01,4.15,-2.86,97.7,96.9,0.79,47.91666666666666,0.34
2017-01-02,10.05,0.45,98.0,69.07,1.06,67.59259259259258,0.63
2017-01-03,14.0,2.61,96.0,52.75,0.66,82.4074074074074,0.72
2017-01-04,14.24,7.76,96.6,70.81,0.69,55.78703703703704,0.68
2017-01-05,12.69,0.67,97.5,67.84,0.73,83.33333333333333,0.64
2017-01-06,12.07,-1.95,98.0,54.71,0.84,112.38425925925927,0.71
2017-01-07,8.12,-2.94,97.6,84.8,0.74,65.625,0.45
2017-01-08,3.9,-2.69,98.3,96.4,0.66,55.78703703703704,0.36
2017-01-09,13.32,-4.01,97.4,40.58,0.71,119.0972222222222,0.79
2017-01-10,10.68,-1.68,96.6,63.32,0.86,70.7175925925926,0.68
2017-01-11,17.2,1.69,94.7,48.08,1.33,115.16203703703702,1.2
2017-01-12,16.13,-0.06,97.2,54.15,1.14,113.54166666666667,1.02
2017-01-13,11.03,0.1,95.6,38.49,1.87,90.27777777777777,1.25
2017-01-14,9.22,-1.41,85.8,39.01,1.61,124.88425925925924,1.12
2017-01-15,10.74,-3.95,93.7,40.23,1.58,113.54166666666667,1.15
2017-01-16,13.31,-3.27,93.8,41.2,1.75,126.27314814814814,1.34
2017-01-17,12.59,-1.48,76.78,23.28,2.71,129.74537037037038,2.04
2017-01-18,6.12,-5.06,73.33,23.33,1.84,134.02777777777777,1.29
2017-01-19,7.34,-0.37,82.3,37.08,2.5,81.48148148148148,1.41
2017-01-20,9.11,0.07,93.9,65.47,2.8,75.46296296296295,1.02
2017-01-21,11.37,-2.43,96.4,52.9,1.11,106.71296296296296,0.93
2017-01-22,12.69,-4.25,95.3,32.25,1.42,134.9537037037037,1.34
2017-01-23,12.07,-3.81,94.9,36.92,0.96,129.86111111111111,1.05
2017-01-24,13.22,-3.74,94.2,32.38,1.01,137.2685185185185,1.18
2017-01-25,11.85,-4.62,95.5,34.56,1.07,139.69907407407408,1.14
2017-01-26,9.8,-3.13,93.2,64.28,1.64,65.85648148148148,0.91
2017-01-27,8.42,4.12,94.2,68.54,2.99,48.148148148148145,0.99
2017-01-28,10.43,0.96,94.2,63.53,1.73,123.95833333333334,1.05
2017-01-29,11.59,4.52,96.5,77.18,0.57,49.18981481481481,0.68
2017-01-30,12.42,4.02,97.0,77.14,0.67,46.52777777777777,0.71
2017-01-31,15.67,3.11,97.6,54.5,0.69,87.49999999999999,0.99
2017-02-01,11.05,2.03,96.3,85.0,1.23,27.430555555555554,0.63
2017-02-02,14.29,5.8,95.9,66.12,3.44,48.263888888888886,1.36
2017-02-03,12.63,6.11,92.3,67.04,3.91,59.49074074074073,1.38
