Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2017-01-01,21.1,14.33,57.42,33.64,1.54,169.21296296296293,2.72
2017-01-02,22.01,12.72,61.67,19.96,1.12,170.25462962962962,2.43
2017-01-03,22.17,14.54,73.2,25.55,1.26,166.2037037037037,2.53
2017-01-04,22.31,14.74,81.4,28.4,0.87,169.44444444444443,2.18
2017-01-05,21.56,14.27,75.3,16.74,1.55,79.2824074074074,2.6
2017-01-06,23.02,13.73,59.78,7.93,1.74,179.39814814814815,3.38
2017-01-07,23.3,15.87,35.91,8.47,3.62,177.3148148148148,5.45
2017-01-08,20.27,15.8,62.25,19.08,4.23,114.2361111111111,4.55
2017-01-09,21.97,14.07,89.0,32.83,3.27,170.48611111111111,3.5
2017-01-10,17.18,13.67,89.2,68.19,1.43,94.44444444444444,1.5
2017-01-11,17.98,14.5,96.6,64.03,1.47,56.8287037037037,1.32
2017-01-12,17.98,14.25,96.7,62.95,1.92,91.31944444444444,1.62
2017-01-13,19.65,15.53,67.25,22.92,3.56,152.77777777777777,4.02
2017-01-14,18.05,13.8,83.7,31.46,2.25,103.125,2.54
2017-01-15,17.06,13.78,92.3,57.0,1.95,80.20833333333333,1.7
2017-01-16,18.63,13.93,79.8,50.57,2.81,147.4537037037037,2.68
2017-01-17,19.57,13.53,82.0,38.15,2.41,179.62962962962962,2.96
2017-01-18,17.64,12.86,80.9,48.26,1.34,87.84722222222221,1.8
2017-01-19,17.76,13.66,90.0,57.75,1.66,114.4675925925926,1.85
2017-01-20,18.05,13.4,86.6,66.23,1.1,119.67592592592592,1.67
2017-01-21,18.29,14.07,93.4,68.03,1.59,132.0601851851852,1.79
2017-01-22,17.69,13.33,92.8,53.86,1.74,163.88888888888889,2.16
2017-01-23,16.79,13.33,96.4,69.94,1.36,73.0324074074074,1.31
2017-01-24,17.51,14.0,85.7,60.51,1.42,146.0648148148148,1.99
2017-01-25,16.9,13.46,75.6,59.86,1.41,76.1574074074074,1.68
2017-01-26,19.28,12.0,95.8,44.72,1.08,198.61111111111111,2.31
2017-01-27,18.05,14.39,96.3,73.9,0.82,51.73611111111111,1.08
2017-01-28,17.63,13.87,83.9,58.78,1.54,151.62037037037035,2.12
2017-01-29,17.91,13.46,79.0,63.29,1.22,99.30555555555556,1.72
2017-01-30,17.04,14.07,82.4,68.44,1.15,81.82870370370371,1.5
2017-01-31,18.63,13.73,85.9,66.44,1.53,120.71759259259258,1.89
2017-02-01,17.44,13.77,93.5,66.04,1.54,103.81944444444444,1.67
2017-02-02,18.24,13.67,93.0,69.45,0.8,113.0787037037037,1.58
2017-02-03,19.95,14.34,90.5,61.12,1.14,173.0324074074074,2.23
2017-02-04,18.75,13.4,86.3,59.82,1.36,193.5185185185185,2.4
2017-02-05,19.97,14.4,88.5,61.39,1.52,157.75462962962962,2.27
2017-02-06,18.43,14.99,91.3,67.41,1.21,134.02777777777777,1.9
2017-02-07,18.04,15.52,87.0,71.5,1.35,141.08796296296296,1.97
2017-02-08,18.51,14.92,84.6,64.88,1.52,181.5972222222222,2.39
2017-02-09,18.51,14.12,90.8,60.31,1.28,172.68518518518516,2.26
2017-02-10,15.99,13.6,97.6,61.97,1.72,56.13425925925925,1.4
2017-02-11,18.97,12.4,94.2,60.74,1.34,133.5648148148148,1.99
2017-02-13,17.9,12.67,77.1,61.0,1.51,125.34722222222221,2.1
2017-02-14,18.95,12.93,76.0,49.39,1.39,178.24074074074073,2.6
2017-02-15,19.82,12.6,94.1,50.96,1.5,147.22222222222223,2.33
2017-02-16,19.89,13.78,95.3,54.63,1.17,207.29166666666666,2.63
2017-02-17,24.11,14.0,96.0,25.04,1.3,222.91666666666669,3.37
2017-02-18,18.42,14.94,92.4,70.2,1.65,148.95833333333331,2.12
2017-02-19,18.24,13.33,96.6,63.41,1.96,98.84259259259258,1.85
2017-02-20,17.97,13.06,96.6,56.85,2.47,161.57407407407408,2.47
2017-02-21,16.72,13.71,95.5,66.75,2.34,77.43055555555556,1.66
2017-02-22,18.45,14.59,91.2,71.0,2.17,110.41666666666666,1.93
2017-02-23,18.1,14.32,91.6,68.24,1.34,141.66666666666666,2.06
2017-02-24,18.1,14.05,87.4,65.56,1.59,89.12037037037037,1.8
2017-02-25,18.03,14.66,82.7,58.55,1.56,153.81944444444443,2.43
2017-02-26,18.24,13.8,91.5,55.63,1.74,107.29166666666666,2.09
2017-02-27,17.24,14.18,76.9,58.38,1.74,109.72222222222221,2.21
2017-02-28,18.58,14.59,84.7,62.82,2.02,107.75462962962963,2.17
2017-03-01,17.5,14.25,87.6,73.3,2.07,139.2361111111111,2.14
2017-03-02,17.85,14.79,88.9,76.2,2.1,104.51388888888887,1.84
2017-03-03,17.78,13.93,94.6,61.54,2.64,127.31481481481481,2.27
2017-03-04,18.58,13.19,91.8,54.89,1.9,181.71296296296293,2.72
2017-03-05,18.1,15.33,93.2,77.5,1.83,115.97222222222221,1.85
2017-03-06,18.99,15.53,92.8,78.6,1.61,79.86111111111111,1.54
2017-03-07,19.03,14.86,97.6,80.3,1.58,213.54166666666666,2.61
2017-03-08,29.35,13.98,99.0,17.65,1.98,258.5648148148148,5.09
2017-03-09,33.48,18.96,57.14,11.33,2.01,267.3611111111111,6.12
2017-03-10,32.36,22.12,36.8,9.86,2.12,256.25,6.32
2017-03-11,29.16,18.2,68.08,12.95,2.81,271.06481481481484,6.23
2017-03-12,20.72,15.66,87.7,38.17,1.83,187.1527777777778,3.32
2017-03-13,18.63,15.19,86.5,65.61,2.23,147.56944444444443,2.52
2017-03-14,18.26,14.59,79.5,49.12,2.32,168.05555555555554,3.08
2017-03-15,18.76,13.14,79.3,57.49,1.42,214.69907407407408,3.03
2017-03-16,19.28,14.72,90.6,59.42,2.01,262.73148148148147,3.49
2017-03-17,18.91,13.4,94.4,64.41,1.66,205.20833333333331,2.81
2017-03-18,18.45,13.26,90.5,55.5,1.49,149.53703703703704,2.46
2017-03-19,17.71,12.72,92.4,70.8,1.31,94.44444444444444,1.72
2017-03-20,18.97,14.86,90.8,63.33,2.25,186.68981481481478,2.86
2017-03-21,17.69,13.8,81.9,65.75,1.85,133.10185185185185,2.35
2017-03-22,17.98,14.59,85.8,54.82,2.32,139.69907407407408,2.69
2017-03-23,16.86,13.18,90.2,54.12,2.8,115.97222222222221,2.47
2017-03-24,17.24,12.49,90.1,56.42,2.08,158.21759259259258,2.59
2017-03-25,17.1,11.32,93.6,56.77,1.65,186.68981481481478,2.66
2017-03-26,18.5,11.87,78.2,54.0,1.28,250.23148148148147,3.36
2017-03-27,19.1,13.87,87.0,65.76,1.18,225.57870370370367,3.07
2017-03-28,19.23,12.66,87.3,53.26,1.85,303.4722222222222,3.96
2017-03-29,18.74,13.33,88.1,68.65,1.42,297.68518518518516,3.69
2017-03-30,19.55,13.13,88.0,53.03,1.13,293.40277777777777,3.83
2017-03-31,19.95,14.54,91.3,51.61,1.4,269.44444444444446,3.75
2017-04-01,23.7,15.8,90.3,47.72,2.58,280.2083333333333,4.55
2017-04-02,20.18,15.46,93.8,74.9,1.35,177.3148148148148,2.62
2017-04-03,20.48,15.26,92.8,68.2,1.15,237.15277777777774,3.28
2017-04-04,19.89,14.74,89.3,69.89,1.29,231.0185185185185,3.21
2017-04-05,20.29,14.88,90.7,68.03,1.41,197.2222222222222,2.92
2017-04-06,19.49,14.72,83.7,59.89,1.94,242.93981481481478,3.56
2017-04-07,19.64,14.66,84.6,59.96,1.91,243.40277777777777,3.57
2017-04-08,20.22,14.92,83.3,56.46,1.53,233.44907407407408,3.52
2017-04-09,20.83,14.67,85.4,56.66,1.17,243.287037037037,3.53
2017-04-10,19.44,14.4,86.6,69.65,1.38,161.45833333333331,2.59
2017-04-11,21.63,15.21,86.9,49.21,1.42,256.71296296296293,3.9
2017-04-12,21.62,15.19,93.9,52.63,1.44,306.48148148148147,4.29
2017-04-13,21.5,14.92,91.8,49.41,1.94,312.38425925925924,4.47
2017-04-14,20.85,14.66,89.9,50.89,2.24,305.78703703703707,4.43
2017-04-15,26.3,15.19,92.8,21.07,3.16,261.4583333333333,5.77
2017-04-16,32.21,18.45,60.88,10.59,3.21,263.77314814814815,7.57
2017-04-17,30.94,19.13,79.8,12.29,1.49,323.9583333333333,6.04
