Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2017-01-01,19.84,12.78,66.44,20.96,4.0,169.5601851851852,4.19
2017-01-02,20.64,13.51,68.52,28.26,2.69,159.83796296296296,3.33
2017-01-03,21.91,14.38,58.67,21.08,3.29,164.46759259259258,4.23
2017-01-04,22.65,11.84,64.9,22.09,2.17,174.88425925925924,3.38
2017-01-05,20.79,9.31,80.1,22.83,1.09,97.91666666666667,2.04
2017-01-06,22.45,10.04,82.7,10.98,2.17,174.99999999999997,3.41
2017-01-07,21.98,12.11,70.5,29.12,2.7,177.8935185185185,3.49
2017-01-08,21.78,15.72,65.16,36.08,3.74,154.74537037037035,4.03
2017-01-09,20.91,13.45,75.4,39.29,2.69,165.85648148148147,3.12
2017-01-10,19.97,14.58,76.4,59.71,3.09,174.53703703703704,2.79
2017-01-11,19.72,14.65,77.1,56.9,3.38,66.66666666666666,2.47
2017-01-12,20.98,16.65,77.8,33.8,3.14,143.5185185185185,3.46
2017-01-13,19.44,13.18,70.7,31.8,2.66,168.75,3.22
2017-01-14,20.31,16.24,76.7,53.02,3.86,120.94907407407406,3.09
2017-01-15,18.71,15.98,72.4,48.54,3.45,103.70370370370371,2.97
2017-01-16,19.91,15.78,79.3,34.27,3.99,182.75462962962962,3.83
2017-01-17,19.84,14.58,80.4,52.14,2.94,181.36574074074073,2.93
2017-01-18,19.72,13.45,64.16,40.7,1.71,67.47685185185185,2.31
2017-01-19,19.97,12.51,77.4,42.97,2.27,145.94907407407405,2.74
2017-01-20,19.5,11.51,87.9,46.39,1.68,132.98611111111111,2.2
2017-01-21,20.17,9.7,91.6,46.32,2.24,155.4398148148148,2.52
2017-01-22,19.91,11.57,77.9,38.09,2.28,154.05092592592592,2.86
2017-01-23,18.98,10.97,85.6,60.75,1.73,83.79629629629629,1.76
2017-01-24,19.91,13.78,70.4,45.65,3.07,183.10185185185185,3.33
2017-01-25,19.04,12.51,72.6,51.07,2.54,189.46759259259258,2.91
2017-01-26,21.24,7.77,86.5,43.71,1.65,189.81481481481478,2.62
2017-01-27,20.51,13.84,83.6,57.03,2.13,119.56018518518518,2.3
2017-01-28,20.58,13.18,76.7,42.77,2.57,157.98611111111111,3.06
2017-01-29,19.71,14.78,75.2,56.49,2.73,157.52314814814812,2.83
2017-01-30,21.18,14.31,79.1,56.22,2.54,180.90277777777777,2.93
2017-01-31,20.84,14.05,84.7,47.73,2.35,147.1064814814815,2.77
2017-02-01,19.92,13.17,74.1,45.72,2.55,167.36111111111111,3.06
2017-02-02,19.91,9.56,85.5,57.83,1.45,118.28703703703704,1.98
2017-02-03,21.18,11.04,89.4,57.9,2.02,196.64351851851848,2.68
2017-02-04,20.98,12.97,87.3,51.14,2.43,211.92129629629628,3.07
2017-02-05,21.98,14.85,81.1,58.17,3.44,207.29166666666666,3.4
2017-02-06,21.31,15.38,85.2,59.5,2.75,186.22685185185185,2.96
2017-02-07,24.78,11.91,89.1,26.97,2.04,218.86574074074073,3.77
2017-02-08,20.37,14.18,86.7,55.76,2.76,183.10185185185185,2.93
2017-02-09,21.24,11.37,83.3,46.32,2.52,215.04629629629628,3.31
2017-02-10,19.39,12.85,85.9,50.28,2.77,121.99074074074072,2.64
2017-02-11,20.71,14.84,85.6,55.69,3.45,189.58333333333331,3.23
2017-02-12,21.26,12.64,84.7,54.16,4.87,171.6435185185185,3.52
2017-02-13,20.71,8.91,89.9,45.45,1.22,188.65740740740742,2.55
2017-02-14,19.77,8.71,89.8,51.94,1.56,214.0046296296296,2.71
2017-02-15,20.98,11.57,88.7,51.07,1.3,114.93055555555554,2.12
2017-02-16,25.12,15.98,85.1,21.29,2.81,234.60648148148147,4.74
2017-02-17,26.52,20.13,48.27,21.75,4.6,227.3148148148148,6.97
2017-02-18,22.45,16.98,67.83,35.49,4.4,232.0601851851852,5.12
2017-02-19,20.44,15.38,82.8,44.58,3.18,129.51388888888889,3.21
2017-02-20,20.12,12.78,83.4,51.48,3.02,198.72685185185185,3.3
2017-02-21,19.78,14.18,83.6,55.5,2.56,181.0185185185185,2.98
2017-02-22,20.44,14.85,86.0,55.15,2.77,194.67592592592592,3.18
2017-02-23,20.78,14.45,85.7,48.13,2.34,206.3657407407407,3.31
2017-02-24,20.18,13.25,82.5,51.14,2.19,122.33796296296296,2.63
2017-02-25,21.11,15.51,77.6,44.31,3.02,212.03703703703704,3.88
2017-02-26,20.31,15.52,69.23,47.79,3.4,211.1111111111111,4.01
2017-02-27,20.31,15.18,69.3,52.28,3.94,235.87962962962962,4.19
2017-02-28,21.11,15.45,77.7,56.09,4.3,206.25,3.89
2017-03-01,20.84,15.71,80.7,58.03,4.8,220.25462962962962,3.92
2017-03-02,24.72,16.18,82.8,41.83,3.82,243.05555555555554,4.85
2017-03-03,21.71,14.98,77.4,45.18,3.96,154.97685185185185,3.94
2017-03-04,21.58,13.25,76.5,43.91,3.4,221.875,4.15
2017-03-05,21.51,16.71,79.1,54.48,4.3,192.36111111111111,3.95
2017-03-06,21.85,16.78,83.8,60.44,5.36,195.37037037037035,3.86
2017-03-07,24.85,16.65,84.9,42.77,3.33,213.88888888888889,4.47
2017-03-08,29.2,16.85,86.2,26.57,3.39,265.97222222222223,6.0
2017-03-09,32.67,16.78,76.9,13.32,2.47,264.6990740740741,6.24
2017-03-10,32.13,19.59,32.2,13.18,1.7,242.82407407407408,5.5
2017-03-11,31.6,21.13,47.26,13.18,3.65,271.06481481481484,7.89
2017-03-12,23.12,16.91,74.7,43.65,6.35,262.61574074074076,5.68
2017-03-13,21.18,16.11,76.0,51.67,6.45,266.8981481481481,5.02
2017-03-14,21.18,13.91,63.69,38.89,3.08,222.2222222222222,4.46
2017-03-15,20.98,12.24,75.8,42.44,2.34,200.8101851851852,3.66
2017-03-16,21.38,14.11,77.3,36.81,2.03,197.45370370370367,3.68
2017-03-17,21.45,12.85,81.4,43.57,2.21,240.50925925925927,3.88
2017-03-18,19.1,10.97,85.1,49.13,1.2,133.21759259259258,2.36
2017-03-19,19.57,11.98,86.3,57.36,2.29,87.49999999999999,2.27
2017-03-20,21.91,15.11,82.2,52.07,3.55,214.69907407407408,4.02
2017-03-21,20.78,15.44,66.82,46.85,3.74,189.0046296296296,4.29
2017-03-22,21.18,15.98,70.8,46.05,4.04,225.3472222222222,4.64
2017-03-23,20.25,15.17,67.47,36.14,3.42,207.9861111111111,4.54
2017-03-24,18.84,14.11,70.1,47.0,3.47,158.33333333333331,3.69
2017-03-25,19.04,11.84,71.5,43.12,2.48,199.537037037037,3.64
2017-03-26,20.84,8.76,77.8,42.9,1.55,251.1574074074074,3.67
2017-03-27,21.91,13.91,78.6,48.93,2.5,229.16666666666666,3.97
2017-03-28,21.85,15.11,76.9,44.31,3.6,302.662037037037,5.05
2017-03-29,22.91,14.91,79.6,40.5,2.48,304.6296296296296,4.88
2017-03-30,26.52,15.65,79.5,29.71,4.0,289.0046296296296,6.26
2017-03-31,26.32,19.72,58.44,23.56,6.41,259.375,8.17
2017-04-01,24.98,18.19,77.1,31.45,4.63,274.18981481481484,6.24
2017-04-02,26.91,18.25,78.3,43.9,2.96,277.1990740740741,5.42
2017-04-03,25.12,15.71,69.3,29.85,5.08,305.324074074074,6.8
2017-04-04,25.12,16.24,77.4,37.01,3.55,306.9444444444444,5.82
2017-04-05,25.99,15.91,77.1,37.95,3.31,308.68055555555554,5.85
2017-04-06,21.91,15.71,75.2,50.27,4.09,311.4583333333333,5.19
2017-04-07,22.32,15.91,75.1,48.93,4.18,314.93055555555554,5.35
2017-04-08,22.91,15.11,76.5,53.14,2.71,254.97685185185185,4.39
2017-04-09,23.98,16.11,76.7,44.91,2.43,213.31018518518516,4.29
2017-04-10,22.38,11.37,83.5,49.0,1.72,250.3472222222222,3.91
2017-04-11,23.91,14.31,82.3,35.61,2.35,242.36111111111111,4.59
2017-04-12,24.05,17.32,80.6,40.62,3.13,299.7685185185185,5.4
2017-04-13,23.58,17.45,79.7,53.34,3.94,319.44444444444446,5.36
2017-04-14,23.04,17.11,80.3,54.01,3.48,292.5925925925926,4.94
2017-04-15,25.38,16.98,80.7,36.95,3.44,280.2083333333333,5.66
2017-04-16,28.65,17.65,84.7,18.21,3.65,291.8981481481481,6.98
2017-04-17,37.01,20.78,54.76,8.7,2.51,287.96296296296293,8.1
2017-04-18,32.47,18.52,78.9,12.04,2.25,303.58796296296293,6.91
2017-04-19,26.86,17.25,83.1,47.52,2.26,290.3935185185185,5.14
2017-04-20,23.31,17.78,75.3,40.82,2.34,203.81944444444443,4.31
2017-04-21,24.11,15.91,77.6,40.49,2.56,305.324074074074,5.29
2017-04-22,23.85,17.11,70.2,45.05,2.65,236.80555555555554,4.76
2017-04-23,25.32,17.58,69.84,43.97,2.82,245.25462962962962,5.13
2017-04-24,24.58,17.58,71.5,48.45,2.88,284.4907407407407,5.27
2017-04-25,23.51,15.04,78.5,50.59,2.56,318.287037037037,5.1
2017-04-26,25.05,15.84,82.8,56.22,2.0,312.15277777777777,4.94
2017-04-27,26.25,17.92,85.4,52.14,2.91,270.4861111111111,5.02
2017-04-28,26.52,18.52,88.7,47.58,2.74,299.65277777777777,5.39
2017-04-29,27.06,18.79,88.9,43.5,2.34,233.68055555555557,4.75
2017-04-30,22.65,18.05,79.9,48.93,2.82,178.58796296296296,3.98
2017-05-01,24.85,18.05,71.1,47.52,3.23,311.4583333333333,5.75
2017-05-02,24.64,18.12,70.0,49.19,2.71,301.27314814814815,5.43
2017-05-03,24.05,16.38,71.3,50.46,2.24,337.26851851851853,5.42
2017-05-04,25.65,15.04,79.8,44.44,1.86,298.6111111111111,5.04
2017-05-05,24.65,18.52,74.0,37.41,2.31,203.4722222222222,4.58
2017-05-06,24.05,15.78,75.3,52.74,2.59,293.8657407407407,5.0
2017-05-07,25.52,18.12,80.3,45.17,3.22,322.22222222222223,5.85
2017-05-08,25.58,18.78,86.7,54.54,3.08,286.4583333333333,5.11
2017-05-09,24.58,18.39,87.6,59.5,2.44,245.37037037037035,4.31
2017-05-10,27.05,17.11,86.0,35.73,1.67,248.26388888888886,4.75
2017-05-11,26.32,17.11,85.6,36.54,2.52,294.44444444444446,5.55
