Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2017-01-01,8.54,-4.16,94.7,46.39,1.46,128.58796296296296,0.91
2017-01-02,12.48,-3.43,91.7,35.03,1.48,115.50925925925925,1.24
2017-01-03,11.81,-1.08,88.7,45.04,1.58,107.63888888888889,1.15
2017-01-04,13.89,2.26,99.9,58.25,2.22,119.79166666666666,1.19
2017-01-05,11.48,0.58,100.0,63.09,1.8,101.27314814814814,0.93
2017-01-06,11.74,-1.36,99.9,47.45,1.69,129.97685185185185,1.11
2017-01-07,10.08,-0.49,100.0,60.28,1.42,101.85185185185185,0.84
2017-01-08,12.55,-3.02,95.8,26.84,1.52,136.22685185185185,1.36
2017-01-09,11.61,-3.76,94.3,31.2,1.18,134.02777777777777,1.11
2017-01-10,12.22,-3.36,99.9,34.3,4.32,75.57870370370371,2.12
2017-01-11,12.02,1.66,95.5,52.16,3.72,71.99074074074073,1.53
2017-01-12,14.08,-1.69,100.0,58.04,2.31,131.0185185185185,1.28
2017-01-13,11.42,1.46,100.0,49.26,3.68,123.14814814814815,1.54
2017-01-14,8.14,-2.09,74.5,31.08,2.89,138.42592592592592,1.69
2017-01-15,9.01,-3.1,77.0,35.99,2.88,119.0972222222222,1.66
2017-01-16,12.02,-0.82,87.5,36.77,4.1,149.88425925925924,2.14
2017-01-17,9.94,-3.03,69.58,20.02,7.23,127.89351851851852,3.07
2017-01-18,1.34,-8.65,99.9,30.32,3.06,75.0,1.14
2017-01-19,2.39,-0.29,100.0,74.0,4.97,82.4074074074074,0.71
2017-01-20,4.93,-1.16,100.0,91.5,2.5,80.09259259259258,0.49
2017-01-21,5.34,-2.96,100.0,72.8,2.69,46.41203703703703,0.72
2017-01-22,7.14,1.86,92.6,52.85,3.2,72.68518518518519,1.25
2017-01-23,8.2,-0.55,100.0,62.57,1.8,112.38425925925927,0.94
2017-01-24,10.21,-0.35,99.9,53.04,3.24,139.00462962962962,1.43
2017-01-25,10.81,-3.23,99.3,47.46,1.86,149.42129629629628,1.31
2017-01-26,8.48,-2.42,100.0,38.74,1.38,88.07870370370371,1.1
2017-01-27,7.48,2.79,100.0,67.43,3.74,64.2361111111111,0.99
2017-01-28,8.54,3.0,99.7,43.44,4.32,147.33796296296296,1.69
2017-01-29,9.48,1.06,100.0,65.52,1.31,87.49999999999999,0.9
2017-01-30,14.81,0.92,100.0,60.99,1.6,151.27314814814815,1.34
2017-01-31,17.22,1.85,100.0,28.17,1.62,154.86111111111111,1.94
2017-02-01,14.82,-0.22,100.0,46.77,2.38,149.53703703703704,1.78
2017-02-02,12.16,3.59,100.0,58.01,4.54,73.84259259259258,1.58
2017-02-03,13.15,5.26,100.0,50.6,5.01,133.91203703703704,2.03
2017-02-04,13.89,5.07,98.0,51.54,6.73,137.38425925925924,2.31
2017-02-05,11.29,5.13,100.0,41.62,8.71,156.0185185185185,2.5
2017-02-06,13.1,3.26,84.8,44.43,4.04,88.19444444444444,2.2
2017-02-07,15.16,6.06,87.3,43.88,4.16,153.81944444444443,2.54
2017-02-08,9.54,0.72,69.64,31.35,4.99,176.96759259259258,2.64
2017-02-09,13.28,-2.55,84.0,17.78,1.89,160.87962962962962,2.17
2017-02-10,11.34,-2.43,92.8,36.71,2.08,139.00462962962962,1.75
2017-02-11,7.61,4.6,100.0,91.6,3.01,25.578703703703702,0.52
2017-02-12,13.95,5.4,96.7,57.31,3.34,96.18055555555556,1.72
2017-02-13,11.28,4.06,100.0,57.34,3.31,110.30092592592591,1.55
2017-02-14,13.08,1.11,100.0,42.07,1.36,152.54629629629628,1.62
