Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2017-01-01,1.95,-5.04,100.0,100.0,0.72,62.61574074074074,0.2
2017-01-02,5.14,-6.23,100.0,56.36,0.35,69.67592592592592,0.3
2017-01-03,4.07,-4.56,100.0,77.6,0.72,73.95833333333333,0.29
2017-01-04,8.8,-6.29,100.0,57.81,0.4,98.95833333333334,0.29
2017-01-05,7.0,-4.76,100.0,65.42,0.82,90.27777777777777,0.38
2017-01-06,8.06,-7.03,100.0,54.47,0.58,101.38888888888889,0.36
2017-01-07,9.19,-7.09,100.0,43.86,0.38,99.7685185185185,0.33
2017-01-08,11.92,-5.9,100.0,38.24,0.68,106.94444444444444,0.55
2017-01-09,9.27,-4.56,100.0,43.73,0.85,106.59722222222223,0.55
2017-01-10,10.81,-2.83,100.0,42.28,0.84,63.541666666666664,0.7
2017-01-11,14.65,1.76,100.0,32.46,1.5,105.20833333333333,1.12
2017-01-12,12.2,-1.23,100.0,58.81,0.51,75.57870370370371,0.5
2017-01-13,10.92,-1.24,100.0,21.15,1.37,110.06944444444444,1.0
2017-01-14,8.87,-3.44,92.1,21.16,0.79,109.9537037037037,0.66
2017-01-15,8.06,-1.96,100.0,46.66,1.67,97.33796296296296,0.81
2017-01-16,11.79,1.76,100.0,36.38,2.46,120.13888888888889,1.32
2017-01-17,6.71,-6.43,78.3,9.08,2.38,120.60185185185185,1.49
2017-01-18,5.53,-9.49,81.0,19.76,0.86,117.36111111111111,0.69
2017-01-19,9.73,-8.03,89.5,25.63,0.56,112.84722222222221,0.6
2017-01-20,9.22,-4.76,89.4,33.25,0.39,56.597222222222214,0.57
2017-01-21,9.53,-5.96,98.5,37.85,0.55,84.1435185185185,0.61
2017-01-22,12.39,-1.76,93.3,33.84,0.79,83.79629629629629,0.86
2017-01-23,11.25,-2.57,97.9,39.31,0.67,103.93518518518519,0.7
2017-01-24,13.85,-2.37,100.0,32.03,1.1,112.5,1.09
2017-01-25,8.4,-7.29,86.0,42.12,0.81,123.49537037037037,0.71
2017-01-26,8.13,-4.71,93.9,43.86,0.51,115.97222222222221,0.58
2017-01-27,4.09,1.9,100.0,69.16,0.75,8.333333333333332,0.52
2017-01-28,13.25,-0.5,100.0,46.45,0.48,96.75925925925925,0.69
2017-01-29,10.53,-1.9,100.0,49.93,0.31,86.34259259259258,0.57
2017-01-30,13.25,-0.57,100.0,54.66,0.4,85.99537037037037,0.66
2017-01-31,16.24,1.23,100.0,50.1,0.38,111.45833333333334,0.76
2017-02-01,15.64,-0.36,100.0,47.65,0.62,117.01388888888887,0.89
2017-02-02,8.28,1.1,100.0,97.4,0.36,21.990740740740737,0.46
2017-02-03,7.73,1.1,100.0,78.9,0.59,63.773148148148145,0.57
2017-02-04,8.15,2.62,100.0,100.0,0.53,26.96759259259259,0.45
2017-02-05,10.8,2.43,100.0,43.46,1.43,120.60185185185185,1.14
2017-02-06,14.39,0.7,100.0,45.55,1.14,144.67592592592592,1.2
2017-02-07,17.1,2.5,100.0,34.39,1.13,107.63888888888889,1.42
2017-02-08,11.18,2.77,51.64,16.48,2.04,159.1435185185185,2.04
2017-02-09,11.52,-2.43,87.4,20.29,1.3,156.48148148148147,1.46
2017-02-10,11.39,-3.69,97.9,31.77,0.49,128.00925925925927,0.9
2017-02-11,9.8,-3.17,100.0,44.39,0.52,84.375,0.81
2017-02-12,12.34,4.22,100.0,48.13,1.26,43.40277777777778,1.09
2017-02-13,13.74,6.15,100.0,38.33,2.08,14.814814814814815,1.52
2017-02-14,14.11,1.63,100.0,51.5,0.7,151.7361111111111,1.16
2017-02-15,16.5,-0.43,100.0,37.63,0.46,159.25925925925924,1.16
2017-02-16,15.3,1.76,100.0,47.16,0.58,148.72685185185185,1.19
2017-02-17,16.77,-0.76,100.0,41.09,0.77,163.77314814814815,1.4
2017-02-18,15.65,-1.36,100.0,45.11,0.78,159.83796296296296,1.34
2017-02-19,13.45,-2.03,100.0,57.59,0.87,154.51388888888889,1.22
2017-02-20,14.45,-1.36,100.0,47.38,0.78,163.19444444444443,1.33
2017-02-21,16.44,-1.36,100.0,47.18,0.68,166.55092592592592,1.4
2017-02-22,20.03,-0.76,100.0,30.48,0.61,172.80092592592592,1.6
2017-02-23,12.34,1.36,100.0,59.55,0.37,67.12962962962962,0.86
2017-02-24,16.11,1.62,100.0,20.3,1.16,134.25925925925924,1.84
2017-02-25,13.45,-2.43,100.0,36.1,1.19,177.08333333333334,1.66
2017-02-26,15.77,-1.9,100.0,41.71,0.79,183.33333333333331,1.59
2017-02-27,16.3,-0.44,100.0,46.86,1.03,179.2824074074074,1.71
2017-02-28,13.07,-1.97,100.0,46.53,1.0,75.69444444444444,1.23
2017-03-01,16.1,-4.1,100.0,26.56,0.93,190.27777777777777,1.85
2017-03-02,17.44,-1.04,100.0,43.96,0.85,180.67129629629628,1.77
2017-03-03,16.98,1.36,100.0,48.91,1.66,135.53240740740742,1.87
2017-03-04,11.13,0.03,100.0,41.66,1.55,139.35185185185185,1.62
2017-03-05,14.45,0.03,100.0,48.97,0.54,142.24537037037035,1.39
2017-03-06,18.97,4.62,100.0,18.56,1.8,200.57870370370367,2.87
2017-03-07,20.3,3.22,91.3,25.05,2.3,212.03703703703704,3.27
2017-03-08,20.71,3.62,100.0,44.7,0.92,177.08333333333334,2.11
2017-03-09,23.61,2.43,100.0,31.68,0.68,206.71296296296293,2.34
2017-03-10,24.09,0.43,93.4,25.75,0.87,221.875,2.67
2017-03-11,22.82,1.76,90.2,26.48,0.71,195.48611111111111,2.35
2017-03-12,21.36,5.42,100.0,30.48,1.39,211.22685185185185,2.82
2017-03-13,19.77,3.69,100.0,30.49,1.03,178.7037037037037,2.34
2017-03-14,21.69,1.5,100.0,31.55,0.87,212.2685185185185,2.5
2017-03-15,18.77,1.76,100.0,50.79,0.99,220.48611111111111,2.32
2017-03-16,20.49,2.16,100.0,39.75,0.9,221.99074074074073,2.49
2017-03-17,20.43,0.9,100.0,36.23,1.02,229.62962962962962,2.63
2017-03-18,20.03,0.83,100.0,39.63,0.91,225.3472222222222,2.54
2017-03-19,21.09,2.57,100.0,37.09,0.97,229.0509259259259,2.7
2017-03-20,20.83,3.03,100.0,40.76,1.02,226.62037037037035,2.69
2017-03-21,15.72,2.68,100.0,50.73,1.34,186.68981481481478,2.17
2017-03-22,13.6,0.43,100.0,40.85,0.9,136.11111111111111,1.72
2017-03-23,12.2,2.09,100.0,37.58,1.46,211.92129629629628,2.23
2017-03-24,12.8,-0.11,100.0,31.9,0.76,140.27777777777777,1.7
2017-03-25,2.03,-0.11,100.0,100.0,0.61,24.421296296296294,0.47
2017-03-26,16.17,0.76,100.0,40.9,0.8,228.4722222222222,2.34
2017-03-27,9.02,0.9,100.0,79.9,0.65,51.273148148148145,0.82
2017-03-28,18.17,0.42,100.0,37.63,0.9,244.3287037037037,2.68
2017-03-29,19.9,0.76,100.0,32.22,0.96,263.54166666666663,3.01
2017-03-30,21.5,2.77,100.0,30.82,0.81,251.50462962962962,3.0
2017-03-31,19.96,4.42,100.0,36.36,0.75,159.83796296296296,2.24
2017-04-01,17.12,2.83,100.0,35.7,1.69,252.19907407407405,3.06
2017-04-02,17.38,0.76,98.6,22.82,1.82,275.23148148148147,3.46
2017-04-03,18.51,-0.7,96.3,34.3,1.21,276.27314814814815,3.15
2017-04-04,20.1,0.49,100.0,22.54,1.03,261.5740740740741,3.23
2017-04-05,20.1,5.16,91.4,24.75,1.16,273.14814814814815,3.47
2017-04-06,20.16,0.64,92.6,20.88,1.1,283.10185185185185,3.47
2017-04-07,18.63,0.7,92.7,35.55,1.14,281.25,3.26
