Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2017-01-01,15.91,1.16,100.0,50.72,0.5,68.98148148148148,0.7
2017-01-02,16.29,3.71,100.0,43.56,0.38,94.21296296296296,0.65
2017-01-03,15.96,2.1,100.0,51.45,0.44,93.63425925925925,0.66
2017-01-04,16.63,2.04,100.0,59.99,0.4,90.04629629629629,0.64
2017-01-05,15.87,2.24,100.0,41.25,0.58,118.1712962962963,0.76
2017-01-06,14.97,2.37,100.0,56.44,0.39,71.99074074074073,0.63
2017-01-07,16.03,1.77,100.0,53.93,0.45,101.9675925925926,0.68
2017-01-08,14.41,0.69,100.0,61.64,0.63,102.19907407407408,0.69
2017-01-09,14.23,1.23,100.0,62.8,0.3,48.379629629629626,0.57
2017-01-10,13.9,1.7,100.0,59.2,1.24,46.64351851851852,0.91
2017-01-11,14.43,2.84,100.0,53.68,1.23,119.56018518518518,0.98
2017-01-12,16.76,2.71,100.0,56.7,1.75,122.4537037037037,1.21
2017-01-13,15.03,9.76,95.6,28.0,2.97,113.88888888888889,2.07
2017-01-14,11.67,7.94,64.01,35.18,2.26,102.43055555555554,1.84
2017-01-15,13.21,3.9,93.4,44.51,2.34,124.65277777777777,1.47
2017-01-16,14.69,1.57,100.0,54.88,1.43,99.18981481481481,1.09
2017-01-17,8.89,2.37,100.0,38.47,1.44,89.12037037037037,1.04
2017-01-18,9.62,2.9,93.9,44.04,1.42,61.45833333333333,1.05
2017-01-19,12.04,5.92,100.0,60.63,3.36,14.004629629629628,1.23
2017-01-20,13.51,6.86,100.0,62.8,2.1,63.773148148148145,1.09
2017-01-21,11.37,6.78,100.0,70.4,2.04,24.074074074074073,0.85
2017-01-22,13.32,8.82,99.8,71.3,1.62,42.36111111111111,0.87
2017-01-23,13.04,8.21,100.0,67.41,1.6,71.75925925925925,0.95
2017-01-24,14.22,0.23,100.0,58.12,1.21,117.59259259259258,1.06
2017-01-25,15.48,-0.38,100.0,43.88,0.58,131.25,0.95
2017-01-26,14.74,0.96,100.0,45.91,0.54,116.89814814814814,0.92
2017-01-27,14.84,8.07,100.0,69.82,1.66,47.33796296296296,0.97
2017-01-28,11.9,6.19,99.9,66.97,2.78,28.35648148148148,1.04
2017-01-29,15.07,2.18,100.0,53.14,0.47,104.2824074074074,0.89
2017-01-30,18.09,2.51,100.0,54.39,0.68,132.75462962962962,1.14
2017-01-31,18.23,4.99,100.0,43.2,0.82,143.63425925925927,1.33
2017-02-01,18.77,4.32,100.0,45.03,0.59,137.2685185185185,1.21
2017-02-02,17.77,4.59,100.0,59.79,0.92,97.91666666666667,1.16
2017-02-03,17.73,11.09,93.0,55.76,1.64,84.375,1.5
2017-02-04,16.98,11.63,92.9,48.49,1.6,62.61574074074074,1.51
2017-02-05,17.98,9.88,94.4,35.09,3.66,121.75925925925925,2.73
2017-02-06,15.93,11.16,67.46,37.05,4.15,139.2361111111111,3.17
2017-02-07,18.5,12.36,94.6,49.27,2.48,158.68055555555554,2.18
2017-02-08,13.55,8.13,86.2,45.77,3.35,127.66203703703702,2.13
2017-02-09,13.73,0.49,99.5,42.08,1.39,167.59259259259258,1.56
2017-02-10,14.7,0.22,100.0,56.01,1.41,121.41203703703704,1.36
2017-02-11,15.98,9.96,95.6,75.4,2.28,85.06944444444444,1.26
2017-02-12,18.31,11.57,86.3,50.57,2.79,132.63888888888889,2.34
2017-02-13,18.85,6.33,100.0,50.05,2.14,103.93518518518519,1.89
2017-02-14,19.02,4.92,100.0,43.52,0.86,177.08333333333334,1.73
2017-02-15,18.31,4.85,100.0,58.03,0.52,148.37962962962962,1.4
2017-02-16,15.64,5.46,100.0,72.1,0.78,78.24074074074073,1.02
2017-02-17,15.52,2.31,100.0,65.09,0.4,71.875,0.92
2017-02-18,16.01,0.69,100.0,54.52,0.76,186.22685185185185,1.55
2017-02-19,15.84,5.26,100.0,58.12,0.6,125.69444444444443,1.31
2017-02-20,16.15,3.45,100.0,48.47,1.07,187.38425925925927,1.78
2017-02-21,17.76,1.91,100.0,40.37,0.72,189.12037037037035,1.76
2017-02-22,17.37,3.04,100.0,42.47,1.01,141.2037037037037,1.73
2017-02-23,19.06,10.83,100.0,64.77,1.3,74.07407407407408,1.38
2017-02-24,14.71,10.69,100.0,88.4,0.87,39.12037037037037,0.76
2017-02-25,13.04,4.92,100.0,91.8,0.54,40.62499999999999,0.71
2017-02-26,16.83,3.65,100.0,65.25,0.87,105.55555555555554,1.33
2017-02-27,17.7,7.13,100.0,63.31,1.18,124.7685185185185,1.61
2017-02-28,18.03,11.91,80.4,43.61,2.42,203.00925925925924,2.93
2017-03-01,17.96,3.72,100.0,42.52,1.0,209.25925925925924,2.17
2017-03-02,19.03,4.66,100.0,62.67,0.91,203.4722222222222,2.03
2017-03-03,16.57,8.21,100.0,62.19,1.92,127.08333333333333,1.77
2017-03-04,13.16,4.78,100.0,43.51,2.52,125.81018518518518,2.0
2017-03-05,17.03,3.98,100.0,44.36,1.35,194.9074074074074,2.24
2017-03-06,20.91,11.22,94.8,37.32,2.18,197.80092592592592,3.09
2017-03-07,21.51,6.26,97.1,31.0,1.26,214.23611111111111,2.81
2017-03-08,20.9,6.74,100.0,45.07,1.08,211.57407407407408,2.55
2017-03-09,25.25,6.4,100.0,26.6,0.94,227.19907407407405,2.99
2017-03-10,25.29,6.4,95.0,32.2,0.95,233.68055555555557,3.03
2017-03-11,23.71,4.53,100.0,29.16,0.77,230.09259259259258,2.76
2017-03-12,19.64,9.09,100.0,50.41,1.04,210.76388888888889,2.51
2017-03-13,15.51,12.1,100.0,67.93,2.61,63.88888888888888,1.44
2017-03-14,18.38,8.01,100.0,51.31,2.23,211.1111111111111,2.74
2017-03-15,18.16,4.79,100.0,47.99,1.26,239.35185185185185,2.65
2017-03-16,20.24,4.19,100.0,32.48,1.0,242.12962962962965,2.81
2017-03-17,18.16,2.71,100.0,59.78,0.99,229.97685185185185,2.38
2017-03-18,21.38,0.9,100.0,28.23,0.68,246.87499999999997,2.69
2017-03-19,22.24,1.97,100.0,32.48,0.92,246.99074074074073,2.97
2017-03-20,22.44,5.33,99.8,24.59,0.63,242.59259259259258,2.84
2017-03-21,21.37,3.99,100.0,35.03,0.89,231.13425925925924,2.84
2017-03-22,20.31,6.0,100.0,41.84,1.42,207.75462962962962,2.86
2017-03-23,16.43,7.53,100.0,38.9,1.82,224.4212962962963,2.86
2017-03-24,11.1,2.7,100.0,66.85,0.68,34.25925925925926,0.86
2017-03-25,16.96,2.37,100.0,33.64,1.52,253.2407407407407,3.0
2017-03-26,18.57,4.12,100.0,59.92,1.72,250.0,2.87
2017-03-27,18.97,6.27,100.0,39.43,1.56,250.9259259259259,3.22
2017-03-28,19.64,5.86,100.0,47.5,0.83,265.85648148148147,3.01
2017-03-29,22.18,4.46,100.0,45.47,0.99,233.10185185185185,2.97
2017-03-30,21.45,2.72,100.0,33.15,1.43,268.8657407407407,3.52
2017-03-31,21.66,6.61,100.0,48.38,1.42,220.25462962962962,3.05
2017-04-01,19.97,5.34,100.0,29.78,1.47,276.5046296296296,3.6
2017-04-02,18.23,4.66,95.0,41.12,1.8,280.78703703703707,3.46
2017-04-03,19.64,4.86,100.0,42.33,0.96,263.0787037037037,3.13
2017-04-04,23.05,4.73,100.0,34.89,0.74,279.97685185185185,3.42
2017-04-05,20.04,3.85,99.8,41.93,0.84,182.87037037037038,2.53
2017-04-06,19.71,5.74,100.0,38.54,1.09,265.27777777777777,3.3
2017-04-07,21.25,4.8,100.0,37.66,0.9,278.35648148148147,3.41
2017-04-08,20.52,5.0,100.0,48.58,0.7,199.30555555555554,2.59
2017-04-09,21.92,4.73,100.0,36.05,0.86,290.04629629629625,3.54
2017-04-10,22.72,4.79,100.0,34.69,0.76,295.9490740740741,3.61
2017-04-11,24.65,3.72,100.0,23.1,1.09,291.7824074074074,4.06
2017-04-12,24.25,7.15,100.0,26.94,1.47,296.9907407407407,4.35
2017-04-13,25.93,7.2,100.0,41.28,0.99,286.6898148148148,4.01
2017-04-14,28.61,9.22,100.0,25.25,0.83,280.2083333333333,4.2
2017-04-15,25.26,9.95,100.0,51.79,0.64,277.5462962962963,3.75
2017-04-16,21.0,8.89,100.0,56.89,1.34,196.875,2.89
2017-04-17,23.52,7.21,100.0,37.66,1.2,282.9861111111111,3.94
2017-04-18,24.12,8.02,100.0,36.64,1.19,279.0509259259259,4.01
2017-04-19,19.98,10.02,84.5,40.98,2.01,218.287037037037,3.59
2017-04-20,18.05,5.19,81.4,39.04,1.42,218.287037037037,3.18
2017-04-21,19.45,3.52,95.2,33.57,1.54,281.13425925925924,3.75
2017-04-22,19.51,2.18,100.0,41.99,1.25,308.68055555555554,3.71
2017-04-23,20.78,3.52,100.0,38.48,0.97,318.40277777777777,3.87
2017-04-24,22.46,5.14,100.0,46.69,1.08,315.625,4.05
2017-04-25,21.38,8.35,100.0,36.86,1.84,210.18518518518516,3.55
2017-04-26,23.11,12.24,100.0,45.46,1.27,262.84722222222223,3.92
2017-04-27,15.85,9.69,100.0,89.7,1.31,31.712962962962965,0.81
2017-04-28,15.98,9.28,100.0,44.32,1.27,156.13425925925927,2.42
2017-04-29,17.98,7.61,100.0,45.61,1.17,208.44907407407408,2.92
2017-04-30,20.45,7.48,100.0,56.74,1.95,239.35185185185185,3.42
2017-05-01,19.78,5.06,99.8,33.97,1.43,320.4861111111111,4.22
2017-05-02,21.38,3.39,100.0,41.31,1.41,313.88888888888886,4.12
2017-05-03,21.52,6.94,100.0,37.33,1.46,325.9259259259259,4.41
2017-05-04,23.67,7.48,100.0,48.91,1.4,321.18055555555554,4.45
2017-05-05,23.85,15.31,100.0,61.09,1.73,251.04166666666666,3.82
2017-05-06,24.72,8.75,97.1,27.68,2.28,340.625,5.48
2017-05-07,26.0,6.81,100.0,32.33,1.1,335.30092592592587,4.83
2017-05-08,26.07,7.08,100.0,23.91,1.66,329.8611111111111,5.25
2017-05-09,25.26,9.43,100.0,27.21,1.53,329.7453703703703,5.09
2017-05-10,26.06,13.79,100.0,49.44,1.38,268.40277777777777,4.3
2017-05-11,26.05,13.91,97.9,41.81,1.55,261.1111111111111,4.44
2017-05-12,25.13,12.91,100.0,33.33,1.84,248.84259259259258,4.48
2017-05-13,27.8,12.57,100.0,30.37,2.03,338.42592592592587,5.8
2017-05-14,28.67,11.3,100.0,31.24,0.94,332.63888888888886,5.13
2017-05-15,28.69,10.16,100.0,38.11,0.85,306.48148148148147,4.74
2017-05-16,29.69,10.3,99.0,25.11,0.91,329.51388888888886,5.2
2017-05-17,28.27,10.1,99.6,23.5,1.13,304.1666666666667,5.01
2017-05-18,27.67,9.56,100.0,27.74,1.44,311.4583333333333,5.2
2017-05-19,24.19,9.16,78.3,26.6,1.29,351.38888888888886,5.21
2017-05-20,25.6,7.88,100.0,27.88,1.14,336.4583333333333,4.98
2017-05-21,25.6,9.9,100.0,35.29,1.22,292.7083333333333,4.6
2017-05-22,25.6,12.57,99.9,40.48,1.6,284.9537037037037,4.7
2017-05-23,27.53,11.77,100.0,29.03,1.15,338.6574074074074,5.35
2017-05-24,29.01,9.83,95.1,26.32,0.95,345.60185185185185,5.37
2017-05-25,30.0,10.42,100.0,24.3,1.09,341.7824074074074,5.59
2017-05-26,29.48,12.24,96.3,32.25,1.33,334.14351851851853,5.61
2017-05-27,28.61,13.86,96.2,26.67,1.48,337.38425925925924,5.76
2017-05-28,27.74,13.58,91.9,32.12,1.69,336.4583333333333,5.73
2017-05-29,26.81,12.51,99.4,39.54,1.25,266.8981481481481,4.51
2017-05-30,27.33,15.12,100.0,34.67,0.97,282.8703703703704,4.68
2017-05-31,28.06,13.98,100.0,43.83,0.79,300.81018518518516,4.76
2017-06-01,28.68,12.98,100.0,48.01,0.94,277.1990740740741,4.55
2017-06-02,29.89,14.52,100.0,38.37,1.23,337.84722222222223,5.63
2017-06-03,29.66,15.78,100.0,31.77,1.36,327.1990740740741,5.69
2017-06-04,24.69,13.91,100.0,62.12,2.0,126.7361111111111,2.72
2017-06-05,22.13,12.77,100.0,63.0,1.44,168.86574074074073,2.86
2017-06-06,28.66,12.51,100.0,43.68,1.12,339.93055555555554,5.37
2017-06-07,25.53,14.85,100.0,55.04,1.56,270.7175925925926,4.41
2017-06-08,27.26,13.65,100.0,47.8,1.49,337.38425925925924,5.33
2017-06-09,27.73,15.12,100.0,45.38,1.1,293.17129629629625,4.82
2017-06-10,29.33,14.18,100.0,29.01,0.95,336.4583333333333,5.47
2017-06-11,31.42,11.57,100.0,25.92,1.02,351.7361111111111,5.87
2017-06-12,31.82,14.52,97.6,33.99,1.1,351.6203703703703,5.99
2017-06-13,32.35,14.32,100.0,25.71,1.66,345.7175925925926,6.48
2017-06-14,33.22,15.79,100.0,18.78,1.29,344.9074074074074,6.38
2017-06-15,35.16,15.86,100.0,23.01,0.98,337.26851851851853,6.16
2017-06-16,33.89,15.72,99.6,25.64,1.03,340.04629629629625,6.12
2017-06-17,32.75,17.46,100.0,30.76,1.46,345.13888888888886,6.4
2017-06-18,34.01,16.0,100.0,27.59,0.93,344.09722222222223,6.08
2017-06-19,31.35,18.87,100.0,50.35,1.35,330.90277777777777,5.8
2017-06-20,31.82,16.59,100.0,23.49,1.22,349.0740740740741,6.2
2017-06-21,32.09,14.92,100.0,23.15,1.1,291.5509259259259,5.43
2017-06-22,31.34,15.39,100.0,30.35,1.65,340.74074074074076,6.26
2017-06-23,31.88,17.07,100.0,33.99,2.0,334.375,6.43
2017-06-24,32.01,20.27,100.0,37.22,1.88,330.09259259259255,6.35
2017-06-25,32.02,19.81,100.0,37.69,1.6,318.75,6.05
