Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2017-01-01,3.33,-5.96,100.0,86.9,0.25,26.273148148148145,0.35
2017-01-02,8.31,-1.38,100.0,68.17,0.36,48.61111111111111,0.44
2017-01-03,11.79,-0.91,100.0,63.41,0.25,65.97222222222221,0.45
2017-01-04,9.79,-2.12,100.0,99.6,0.48,40.74074074074074,0.38
2017-01-05,12.92,-0.91,100.0,64.27,0.36,86.34259259259258,0.5
2017-01-06,13.05,-2.8,100.0,43.4,0.37,101.27314814814814,0.52
2017-01-07,12.73,-4.27,100.0,46.78,0.31,115.04629629629629,0.46
2017-01-08,11.65,-6.09,100.0,45.16,0.38,112.15277777777777,0.49
2017-01-09,13.87,-5.83,100.0,40.03,0.42,113.88888888888889,0.58
2017-01-10,14.9,-2.72,100.0,47.13,0.55,66.7824074074074,0.73
2017-01-11,18.9,-2.06,100.0,44.39,0.58,109.9537037037037,0.83
2017-01-12,15.9,-0.91,100.0,61.65,1.78,99.7685185185185,1.08
2017-01-13,12.15,-1.64,100.0,36.34,1.18,72.68518518518519,1.03
2017-01-14,10.44,-5.96,100.0,37.22,0.63,104.74537037037037,0.69
2017-01-15,12.54,-3.6,100.0,37.41,1.02,82.87037037037037,0.99
2017-01-16,15.28,-4.54,100.0,36.86,0.9,118.05555555555554,1.02
2017-01-17,13.13,-3.59,100.0,22.95,0.98,122.91666666666666,1.08
2017-01-18,7.48,-8.05,91.5,16.62,0.53,126.7361111111111,0.65
2017-01-19,8.44,-5.62,77.1,32.9,1.02,86.57407407407408,0.96
2017-01-20,10.06,1.32,91.3,47.49,0.92,34.375,0.86
2017-01-21,13.6,-2.19,100.0,37.06,0.64,116.7824074074074,0.85
2017-01-22,11.66,-5.22,100.0,36.53,0.52,122.4537037037037,0.73
2017-01-23,14.14,-4.41,100.0,28.08,0.86,126.04166666666667,1.09
2017-01-24,13.93,-5.69,100.0,34.29,0.72,128.4722222222222,0.96
2017-01-25,12.25,-6.16,100.0,34.5,0.85,132.63888888888889,0.99
2017-01-26,11.55,-5.15,100.0,46.8,0.79,73.26388888888889,0.86
2017-01-27,8.79,2.46,100.0,74.0,1.9,43.74999999999999,0.73
2017-01-28,11.86,0.37,100.0,58.41,2.13,131.94444444444443,1.18
2017-01-29,11.33,2.32,100.0,88.8,0.6,45.83333333333333,0.57
2017-01-30,13.49,5.42,100.0,82.2,0.86,40.04629629629629,0.68
2017-01-31,17.03,2.59,100.0,48.19,0.38,109.02777777777777,0.9
2017-02-01,14.58,0.37,100.0,71.1,0.66,54.513888888888886,0.76
2017-02-02,14.91,5.16,100.0,76.9,2.25,57.407407407407405,0.95
2017-02-03,14.63,5.56,100.0,60.64,4.1,55.43981481481481,1.55
2017-02-04,16.71,11.0,100.0,57.32,4.6,71.75925925925925,1.91
2017-02-05,12.09,3.34,100.0,37.35,4.3,136.22685185185185,2.11
2017-02-06,15.69,4.95,100.0,47.87,3.33,134.9537037037037,2.02
2017-02-07,13.76,5.15,100.0,53.25,2.71,44.09722222222222,1.45
2017-02-08,12.52,-1.78,100.0,35.17,1.08,158.91203703703704,1.35
