Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2017-01-01,8.91,-7.75,95.8,62.98,0.93,102.19907407407408,0.52
2017-01-02,10.11,4.38,83.1,46.87,1.18,28.240740740740737,0.97
2017-01-03,11.89,5.56,97.5,56.97,1.31,54.28240740740741,0.83
2017-01-04,14.96,3.19,98.4,66.37,0.48,82.75462962962963,0.55
2017-01-05,13.52,5.17,97.5,53.39,1.22,100.34722222222221,0.83
2017-01-06,7.6,-2.35,97.6,67.6,0.69,64.93055555555556,0.49
2017-01-07,8.84,-4.26,97.9,58.81,0.46,78.93518518518519,0.45
2017-01-08,11.48,-7.62,95.8,39.0,0.32,106.71296296296296,0.44
2017-01-09,12.0,-4.71,94.1,49.56,0.68,114.35185185185186,0.62
2017-01-10,10.95,-2.15,96.2,68.84,1.26,86.57407407407408,0.67
2017-01-11,14.84,-1.29,98.2,63.68,0.38,69.44444444444444,0.56
2017-01-12,15.96,-2.28,97.7,52.98,0.44,82.29166666666667,0.64
2017-01-13,8.84,-1.55,97.1,50.49,1.44,111.1111111111111,0.82
2017-01-14,8.9,-6.3,94.7,42.37,0.56,112.96296296296295,0.57
2017-01-15,9.57,-7.16,94.1,49.89,0.48,107.29166666666666,0.54
2017-01-16,12.07,-5.77,94.6,46.46,0.56,120.37037037037037,0.64
2017-01-17,12.6,-5.44,95.0,36.72,1.31,120.60185185185185,1.12
2017-01-18,3.84,-2.68,73.1,32.74,2.01,125.69444444444443,1.12
2017-01-19,6.01,-8.8,90.1,35.98,1.0,125.0,0.76
2017-01-20,8.52,-3.6,92.3,51.89,1.04,77.89351851851852,0.78
2017-01-21,10.16,-6.63,94.0,52.86,0.32,102.54629629629629,0.52
2017-01-22,10.88,-7.02,94.3,39.4,0.8,125.81018518518518,0.83
2017-01-23,9.37,-3.86,90.2,45.41,1.26,124.18981481481481,0.95
2017-01-24,11.54,-7.09,93.0,33.26,0.79,131.13425925925927,0.91
2017-01-25,12.53,-8.27,93.0,24.61,0.4,131.5972222222222,0.7
2017-01-26,8.26,-2.68,90.1,71.8,2.16,34.9537037037037,0.82
2017-01-27,7.8,-0.1,94.8,66.61,1.56,61.34259259259259,0.79
2017-01-28,11.54,-2.81,96.2,52.27,0.73,109.60648148148148,0.83
2017-01-29,11.56,4.91,97.3,79.5,1.79,36.45833333333333,0.75
2017-01-30,12.74,9.12,95.1,70.8,1.64,53.703703703703695,0.94
2017-01-31,13.32,4.9,91.7,55.9,1.92,68.40277777777777,1.26
2017-02-01,13.01,7.6,93.7,68.65,1.85,50.46296296296296,1.03
2017-02-02,11.03,6.03,91.2,56.05,3.11,68.63425925925925,1.43
2017-02-03,13.27,7.87,91.6,61.45,4.12,49.53703703703704,1.58
2017-02-04,13.46,9.78,91.8,70.2,3.24,50.5787037037037,1.27
2017-02-05,10.16,4.31,89.5,49.1,2.32,101.27314814814814,1.41
2017-02-06,15.03,0.43,94.4,44.61,1.06,129.86111111111111,1.3
2017-02-07,12.93,3.59,96.3,49.83,1.28,82.9861111111111,1.19
2017-02-08,10.82,-2.81,95.4,34.25,0.82,151.85185185185185,1.13
2017-02-09,10.5,-2.61,92.9,38.42,1.33,85.30092592592592,1.25
