Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2017-01-01,14.53,2.28,100.0,51.63,0.68,112.61574074074073,0.81
2017-01-02,15.41,4.16,98.9,56.15,1.79,109.02777777777777,1.21
2017-01-03,16.48,6.18,95.1,51.48,1.2,84.72222222222221,1.14
2017-01-04,19.24,4.56,99.9,55.4,0.42,106.94444444444444,0.81
2017-01-05,19.78,3.83,100.0,51.96,0.39,117.59259259259258,0.82
2017-01-06,16.82,2.95,100.0,55.8,1.05,118.51851851851852,1.04
2017-01-07,16.01,4.16,99.9,50.68,1.14,120.25462962962963,1.1
2017-01-08,15.13,1.67,100.0,49.87,0.81,121.87499999999999,0.93
2017-01-09,19.38,-0.35,100.0,34.68,0.4,123.72685185185183,0.86
2017-01-10,15.47,-0.28,100.0,54.46,0.41,110.99537037037037,0.74
2017-01-11,17.29,3.83,99.9,54.72,0.69,114.58333333333333,0.95
2017-01-12,19.38,2.41,100.0,49.6,0.48,122.10648148148148,0.93
2017-01-13,17.09,1.06,100.0,46.29,0.63,114.81481481481481,0.97
2017-01-14,13.99,0.59,95.0,36.44,1.19,130.78703703703704,1.24
2017-01-15,14.93,0.53,85.4,34.28,0.74,132.17592592592592,1.07
2017-01-16,17.56,-0.88,98.0,34.95,0.52,131.8287037037037,0.98
2017-01-17,18.3,-0.95,99.4,33.74,0.72,131.48148148148147,1.18
2017-01-18,9.14,-1.3,89.1,22.75,2.11,139.46759259259258,1.6
2017-01-19,12.78,-0.68,80.9,34.63,1.13,73.72685185185185,1.26
2017-01-20,12.18,2.28,93.1,46.12,0.38,79.16666666666666,0.77
2017-01-21,15.2,-0.96,100.0,46.57,0.8,128.58796296296296,1.08
2017-01-22,15.74,-0.55,98.5,45.42,0.62,135.06944444444443,1.03
2017-01-23,15.74,-0.68,100.0,40.15,0.67,134.9537037037037,1.09
2017-01-24,15.61,-2.37,100.0,35.09,0.38,139.93055555555554,0.91
2017-01-25,15.87,-1.49,98.7,33.94,0.57,138.42592592592592,1.08
2017-01-26,14.54,2.88,99.4,51.43,1.68,52.43055555555556,1.28
2017-01-27,14.94,5.31,99.9,53.45,1.3,102.19907407407408,1.24
2017-01-28,16.75,1.2,100.0,54.32,0.56,138.88888888888889,1.09
2017-01-29,17.76,4.23,100.0,49.8,0.55,130.32407407407408,1.14
2017-01-30,19.11,4.09,100.0,43.32,0.57,145.71759259259258,1.27
2017-01-31,17.22,3.42,100.0,57.84,0.67,96.29629629629629,1.08
2017-02-01,17.83,7.81,99.8,56.82,0.65,91.43518518518519,1.12
2017-02-02,18.44,7.87,99.7,73.4,0.87,51.38888888888889,0.93
2017-02-03,18.03,6.66,100.0,54.12,1.08,95.83333333333331,1.35
2017-02-04,17.97,12.18,98.6,73.8,1.72,77.77777777777777,1.22
2017-02-05,18.5,5.71,98.5,37.25,1.48,142.47685185185185,1.9
2017-02-06,19.24,3.02,100.0,43.86,0.58,159.72222222222223,1.43
2017-02-07,18.5,3.76,100.0,46.15,0.57,138.31018518518516,1.36
2017-02-08,17.02,3.42,88.8,38.33,1.1,168.63425925925927,1.76
2017-02-09,15.81,1.4,93.5,33.95,1.38,146.2962962962963,1.82
2017-02-10,12.78,5.04,100.0,65.54,1.29,68.86574074074073,1.04
2017-02-11,13.05,7.66,99.6,72.2,2.33,51.967592592592595,1.06
2017-02-12,14.4,10.23,99.4,78.5,2.33,31.712962962962965,0.92
2017-02-13,17.5,7.87,99.5,51.7,1.18,128.24074074074073,1.62
2017-02-14,17.56,7.27,99.7,58.98,1.13,118.86574074074073,1.49
2017-02-15,18.58,7.6,99.5,42.85,2.95,141.4351851851852,2.52
2017-02-16,18.5,9.22,90.7,54.12,2.62,149.7685185185185,2.3
2017-02-17,19.11,6.66,99.5,51.89,0.96,167.9398148148148,1.82
2017-02-18,19.11,5.38,100.0,53.64,0.59,155.09259259259258,1.6
2017-02-19,17.36,9.01,99.0,55.88,2.1,108.10185185185185,1.81
2017-02-20,15.61,7.06,99.1,42.79,1.75,87.73148148148148,1.75
2017-02-21,19.92,8.81,95.5,38.46,2.25,152.19907407407408,2.66
2017-02-22,21.54,7.94,98.7,35.29,0.91,152.89351851851853,2.08
2017-02-23,16.08,10.03,99.8,78.8,0.47,47.453703703703695,0.88
2017-02-24,19.58,9.49,100.0,62.35,0.56,98.14814814814815,1.35
2017-02-25,17.3,9.22,100.0,71.8,0.3,59.60648148148148,0.98
2017-02-26,16.35,8.41,100.0,75.6,0.55,62.847222222222214,1.01
2017-02-27,18.5,6.25,100.0,50.68,0.69,127.77777777777776,1.62
2017-02-28,16.55,5.85,100.0,50.35,0.5,106.48148148148147,1.39
2017-03-01,21.4,4.9,100.0,43.05,0.55,208.33333333333331,2.17
2017-03-02,21.4,5.51,100.0,30.23,0.66,209.02777777777774,2.3
2017-03-03,13.53,6.18,99.8,57.11,1.2,72.10648148148148,1.28
2017-03-04,17.3,6.86,100.0,68.1,1.23,58.10185185185184,1.21
2017-03-05,16.89,6.05,100.0,86.0,0.54,78.93518518518519,1.08
2017-03-06,21.88,10.77,100.0,52.5,0.52,177.19907407407408,2.14
2017-03-07,23.16,7.54,100.0,52.36,0.65,207.87037037037038,2.44
2017-03-08,25.72,7.27,99.5,38.79,1.46,229.62962962962962,3.35
2017-03-09,27.13,9.42,91.1,27.86,2.04,228.58796296296296,4.18
2017-03-10,29.56,6.86,98.2,22.8,0.88,232.52314814814812,3.4
2017-03-11,27.46,8.89,99.1,34.88,0.76,214.46759259259258,2.98
2017-03-12,23.97,8.55,95.6,28.54,1.48,236.3425925925926,3.49
2017-03-13,15.75,8.14,62.84,42.26,3.01,104.05092592592592,2.86
2017-03-14,14.0,7.27,99.2,60.48,1.93,57.87037037037037,1.39
2017-03-15,22.21,8.34,99.5,32.32,1.02,207.63888888888889,2.85
2017-03-16,20.26,8.95,91.5,38.4,2.04,183.10185185185185,3.06
2017-03-17,21.2,10.97,85.2,26.11,2.15,181.0185185185185,3.55
2017-03-18,24.57,7.4,92.6,24.22,1.28,230.78703703703704,3.52
