Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2017-01-01,8.36,-9.74,100.0,46.48,0.64,106.59722222222223,0.45
2017-01-02,9.64,-6.39,100.0,50.31,0.94,76.85185185185185,0.63
2017-01-03,11.58,-2.83,100.0,44.72,0.74,62.03703703703704,0.67
2017-01-04,10.45,0.33,100.0,78.8,0.85,49.18981481481481,0.5
2017-01-05,10.91,-6.12,100.0,52.05,1.05,92.47685185185185,0.66
2017-01-06,2.59,-8.06,100.0,99.9,0.48,62.847222222222214,0.25
2017-01-07,7.49,-10.48,100.0,38.07,0.61,107.75462962962963,0.49
2017-01-08,12.12,-10.21,100.0,31.81,0.55,107.40740740740739,0.6
2017-01-09,6.28,-7.66,100.0,72.9,0.91,71.18055555555556,0.44
2017-01-10,9.17,-2.28,100.0,69.42,0.88,45.023148148148145,0.56
2017-01-11,13.07,-0.88,100.0,68.19,0.82,64.93055555555556,0.61
2017-01-12,14.34,-3.57,100.0,56.09,1.98,82.63888888888889,1.11
2017-01-13,8.3,-7.12,100.0,40.9,2.16,102.66203703703702,1.06
2017-01-14,5.49,-10.28,100.0,49.26,0.84,93.1712962962963,0.55
2017-01-15,8.43,-8.47,100.0,49.84,1.15,83.79629629629629,0.74
2017-01-16,7.91,-8.54,100.0,62.06,0.91,69.32870370370371,0.58
2017-01-17,5.55,-7.19,99.9,42.14,2.3,95.13888888888889,0.99
2017-01-18,2.46,-13.77,95.0,36.01,1.95,121.6435185185185,0.86
2017-01-19,6.96,-14.79,94.2,27.45,1.44,97.33796296296296,1.04
2017-01-20,8.5,0.8,86.5,51.32,2.42,94.67592592592592,1.16
2017-01-21,10.97,-6.52,99.9,43.51,1.25,122.91666666666666,0.94
2017-01-22,7.1,-10.41,100.0,53.89,1.06,75.69444444444444,0.7
2017-01-23,8.69,-7.13,100.0,43.51,1.1,115.50925925925925,0.83
2017-01-24,8.22,-8.82,99.8,39.15,0.72,121.75925925925925,0.7
2017-01-25,9.63,-10.14,97.3,32.21,0.75,130.09259259259258,0.8
2017-01-26,10.31,-8.47,99.9,35.92,1.73,81.94444444444444,1.25
2017-01-27,5.96,2.0,100.0,69.8,2.05,40.97222222222222,0.71
2017-01-28,8.57,-1.49,100.0,65.05,1.64,53.703703703703695,0.79
2017-01-29,9.32,0.53,100.0,92.0,1.88,29.513888888888886,0.49
2017-01-30,14.27,1.46,100.0,67.18,1.79,71.52777777777777,1.01
2017-01-31,14.54,-1.08,100.0,41.56,1.81,110.76388888888889,1.47
2017-02-01,10.92,1.53,100.0,79.3,0.96,28.009259259259256,0.63
2017-02-02,10.19,2.4,100.0,70.1,4.09,45.717592592592595,1.04
2017-02-03,12.26,2.54,92.6,58.92,5.74,68.75,1.73
2017-02-04,13.0,9.05,95.7,68.63,6.07,54.513888888888886,1.47
2017-02-05,10.12,2.4,96.8,51.93,5.46,113.0787037037037,1.74
2017-02-06,12.06,4.02,95.0,59.93,2.7,56.25,1.28
2017-02-07,10.39,1.67,100.0,70.2,2.3,44.3287037037037,0.91
2017-02-08,7.35,-4.17,99.9,49.03,1.5,130.4398148148148,1.05
2017-02-09,12.32,-4.24,100.0,17.48,0.73,124.42129629629629,1.17
2017-02-10,8.7,-2.42,94.2,47.32,1.58,106.36574074074073,1.17
2017-02-11,8.78,2.54,95.8,71.6,1.56,66.89814814814815,0.86
2017-02-12,10.6,4.56,85.1,60.95,3.2,48.03240740740741,1.4
2017-02-13,10.45,0.46,100.0,57.78,2.84,64.93055555555556,1.26
2017-02-14,12.39,0.02,100.0,51.24,2.39,147.68518518518516,1.58
2017-02-15,14.4,-1.35,100.0,40.75,0.73,145.60185185185185,1.27
2017-02-16,14.66,-3.37,99.9,40.07,0.89,165.04629629629628,1.41
2017-02-17,14.45,-4.44,100.0,34.09,0.74,172.22222222222223,1.38
2017-02-18,11.18,-3.36,99.9,60.33,1.25,97.68518518518518,1.09
2017-02-19,14.8,-0.55,100.0,31.4,1.92,171.75925925925924,2.05
2017-02-20,14.4,-4.71,100.0,30.46,1.68,177.662037037037,1.96
2017-02-21,17.34,-5.98,100.0,24.87,1.11,183.10185185185185,1.94
2017-02-22,19.69,-4.24,94.8,22.65,0.73,168.86574074074073,1.77
2017-02-23,14.34,1.54,100.0,50.77,0.73,72.10648148148148,1.11
2017-02-24,12.25,-3.3,100.0,43.58,2.01,158.33333333333331,1.76
2017-02-25,15.48,-5.55,100.0,23.75,0.95,187.03703703703704,1.81
2017-02-26,16.67,-3.29,98.3,32.61,1.31,182.98611111111111,2.04
2017-02-27,13.41,6.37,94.8,48.02,3.65,105.55555555555554,2.07
2017-02-28,11.87,5.03,99.9,58.26,4.27,78.00925925925925,1.62
2017-03-01,13.86,4.22,100.0,54.06,1.89,164.12037037037035,1.8
2017-03-02,16.61,-1.68,100.0,36.1,1.1,191.08796296296296,2.0
2017-03-03,11.6,-1.14,100.0,55.18,3.65,79.39814814814815,1.64
2017-03-04,9.04,-0.14,97.5,43.93,2.83,125.34722222222221,1.72
2017-03-05,12.07,4.22,100.0,80.6,2.75,42.70833333333333,0.91
2017-03-06,16.75,5.42,99.9,49.15,3.02,139.93055555555554,2.31
2017-03-07,16.4,0.13,100.0,44.24,1.73,175.69444444444443,2.17
2017-03-08,21.16,-0.81,100.0,32.4,0.78,203.9351851851852,2.26
2017-03-10,25.19,-1.08,99.9,14.52,0.87,222.56944444444443,2.85
2017-03-11,22.24,2.21,96.7,23.79,2.06,176.15740740740742,3.32
2017-03-12,11.39,-0.55,100.0,57.99,1.93,104.86111111111111,1.46
2017-03-13,11.05,0.6,99.1,58.79,4.0,135.87962962962962,1.79
2017-03-14,20.1,4.96,89.7,22.86,3.0,223.95833333333334,3.92
2017-03-15,21.3,1.4,94.4,10.15,1.81,236.57407407407408,3.61
2017-03-16,19.29,-2.49,98.3,12.24,1.65,239.93055555555554,3.27
2017-03-17,20.45,-1.72,92.7,19.78,1.06,242.01388888888889,2.89
