Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2017-01-01,15.06,-0.86,99.4,33.42,0.51,100.34722222222221,0.68
2017-01-02,12.99,-2.2,97.0,48.37,0.25,78.7037037037037,0.49
2017-01-03,19.61,0.01,97.0,28.64,0.45,81.82870370370371,0.83
2017-01-04,19.95,3.7,90.6,30.78,0.67,103.24074074074073,0.99
2017-01-05,18.2,1.36,98.0,26.01,0.55,106.36574074074073,0.83
2017-01-06,13.65,0.69,99.3,58.03,0.32,97.56944444444444,0.53
2017-01-07,13.73,-1.12,99.1,54.0,0.33,103.70370370370371,0.54
2017-01-08,16.47,-1.52,99.4,32.34,0.27,105.6712962962963,0.56
2017-01-09,15.06,-0.79,96.6,46.59,0.42,104.39814814814814,0.64
2017-01-10,14.74,0.22,96.4,41.33,1.22,33.79629629629629,1.15
2017-01-11,14.67,2.69,97.8,46.53,0.66,67.59259259259258,0.82
2017-01-12,20.35,2.49,98.8,37.7,1.08,105.55555555555554,1.3
2017-01-13,15.39,6.11,73.1,26.02,1.43,113.19444444444443,1.5
2017-01-14,12.39,3.88,56.94,26.16,1.49,108.56481481481482,1.53
2017-01-15,12.93,4.9,56.01,37.05,1.6,75.81018518518518,1.57
2017-01-16,17.14,8.79,52.96,34.96,1.97,109.25925925925925,2.11
2017-01-17,11.81,0.82,95.1,16.75,1.32,92.93981481481481,1.31
2017-01-18,8.77,-1.42,65.18,14.93,1.06,100.34722222222221,1.17
2017-01-19,7.25,0.81,98.9,35.56,1.0,7.638888888888889,0.88
2017-01-20,5.64,1.75,99.5,92.1,1.02,9.143518518518519,0.43
2017-01-21,9.59,4.9,99.6,51.68,0.52,21.64351851851852,0.68
2017-01-22,12.14,6.25,89.6,44.75,0.8,41.2037037037037,0.94
2017-01-23,13.46,1.02,95.3,40.69,0.56,73.49537037037037,0.85
2017-01-24,16.13,0.48,89.8,29.58,0.51,106.94444444444444,0.95
2017-01-25,17.21,2.09,97.4,20.71,0.88,132.4074074074074,1.32
2017-01-26,13.85,-1.2,98.4,40.47,0.37,100.81018518518519,0.78
2017-01-27,12.79,5.98,99.1,53.1,0.9,59.02777777777777,0.92
2017-01-28,15.26,3.03,79.8,28.37,1.98,125.81018518518518,1.92
2017-01-29,15.53,0.96,88.8,43.5,0.83,104.05092592592592,1.14
2017-01-30,19.21,5.84,98.2,47.85,1.15,128.24074074074073,1.44
2017-01-31,17.73,4.38,99.6,54.3,0.28,116.7824074074074,0.91
2017-02-01,20.88,3.03,99.9,37.02,0.68,119.44444444444444,1.33
2017-02-02,15.01,6.04,88.9,57.45,1.09,38.657407407407405,1.07
2017-02-03,17.28,6.52,89.5,45.11,2.3,136.80555555555554,1.97
2017-02-04,19.48,12.88,69.28,45.49,3.07,100.23148148148148,2.77
2017-02-05,15.21,7.36,80.9,29.59,3.37,132.98611111111111,2.62
2017-02-06,18.8,5.98,59.44,36.56,2.06,131.94444444444443,2.39
2017-02-07,20.68,10.25,75.8,36.22,1.47,113.31018518518518,2.08
2017-02-08,13.8,7.12,50.4,26.83,2.4,159.02777777777777,2.6
2017-02-09,15.6,4.31,74.3,27.9,1.19,147.4537037037037,1.77
2017-02-10,13.33,-0.45,98.3,50.3,0.51,115.16203703703702,1.03
2017-02-11,10.33,6.51,97.4,75.0,0.57,15.97222222222222,0.63
2017-02-12,15.06,7.71,98.5,64.54,0.8,71.64351851851852,1.03
2017-02-13,16.22,5.24,98.2,57.61,0.55,54.745370370370374,0.96
2017-02-14,18.59,2.96,98.1,38.94,0.72,158.21759259259258,1.56
2017-02-15,16.47,1.5,99.6,51.16,0.31,97.56944444444444,1.02
2017-02-16,15.87,4.71,99.5,52.24,0.26,90.97222222222221,1.0
2017-02-17,17.05,2.76,99.9,44.96,0.36,163.31018518518516,1.33
2017-02-18,17.66,1.29,99.8,43.21,0.42,157.87037037037038,1.38
2017-02-19,14.59,3.1,98.7,49.83,0.54,82.9861111111111,1.1
2017-02-20,16.05,-0.05,99.3,35.08,0.61,171.41203703703704,1.53
2017-02-21,18.06,-0.12,95.6,26.74,0.47,177.662037037037,1.57
2017-02-22,18.99,2.03,93.2,28.16,0.33,136.6898148148148,1.38
2017-02-23,18.4,7.12,91.1,43.36,0.45,94.90740740740739,1.32
2017-02-24,15.26,6.18,99.9,79.2,0.45,77.89351851851852,1.0
2017-02-25,17.53,1.76,99.4,38.98,0.45,173.14814814814815,1.61
2017-02-26,17.99,2.63,99.8,53.42,0.38,177.08333333333334,1.6
2017-02-27,18.47,5.04,99.8,36.76,1.63,180.20833333333331,2.37
2017-02-28,17.01,7.98,81.2,43.77,2.09,74.07407407407408,2.08
2017-03-01,20.46,5.38,97.8,38.09,0.76,186.1111111111111,2.1
2017-03-02,21.73,4.04,99.0,38.29,0.53,192.01388888888889,2.01
2017-03-03,13.4,2.5,99.9,64.62,1.22,80.32407407407408,1.2
2017-03-04,12.0,2.29,82.2,44.28,2.56,113.42592592592592,2.01
2017-03-05,16.39,2.76,81.8,48.35,2.15,174.30555555555554,2.39
2017-03-06,23.69,10.99,73.4,29.36,1.78,181.25,3.34
2017-03-07,24.67,8.52,83.2,24.78,1.2,177.08333333333334,2.92
2017-03-08,24.53,7.26,96.9,32.77,0.86,198.95833333333334,2.66
2017-03-09,30.62,5.78,98.3,12.75,0.77,215.04629629629628,3.12
2017-03-10,29.22,7.73,89.5,16.07,0.84,222.2222222222222,3.2
2017-03-11,26.87,5.38,93.7,34.04,0.4,211.22685185185185,2.45
2017-03-12,23.0,6.37,98.3,39.56,0.81,200.23148148148147,2.54
2017-03-13,10.66,5.84,98.9,87.1,1.05,10.185185185185185,0.58
2017-03-14,17.39,6.18,97.0,50.76,1.02,163.0787037037037,2.06
2017-03-15,17.65,4.64,98.2,44.96,0.83,216.66666666666663,2.36
2017-03-16,18.78,2.23,99.8,30.57,0.43,222.80092592592592,2.22
2017-03-17,19.25,0.55,97.3,27.68,0.46,234.25925925925924,2.32
2017-03-18,24.07,0.02,91.6,12.09,0.49,245.60185185185182,2.66
2017-03-19,23.0,3.91,90.2,29.15,0.46,233.91203703703704,2.62
2017-03-20,22.93,4.24,94.6,21.63,0.44,229.16666666666666,2.57
2017-03-21,22.88,5.85,95.6,32.46,0.9,184.375,2.68
2017-03-22,19.41,7.71,75.1,16.87,1.46,209.1435185185185,3.28
2017-03-23,15.39,4.36,75.2,23.52,1.52,250.69444444444443,3.07
2017-03-24,15.11,1.68,92.6,35.28,0.9,182.0601851851852,2.18
2017-03-25,17.59,2.23,93.8,29.1,1.24,202.3148148148148,2.7
2017-03-26,17.85,2.76,93.7,41.52,0.76,220.60185185185182,2.55
2017-03-27,19.87,7.44,98.4,35.75,1.08,244.67592592592592,3.07
2017-03-28,21.65,4.71,97.8,31.91,0.65,205.78703703703704,2.66
2017-03-29,23.2,5.45,90.3,27.67,0.61,257.52314814814815,3.15
2017-03-30,21.79,5.18,98.1,43.27,0.5,242.24537037037035,2.86
2017-03-31,25.95,5.64,91.2,26.53,0.79,217.24537037037035,3.22
