dates,temp,rh,solar_rad,wind,Estacion,Servicio
2023-06-18 00:00:00,23.9,74.53,0,3.5,CA73,VC
2023-06-18 01:00:00,23.8,76.4,0,3.8055555555555554,CA73,VC
2023-06-18 02:00:00,23.8,74.98,0,2.3055555555555554,CA73,VC
2023-06-18 03:00:00,23.4,79.24,0,4.0,CA73,VC
2023-06-18 04:00:00,23.3,77.28,0,4.0,CA73,VC
2023-06-18 05:00:00,23.3,74.9,0,4.888888888888889,CA73,VC
2023-06-18 06:00:00,23.5,71.27,0,3.611111111111111,CA73,VC
2023-06-18 07:00:00,23.5,66.06,1,6.111111111111111,CA73,VC
2023-06-18 08:00:00,24.1,56.43,39,4.388888888888889,CA73,VC
2023-06-18 09:00:00,24.2,62.14,130,7.805555555555555,CA73,VC
2023-06-18 10:00:00,24.4,64.19,227,7.194444444444445,CA73,VC
2023-06-18 11:00:00,24.7,68.0,464,6.805555555555555,CA73,VC
2023-06-18 12:00:00,25.3,63.18,641,6.694444444444445,CA73,VC
2023-06-18 13:00:00,25.7,60.16,782,7.194444444444445,CA73,VC
2023-06-18 14:00:00,25.8,59.8,854,8.11111111111111,CA73,VC
2023-06-18 15:00:00,25.4,64.0,872,8.61111111111111,CA73,VC
2023-06-18 16:00:00,25.8,62.11,785,7.805555555555555,CA73,VC
2023-06-18 17:00:00,25.9,62.52,624,7.611111111111111,CA73,VC
2023-06-18 18:00:00,25.8,61.72,522,7.805555555555555,CA73,VC
2023-06-18 19:00:00,25.4,64.81,332,6.305555555555555,CA73,VC
2023-06-18 20:00:00,24.8,72.4,189,5.694444444444445,CA73,VC
2023-06-18 21:00:00,24.4,75.55,69,3.3055555555555554,CA73,VC
2023-06-18 22:00:00,24.1,77.4,4,2.5,CA73,VC
2023-06-18 23:00:00,24.0,76.9,0,3.111111111111111,CA73,VC
2023-06-19 00:00:00,23.7,74.97,0,5.305555555555555,CA73,VC
2023-06-19 01:00:00,23.4,80.23,0,5.388888888888889,CA73,VC
2023-06-19 02:00:00,23.6,75.42,0,5.194444444444445,CA73,VC
