dates,temp,rh,solar_rad,wind,Estacion,Servicio
2023-06-18 00:00:00,22.8,63.03,0,3.1944444444444446,CA91,VC
2023-06-18 01:00:00,22.3,64.56,0,2.0,CA91,VC
2023-06-18 02:00:00,21.6,68.68,0,1.6944444444444444,CA91,VC
2023-06-18 03:00:00,21.6,63.99,0,2.611111111111111,CA91,VC
2023-06-18 04:00:00,21.8,56.23,0,2.5,CA91,VC
2023-06-18 05:00:00,21.7,51.93,0,2.8055555555555554,CA91,VC
2023-06-18 06:00:00,21.6,48.57,0,2.1944444444444446,CA91,VC
2023-06-18 07:00:00,22.4,49.76,1,3.611111111111111,CA91,VC
2023-06-18 08:00:00,22.1,53.43,21,4.111111111111111,CA91,VC
2023-06-18 09:00:00,23.4,44.71,90,4.388888888888889,CA91,VC
2023-06-18 10:00:00,24.6,39.97,144,4.194444444444445,CA91,VC
2023-06-18 11:00:00,25.8,40.57,427,4.611111111111111,CA91,VC
2023-06-18 12:00:00,27.7,34.4,615,4.0,CA91,VC
2023-06-18 13:00:00,29.2,27.01,560,4.694444444444445,CA91,VC
2023-06-18 14:00:00,29.8,29.06,662,5.5,CA91,VC
2023-06-18 15:00:00,29.4,34.65,749,5.388888888888889,CA91,VC
2023-06-18 16:00:00,29.6,33.36,792,6.111111111111111,CA91,VC
2023-06-18 17:00:00,29.5,30.58,657,6.694444444444445,CA91,VC
2023-06-18 18:00:00,29.2,29.89,463,6.388888888888889,CA91,VC
2023-06-18 19:00:00,28.2,32.32,407,5.888888888888889,CA91,VC
2023-06-18 20:00:00,26.9,38.53,219,4.305555555555555,CA91,VC
2023-06-18 21:00:00,25.4,44.96,80,2.111111111111111,CA91,VC
2023-06-18 22:00:00,24.0,51.18,6,1.6111111111111112,CA91,VC
2023-06-18 23:00:00,23.0,55.8,0,2.111111111111111,CA91,VC
2023-06-19 00:00:00,22.8,49.54,0,3.3055555555555554,CA91,VC
2023-06-19 01:00:00,23.2,38.78,0,3.388888888888889,CA91,VC
2023-06-19 02:00:00,22.5,46.59,0,2.611111111111111,CA91,VC
2023-06-19 03:00:00,22.4,45.64,0,3.388888888888889,CA91,VC
2023-06-19 04:00:00,22.7,40.79,0,2.5,CA91,VC
2023-06-19 05:00:00,22.5,41.01,0,1.8888888888888888,CA91,VC
2023-06-19 06:00:00,22.0,40.31,0,1.1111111111111112,CA91,VC
2023-06-19 07:00:00,22.3,40.4,1,0.1111111111111111,CA91,VC
2023-06-19 08:00:00,21.5,59.95,48,0.6111111111111112,CA91,VC
2023-06-19 09:00:00,22.6,64.21,136,0.8888888888888888,CA91,VC
2023-06-19 10:00:00,23.8,63.25,254,1.6944444444444444,CA91,VC
2023-06-19 11:00:00,24.8,58.07,388,2.5,CA91,VC
2023-06-19 12:00:00,25.8,52.65,579,3.5,CA91,VC
2023-06-19 13:00:00,26.6,46.18,870,4.0,CA91,VC
2023-06-19 14:00:00,26.9,50.3,969,4.388888888888889,CA91,VC
2023-06-19 15:00:00,27.7,47.08,980,4.0,CA91,VC
2023-06-19 16:00:00,27.6,48.28,919,4.194444444444445,CA91,VC
2023-06-19 17:00:00,27.2,52.34,818,3.8055555555555554,CA91,VC
2023-06-19 18:00:00,26.9,56.04,665,2.6944444444444446,CA91,VC
2023-06-19 19:00:00,26.8,55.67,428,2.0,CA91,VC
2023-06-19 20:00:00,25.2,59.66,239,3.3055555555555554,CA91,VC
2023-06-19 21:00:00,23.5,68.19,105,3.0,CA91,VC
2023-06-19 22:00:00,22.8,73.88,6,1.6944444444444444,CA91,VC
2023-06-19 23:00:00,22.3,77.61,0,1.3888888888888888,CA91,VC
2023-06-20 00:00:00,22.1,76.61,0,3.111111111111111,CA91,VC
2023-06-20 01:00:00,21.9,79.53,0,2.3055555555555554,CA91,VC
2023-06-20 02:00:00,21.8,82.56,0,3.1944444444444446,CA91,VC
2023-06-20 03:00:00,22.0,80.54,0,3.0,CA91,VC
2023-06-20 04:00:00,21.9,78.53,0,1.1944444444444444,CA91,VC
2023-06-20 05:00:00,21.5,82.52,0,1.5,CA91,VC
2023-06-20 06:00:00,21.6,77.51,0,0.8888888888888888,CA91,VC
2023-06-20 07:00:00,21.6,69.57,1,1.0,CA91,VC
2023-06-20 08:00:00,21.9,67.44,61,0.8055555555555556,CA91,VC
2023-06-20 09:00:00,23.4,66.46,193,1.8055555555555556,CA91,VC
2023-06-20 10:00:00,24.1,76.92,374,2.0,CA91,VC
2023-06-20 11:00:00,25.4,66.46,595,2.1944444444444446,CA91,VC
2023-06-20 12:00:00,26.4,60.32,795,2.5,CA91,VC
2023-06-20 13:00:00,27.5,53.42,908,3.1944444444444446,CA91,VC
2023-06-20 14:00:00,28.2,46.32,970,3.3055555555555554,CA91,VC
2023-06-20 15:00:00,28.6,46.43,976,3.5,CA91,VC
2023-06-20 16:00:00,28.3,49.08,926,3.8055555555555554,CA91,VC
2023-06-20 17:00:00,27.7,53.14,823,3.388888888888889,CA91,VC
2023-06-20 18:00:00,27.0,58.59,673,3.3055555555555554,CA91,VC
2023-06-20 19:00:00,26.7,57.43,498,2.388888888888889,CA91,VC
2023-06-20 20:00:00,25.6,63.25,293,2.111111111111111,CA91,VC
2023-06-20 21:00:00,24.7,65.9,106,0.8055555555555556,CA91,VC
2023-06-20 22:00:00,23.6,73.56,6,1.5,CA91,VC
2023-06-20 23:00:00,22.9,72.06,0,1.0,CA91,VC
2023-06-21 00:00:00,21.9,86.26,0,1.1944444444444444,CA91,VC
2023-06-21 01:00:00,21.4,92.31,0,0.8055555555555556,CA91,VC
2023-06-21 02:00:00,21.1,92.86,0,0.6111111111111112,CA91,VC
2023-06-21 03:00:00,21.1,88.36,0,1.3055555555555556,CA91,VC
2023-06-21 04:00:00,21.1,86.18,0,0.6944444444444444,CA91,VC
2023-06-21 05:00:00,20.9,86.7,0,1.0,CA91,VC
2023-06-21 06:00:00,20.8,82.96,0,1.3055555555555556,CA91,VC
2023-06-21 07:00:00,20.9,74.03,1,2.0,CA91,VC
2023-06-21 08:00:00,21.5,75.08,56,1.1111111111111112,CA91,VC
2023-06-21 09:00:00,22.9,72.52,150,0.8055555555555556,CA91,VC
2023-06-21 10:00:00,24.5,66.27,363,0.6944444444444444,CA91,VC
2023-06-21 11:00:00,25.7,65.69,602,2.0,CA91,VC
2023-06-21 12:00:00,26.1,67.43,780,2.611111111111111,CA91,VC
2023-06-21 13:00:00,26.7,65.9,903,3.0,CA91,VC
2023-06-21 14:00:00,27.1,65.17,965,3.111111111111111,CA91,VC
2023-06-21 15:00:00,27.6,63.29,972,3.3055555555555554,CA91,VC
2023-06-21 16:00:00,27.8,64.12,921,2.888888888888889,CA91,VC
2023-06-21 17:00:00,27.0,64.35,818,3.388888888888889,CA91,VC
2023-06-21 18:00:00,26.9,60.44,674,2.0,CA91,VC
2023-06-21 19:00:00,26.5,61.11,439,2.0,CA91,VC
2023-06-21 20:00:00,25.9,63.71,247,1.8888888888888888,CA91,VC
2023-06-21 21:00:00,24.9,66.35,110,1.8888888888888888,CA91,VC
2023-06-21 22:00:00,23.9,68.7,6,1.3888888888888888,CA91,VC
2023-06-21 23:00:00,23.2,73.03,0,0.8888888888888888,CA91,VC
2023-06-22 00:00:00,22.9,82.18,0,2.111111111111111,CA91,VC
2023-06-22 01:00:00,22.4,87.38,0,2.0,CA91,VC
2023-06-22 02:00:00,22.2,89.0,0,1.6944444444444444,CA91,VC
2023-06-22 03:00:00,21.9,91.2,0,1.3888888888888888,CA91,VC
2023-06-22 04:00:00,21.6,93.46,0,1.0,CA91,VC
2023-06-22 05:00:00,21.4,93.46,0,0.3055555555555556,CA91,VC
2023-06-22 06:00:00,21.1,92.29,0,1.0,CA91,VC
2023-06-22 07:00:00,20.8,91.7,1,1.1111111111111112,CA91,VC
2023-06-22 08:00:00,21.7,88.41,77,1.3888888888888888,CA91,VC
2023-06-22 09:00:00,23.7,80.27,256,1.3055555555555556,CA91,VC
2023-06-22 10:00:00,25.9,70.82,454,0.6944444444444444,CA91,VC
2023-06-22 11:00:00,27.8,61.78,641,0.3055555555555556,CA91,VC
2023-06-22 12:00:00,28.7,55.43,799,2.5,CA91,VC
2023-06-22 13:00:00,27.7,65.7,915,3.888888888888889,CA91,VC
2023-06-22 14:00:00,28.4,55.01,978,4.305555555555555,CA91,VC
2023-06-22 15:00:00,28.6,54.04,985,4.194444444444445,CA91,VC
2023-06-22 16:00:00,29.1,50.24,934,3.611111111111111,CA91,VC
2023-06-22 17:00:00,28.7,51.41,829,3.611111111111111,CA91,VC
2023-06-22 18:00:00,27.8,54.18,680,3.388888888888889,CA91,VC
2023-06-22 19:00:00,27.0,56.78,500,2.6944444444444446,CA91,VC
2023-06-22 20:00:00,26.5,56.66,304,1.8055555555555556,CA91,VC
2023-06-22 21:00:00,25.8,57.21,116,1.1944444444444444,CA91,VC
2023-06-22 22:00:00,24.8,63.47,7,0.6111111111111112,CA91,VC
