dates,temp,rh,solar_rad,wind,Estacion,Servicio
2023-06-18 00:00:00,20.0,51,0.0,1.28,CR12,WB
2023-06-18 01:00:00,18.9,54,0.0,1.5,CR12,WB
2023-06-18 02:00:00,18.0,56,0.0,1.54,CR12,WB
2023-06-18 03:00:00,18.0,51,0.0,1.71,CR12,WB
2023-06-18 04:00:00,17.4,48,0.0,2.08,CR12,WB
2023-06-18 05:00:00,17.4,46,0.0,3.14,CR12,WB
2023-06-18 06:00:00,16.9,52,0.0,2.1,CR12,WB
2023-06-18 07:00:00,17.1,50,33.013596,1.93,CR12,WB
2023-06-18 08:00:00,18.4,46,161.61906,2.45,CR12,WB
2023-06-18 09:00:00,19.0,58,283.21338,0.51,CR12,WB
2023-06-18 10:00:00,20.6,45,154.89401,1.21,CR12,WB
2023-06-18 11:00:00,18.2,63,181.82086,1.94,CR12,WB
2023-06-18 12:00:00,16.7,74,147.27425,2.69,CR12,WB
2023-06-18 13:00:00,17.1,77,278.95612,1.04,CR12,WB
2023-06-18 14:00:00,18.4,74,675.2165,1.88,CR12,WB
2023-06-18 15:00:00,21.0,68,831.4486,2.68,CR12,WB
2023-06-18 16:00:00,23.5,61,470.07538,1.48,CR12,WB
2023-06-18 17:00:00,24.4,55,620.4601,4.73,CR12,WB
2023-06-18 18:00:00,24.6,52,472.90515,2.37,CR12,WB
2023-06-18 19:00:00,24.4,54,297.99887,2.44,CR12,WB
2023-06-18 20:00:00,23.9,57,183.92932,2.11,CR12,WB
2023-06-18 21:00:00,22.9,48,32.50365,2.94,CR12,WB
2023-06-18 22:00:00,20.9,48,0.0,1.44,CR12,WB
2023-06-18 23:00:00,20.1,48,0.0,0.97,CR12,WB
2023-06-19 00:00:00,18.3,67,0.0,0.22,CR12,WB
2023-06-19 01:00:00,17.8,66,0.0,1.24,CR12,WB
2023-06-19 02:00:00,17.0,70,0.0,2.44,CR12,WB
2023-06-19 03:00:00,17.9,66,0.0,2.36,CR12,WB
2023-06-19 04:00:00,18.6,65,0.0,2.81,CR12,WB
2023-06-19 05:00:00,19.8,58,0.0,2.82,CR12,WB
2023-06-19 06:00:00,19.9,50,0.0,2.76,CR12,WB
2023-06-19 07:00:00,19.5,54,21.233,3.15,CR12,WB
2023-06-19 08:00:00,19.4,56,75.91145,2.32,CR12,WB
2023-06-19 09:00:00,19.9,53,119.052,2.59,CR12,WB
2023-06-19 10:00:00,20.4,55,135.89679,2.53,CR12,WB
2023-06-19 11:00:00,20.7,57,570.10004,1.25,CR12,WB
2023-06-19 12:00:00,22.1,52,679.1479,1.18,CR12,WB
2023-06-19 13:00:00,23.7,47,943.26996,2.06,CR12,WB
2023-06-19 14:00:00,25.1,47,968.2921,2.69,CR12,WB
2023-06-19 15:00:00,25.8,48,947.28754,3.14,CR12,WB
2023-06-19 16:00:00,26.5,47,838.5094,3.07,CR12,WB
2023-06-19 17:00:00,26.6,44,345.48883,2.19,CR12,WB
2023-06-19 18:00:00,27.0,42,580.5934,3.1,CR12,WB
2023-06-19 19:00:00,26.3,42,394.35574,3.56,CR12,WB
2023-06-19 20:00:00,25.2,46,203.80489,3.42,CR12,WB
2023-06-19 21:00:00,23.1,53,40.174355,3.0,CR12,WB
2023-06-19 22:00:00,21.7,57,0.0,1.25,CR12,WB
2023-06-19 23:00:00,20.3,64,0.0,0.42,CR12,WB
2023-06-20 00:00:00,18.5,58,0.0,1.76,CR12,WB
2023-06-20 01:00:00,17.8,60,0.0,1.8,CR12,WB
2023-06-20 02:00:00,17.6,62,0.0,1.83,CR12,WB
2023-06-20 03:00:00,18.0,68,0.0,0.91,CR12,WB
2023-06-20 04:00:00,17.4,77,0.0,0.86,CR12,WB
2023-06-20 05:00:00,17.9,74,0.0,2.78,CR12,WB
2023-06-20 06:00:00,17.4,82,0.0,2.62,CR12,WB
2023-06-20 07:00:00,16.9,82,18.285675,3.11,CR12,WB
2023-06-20 08:00:00,16.9,83,68.375404,0.27,CR12,WB
2023-06-20 09:00:00,17.7,82,317.6835,1.36,CR12,WB
2023-06-20 10:00:00,19.3,75,530.66473,1.8,CR12,WB
2023-06-20 11:00:00,20.8,72,706.15216,1.94,CR12,WB
2023-06-20 12:00:00,22.8,61,846.50916,2.35,CR12,WB
2023-06-20 13:00:00,24.7,53,773.5957,3.59,CR12,WB
2023-06-20 14:00:00,25.5,50,971.4158,3.38,CR12,WB
2023-06-20 15:00:00,26.4,47,943.51324,3.83,CR12,WB
2023-06-20 16:00:00,26.1,48,173.32979,3.19,CR12,WB
2023-06-20 17:00:00,25.8,51,156.6883,2.01,CR12,WB
2023-06-20 18:00:00,22.9,68,103.46067,1.97,CR12,WB
2023-06-20 19:00:00,22.7,68,382.7559,2.26,CR12,WB
2023-06-20 20:00:00,22.6,67,94.96932,3.1,CR12,WB
2023-06-20 21:00:00,21.5,68,36.85492,2.69,CR12,WB
2023-06-20 22:00:00,20.7,71,0.0,0.99,CR12,WB
2023-06-20 23:00:00,19.8,76,0.0,0.83,CR12,WB
2023-06-21 00:00:00,19.4,82,0.0,1.58,CR12,WB
2023-06-21 01:00:00,19.1,83,0.0,1.21,CR12,WB
2023-06-21 02:00:00,19.2,80,0.0,0.98,CR12,WB
2023-06-21 03:00:00,18.6,82,0.0,1.18,CR12,WB
2023-06-21 04:00:00,17.9,85,0.0,1.44,CR12,WB
2023-06-21 05:00:00,18.2,84,0.0,1.81,CR12,WB
2023-06-21 06:00:00,18.6,83,0.0,1.47,CR12,WB
2023-06-21 07:00:00,18.1,87,19.815557,1.15,CR12,WB
2023-06-21 08:00:00,18.7,83,67.988205,2.6,CR12,WB
2023-06-21 09:00:00,19.8,76,102.16137,2.13,CR12,WB
2023-06-21 10:00:00,20.8,72,129.43361,3.1,CR12,WB
2023-06-21 11:00:00,21.3,67,152.10838,2.46,CR12,WB
2023-06-21 12:00:00,21.7,64,169.35034,3.71,CR12,WB
2023-06-21 13:00:00,22.1,62,606.47986,3.06,CR12,WB
2023-06-21 14:00:00,21.3,69,181.08733,4.28,CR12,WB
2023-06-21 15:00:00,21.6,67,612.9903,2.69,CR12,WB
2023-06-21 16:00:00,21.8,67,503.02612,3.49,CR12,WB
2023-06-21 17:00:00,21.6,69,468.05722,3.9,CR12,WB
2023-06-21 18:00:00,21.7,68,576.78235,2.97,CR12,WB
2023-06-21 19:00:00,22.0,66,392.81494,3.12,CR12,WB
2023-06-21 20:00:00,22.2,63,203.98047,3.5,CR12,WB
2023-06-21 21:00:00,21.4,61,41.05108,2.77,CR12,WB
2023-06-21 22:00:00,20.3,62,0.0,1.83,CR12,WB
2023-06-21 23:00:00,19.0,68,0.0,1.88,CR12,WB
2023-06-22 00:00:00,18.0,82,0.0,1.99,CR12,WB
2023-06-22 01:00:00,17.4,82,0.0,2.06,CR12,WB
2023-06-22 02:00:00,16.8,82,0.0,2.16,CR12,WB
2023-06-22 03:00:00,16.1,84,0.0,1.91,CR12,WB
2023-06-22 04:00:00,15.6,86,0.0,1.94,CR12,WB
2023-06-22 05:00:00,15.2,87,0.0,2.08,CR12,WB
2023-06-22 06:00:00,15.0,86,0.0,2.13,CR12,WB
2023-06-22 07:00:00,14.7,86,33.372833,2.16,CR12,WB
2023-06-22 08:00:00,15.7,83,163.19806,1.87,CR12,WB
2023-06-22 09:00:00,19.1,77,349.23447,0.58,CR12,WB
2023-06-22 10:00:00,20.8,69,538.49695,1.0,CR12,WB
2023-06-22 11:00:00,22.3,65,708.3067,1.72,CR12,WB
2023-06-22 12:00:00,23.7,59,845.06036,2.06,CR12,WB
2023-06-22 13:00:00,24.9,51,937.185,2.22,CR12,WB
2023-06-22 14:00:00,26.2,46,973.7885,2.25,CR12,WB
2023-06-22 15:00:00,27.2,40,954.1898,1.72,CR12,WB
2023-06-22 16:00:00,28.1,37,877.5869,1.68,CR12,WB
2023-06-22 17:00:00,28.5,35,750.9687,2.49,CR12,WB
2023-06-22 18:00:00,28.4,35,514.323,2.52,CR12,WB
2023-06-22 19:00:00,27.9,37,397.1645,3.61,CR12,WB
2023-06-22 20:00:00,25.9,51,204.3848,3.3,CR12,WB
2023-06-22 21:00:00,24.5,58,41.215836,2.27,CR12,WB
2023-06-22 22:00:00,22.9,60,0.0,1.65,CR12,WB
2023-06-22 23:00:00,21.5,66,0.0,0.74,CR12,WB
2023-06-23 00:00:00,21.2,64,0.0,0.5,CR12,WB
2023-06-23 01:00:00,20.4,66,0.0,0.49,CR12,WB
2023-06-23 02:00:00,20.0,66,0.0,0.6,CR12,WB
2023-06-23 03:00:00,19.1,69,0.0,0.71,CR12,WB
2023-06-23 04:00:00,18.3,71,0.0,1.32,CR12,WB
2023-06-23 05:00:00,17.3,73,0.0,1.87,CR12,WB
2023-06-23 06:00:00,16.8,73,0.0,1.7,CR12,WB
2023-06-23 07:00:00,17.1,71,32.73087,1.38,CR12,WB
2023-06-23 08:00:00,17.5,74,162.50754,1.8,CR12,WB
2023-06-23 09:00:00,20.3,68,349.0884,0.97,CR12,WB
2023-06-23 10:00:00,22.1,52,541.9181,1.91,CR12,WB
2023-06-23 11:00:00,23.0,50,713.7166,2.8,CR12,WB
2023-06-23 12:00:00,24.1,51,848.59595,3.77,CR12,WB
2023-06-23 13:00:00,25.1,45,940.9303,4.63,CR12,WB
2023-06-23 14:00:00,25.8,40,979.23596,4.99,CR12,WB
2023-06-23 15:00:00,26.3,42,954.172,5.05,CR12,WB
2023-06-23 16:00:00,26.7,42,876.06836,5.09,CR12,WB
2023-06-23 17:00:00,26.8,41,750.0241,4.97,CR12,WB
2023-06-23 18:00:00,26.5,40,585.8412,4.83,CR12,WB
2023-06-23 19:00:00,25.8,40,398.4472,4.7,CR12,WB
2023-06-23 20:00:00,24.6,44,206.6427,4.2,CR12,WB
2023-06-23 21:00:00,22.9,51,41.913467,2.79,CR12,WB
2023-06-23 22:00:00,20.9,61,0.0,0.91,CR12,WB
2023-06-23 23:00:00,19.8,65,0.0,0.88,CR12,WB
2023-06-24 00:00:00,19.7,68,0.0,0.68,CR12,WB
2023-06-24 01:00:00,18.1,74,0.0,1.94,CR12,WB
2023-06-24 02:00:00,17.5,77,0.0,2.17,CR12,WB
2023-06-24 03:00:00,17.0,76,0.0,1.97,CR12,WB
2023-06-24 04:00:00,16.9,71,0.0,1.74,CR12,WB
2023-06-24 05:00:00,16.8,69,0.0,1.6,CR12,WB
2023-06-24 06:00:00,16.4,70,0.0,1.75,CR12,WB
2023-06-24 07:00:00,15.9,71,32.03407,2.0,CR12,WB
2023-06-24 08:00:00,16.7,71,162.21417,1.97,CR12,WB
2023-06-24 09:00:00,19.6,68,348.7106,1.18,CR12,WB
2023-06-24 10:00:00,22.5,49,541.7051,0.55,CR12,WB
2023-06-24 11:00:00,24.1,43,714.72626,1.09,CR12,WB
2023-06-24 12:00:00,25.6,40,852.6245,1.98,CR12,WB
2023-06-24 13:00:00,26.8,38,942.1833,2.53,CR12,WB
2023-06-24 14:00:00,27.8,38,976.94763,2.93,CR12,WB
2023-06-24 15:00:00,28.7,37,954.23145,3.14,CR12,WB
2023-06-24 16:00:00,29.4,32,879.7375,3.28,CR12,WB
2023-06-24 17:00:00,29.5,30,776.68,3.22,CR12,WB
2023-06-24 18:00:00,29.1,33,586.8999,3.1,CR12,WB
2023-06-24 19:00:00,28.1,38,397.74588,3.51,CR12,WB
2023-06-24 20:00:00,26.7,43,206.35487,3.54,CR12,WB
2023-06-24 21:00:00,25.0,49,42.06839,2.87,CR12,WB
2023-06-24 22:00:00,23.1,58,0.0,1.36,CR12,WB
2023-06-24 23:00:00,21.4,66,0.0,1.49,CR12,WB
2023-06-25 00:00:00,20.0,73,0.0,1.64,CR12,WB
2023-06-25 01:00:00,19.2,76,0.0,2.08,CR12,WB
2023-06-25 02:00:00,18.9,74,0.0,2.16,CR12,WB
