dates,temp,rh,solar_rad,wind,Estacion,Servicio
2023-06-18 00:00:00,22.8,46,0.0,1.96,LO51,WB
2023-06-18 01:00:00,22.1,51,0.0,0.94,LO51,WB
2023-06-18 02:00:00,21.8,54,0.0,0.68,LO51,WB
2023-06-18 03:00:00,21.8,47,0.0,2.2,LO51,WB
2023-06-18 04:00:00,22.0,43,0.0,2.2,LO51,WB
2023-06-18 05:00:00,22.0,43,0.0,2.42,LO51,WB
2023-06-18 06:00:00,22.1,47,0.0,3.57,LO51,WB
2023-06-18 07:00:00,22.7,43,24.66705,0.43,LO51,WB
2023-06-18 08:00:00,23.2,34,76.626,3.28,LO51,WB
2023-06-18 09:00:00,23.8,37,141.10999,3.91,LO51,WB
2023-06-18 10:00:00,24.0,38,122.21192,3.57,LO51,WB
2023-06-18 11:00:00,25.4,38,479.16074,3.5,LO51,WB
2023-06-18 12:00:00,27.1,32,830.4583,1.96,LO51,WB
2023-06-18 13:00:00,29.1,34,855.31354,1.88,LO51,WB
2023-06-18 14:00:00,29.3,29,980.6257,2.18,LO51,WB
2023-06-18 15:00:00,29.9,26,986.4252,2.57,LO51,WB
2023-06-18 16:00:00,29.9,30,903.4706,3.36,LO51,WB
2023-06-18 17:00:00,29.6,34,747.0967,3.42,LO51,WB
2023-06-18 18:00:00,29.0,34,388.27814,4.11,LO51,WB
2023-06-18 19:00:00,28.1,33,406.73373,4.03,LO51,WB
2023-06-18 20:00:00,26.9,35,209.10027,2.69,LO51,WB
2023-06-18 21:00:00,25.7,39,39.15102,1.35,LO51,WB
2023-06-18 22:00:00,23.8,51,0.0,1.06,LO51,WB
2023-06-18 23:00:00,22.8,55,0.0,1.19,LO51,WB
2023-06-19 00:00:00,23.1,47,0.0,2.39,LO51,WB
2023-06-19 01:00:00,22.9,43,0.0,2.51,LO51,WB
2023-06-19 02:00:00,22.7,45,0.0,2.68,LO51,WB
2023-06-19 03:00:00,22.9,44,0.0,2.42,LO51,WB
2023-06-19 04:00:00,22.9,44,0.0,2.83,LO51,WB
2023-06-19 05:00:00,22.6,38,0.0,2.33,LO51,WB
2023-06-19 06:00:00,22.0,44,0.0,1.13,LO51,WB
2023-06-19 07:00:00,21.3,47,30.592545,0.95,LO51,WB
2023-06-19 08:00:00,20.7,73,100.63744,1.33,LO51,WB
2023-06-19 09:00:00,21.3,71,189.55185,1.02,LO51,WB
2023-06-19 10:00:00,22.9,57,490.84113,1.33,LO51,WB
2023-06-19 11:00:00,24.5,49,697.48724,2.27,LO51,WB
2023-06-19 12:00:00,25.7,48,843.8099,3.57,LO51,WB
2023-06-19 13:00:00,26.5,48,931.89014,3.92,LO51,WB
2023-06-19 14:00:00,26.5,52,968.16895,4.22,LO51,WB
2023-06-19 15:00:00,27.2,46,942.09717,4.18,LO51,WB
2023-06-19 16:00:00,27.2,45,871.4758,4.73,LO51,WB
2023-06-19 17:00:00,26.8,45,738.6789,4.41,LO51,WB
2023-06-19 18:00:00,26.8,44,576.88586,3.64,LO51,WB
2023-06-19 19:00:00,26.7,45,393.64502,2.87,LO51,WB
2023-06-19 20:00:00,25.2,50,203.14072,3.19,LO51,WB
2023-06-19 21:00:00,23.7,56,40.035713,2.06,LO51,WB
2023-06-19 22:00:00,22.5,64,0.0,1.5,LO51,WB
2023-06-19 23:00:00,21.8,68,0.0,0.9,LO51,WB
2023-06-20 00:00:00,21.5,58,0.0,1.17,LO51,WB
2023-06-20 01:00:00,21.1,64,0.0,0.61,LO51,WB
2023-06-20 02:00:00,20.7,72,0.0,1.96,LO51,WB
2023-06-20 03:00:00,20.7,73,0.0,0.37,LO51,WB
2023-06-20 04:00:00,21.0,65,0.0,1.43,LO51,WB
2023-06-20 05:00:00,20.9,64,0.0,1.68,LO51,WB
2023-06-20 06:00:00,21.3,62,0.0,2.35,LO51,WB
2023-06-20 07:00:00,21.8,62,32.592697,2.57,LO51,WB
2023-06-20 08:00:00,22.4,63,149.24164,1.58,LO51,WB
2023-06-20 09:00:00,23.5,59,350.76627,1.57,LO51,WB
2023-06-20 10:00:00,23.9,73,533.6382,1.45,LO51,WB
2023-06-20 11:00:00,25.4,67,702.2957,2.06,LO51,WB
2023-06-20 12:00:00,26.7,55,841.6121,3.15,LO51,WB
2023-06-20 13:00:00,27.3,55,928.728,3.28,LO51,WB
2023-06-20 14:00:00,28.3,51,964.8356,3.37,LO51,WB
2023-06-20 15:00:00,28.7,48,944.37396,3.77,LO51,WB
2023-06-20 16:00:00,29.1,45,867.7084,3.55,LO51,WB
2023-06-20 17:00:00,28.9,44,633.2544,3.57,LO51,WB
2023-06-20 18:00:00,28.3,47,533.4367,3.45,LO51,WB
2023-06-20 19:00:00,27.7,47,391.11896,2.96,LO51,WB
2023-06-20 20:00:00,26.7,49,175.04813,2.35,LO51,WB
2023-06-20 21:00:00,25.8,51,30.766611,0.92,LO51,WB
2023-06-20 22:00:00,24.4,59,0.0,1.06,LO51,WB
2023-06-20 23:00:00,22.9,76,0.0,1.8,LO51,WB
2023-06-21 00:00:00,21.2,92,0.0,1.43,LO51,WB
2023-06-21 01:00:00,20.9,94,0.0,0.22,LO51,WB
2023-06-21 02:00:00,20.7,91,0.0,0.71,LO51,WB
2023-06-21 03:00:00,20.4,91,0.0,1.2,LO51,WB
2023-06-21 04:00:00,20.7,77,0.0,1.63,LO51,WB
2023-06-21 05:00:00,21.1,69,0.0,1.77,LO51,WB
2023-06-21 06:00:00,21.8,62,0.0,2.22,LO51,WB
2023-06-21 07:00:00,21.9,59,28.452137,1.61,LO51,WB
2023-06-21 08:00:00,22.1,64,112.98575,0.47,LO51,WB
2023-06-21 09:00:00,23.3,63,246.81216,0.25,LO51,WB
2023-06-21 10:00:00,24.3,67,519.1057,1.35,LO51,WB
2023-06-21 11:00:00,25.0,76,697.32184,2.42,LO51,WB
2023-06-21 12:00:00,25.3,69,805.5267,3.37,LO51,WB
2023-06-21 13:00:00,25.6,65,879.7914,3.38,LO51,WB
2023-06-21 14:00:00,26.9,61,953.4719,3.06,LO51,WB
2023-06-21 15:00:00,28.0,57,859.3585,2.54,LO51,WB
2023-06-21 16:00:00,27.7,56,719.1052,0.76,LO51,WB
2023-06-21 17:00:00,28.1,55,709.15717,2.22,LO51,WB
2023-06-21 18:00:00,28.0,53,575.1033,1.59,LO51,WB
2023-06-21 19:00:00,27.4,53,391.41406,1.7,LO51,WB
2023-06-21 20:00:00,26.5,55,202.91151,2.61,LO51,WB
2023-06-21 21:00:00,25.4,58,40.722885,1.04,LO51,WB
2023-06-21 22:00:00,24.2,61,0.0,1.05,LO51,WB
2023-06-21 23:00:00,23.1,63,0.0,0.8,LO51,WB
2023-06-22 00:00:00,22.0,81,0.0,0.88,LO51,WB
2023-06-22 01:00:00,21.5,84,0.0,0.57,LO51,WB
2023-06-22 02:00:00,21.1,81,0.0,0.27,LO51,WB
2023-06-22 03:00:00,21.0,77,0.0,0.68,LO51,WB
2023-06-22 04:00:00,20.8,75,0.0,0.92,LO51,WB
2023-06-22 05:00:00,20.4,76,0.0,0.98,LO51,WB
2023-06-22 06:00:00,20.1,72,0.0,1.62,LO51,WB
2023-06-22 07:00:00,20.0,72,33.266052,1.7,LO51,WB
2023-06-22 08:00:00,21.2,72,161.9872,1.75,LO51,WB
2023-06-22 09:00:00,23.4,64,347.99637,1.39,LO51,WB
2023-06-22 10:00:00,25.7,54,537.69714,0.9,LO51,WB
2023-06-22 11:00:00,27.8,47,708.4759,1.03,LO51,WB
2023-06-22 12:00:00,28.1,53,839.05054,2.75,LO51,WB
2023-06-22 13:00:00,27.9,59,920.0752,3.97,LO51,WB
2023-06-22 14:00:00,28.2,52,963.2056,4.39,LO51,WB
2023-06-22 15:00:00,28.6,50,942.6721,4.54,LO51,WB
2023-06-22 16:00:00,29.2,47,867.1239,4.38,LO51,WB
2023-06-22 17:00:00,29.4,45,742.2945,4.45,LO51,WB
2023-06-22 18:00:00,28.9,46,579.03357,3.44,LO51,WB
2023-06-22 19:00:00,28.0,49,392.8654,3.08,LO51,WB
2023-06-22 20:00:00,26.9,52,203.79738,2.13,LO51,WB
2023-06-22 21:00:00,25.9,54,41.1955,1.67,LO51,WB
2023-06-22 22:00:00,24.7,60,0.0,0.5,LO51,WB
2023-06-22 23:00:00,23.9,64,0.0,0.66,LO51,WB
2023-06-23 00:00:00,23.0,64,0.0,0.91,LO51,WB
2023-06-23 01:00:00,22.5,62,0.0,1.32,LO51,WB
2023-06-23 02:00:00,22.0,59,0.0,1.5,LO51,WB
2023-06-23 03:00:00,21.6,59,0.0,1.8,LO51,WB
2023-06-23 04:00:00,21.6,58,0.0,1.98,LO51,WB
2023-06-23 05:00:00,21.4,58,0.0,2.27,LO51,WB
2023-06-23 06:00:00,21.3,61,0.0,2.25,LO51,WB
2023-06-23 07:00:00,21.3,64,32.618378,2.32,LO51,WB
2023-06-23 08:00:00,22.4,59,162.04971,2.52,LO51,WB
2023-06-23 09:00:00,24.8,50,349.66327,2.36,LO51,WB
2023-06-23 10:00:00,26.4,46,539.35126,4.4,LO51,WB
2023-06-23 11:00:00,26.8,50,707.4014,5.33,LO51,WB
2023-06-23 12:00:00,27.9,48,843.11597,5.82,LO51,WB
2023-06-23 13:00:00,28.9,45,932.29846,6.3,LO51,WB
2023-06-23 14:00:00,29.4,46,966.2672,6.5,LO51,WB
2023-06-23 15:00:00,29.4,48,942.51654,6.48,LO51,WB
2023-06-23 16:00:00,29.1,49,865.4351,6.57,LO51,WB
2023-06-23 17:00:00,28.5,52,739.45465,6.34,LO51,WB
2023-06-23 18:00:00,27.7,55,576.53815,6.07,LO51,WB
2023-06-23 19:00:00,27.1,54,392.39816,5.52,LO51,WB
2023-06-23 20:00:00,26.4,50,204.84561,4.77,LO51,WB
2023-06-23 21:00:00,25.1,51,41.726685,3.64,LO51,WB
2023-06-23 22:00:00,23.8,51,0.0,2.06,LO51,WB
2023-06-23 23:00:00,22.8,52,0.0,1.93,LO51,WB
2023-06-24 00:00:00,22.3,54,0.0,1.94,LO51,WB
2023-06-24 01:00:00,21.9,54,0.0,2.07,LO51,WB
2023-06-24 02:00:00,21.6,55,0.0,2.2,LO51,WB
2023-06-24 03:00:00,21.3,57,0.0,2.21,LO51,WB
2023-06-24 04:00:00,21.0,58,0.0,2.25,LO51,WB
2023-06-24 05:00:00,20.8,58,0.0,2.18,LO51,WB
2023-06-24 06:00:00,20.5,59,0.0,2.2,LO51,WB
2023-06-24 07:00:00,20.3,59,31.98753,2.3,LO51,WB
2023-06-24 08:00:00,21.3,56,161.99495,2.15,LO51,WB
2023-06-24 09:00:00,23.6,48,350.28598,1.67,LO51,WB
2023-06-24 10:00:00,25.8,42,540.87946,1.53,LO51,WB
2023-06-24 11:00:00,27.8,39,712.3865,2.3,LO51,WB
2023-06-24 12:00:00,29.1,36,849.8608,3.32,LO51,WB
2023-06-24 13:00:00,29.9,36,938.744,4.0,LO51,WB
2023-06-24 14:00:00,29.8,43,967.77454,4.63,LO51,WB
2023-06-24 15:00:00,29.4,46,944.1629,4.72,LO51,WB
2023-06-24 16:00:00,29.1,43,870.9108,4.69,LO51,WB
2023-06-24 17:00:00,28.8,43,745.1831,4.32,LO51,WB
2023-06-24 18:00:00,28.1,44,582.2579,3.97,LO51,WB
2023-06-24 19:00:00,27.4,44,396.289,3.23,LO51,WB
2023-06-24 20:00:00,26.8,42,206.56696,2.08,LO51,WB
2023-06-24 21:00:00,25.6,42,42.24257,1.22,LO51,WB
2023-06-24 22:00:00,24.1,46,0.0,0.54,LO51,WB
2023-06-24 23:00:00,23.0,53,0.0,0.46,LO51,WB
2023-06-25 00:00:00,22.2,59,0.0,0.73,LO51,WB
2023-06-25 01:00:00,22.0,57,0.0,0.97,LO51,WB
2023-06-25 02:00:00,21.8,56,0.0,1.07,LO51,WB
2023-06-25 03:00:00,21.5,57,0.0,1.19,LO51,WB
2023-06-25 04:00:00,21.4,55,0.0,1.33,LO51,WB
2023-06-25 05:00:00,21.2,51,0.0,1.38,LO51,WB
2023-06-25 06:00:00,21.1,47,0.0,1.37,LO51,WB
2023-06-25 07:00:00,21.1,45,31.85,1.33,LO51,WB
2023-06-25 08:00:00,21.9,45,166.73,1.05,LO51,WB
2023-06-25 09:00:00,24.5,42,350.15295,0.44,LO51,WB
2023-06-25 10:00:00,26.9,34,558.55,0.88,LO51,WB
2023-06-25 11:00:00,28.6,32,736.76,1.76,LO51,WB
2023-06-25 12:00:00,29.7,33,850.8098,2.76,LO51,WB
2023-06-25 13:00:00,30.6,32,940.8182,3.19,LO51,WB
2023-06-25 14:00:00,31.1,29,978.7156,3.66,LO51,WB
2023-06-25 15:00:00,31.6,29,956.55615,3.61,LO51,WB
2023-06-25 16:00:00,31.7,29,879.02875,3.55,LO51,WB
2023-06-25 17:00:00,31.4,31,750.77423,3.35,LO51,WB
2023-06-25 18:00:00,31.1,32,585.68286,2.72,LO51,WB
2023-06-25 19:00:00,30.2,35,397.51492,2.48,LO51,WB
2023-06-25 20:00:00,28.9,35,207.28113,2.13,LO51,WB
2023-06-25 21:00:00,27.2,40,42.411068,1.56,LO51,WB
2023-06-25 22:00:00,25.4,46,0.0,0.71,LO51,WB
2023-06-25 23:00:00,24.6,49,0.0,0.31,LO51,WB
2023-06-26 00:00:00,24.1,44,0.0,0.66,LO51,WB
2023-06-26 01:00:00,24.0,41,0.0,0.73,LO51,WB
2023-06-26 02:00:00,23.9,40,0.0,0.59,LO51,WB
2023-06-26 03:00:00,23.7,42,0.0,0.92,LO51,WB
2023-06-26 04:00:00,23.3,46,0.0,0.84,LO51,WB
2023-06-26 05:00:00,23.0,46,0.0,0.85,LO51,WB
2023-06-26 06:00:00,23.1,45,0.0,1.03,LO51,WB
2023-06-26 07:00:00,22.8,47,30.368135,0.96,LO51,WB
2023-06-26 08:00:00,23.6,48,160.26794,0.66,LO51,WB
2023-06-26 09:00:00,26.1,37,360.23,0.93,LO51,WB
2023-06-26 10:00:00,27.3,33,557.56,1.53,LO51,WB
2023-06-26 11:00:00,28.8,36,710.80164,2.16,LO51,WB
2023-06-26 12:00:00,29.9,37,846.2052,3.14,LO51,WB
2023-06-26 13:00:00,30.6,34,938.1092,3.73,LO51,WB
2023-06-26 14:00:00,30.9,32,975.86475,4.2,LO51,WB
2023-06-26 15:00:00,31.1,32,954.3243,4.5,LO51,WB
2023-06-26 16:00:00,31.0,33,876.51294,4.4,LO51,WB
2023-06-26 17:00:00,30.9,33,749.8438,3.51,LO51,WB
2023-06-26 18:00:00,30.7,32,586.4329,3.63,LO51,WB
2023-06-26 19:00:00,30.2,32,398.3927,2.59,LO51,WB
2023-06-26 20:00:00,29.3,32,208.0162,1.97,LO51,WB
2023-06-26 21:00:00,27.9,38,42.607185,1.43,LO51,WB
2023-06-26 22:00:00,26.4,44,0.0,0.93,LO51,WB
2023-06-26 23:00:00,25.2,51,0.0,0.54,LO51,WB
2023-06-27 00:00:00,24.9,45,0.0,0.95,LO51,WB
2023-06-27 01:00:00,24.5,39,0.0,0.92,LO51,WB
2023-06-27 02:00:00,24.0,41,0.0,0.25,LO51,WB
2023-06-27 03:00:00,23.6,36,0.0,0.75,LO51,WB
2023-06-27 04:00:00,23.3,31,0.0,0.86,LO51,WB
2023-06-27 05:00:00,23.1,32,0.0,0.98,LO51,WB
2023-06-27 06:00:00,22.8,33,0.0,1.07,LO51,WB
