dates,temp,rh,wind,solar_rad
2023-06-17 00:00:00,22.025501,56.0,0.64031243,0.0
2023-06-17 01:00:00,21.9255,55.0,0.64031243,0.0
2023-06-17 02:00:00,21.525501,55.0,0.64031243,0.0
2023-06-17 03:00:00,21.025501,56.0,0.31622776,0.0
2023-06-17 04:00:00,20.7255,56.0,0.31622776,0.0
2023-06-17 05:00:00,20.9255,55.0,0.41231057,3.0
2023-06-17 06:00:00,22.625502,47.0,0.3,91.0
2023-06-17 07:00:00,24.025501,41.0,0.7211103,275.0
2023-06-17 08:00:00,25.4255,36.0,1.6155494,472.0
2023-06-17 09:00:00,26.625502,34.0,2.4698179,657.0
2023-06-17 10:00:00,27.625502,32.0,3.5341196,812.0
2023-06-17 11:00:00,28.2255,32.0,3.8948684,923.0
2023-06-17 12:00:00,28.625502,33.0,4.2190046,983.0
2023-06-17 13:00:00,28.7255,33.0,4.5793014,985.0
2023-06-17 14:00:00,28.625502,33.0,4.5221677,932.0
2023-06-17 15:00:00,28.3255,33.0,4.548626,826.0
2023-06-17 16:00:00,27.625502,34.0,4.4102154,676.0
2023-06-17 17:00:00,26.7255,35.0,4.2201896,495.0
2023-06-17 18:00:00,25.7255,36.0,3.7013512,300.0
2023-06-17 19:00:00,24.8255,37.0,2.4839485,112.0
2023-06-17 20:00:00,23.9255,40.0,2.1400933,6.0
2023-06-17 21:00:00,23.4255,42.0,2.0518284,0.0
2023-06-17 22:00:00,22.9255,42.0,1.7492856,0.0
2023-06-17 23:00:00,22.625502,41.0,1.5264337,0.0
2023-06-18 00:00:00,21.7255,45.0,1.5811388,0.0
2023-06-18 01:00:00,21.4255,43.0,1.7492856,0.0
2023-06-18 02:00:00,21.0755,45.0,0.72801095,0.0
2023-06-18 03:00:00,20.8255,43.0,1.4142135,0.0
2023-06-18 04:00:00,20.9255,42.0,3.5171013,0.0
2023-06-18 05:00:00,20.525501,48.0,2.7018514,2.0
2023-06-18 06:00:00,19.8255,64.0,3.4713109,63.0
2023-06-18 07:00:00,20.4255,65.0,6.016644,57.0
2023-06-18 08:00:00,21.9255,56.0,3.3120992,80.0
2023-06-18 09:00:00,25.025501,40.0,1.6124516,410.0
2023-06-18 10:00:00,25.125502,39.0,2.5019991,262.0
2023-06-18 11:00:00,24.625502,41.0,2.8178005,429.0
2023-06-18 12:00:00,23.625502,44.0,3.1622775,338.0
2023-06-18 13:00:00,23.9255,43.0,2.4698176,330.0
