dates,temp,rh,wind,solar_rad
2023-06-17 00:00:00,22.272001,52.0,3.306055,0.0
2023-06-17 01:00:00,21.872002,54.0,3.667424,0.0
2023-06-17 02:00:00,21.522001,54.0,4.049691,0.0
2023-06-17 03:00:00,20.972,56.0,4.2059484,0.0
2023-06-17 04:00:00,20.372002,59.0,3.9293766,0.0
2023-06-17 05:00:00,20.172,58.0,3.6878178,2.0
2023-06-17 06:00:00,21.372002,54.0,3.2280025,84.0
2023-06-17 07:00:00,23.572,44.0,4.1231055,264.0
2023-06-17 08:00:00,25.472,39.0,4.5793014,460.0
2023-06-17 09:00:00,27.372002,35.0,4.701064,645.0
2023-06-17 10:00:00,29.072,31.0,4.588028,801.0
2023-06-17 11:00:00,30.472,28.0,4.3965893,916.0
2023-06-17 12:00:00,31.472,26.0,5.2201533,979.0
2023-06-17 13:00:00,31.972,25.0,6.0876927,985.0
2023-06-17 14:00:00,32.072002,25.0,6.735726,931.0
2023-06-17 15:00:00,31.872002,26.0,7.3389373,801.0
2023-06-17 16:00:00,31.372002,26.0,8.065358,626.0
2023-06-17 17:00:00,30.472,27.0,8.485281,457.0
2023-06-17 18:00:00,28.672,31.0,8.570881,237.0
2023-06-17 19:00:00,26.772001,34.0,7.203471,95.0
2023-06-17 20:00:00,25.272001,35.0,6.016644,9.0
2023-06-17 21:00:00,24.272001,35.0,5.9135437,0.0
2023-06-17 22:00:00,23.372002,35.0,5.185557,0.0
2023-06-17 23:00:00,22.772001,34.0,5.4671745,0.0
2023-06-18 00:00:00,21.572,41.0,5.6859474,0.0
2023-06-18 01:00:00,20.272001,45.0,5.1739736,0.0
2023-06-18 02:00:00,19.622002,50.0,4.2544093,0.0
2023-06-18 03:00:00,18.572,63.0,5.0921507,0.0
2023-06-18 04:00:00,17.772001,71.0,4.4553337,0.0
2023-06-18 05:00:00,17.872002,71.0,3.0,2.0
2023-06-18 06:00:00,18.472,64.0,5.456189,58.0
2023-06-18 07:00:00,19.972,54.0,3.6878178,121.0
2023-06-18 08:00:00,20.872002,51.0,5.770615,191.0
2023-06-18 09:00:00,22.672,43.0,4.661545,436.0
2023-06-18 10:00:00,24.672,37.0,3.544009,675.0
2023-06-18 11:00:00,26.872002,31.0,4.1012197,746.0
2023-06-18 12:00:00,27.872002,27.0,3.04795,714.0
2023-06-18 13:00:00,28.872002,25.0,1.7117243,809.0
2023-06-18 14:00:00,29.672,25.0,2.6925821,757.0
2023-06-18 15:00:00,29.872002,26.0,5.1923018,665.0
