dates,temp,rh,wind,solar_rad
2023-06-17 00:00:00,26.940498,41.0,2.640076,0.0
2023-06-17 01:00:00,26.8405,41.0,2.8017852,0.0
2023-06-17 02:00:00,26.8905,41.0,2.624881,0.0
2023-06-17 03:00:00,26.940498,41.0,2.0808651,0.0
2023-06-17 04:00:00,26.3405,42.0,1.5811388,0.0
2023-06-17 05:00:00,25.8405,44.0,1.5132746,0.0
2023-06-17 06:00:00,26.2405,44.0,1.7117243,61.0
2023-06-17 07:00:00,27.3405,41.0,1.9104973,238.0
2023-06-17 08:00:00,28.8405,36.0,2.7073975,437.0
2023-06-17 09:00:00,30.3405,31.0,3.8118236,628.0
2023-06-17 10:00:00,31.7405,27.0,4.9497476,791.0
2023-06-17 11:00:00,32.5405,25.0,5.6885853,910.0
2023-06-17 12:00:00,33.0405,23.0,6.1983867,978.0
2023-06-17 13:00:00,33.240498,23.0,6.3788714,989.0
2023-06-17 14:00:00,33.240498,23.0,6.609841,941.0
2023-06-17 15:00:00,32.9405,24.0,6.846897,838.0
2023-06-17 16:00:00,32.6405,24.0,7.406079,689.0
2023-06-17 17:00:00,32.1405,25.0,7.495332,505.0
2023-06-17 18:00:00,31.3405,26.0,7.2615423,305.0
2023-06-17 19:00:00,30.3405,29.0,6.35059,116.0
2023-06-17 20:00:00,29.440498,31.0,5.800862,7.0
2023-06-17 21:00:00,27.6405,37.0,5.656854,0.0
2023-06-17 22:00:00,28.440498,34.0,3.9962482,0.0
2023-06-17 23:00:00,26.940498,40.0,2.5317976,0.0
2023-06-18 00:00:00,26.3405,42.0,4.4598203,0.0
2023-06-18 01:00:00,26.6405,39.0,6.0876923,0.0
2023-06-18 02:00:00,27.1405,36.0,3.1890438,0.0
2023-06-18 03:00:00,26.940498,38.0,3.6124783,0.0
2023-06-18 04:00:00,26.2405,41.0,2.5,0.0
2023-06-18 05:00:00,25.8405,43.0,2.3194828,0.0
2023-06-18 06:00:00,26.440498,39.0,1.5811388,40.0
2023-06-18 07:00:00,26.2405,43.0,1.4422206,164.0
2023-06-18 08:00:00,26.440498,45.0,2.5,363.0
2023-06-18 09:00:00,26.3405,48.0,2.5,553.0
2023-06-18 10:00:00,27.440498,44.0,3.9319208,702.0
2023-06-18 11:00:00,26.940498,49.0,5.162364,833.0
2023-06-18 12:00:00,27.1405,47.0,4.8548946,889.0
2023-06-18 13:00:00,27.3405,45.0,3.4999998,898.0
2023-06-18 14:00:00,28.2405,39.0,1.8439089,728.0
2023-06-18 15:00:00,29.3405,34.0,1.9416487,676.0
2023-06-18 16:00:00,29.440498,33.0,2.2203605,499.0
2023-06-18 17:00:00,28.6405,38.0,3.8013155,409.0
2023-06-18 18:00:00,25.7405,53.0,3.9849718,284.0
2023-06-18 19:00:00,25.1405,54.0,2.3345234,107.0
2023-06-18 20:00:00,26.3405,49.0,0.36055514,7.0
2023-06-18 21:00:00,25.7405,53.0,2.209072,0.0
2023-06-18 22:00:00,24.040499,61.0,2.4596748,0.0
2023-06-18 23:00:00,23.440498,64.0,2.3345237,0.0
2023-06-19 00:00:00,23.540499,63.0,1.6278821,0.0
2023-06-19 01:00:00,23.8405,63.0,2.5455844,0.0
2023-06-19 02:00:00,23.7405,66.0,3.3970575,0.0
2023-06-19 03:00:00,23.540499,68.0,2.059126,0.0
2023-06-19 04:00:00,22.940498,74.0,2.209072,0.0
2023-06-19 05:00:00,22.440498,79.0,1.5231546,0.0
2023-06-19 06:00:00,22.440498,77.0,1.2529964,34.0
2023-06-19 07:00:00,23.440498,70.0,2.1213202,145.0
2023-06-19 08:00:00,24.7405,61.0,1.7691805,353.0
2023-06-19 09:00:00,25.7405,56.0,2.7073975,614.0
2023-06-19 10:00:00,25.940498,56.0,2.8792362,773.0
2023-06-19 11:00:00,26.440498,53.0,3.2202482,884.0
2023-06-19 12:00:00,27.040499,52.0,4.118252,949.0
2023-06-19 13:00:00,26.8405,53.0,5.408327,906.0
2023-06-19 14:00:00,26.7405,52.0,4.6647615,866.0
2023-06-19 15:00:00,26.6405,51.0,4.3266616,777.0
2023-06-19 16:00:00,26.7405,49.0,4.060788,643.0
2023-06-19 17:00:00,26.8405,48.0,3.5608988,489.0
2023-06-19 18:00:00,26.8405,46.0,2.0808651,299.0
2023-06-19 19:00:00,26.8405,45.0,0.8544004,114.0
2023-06-19 20:00:00,26.3405,48.0,2.34094,7.0
2023-06-19 21:00:00,24.440498,58.0,3.2695565,0.0
2023-06-19 22:00:00,23.540499,65.0,2.6400757,0.0
2023-06-19 23:00:00,23.3405,67.0,2.5553863,0.0
2023-06-20 00:00:00,23.3405,68.0,2.2472205,0.0
2023-06-20 01:00:00,23.040499,70.0,1.5811387,0.0
2023-06-20 02:00:00,22.9905,71.0,1.421267,0.0
2023-06-20 03:00:00,22.940498,73.0,0.50990194,0.0
2023-06-20 04:00:00,22.6405,75.0,1.1,0.0
2023-06-20 05:00:00,22.2405,79.0,1.3892444,0.0
2023-06-20 06:00:00,23.540499,69.0,1.4866068,49.0
2023-06-20 07:00:00,24.940498,62.0,1.3038405,228.0
2023-06-20 08:00:00,25.1405,64.0,2.630589,423.0
2023-06-20 09:00:00,24.6405,69.0,2.942788,610.0
2023-06-20 10:00:00,24.7405,69.0,2.9529645,769.0
2023-06-20 11:00:00,25.1405,65.0,3.8013155,888.0
2023-06-20 12:00:00,25.6405,59.0,4.1880784,958.0
2023-06-20 13:00:00,26.3405,54.0,4.6647615,970.0
2023-06-20 14:00:00,26.2405,54.0,4.8826222,924.0
2023-06-20 15:00:00,26.440498,52.0,4.909175,822.0
2023-06-20 16:00:00,26.7405,50.0,4.5803933,640.0
2023-06-20 17:00:00,27.6405,47.0,4.596738,467.0
2023-06-20 18:00:00,27.3405,49.0,4.4777226,275.0
2023-06-20 19:00:00,25.7405,57.0,2.7166157,86.0
2023-06-20 20:00:00,24.540499,64.0,2.9068882,6.0
2023-06-20 21:00:00,24.040499,66.0,2.7658632,0.0
2023-06-20 22:00:00,23.2405,74.0,1.9235383,0.0
2023-06-20 23:00:00,22.8405,77.0,1.3416408,0.0
2023-06-21 00:00:00,22.7405,76.0,1.1,0.0
2023-06-21 01:00:00,22.7405,76.0,1.0770329,0.0
2023-06-21 02:00:00,22.940498,73.0,1.0049876,0.0
2023-06-21 03:00:00,23.540499,67.0,0.31622776,0.0
2023-06-21 04:00:00,23.1405,69.0,1.104536,0.0
2023-06-21 05:00:00,22.7405,73.0,1.0198039,0.0
2023-06-21 06:00:00,23.6405,70.0,1.118034,48.0
2023-06-21 07:00:00,24.3405,66.0,1.5264337,205.0
2023-06-21 08:00:00,25.3405,61.0,1.9235384,423.0
2023-06-21 09:00:00,26.1405,57.0,2.376973,610.0
2023-06-21 10:00:00,26.8405,55.0,3.206244,770.0
2023-06-21 11:00:00,26.7405,57.0,4.0792155,888.0
2023-06-21 12:00:00,26.540499,61.0,5.2478566,954.0
2023-06-21 13:00:00,26.2405,61.0,4.545327,964.0
2023-06-21 14:00:00,26.8405,57.0,4.763402,919.0
2023-06-21 15:00:00,27.540499,54.0,5.269725,821.0
2023-06-21 16:00:00,27.6405,52.0,6.074537,675.0
2023-06-21 17:00:00,27.1405,51.0,5.5758405,496.0
2023-06-21 18:00:00,26.540499,53.0,5.1,302.0
2023-06-21 19:00:00,26.040499,56.0,4.2544093,115.0
2023-06-21 20:00:00,25.7405,57.0,3.3615472,7.0
2023-06-21 21:00:00,25.2405,59.0,2.4515302,0.0
2023-06-21 22:00:00,24.7405,63.0,1.0770329,0.0
2023-06-21 23:00:00,24.540499,64.0,2.0615528,0.0
2023-06-22 00:00:00,23.7405,67.0,2.4596748,0.0
2023-06-22 01:00:00,23.1405,71.0,2.280351,0.0
2023-06-22 02:00:00,22.8405,73.0,2.3194828,0.0
2023-06-22 03:00:00,22.440498,75.0,2.2135942,0.0
2023-06-22 04:00:00,22.440498,74.0,1.4317821,0.0
2023-06-22 05:00:00,22.3405,75.0,0.82462114,0.0
2023-06-22 06:00:00,23.1405,70.0,0.5,57.0
2023-06-22 07:00:00,24.3405,65.0,0.86023253,231.0
2023-06-22 08:00:00,25.7405,59.0,1.7691805,428.0
