dates,temp,rh,wind,solar_rad
2023-06-17 00:00:00,18.7745,52.0,1.56205,0.0
2023-06-17 01:00:00,18.3745,53.0,1.3601471,0.0
2023-06-17 02:00:00,18.0245,53.0,1.421267,0.0
2023-06-17 03:00:00,17.7745,53.0,1.1401755,0.0
2023-06-17 04:00:00,17.5745,53.0,1.2806249,0.0
2023-06-17 05:00:00,17.4745,53.0,1.1401755,0.0
2023-06-17 06:00:00,19.0745,49.0,1.2806249,72.0
2023-06-17 07:00:00,20.5745,40.0,1.4866068,257.0
2023-06-17 08:00:00,21.9745,35.0,1.7204651,460.0
2023-06-17 09:00:00,23.0745,30.0,2.2022715,652.0
2023-06-17 10:00:00,23.9745,29.0,2.7658632,815.0
2023-06-17 11:00:00,24.5745,29.0,3.2015622,935.0
2023-06-17 12:00:00,25.0745,29.0,3.5608988,1002.0
2023-06-17 13:00:00,25.3745,28.0,4.104875,1011.0
2023-06-17 14:00:00,25.3745,28.0,4.304649,962.0
2023-06-17 15:00:00,24.9745,28.0,3.757659,851.0
2023-06-17 16:00:00,24.0745,31.0,3.8013155,669.0
2023-06-17 17:00:00,23.6745,32.0,3.3301651,487.0
2023-06-17 18:00:00,23.5745,32.0,2.9832866,320.0
2023-06-17 19:00:00,22.5745,34.0,2.4839485,128.0
2023-06-17 20:00:00,21.4745,38.0,2.302173,8.0
2023-06-17 21:00:00,20.6745,41.0,2.505993,0.0
2023-06-17 22:00:00,19.8745,43.0,2.7658632,0.0
2023-06-17 23:00:00,19.2745,45.0,2.5495098,0.0
2023-06-18 00:00:00,18.8745,46.0,2.6,0.0
2023-06-18 01:00:00,18.1745,47.0,2.7202942,0.0
2023-06-18 02:00:00,17.7245,47.0,2.0615528,0.0
2023-06-18 03:00:00,17.6745,44.0,2.7892652,0.0
2023-06-18 04:00:00,16.5745,52.0,2.5553863,0.0
2023-06-18 05:00:00,17.2745,51.0,0.94868326,0.0
2023-06-18 06:00:00,17.3745,49.0,2.624881,22.0
2023-06-18 07:00:00,17.0745,54.0,1.9026297,64.0
2023-06-18 08:00:00,17.8745,48.0,1.4422206,194.0
2023-06-18 09:00:00,18.4745,47.0,1.6492423,223.0
2023-06-18 10:00:00,19.0745,46.0,1.3341664,196.0
2023-06-18 11:00:00,19.9745,45.0,1.8867962,340.0
2023-06-18 12:00:00,21.1745,40.0,2.1954498,771.0
2023-06-18 13:00:00,21.9745,38.0,3.3941126,815.0
2023-06-18 14:00:00,22.1745,35.0,3.679674,665.0
2023-06-18 15:00:00,22.4745,32.0,3.3600597,509.0
2023-06-18 16:00:00,22.9745,30.0,2.745906,590.0
