dates,temp,rh,wind,solar_rad
2023-06-17 00:00:00,26.478498,39.0,3.8,0.0
2023-06-17 01:00:00,25.7785,42.0,3.535534,0.0
2023-06-17 02:00:00,24.9285,44.0,3.0066593,0.0
2023-06-17 03:00:00,24.2785,45.0,3.1400635,0.0
2023-06-17 04:00:00,23.7785,44.0,2.720294,0.0
2023-06-17 05:00:00,23.1785,45.0,1.9104973,0.0
2023-06-17 06:00:00,23.8785,43.0,1.104536,38.0
2023-06-17 07:00:00,24.978498,38.0,0.8544004,201.0
2023-06-17 08:00:00,26.578499,34.0,0.70710677,396.0
2023-06-17 09:00:00,28.3785,29.0,1.0198039,588.0
2023-06-17 10:00:00,30.1785,26.0,1.3892444,754.0
2023-06-17 11:00:00,31.478498,25.0,1.3601471,864.0
2023-06-17 12:00:00,32.4785,24.0,1.431782,901.0
2023-06-17 13:00:00,33.578503,23.0,2.2203605,956.0
2023-06-17 14:00:00,34.578503,21.0,3.765634,895.0
2023-06-17 15:00:00,35.078503,21.0,5.8180757,813.0
2023-06-17 16:00:00,33.578503,22.0,5.0,194.0
2023-06-17 17:00:00,34.6785,19.0,4.172529,533.0
2023-06-17 18:00:00,33.4785,21.0,6.774216,186.0
2023-06-17 19:00:00,32.578503,22.0,6.5299315,128.0
2023-06-17 20:00:00,30.3785,25.0,6.6850576,27.0
2023-06-17 21:00:00,26.578499,35.0,8.458132,0.0
2023-06-17 22:00:00,24.7785,40.0,6.8622155,0.0
2023-06-17 23:00:00,23.7785,40.0,5.6515484,0.0
2023-06-18 00:00:00,23.078499,42.0,5.4744864,0.0
2023-06-18 01:00:00,21.7785,47.0,5.223983,0.0
2023-06-18 02:00:00,21.328499,46.0,4.0112343,0.0
2023-06-18 03:00:00,21.078499,45.0,3.354102,0.0
2023-06-18 04:00:00,20.7785,45.0,2.4186773,0.0
2023-06-18 05:00:00,20.1785,45.0,2.84605,0.0
2023-06-18 06:00:00,20.3785,43.0,3.1622777,38.0
2023-06-18 07:00:00,21.578499,39.0,3.104835,190.0
2023-06-18 08:00:00,23.078499,34.0,2.570992,357.0
2023-06-18 09:00:00,24.978498,29.0,2.720294,586.0
2023-06-18 10:00:00,26.578499,26.0,1.603122,753.0
2023-06-18 11:00:00,28.2785,24.0,1.6124516,883.0
2023-06-18 12:00:00,29.578499,24.0,1.0,963.0
2023-06-18 13:00:00,30.978498,23.0,0.72801095,987.0
2023-06-18 14:00:00,32.2785,21.0,2.7658632,953.0
2023-06-18 15:00:00,32.7785,20.0,6.3780875,797.0
2023-06-18 16:00:00,31.478498,21.0,5.916925,349.0
2023-06-18 17:00:00,30.078499,23.0,5.4644303,82.0
2023-06-18 18:00:00,29.578499,23.0,7.080254,55.0
2023-06-18 19:00:00,28.1785,27.0,6.862215,29.0
2023-06-18 20:00:00,27.1785,31.0,5.3263493,17.0
2023-06-18 21:00:00,26.078499,37.0,4.313931,0.0
2023-06-18 22:00:00,24.8785,43.0,5.1662364,0.0
2023-06-18 23:00:00,23.578499,50.0,3.940812,0.0
2023-06-19 00:00:00,23.1785,52.0,3.1953092,0.0
2023-06-19 01:00:00,22.2785,56.0,3.992493,0.0
2023-06-19 02:00:00,21.5285,58.0,2.6925824,0.0
2023-06-19 03:00:00,20.8785,61.0,2.2472205,0.0
2023-06-19 04:00:00,20.3785,61.0,2.3430748,0.0
2023-06-19 05:00:00,19.6785,61.0,2.7802877,0.0
2023-06-19 06:00:00,19.8785,58.0,2.6627054,35.0
2023-06-19 07:00:00,20.7785,55.0,1.5652475,166.0
2023-06-19 08:00:00,22.2785,51.0,0.7615773,346.0
2023-06-19 09:00:00,24.478498,45.0,1.9924859,549.0
2023-06-19 10:00:00,26.2785,38.0,1.8601075,740.0
2023-06-19 11:00:00,28.1785,30.0,2.758623,875.0
2023-06-19 12:00:00,29.3785,28.0,4.661545,921.0
2023-06-19 13:00:00,30.1785,27.0,5.9076223,922.0
2023-06-19 14:00:00,30.578499,26.0,6.140033,834.0
2023-06-19 15:00:00,30.3785,26.0,7.324616,605.0
2023-06-19 16:00:00,30.078499,26.0,8.481155,529.0
2023-06-19 17:00:00,28.8785,28.0,8.504117,254.0
2023-06-19 18:00:00,27.6785,32.0,8.769264,144.0
2023-06-19 19:00:00,25.978498,41.0,8.323461,93.0
2023-06-19 20:00:00,24.3785,47.0,7.224957,27.0
2023-06-19 21:00:00,23.3785,51.0,6.140033,0.0
2023-06-19 22:00:00,21.978498,60.0,3.8639357,0.0
2023-06-19 23:00:00,21.478498,62.0,2.7294688,0.0
2023-06-20 00:00:00,20.7785,67.0,4.763402,0.0
2023-06-20 01:00:00,20.1785,70.0,5.456189,0.0
2023-06-20 02:00:00,20.228498,68.0,3.9849718,0.0
2023-06-20 03:00:00,20.078499,67.0,3.2557642,0.0
2023-06-20 04:00:00,18.978498,71.0,2.886174,0.0
2023-06-20 05:00:00,18.078499,76.0,2.3706539,0.0
2023-06-20 06:00:00,17.978498,77.0,2.4207437,36.0
2023-06-20 07:00:00,18.978498,71.0,2.8178005,194.0
2023-06-20 08:00:00,20.078499,65.0,2.9732137,355.0
2023-06-20 09:00:00,20.978498,59.0,3.0675724,374.0
2023-06-20 10:00:00,21.078499,58.0,3.3015149,240.0
2023-06-20 11:00:00,22.078499,53.0,2.9732137,471.0
2023-06-20 12:00:00,22.7785,49.0,2.5079873,845.0
2023-06-20 13:00:00,23.978498,45.0,2.5961509,704.0
2023-06-20 14:00:00,25.3785,40.0,3.0,856.0
2023-06-20 15:00:00,26.478498,34.0,3.3286633,836.0
2023-06-20 16:00:00,27.478498,30.0,4.494441,732.0
2023-06-20 17:00:00,27.478498,28.0,5.8051705,556.0
2023-06-20 18:00:00,26.3785,30.0,5.59017,352.0
2023-06-20 19:00:00,25.3785,32.0,5.108816,129.0
2023-06-20 20:00:00,24.3785,34.0,3.3120992,23.0
2023-06-20 21:00:00,23.7785,36.0,2.280351,0.0
2023-06-20 22:00:00,23.478498,37.0,2.1931713,0.0
2023-06-20 23:00:00,22.7785,38.0,2.4207437,0.0
2023-06-21 00:00:00,22.1785,39.0,3.2202482,0.0
2023-06-21 01:00:00,20.578499,44.0,4.606517,0.0
2023-06-21 02:00:00,19.1785,50.0,3.535534,0.0
2023-06-21 03:00:00,18.8785,51.0,1.8973665,0.0
2023-06-21 04:00:00,18.578499,52.0,2.0615528,0.0
2023-06-21 05:00:00,18.3785,53.0,1.9697715,0.0
2023-06-21 06:00:00,19.078499,52.0,1.029563,29.0
2023-06-21 07:00:00,20.078499,48.0,0.50990194,125.0
2023-06-21 08:00:00,21.6785,43.0,0.6324555,309.0
2023-06-21 09:00:00,23.078499,39.0,0.8062258,432.0
2023-06-21 10:00:00,23.6785,38.0,1.4317821,283.0
2023-06-21 11:00:00,24.8785,36.0,1.2369317,517.0
2023-06-21 12:00:00,26.7785,32.0,0.6,633.0
2023-06-21 13:00:00,27.3785,31.0,2.433105,732.0
2023-06-21 14:00:00,25.078499,38.0,7.7820306,119.0
2023-06-21 15:00:00,23.6785,42.0,7.7006493,91.0
2023-06-21 16:00:00,23.578499,45.0,7.323933,208.0
2023-06-21 17:00:00,24.2785,45.0,6.946222,557.0
2023-06-21 18:00:00,23.478498,47.0,5.2009616,68.0
2023-06-21 19:00:00,23.6785,45.0,5.3823786,135.0
2023-06-21 20:00:00,23.078499,47.0,4.3011627,26.0
2023-06-21 21:00:00,21.6785,54.0,4.9648767,0.0
2023-06-21 22:00:00,20.578499,59.0,4.3416586,0.0
2023-06-21 23:00:00,19.7785,62.0,3.535534,0.0
2023-06-22 00:00:00,18.8785,61.0,3.275668,0.0
2023-06-22 01:00:00,18.3785,62.0,2.8792362,0.0
2023-06-22 02:00:00,17.7785,63.0,2.4351592,0.0
2023-06-22 03:00:00,17.2785,64.0,2.1377556,0.0
2023-06-22 04:00:00,16.7785,66.0,1.6124516,0.0
2023-06-22 05:00:00,16.2785,68.0,1.2165525,0.0
2023-06-22 06:00:00,17.2785,63.0,1.0816654,38.0
2023-06-22 07:00:00,18.578499,57.0,0.98994946,202.0
2023-06-22 08:00:00,20.1785,52.0,0.94868326,399.0
2023-06-22 09:00:00,21.978498,46.0,0.60827625,593.0
2023-06-22 10:00:00,23.7785,40.0,0.22360681,763.0
2023-06-22 11:00:00,25.3785,35.0,0.4,894.0
2023-06-22 12:00:00,26.7785,31.0,0.7211103,976.0
2023-06-22 13:00:00,27.978498,29.0,0.8062258,1003.0
2023-06-22 14:00:00,28.8785,26.0,1.1401755,971.0
2023-06-22 15:00:00,29.578499,25.0,1.8,885.0
2023-06-22 16:00:00,30.2785,23.0,2.3194828,750.0
2023-06-22 17:00:00,30.6785,22.0,2.745906,577.0
2023-06-22 18:00:00,30.1785,23.0,3.0149627,383.0
2023-06-22 19:00:00,29.578499,23.0,3.9115217,187.0
2023-06-22 20:00:00,27.8785,27.0,4.418144,30.0
2023-06-22 21:00:00,26.578499,29.0,3.5510561,0.0
2023-06-22 22:00:00,25.8785,31.0,2.863564,0.0
2023-06-22 23:00:00,25.2785,32.0,2.529822,0.0
2023-06-23 00:00:00,24.8785,34.0,2.529822,0.0
2023-06-23 01:00:00,24.2785,35.0,2.1931713,0.0
2023-06-23 02:00:00,23.6785,37.0,1.8357561,0.0
2023-06-23 03:00:00,23.3785,38.0,2.0,0.0
2023-06-23 04:00:00,22.7785,40.0,1.9723083,0.0
2023-06-23 05:00:00,22.078499,42.0,1.7888545,0.0
2023-06-23 06:00:00,22.978498,42.0,1.8601075,38.0
2023-06-23 07:00:00,24.978498,38.0,2.5495098,201.0
2023-06-23 08:00:00,27.078499,34.0,3.5902646,398.0
2023-06-23 09:00:00,29.078499,30.0,3.9115217,592.0
2023-06-23 10:00:00,30.978498,25.0,3.008322,761.0
2023-06-23 11:00:00,32.3785,21.0,2.4166093,892.0
2023-06-23 12:00:00,33.3785,19.0,2.2135942,974.0
2023-06-23 13:00:00,34.2785,17.0,1.9313208,999.0
2023-06-23 14:00:00,34.8785,16.0,1.7088008,967.0
2023-06-23 15:00:00,35.3785,16.0,1.4866068,880.0
2023-06-23 16:00:00,35.7785,15.0,1.2165525,745.0
2023-06-23 17:00:00,35.8785,15.0,1.0049876,574.0
2023-06-23 18:00:00,35.6785,15.0,1.9416488,381.0
2023-06-23 19:00:00,35.078503,16.0,3.88973,186.0
2023-06-23 20:00:00,32.4785,20.0,5.658622,30.0
2023-06-23 21:00:00,30.6785,22.0,4.5793014,0.0
2023-06-23 22:00:00,29.978498,22.0,3.1384711,0.0
2023-06-23 23:00:00,29.2785,24.0,3.4409301,0.0
2023-06-24 00:00:00,28.578499,26.0,2.9832869,0.0
2023-06-24 01:00:00,27.8785,27.0,2.3259406,0.0
2023-06-24 02:00:00,26.8785,31.0,2.1400933,0.0
2023-06-24 03:00:00,26.078499,35.0,2.8319604,0.0
2023-06-24 04:00:00,25.078499,40.0,3.2449963,0.0
2023-06-24 05:00:00,24.6785,41.0,3.8600519,0.0
2023-06-24 06:00:00,24.978498,41.0,3.733631,37.0
2023-06-24 07:00:00,27.3785,34.0,6.0008335,199.0
2023-06-24 08:00:00,29.578499,31.0,5.661272,394.0
2023-06-24 09:00:00,31.6785,29.0,4.8548946,584.0
2023-06-24 10:00:00,33.2785,26.0,3.9217343,751.0
2023-06-24 11:00:00,34.6785,23.0,3.1780496,879.0
2023-06-24 12:00:00,35.4785,22.0,2.5,959.0
2023-06-24 13:00:00,36.2785,20.0,1.603122,986.0
2023-06-24 14:00:00,36.8785,19.0,1.17047,955.0
2023-06-24 15:00:00,37.4785,19.0,1.2727922,870.0
2023-06-24 16:00:00,37.8785,18.0,1.5811387,737.0
2023-06-24 17:00:00,38.1785,17.0,2.2671568,567.0
2023-06-24 18:00:00,37.7785,18.0,2.9681644,376.0
2023-06-24 19:00:00,37.1785,18.0,3.9824615,183.0
2023-06-24 20:00:00,35.078503,20.0,4.4654226,30.0
2023-06-24 21:00:00,33.1785,22.0,3.748333,0.0
2023-06-24 22:00:00,32.2785,24.0,4.0496917,0.0
2023-06-24 23:00:00,31.2785,26.0,3.7013512,0.0
2023-06-25 00:00:00,30.578499,27.0,3.9357338,0.0
2023-06-25 01:00:00,29.1785,29.0,3.6496572,0.0
2023-06-25 02:00:00,28.1785,31.0,2.6400757,0.0
2023-06-25 03:00:00,27.3785,33.0,2.1540658,0.0
2023-06-25 04:00:00,26.478498,35.0,1.603122,0.0
2023-06-25 05:00:00,25.8785,37.0,0.7615773,0.0
2023-06-25 06:00:00,27.3785,37.0,0.31622776,36.0
2023-06-25 07:00:00,29.2785,30.0,1.0816654,196.0
2023-06-25 08:00:00,30.978498,26.0,1.3416408,390.0
2023-06-25 09:00:00,32.7785,23.0,1.360147,581.0
