dates,temp,rh,wind,solar_rad
2023-06-17 00:00:00,15.614499,77.0,3.3421547,0.0
2023-06-17 01:00:00,15.0145,82.0,3.2449963,0.0
2023-06-17 02:00:00,14.1645,86.0,1.7492856,0.0
2023-06-17 03:00:00,14.5145,83.0,1.4035668,0.0
2023-06-17 04:00:00,14.6145,79.0,1.9104972,0.0
2023-06-17 05:00:00,14.6145,78.0,1.8867962,2.0
2023-06-17 06:00:00,16.414501,73.0,0.82462114,57.0
2023-06-17 07:00:00,18.1145,66.0,0.9433981,186.0
2023-06-17 08:00:00,19.8145,61.0,2.0099752,366.0
2023-06-17 09:00:00,22.3145,54.0,2.7,581.0
2023-06-17 10:00:00,24.8145,45.0,3.0675724,750.0
2023-06-17 11:00:00,26.914501,39.0,3.5510561,883.0
2023-06-17 12:00:00,28.1145,35.0,4.3011627,950.0
2023-06-17 13:00:00,29.014502,32.0,3.8470767,963.0
2023-06-17 14:00:00,27.8145,36.0,8.127115,783.0
2023-06-17 15:00:00,28.2145,33.0,3.026549,841.0
2023-06-17 16:00:00,15.9145,88.0,11.543396,47.0
2023-06-17 17:00:00,15.4145,85.0,3.8587563,53.0
2023-06-17 18:00:00,15.714499,85.0,6.328507,80.0
2023-06-17 19:00:00,15.8145,88.0,3.224903,41.0
2023-06-17 20:00:00,15.3145,90.0,2.7294688,21.0
2023-06-17 21:00:00,14.714499,91.0,2.3194828,0.0
2023-06-17 22:00:00,14.1145,92.0,2.1023796,0.0
2023-06-17 23:00:00,13.8145,91.0,2.2,0.0
2023-06-18 00:00:00,13.714499,91.0,1.9646883,0.0
2023-06-18 01:00:00,13.4145,92.0,2.109502,0.0
2023-06-18 02:00:00,13.0645,92.0,1.3341664,0.0
2023-06-18 03:00:00,12.9145,92.0,1.7,0.0
2023-06-18 04:00:00,12.4145,94.0,0.6324555,0.0
2023-06-18 05:00:00,12.214499,95.0,0.44721362,2.0
2023-06-18 06:00:00,13.714499,94.0,1.8601075,77.0
2023-06-18 07:00:00,16.3145,87.0,3.104835,212.0
2023-06-18 08:00:00,17.914501,74.0,1.6492423,340.0
2023-06-18 09:00:00,19.014502,69.0,4.90408,378.0
2023-06-18 10:00:00,20.1145,62.0,3.9115217,448.0
2023-06-18 11:00:00,22.6145,51.0,3.764306,869.0
2023-06-18 12:00:00,23.7145,45.0,3.920459,944.0
2023-06-18 13:00:00,25.014502,38.0,4.9193497,962.0
2023-06-18 14:00:00,25.414501,34.0,5.240229,850.0
2023-06-18 15:00:00,25.514502,32.0,6.177378,840.0
2023-06-18 16:00:00,25.2145,33.0,6.6407833,707.0
2023-06-18 17:00:00,24.8145,37.0,5.261178,536.0
2023-06-18 18:00:00,21.7145,45.0,4.7127485,251.0
2023-06-18 19:00:00,19.3145,54.0,2.7202942,78.0
2023-06-18 20:00:00,17.514502,57.0,1.0,21.0
2023-06-18 21:00:00,16.3145,67.0,3.3615472,0.0
2023-06-18 22:00:00,13.714499,91.0,2.996665,0.0
2023-06-18 23:00:00,13.4145,91.0,2.7802877,0.0
2023-06-19 00:00:00,13.214499,93.0,2.758623,0.0
2023-06-19 01:00:00,13.8145,90.0,2.1095023,0.0
2023-06-19 02:00:00,14.214499,90.0,2.3086793,0.0
2023-06-19 03:00:00,13.9145,91.0,1.17047,0.0
2023-06-19 04:00:00,14.3145,89.0,1.5132746,0.0
2023-06-19 05:00:00,14.4145,88.0,2.1260293,0.0
2023-06-19 06:00:00,14.9145,86.0,3.3241541,61.0
2023-06-19 07:00:00,16.7145,79.0,4.1761227,218.0
2023-06-19 08:00:00,18.7145,71.0,4.4011364,429.0
2023-06-19 09:00:00,20.3145,62.0,3.8470767,537.0
2023-06-19 10:00:00,22.1145,53.0,3.736308,744.0
2023-06-19 11:00:00,23.2145,49.0,3.794733,795.0
2023-06-19 12:00:00,24.014502,46.0,4.804165,934.0
2023-06-19 13:00:00,23.1145,46.0,4.215448,314.0
2023-06-19 14:00:00,16.914501,77.0,5.685068,93.0
2023-06-19 15:00:00,15.9145,92.0,8.229217,397.0
2023-06-19 16:00:00,17.2145,71.0,1.421267,336.0
2023-06-19 17:00:00,14.214499,93.0,4.3416586,47.0
2023-06-19 18:00:00,16.2145,87.0,4.8010416,150.0
2023-06-19 19:00:00,14.5145,95.0,4.7265205,11.0
2023-06-19 20:00:00,14.6145,95.0,2.0615528,0.0
2023-06-19 21:00:00,14.0145,94.0,2.745906,0.0
2023-06-19 22:00:00,13.6145,96.0,2.640076,0.0
2023-06-19 23:00:00,13.1145,93.0,1.8027756,0.0
2023-06-20 00:00:00,13.1145,93.0,1.8027756,0.0
2023-06-20 01:00:00,13.214499,94.0,2.280351,0.0
2023-06-20 02:00:00,12.8645,93.0,1.868154,0.0
2023-06-20 03:00:00,12.4145,93.0,1.8248286,0.0
2023-06-20 04:00:00,12.0145,94.0,1.7804494,0.0
2023-06-20 05:00:00,11.6145,95.0,1.104536,2.0
2023-06-20 06:00:00,12.9145,92.0,1.0816654,72.0
2023-06-20 07:00:00,14.3145,88.0,1.5231546,199.0
2023-06-20 08:00:00,15.614499,84.0,2.6683328,394.0
2023-06-20 09:00:00,16.514502,80.0,3.1780496,502.0
2023-06-20 10:00:00,18.1145,72.0,3.544009,739.0
2023-06-20 11:00:00,19.014502,66.0,4.6861496,826.0
2023-06-20 12:00:00,19.414501,64.0,5.1739736,761.0
2023-06-20 13:00:00,20.914501,55.0,4.8270073,777.0
2023-06-20 14:00:00,21.914501,48.0,5.200961,692.0
2023-06-20 15:00:00,21.6145,46.0,4.0459857,295.0
2023-06-20 16:00:00,20.7145,52.0,4.8,257.0
2023-06-20 17:00:00,18.914501,59.0,2.8071337,81.0
2023-06-20 18:00:00,19.3145,57.0,3.3734255,175.0
2023-06-20 19:00:00,17.8145,64.0,2.4351592,94.0
2023-06-20 20:00:00,16.8145,63.0,1.4560219,17.0
2023-06-20 21:00:00,16.514502,63.0,0.4,0.0
2023-06-20 22:00:00,15.714499,70.0,2.1633308,0.0
2023-06-20 23:00:00,14.714499,81.0,3.0528674,0.0
2023-06-21 00:00:00,12.8145,94.0,3.4655447,0.0
2023-06-21 01:00:00,12.214499,97.0,3.4999998,0.0
2023-06-21 02:00:00,12.214499,98.0,4.022437,0.0
2023-06-21 03:00:00,12.6145,96.0,4.2201896,0.0
2023-06-21 04:00:00,12.8145,96.0,3.482815,0.0
2023-06-21 05:00:00,12.5145,97.0,3.2557642,2.0
2023-06-21 06:00:00,13.714499,93.0,3.7802117,64.0
2023-06-21 07:00:00,14.9145,88.0,4.7010636,159.0
2023-06-21 08:00:00,16.514502,81.0,4.428318,339.0
2023-06-21 09:00:00,18.014502,74.0,3.8999999,492.0
2023-06-21 10:00:00,19.1145,70.0,2.6000001,593.0
2023-06-21 11:00:00,20.1145,63.0,2.1260293,673.0
2023-06-21 12:00:00,20.914501,57.0,2.408319,697.0
2023-06-21 13:00:00,22.8145,48.0,1.0630146,875.0
2023-06-21 14:00:00,22.514502,45.0,0.92195445,534.0
2023-06-21 15:00:00,22.8145,42.0,2.3345234,552.0
2023-06-21 16:00:00,22.3145,47.0,2.7802877,312.0
2023-06-21 17:00:00,21.914501,50.0,3.9115217,376.0
2023-06-21 18:00:00,18.414501,74.0,6.2289643,253.0
2023-06-21 19:00:00,16.6145,86.0,6.670832,113.0
2023-06-21 20:00:00,15.5145,89.0,1.8867962,2.0
2023-06-21 21:00:00,14.214499,93.0,3.901282,0.0
2023-06-21 22:00:00,13.8145,92.0,2.9068882,0.0
2023-06-21 23:00:00,13.3145,95.0,3.224903,0.0
2023-06-22 00:00:00,12.714499,96.0,2.7202942,0.0
2023-06-22 01:00:00,13.214499,95.0,1.5811387,0.0
2023-06-22 02:00:00,13.1145,95.0,2.147091,0.0
2023-06-22 03:00:00,12.6145,96.0,1.9924859,0.0
2023-06-22 04:00:00,12.214499,96.0,2.6000001,0.0
2023-06-22 05:00:00,12.214499,96.0,2.8017852,2.0
2023-06-22 06:00:00,13.4145,94.0,2.1931713,74.0
2023-06-22 07:00:00,15.3145,86.0,3.11127,240.0
2023-06-22 08:00:00,16.914501,78.0,2.9832866,427.0
2023-06-22 09:00:00,18.3145,70.0,2.385372,606.0
2023-06-22 10:00:00,20.2145,61.0,1.5811387,754.0
2023-06-22 11:00:00,22.1145,53.0,0.8,877.0
2023-06-22 12:00:00,23.1145,49.0,1.0630146,940.0
2023-06-22 13:00:00,23.6145,45.0,1.6124516,954.0
2023-06-22 14:00:00,23.914501,43.0,2.0,919.0
2023-06-22 15:00:00,24.1145,43.0,3.4014702,818.0
2023-06-22 16:00:00,21.2145,57.0,6.0827627,430.0
2023-06-22 17:00:00,21.2145,59.0,4.6669044,240.0
2023-06-22 18:00:00,20.414501,63.0,4.763402,205.0
2023-06-22 19:00:00,19.2145,69.0,4.7853947,168.0
2023-06-22 20:00:00,16.914501,77.0,5.0695167,30.0
2023-06-22 21:00:00,15.614499,80.0,5.0990195,0.0
2023-06-22 22:00:00,14.8145,83.0,4.992995,0.0
2023-06-22 23:00:00,14.0145,86.0,4.8600416,0.0
2023-06-23 00:00:00,13.4145,89.0,4.62277,0.0
2023-06-23 01:00:00,12.714499,93.0,3.9661064,0.0
2023-06-23 02:00:00,12.3145,94.0,3.3015149,0.0
2023-06-23 03:00:00,12.214499,94.0,3.482815,0.0
2023-06-23 04:00:00,11.9145,95.0,3.4999998,0.0
2023-06-23 05:00:00,11.9145,94.0,3.3015149,2.0
2023-06-23 06:00:00,13.5145,88.0,2.6925824,78.0
2023-06-23 07:00:00,16.2145,76.0,2.9068882,251.0
2023-06-23 08:00:00,18.7145,66.0,2.657066,442.0
2023-06-23 09:00:00,20.7145,58.0,2.433105,623.0
2023-06-23 10:00:00,22.514502,52.0,1.8027756,779.0
2023-06-23 11:00:00,24.3145,46.0,1.0,895.0
2023-06-23 12:00:00,25.3145,41.0,0.44721362,964.0
2023-06-23 13:00:00,26.014502,38.0,0.86023253,982.0
2023-06-23 14:00:00,26.2145,36.0,1.4764823,944.0
2023-06-23 15:00:00,25.914501,36.0,2.0248456,853.0
2023-06-23 16:00:00,26.014502,37.0,2.5,719.0
2023-06-23 17:00:00,25.514502,40.0,3.104835,551.0
2023-06-23 18:00:00,24.414501,50.0,2.8160255,365.0
2023-06-23 19:00:00,21.7145,59.0,3.1780496,179.0
2023-06-23 20:00:00,18.2145,70.0,4.527693,31.0
2023-06-23 21:00:00,17.1145,69.0,4.4418464,0.0
2023-06-23 22:00:00,16.2145,71.0,4.104875,0.0
2023-06-23 23:00:00,15.614499,75.0,4.060788,0.0
2023-06-24 00:00:00,15.1145,76.0,4.0459857,0.0
2023-06-24 01:00:00,14.6145,79.0,3.8013155,0.0
2023-06-24 02:00:00,14.214499,79.0,3.7735925,0.0
2023-06-24 03:00:00,13.8145,78.0,3.6891732,0.0
2023-06-24 04:00:00,13.4145,76.0,3.4985712,0.0
2023-06-24 05:00:00,13.1145,74.0,3.224903,2.0
2023-06-24 06:00:00,14.4145,72.0,2.8301945,81.0
2023-06-24 07:00:00,17.414501,60.0,2.5942245,254.0
2023-06-24 08:00:00,20.014502,52.0,2.5079873,445.0
2023-06-24 09:00:00,22.3145,49.0,2.0615528,626.0
2023-06-24 10:00:00,24.8145,44.0,0.56568545,782.0
2023-06-24 11:00:00,26.514502,37.0,1.9416488,898.0
2023-06-24 12:00:00,27.6145,31.0,2.8231187,967.0
2023-06-24 13:00:00,28.7145,29.0,3.1575305,985.0
2023-06-24 14:00:00,29.3145,27.0,3.3136082,948.0
2023-06-24 15:00:00,29.514502,26.0,3.1780498,858.0
2023-06-24 16:00:00,29.6145,26.0,2.7018511,724.0
2023-06-24 17:00:00,29.414501,26.0,2.0615528,556.0
2023-06-24 18:00:00,28.914501,36.0,1.2369317,369.0
2023-06-24 19:00:00,25.414501,40.0,0.89442724,182.0
2023-06-24 20:00:00,22.1145,42.0,0.72801095,32.0
2023-06-24 21:00:00,20.914501,45.0,0.53851646,0.0
2023-06-24 22:00:00,20.1145,47.0,1.4317821,0.0
2023-06-24 23:00:00,19.1145,50.0,1.118034,0.0
2023-06-25 00:00:00,18.414501,55.0,0.9055385,0.0
2023-06-25 01:00:00,18.1145,56.0,1.2041595,0.0
2023-06-25 02:00:00,17.6145,58.0,1.0440307,0.0
2023-06-25 03:00:00,17.3145,60.0,1.3,0.0
2023-06-25 04:00:00,16.914501,61.0,1.3038405,0.0
2023-06-25 05:00:00,16.7145,62.0,1.5264337,2.0
2023-06-25 06:00:00,18.2145,63.0,1.4764823,78.0
2023-06-25 07:00:00,20.7145,55.0,1.1401755,249.0
2023-06-25 08:00:00,22.914501,51.0,1.4317821,436.0
2023-06-25 09:00:00,25.1145,45.0,1.8027756,615.0
2023-06-25 10:00:00,27.2145,41.0,1.7088008,769.0
2023-06-25 11:00:00,28.7145,37.0,2.1260293,884.0
2023-06-25 12:00:00,29.8145,34.0,2.1400933,952.0
2023-06-25 13:00:00,31.014502,30.0,1.9646883,965.0
2023-06-25 14:00:00,31.8145,28.0,2.6683328,929.0
2023-06-25 15:00:00,32.1145,27.0,4.560702,840.0
2023-06-25 16:00:00,31.6145,27.0,5.80517,709.0
2023-06-25 17:00:00,31.1145,30.0,2.8231187,541.0
2023-06-25 18:00:00,24.6145,61.0,8.18352,355.0
2023-06-25 19:00:00,21.014502,73.0,8.229824,101.0
2023-06-25 20:00:00,18.8145,79.0,7.742093,30.0
2023-06-25 21:00:00,17.3145,85.0,6.3780875,0.0
2023-06-25 22:00:00,16.514502,88.0,7.4249578,0.0
2023-06-25 23:00:00,15.5145,91.0,6.96563,0.0
2023-06-26 00:00:00,14.9145,92.0,5.7801385,0.0
2023-06-26 01:00:00,14.3145,94.0,5.249762,0.0
2023-06-26 02:00:00,14.1145,93.0,5.3037724,0.0
2023-06-26 03:00:00,13.5145,96.0,5.0249376,0.0
2023-06-26 04:00:00,13.0145,97.0,4.8083262,0.0
2023-06-26 05:00:00,12.8145,97.0,5.234501,2.0
2023-06-26 06:00:00,13.9145,91.0,5.8137765,75.0
2023-06-26 07:00:00,15.614499,81.0,6.747592,245.0
2023-06-26 08:00:00,17.414501,74.0,6.981404,434.0
2023-06-26 09:00:00,18.8145,70.0,7.18401,616.0
2023-06-26 10:00:00,20.3145,64.0,6.92026,772.0
2023-06-26 11:00:00,21.914501,59.0,6.1611686,874.0
2023-06-26 12:00:00,23.414501,54.0,5.7628117,920.0
2023-06-26 13:00:00,24.7145,50.0,5.3814497,975.0
2023-06-26 14:00:00,25.6145,47.0,5.23259,942.0
2023-06-26 15:00:00,25.7145,46.0,5.108816,853.0
2023-06-26 16:00:00,25.414501,46.0,5.060632,717.0
2023-06-26 17:00:00,24.414501,50.0,5.660389,550.0
2023-06-26 18:00:00,22.3145,58.0,6.6850576,364.0
2023-06-26 19:00:00,19.3145,70.0,6.9526978,179.0
2023-06-26 20:00:00,16.3145,81.0,6.5855904,31.0
2023-06-26 21:00:00,14.8145,86.0,7.1505246,0.0
2023-06-26 22:00:00,14.3145,87.0,7.106335,0.0
2023-06-26 23:00:00,14.1145,87.0,6.603787,0.0
2023-06-27 00:00:00,13.714499,89.0,6.4443774,0.0
2023-06-27 01:00:00,13.0145,93.0,6.1717095,0.0
2023-06-27 02:00:00,12.4145,96.0,5.6222773,0.0
2023-06-27 03:00:00,11.9145,97.0,5.5865912,0.0
2023-06-27 04:00:00,11.6145,98.0,5.8051705,0.0
2023-06-27 05:00:00,12.714499,91.0,6.5795135,1.0
2023-06-27 06:00:00,13.5145,87.0,6.293648,58.0
2023-06-27 07:00:00,15.214499,78.0,6.9310894,245.0
2023-06-27 08:00:00,17.2145,69.0,6.6843095,436.0
2023-06-27 09:00:00,19.2145,61.0,6.16198,616.0
2023-06-27 10:00:00,20.914501,55.0,6.0207973,770.0
2023-06-27 11:00:00,22.514502,50.0,5.9548297,887.0
2023-06-27 12:00:00,23.414501,48.0,6.0440054,957.0
2023-06-27 13:00:00,24.1145,46.0,6.3702435,977.0
2023-06-27 14:00:00,24.6145,43.0,6.3031735,941.0
2023-06-27 15:00:00,24.6145,42.0,6.9310894,846.0
2023-06-27 16:00:00,23.8145,44.0,6.868042,665.0
2023-06-27 17:00:00,22.8145,47.0,6.7357254,475.0
2023-06-27 18:00:00,21.014502,56.0,6.2625875,268.0
2023-06-27 19:00:00,18.8145,63.0,5.7801385,126.0
2023-06-27 20:00:00,16.6145,70.0,5.5217752,28.0
2023-06-27 21:00:00,14.9145,76.0,5.240229,0.0
2023-06-27 22:00:00,13.9145,78.0,5.240229,0.0
2023-06-27 23:00:00,13.4145,77.0,5.375872,0.0
2023-06-28 00:00:00,13.1145,77.0,5.1623635,0.0
2023-06-28 01:00:00,12.6145,78.0,4.8795495,0.0
2023-06-28 02:00:00,12.0145,80.0,4.8795495,0.0
2023-06-28 03:00:00,11.214499,85.0,4.62277,0.0
2023-06-28 04:00:00,10.714499,88.0,4.6690474,0.0
2023-06-28 05:00:00,10.4145,90.0,4.4553337,1.0
2023-06-28 06:00:00,12.214499,82.0,4.675468,69.0
2023-06-28 07:00:00,14.8145,73.0,5.5317264,224.0
2023-06-28 08:00:00,17.414501,63.0,5.544367,405.0
2023-06-28 09:00:00,19.7145,54.0,5.390733,541.0
2023-06-28 10:00:00,21.8145,44.0,5.1739736,673.0
2023-06-28 11:00:00,24.014502,35.0,5.240229,828.0
2023-06-28 12:00:00,25.1145,34.0,5.020956,917.0
2023-06-28 13:00:00,26.1145,31.0,5.1662364,963.0
2023-06-28 14:00:00,26.7145,30.0,5.315073,939.0
2023-06-28 15:00:00,26.514502,31.0,5.8137765,822.0
2023-06-28 16:00:00,26.2145,32.0,5.9548297,695.0
2023-06-28 17:00:00,25.514502,35.0,5.9413805,557.0
2023-06-28 18:00:00,23.7145,44.0,5.307542,369.0
2023-06-28 19:00:00,20.914501,56.0,4.9517674,182.0
2023-06-28 20:00:00,17.2145,70.0,4.4204073,32.0
2023-06-28 21:00:00,15.214499,81.0,4.4407206,0.0
2023-06-28 22:00:00,14.0145,85.0,4.244997,0.0
