dates,temp,rh,wind,solar_rad
2023-06-17 00:00:00,13.7725,99.0,0.42426407,0.0
2023-06-17 01:00:00,13.6725,99.0,0.22360681,0.0
2023-06-17 02:00:00,13.572499,99.0,0.14142136,0.0
2023-06-17 03:00:00,13.372499,99.0,0.31622776,0.0
2023-06-17 04:00:00,13.1725,99.0,0.3,0.0
2023-06-17 05:00:00,12.9725,99.0,0.5,0.0
2023-06-17 06:00:00,14.072499,96.0,0.4,44.0
2023-06-17 07:00:00,16.272501,86.0,0.5830952,189.0
2023-06-17 08:00:00,18.772501,75.0,1.0630146,354.0
2023-06-17 09:00:00,20.372501,68.0,1.6763055,504.0
2023-06-17 10:00:00,21.872501,58.0,1.9313208,649.0
2023-06-17 11:00:00,23.372501,49.0,2.1023796,803.0
2023-06-17 12:00:00,23.872501,46.0,2.376973,819.0
2023-06-17 13:00:00,24.5725,43.0,2.376973,867.0
2023-06-17 14:00:00,24.372501,44.0,2.6683328,746.0
2023-06-17 15:00:00,23.872501,46.0,2.5495098,638.0
2023-06-17 16:00:00,24.272501,43.0,2.34094,709.0
2023-06-17 17:00:00,23.4725,45.0,2.4698179,562.0
2023-06-17 18:00:00,20.1725,65.0,2.7018511,234.0
2023-06-17 19:00:00,17.1725,80.0,1.5652475,109.0
2023-06-17 20:00:00,14.6725,93.0,1.2041595,43.0
2023-06-17 21:00:00,13.372499,99.0,1.0630146,0.0
2023-06-17 22:00:00,13.372499,98.0,0.9055385,0.0
2023-06-17 23:00:00,13.872499,94.0,0.56568545,0.0
2023-06-18 00:00:00,13.072499,99.0,0.94868326,0.0
2023-06-18 01:00:00,13.872499,97.0,0.92195445,0.0
2023-06-18 02:00:00,13.7725,100.0,0.92195445,0.0
2023-06-18 03:00:00,13.7725,100.0,0.9055385,0.0
2023-06-18 04:00:00,13.7725,99.0,1.3928387,0.0
2023-06-18 05:00:00,13.6725,99.0,1.1661904,0.0
2023-06-18 06:00:00,13.9725,99.0,1.0198039,43.0
2023-06-18 07:00:00,15.072499,96.0,1.4035668,196.0
2023-06-18 08:00:00,16.3725,87.0,2.2135942,378.0
2023-06-18 09:00:00,18.872501,67.0,2.6627054,557.0
2023-06-18 10:00:00,20.5725,60.0,2.8999999,707.0
2023-06-18 11:00:00,21.1725,57.0,3.1400635,627.0
2023-06-18 12:00:00,19.872501,70.0,2.9698482,748.0
2023-06-18 13:00:00,19.272501,80.0,2.9832866,880.0
2023-06-18 14:00:00,18.6725,85.0,2.7802877,750.0
2023-06-18 15:00:00,18.6725,88.0,2.6172504,706.0
2023-06-18 16:00:00,17.872501,95.0,2.5806975,613.0
2023-06-18 17:00:00,17.5725,95.0,2.3600848,568.0
2023-06-18 18:00:00,17.1725,94.0,2.3430748,328.0
2023-06-18 19:00:00,16.872501,91.0,2.0518284,212.0
2023-06-18 20:00:00,15.1725,98.0,1.4866068,55.0
2023-06-18 21:00:00,14.372499,99.0,1.118034,1.0
2023-06-18 22:00:00,13.9725,99.0,1.2165525,0.0
2023-06-18 23:00:00,13.572499,100.0,1.0440307,0.0
2023-06-19 00:00:00,13.372499,100.0,1.1401755,0.0
2023-06-19 01:00:00,13.2725,100.0,1.264911,0.0
2023-06-19 02:00:00,13.7725,100.0,1.17047,0.0
2023-06-19 03:00:00,13.7725,99.0,1.3341664,0.0
2023-06-19 04:00:00,13.9725,100.0,0.98488575,0.0
2023-06-19 05:00:00,13.872499,100.0,0.8,0.0
2023-06-19 06:00:00,14.1725,100.0,1.0630146,3.0
2023-06-19 07:00:00,15.4725,99.0,1.2206556,90.0
2023-06-19 08:00:00,15.6725,98.0,1.5297059,81.0
2023-06-19 09:00:00,16.6725,96.0,1.9235383,377.0
2023-06-19 10:00:00,16.4725,97.0,1.7,272.0
2023-06-19 11:00:00,17.872501,91.0,2.302173,705.0
2023-06-19 12:00:00,17.372501,95.0,2.2847319,510.0
2023-06-19 13:00:00,17.272501,97.0,2.758623,460.0
2023-06-19 14:00:00,16.0725,99.0,1.5811387,132.0
2023-06-19 15:00:00,15.9725,98.0,2.385372,204.0
2023-06-19 16:00:00,17.372501,94.0,3.0413814,644.0
2023-06-19 17:00:00,16.872501,97.0,2.2135942,310.0
2023-06-19 18:00:00,16.5725,97.0,1.8027756,202.0
2023-06-19 19:00:00,16.0725,98.0,1.1401755,116.0
2023-06-19 20:00:00,14.372499,99.0,0.6708204,58.0
2023-06-19 21:00:00,13.372499,99.0,0.36055514,1.0
2023-06-19 22:00:00,12.7725,99.0,0.1,0.0
2023-06-19 23:00:00,12.2725,99.0,0.2,0.0
2023-06-20 00:00:00,12.6725,100.0,0.22360681,0.0
2023-06-20 01:00:00,12.7725,99.0,0.5830952,0.0
2023-06-20 02:00:00,12.622499,98.0,0.98994946,0.0
2023-06-20 03:00:00,12.372499,98.0,0.98994946,0.0
2023-06-20 04:00:00,12.1725,97.0,1.0816654,0.0
2023-06-20 05:00:00,11.7725,99.0,1.0440307,0.0
2023-06-20 06:00:00,12.072499,97.0,1.4560219,33.0
2023-06-20 07:00:00,12.4725,96.0,1.5297059,88.0
2023-06-20 08:00:00,13.4725,92.0,1.5524175,191.0
2023-06-20 09:00:00,15.572499,80.0,2.0,369.0
2023-06-20 10:00:00,18.272501,63.0,2.418677,730.0
2023-06-20 11:00:00,20.4725,50.0,2.34094,860.0
2023-06-20 12:00:00,21.4725,47.0,2.9068882,924.0
2023-06-20 13:00:00,20.0725,50.0,2.863564,396.0
2023-06-20 14:00:00,19.6725,53.0,2.2135942,237.0
2023-06-20 15:00:00,21.872501,43.0,2.5961509,810.0
2023-06-20 16:00:00,21.372501,44.0,2.942788,571.0
2023-06-20 17:00:00,20.0725,51.0,2.3086793,279.0
2023-06-20 18:00:00,19.772501,53.0,2.4515302,309.0
2023-06-20 19:00:00,17.5725,66.0,2.1023796,204.0
2023-06-20 20:00:00,13.872499,87.0,0.89442724,53.0
2023-06-20 21:00:00,12.6725,94.0,0.781025,1.0
2023-06-20 22:00:00,11.7725,98.0,0.70710677,0.0
2023-06-20 23:00:00,11.572499,98.0,0.8062258,0.0
2023-06-21 00:00:00,11.4725,98.0,0.8,0.0
2023-06-21 01:00:00,11.072499,98.0,0.70710677,0.0
2023-06-21 02:00:00,10.9725,99.0,1.0049876,0.0
2023-06-21 03:00:00,11.372499,96.0,0.9055385,0.0
2023-06-21 04:00:00,11.372499,96.0,0.94868326,0.0
2023-06-21 05:00:00,11.372499,96.0,0.94868326,0.0
2023-06-21 06:00:00,12.4725,92.0,0.94868326,35.0
2023-06-21 07:00:00,14.872499,81.0,0.53851646,146.0
2023-06-21 08:00:00,17.372501,70.0,0.92195445,322.0
2023-06-21 09:00:00,19.4725,60.0,1.421267,523.0
2023-06-21 10:00:00,21.4725,52.0,1.2206556,657.0
2023-06-21 11:00:00,23.1725,47.0,0.92195445,825.0
2023-06-21 12:00:00,24.372501,43.0,0.64031243,913.0
2023-06-21 13:00:00,24.372501,41.0,1.431782,904.0
2023-06-21 14:00:00,17.6725,83.0,2.7313,257.0
2023-06-21 15:00:00,18.372501,80.0,2.5,507.0
2023-06-21 16:00:00,17.772501,91.0,2.7313,641.0
2023-06-21 17:00:00,17.0725,95.0,1.6124516,391.0
2023-06-21 18:00:00,17.372501,96.0,1.3892444,296.0
2023-06-21 19:00:00,16.4725,97.0,1.3601471,217.0
