dates,temp,rh,wind,solar_rad
2023-06-17 00:00:00,18.4425,84.0,1.2041595,0.0
2023-06-17 01:00:00,18.342499,82.0,1.3601471,0.0
2023-06-17 02:00:00,18.2425,79.0,1.1401755,0.0
2023-06-17 03:00:00,18.2425,76.0,1.0816654,0.0
2023-06-17 04:00:00,18.1425,74.0,0.94868326,0.0
2023-06-17 05:00:00,18.0425,75.0,0.8,0.0
2023-06-17 06:00:00,19.5425,75.0,1.0049876,33.0
2023-06-17 07:00:00,22.842499,62.0,2.3345234,193.0
2023-06-17 08:00:00,24.7425,53.0,3.9623227,390.0
2023-06-17 09:00:00,26.0425,48.0,4.588028,583.0
2023-06-17 10:00:00,26.9425,46.0,4.8703184,751.0
2023-06-17 11:00:00,27.5425,45.0,5.124451,875.0
2023-06-17 12:00:00,27.6425,47.0,5.3600373,953.0
2023-06-17 13:00:00,27.6425,47.0,5.3600373,977.0
2023-06-17 14:00:00,27.5425,47.0,5.0,940.0
2023-06-17 15:00:00,27.342499,46.0,4.6840153,848.0
2023-06-17 16:00:00,27.2425,45.0,4.368066,709.0
2023-06-17 17:00:00,25.0425,56.0,3.6769552,532.0
2023-06-17 18:00:00,23.9425,63.0,2.6832817,334.0
2023-06-17 19:00:00,22.0425,75.0,1.5264337,138.0
2023-06-17 20:00:00,19.7425,86.0,1.0198039,14.0
2023-06-17 21:00:00,19.4425,86.0,0.7615773,0.0
2023-06-17 22:00:00,19.0425,87.0,0.9055385,0.0
2023-06-17 23:00:00,18.842499,85.0,0.8062258,0.0
2023-06-18 00:00:00,19.2425,80.0,1.1313709,0.0
2023-06-18 01:00:00,18.842499,78.0,1.3416408,0.0
2023-06-18 02:00:00,18.9425,74.0,1.5,0.0
2023-06-18 03:00:00,20.5425,62.0,1.5033296,0.0
2023-06-18 04:00:00,20.6425,57.0,0.8544004,0.0
2023-06-18 05:00:00,18.7425,67.0,1.1401755,0.0
2023-06-18 06:00:00,19.7425,66.0,1.7262677,28.0
2023-06-18 07:00:00,22.4425,57.0,1.4142135,138.0
2023-06-18 08:00:00,25.2425,50.0,1.3038404,347.0
2023-06-18 09:00:00,26.342499,46.0,2.236068,479.0
2023-06-18 10:00:00,27.1425,44.0,2.7313,627.0
2023-06-18 11:00:00,28.1425,41.0,3.613862,816.0
2023-06-18 12:00:00,28.2425,42.0,4.2296567,894.0
2023-06-18 13:00:00,28.0425,43.0,4.6270943,937.0
2023-06-18 14:00:00,27.4425,47.0,5.0635953,939.0
