dates,temp,rh,wind,solar_rad
2023-06-17 00:00:00,25.483002,40.0,1.0198039,0.0
2023-06-17 01:00:00,24.883,42.0,0.31622776,0.0
2023-06-17 02:00:00,24.233002,43.0,0.6324555,0.0
2023-06-17 03:00:00,23.583,44.0,1.0770329,0.0
2023-06-17 04:00:00,22.883,46.0,1.104536,0.0
2023-06-17 05:00:00,22.483002,49.0,0.8,0.0
2023-06-17 06:00:00,24.182999,47.0,0.6708204,60.0
2023-06-17 07:00:00,25.783,37.0,1.2165525,233.0
2023-06-17 08:00:00,27.483002,33.0,1.5297059,428.0
2023-06-17 09:00:00,29.283,29.0,2.1540658,616.0
2023-06-17 10:00:00,30.983002,26.0,2.640076,775.0
2023-06-17 11:00:00,32.183,23.0,2.9410882,886.0
2023-06-17 12:00:00,32.883,22.0,3.176476,962.0
2023-06-17 13:00:00,33.583,21.0,3.5468295,949.0
2023-06-17 14:00:00,34.183002,20.0,3.676955,927.0
2023-06-17 15:00:00,34.483,19.0,4.1773195,828.0
2023-06-17 16:00:00,34.483,19.0,5.140039,679.0
2023-06-17 17:00:00,33.983,19.0,5.905929,506.0
2023-06-17 18:00:00,32.783,21.0,6.040695,326.0
2023-06-17 19:00:00,30.883,24.0,4.4777226,137.0
2023-06-17 20:00:00,28.283,28.0,2.2472205,18.0
2023-06-17 21:00:00,26.983002,31.0,1.431782,0.0
2023-06-17 22:00:00,25.883,33.0,1.3038404,0.0
2023-06-17 23:00:00,24.983002,35.0,1.2041595,0.0
2023-06-18 00:00:00,24.083,38.0,1.2806249,0.0
2023-06-18 01:00:00,23.583,40.0,1.6124516,0.0
2023-06-18 02:00:00,22.783,44.0,1.7117243,0.0
2023-06-18 03:00:00,22.182999,47.0,1.3,0.0
2023-06-18 04:00:00,20.783,53.0,2.0518284,0.0
2023-06-18 05:00:00,19.983002,58.0,2.0,0.0
2023-06-18 06:00:00,20.883,53.0,0.14142136,41.0
2023-06-18 07:00:00,22.182999,48.0,1.8027756,182.0
2023-06-18 08:00:00,23.483002,44.0,1.431782,358.0
2023-06-18 09:00:00,24.983002,40.0,2.2203603,498.0
2023-06-18 10:00:00,26.783,35.0,3.7215588,633.0
2023-06-18 11:00:00,27.682999,33.0,4.3863425,680.0
2023-06-18 12:00:00,28.383,32.0,3.5846896,697.0
2023-06-18 13:00:00,29.583,30.0,3.224903,875.0
2023-06-18 14:00:00,30.583,27.0,3.1241,941.0
2023-06-18 15:00:00,31.283,25.0,3.5805027,849.0
2023-06-18 16:00:00,31.783,24.0,4.356604,713.0
2023-06-18 17:00:00,31.583,23.0,4.924429,530.0
2023-06-18 18:00:00,30.182999,26.0,4.4687805,314.0
2023-06-18 19:00:00,28.682999,31.0,3.2984846,26.0
2023-06-18 20:00:00,27.583,33.0,3.4785054,5.0
2023-06-18 21:00:00,26.483002,35.0,2.8178005,0.0
2023-06-18 22:00:00,24.883,39.0,2.3345237,0.0
2023-06-18 23:00:00,23.883,41.0,2.1023796,0.0
2023-06-19 00:00:00,22.483002,47.0,1.3038404,0.0
2023-06-19 01:00:00,22.483002,46.0,1.746425,0.0
2023-06-19 02:00:00,20.983002,52.0,2.4041631,0.0
2023-06-19 03:00:00,19.682999,63.0,1.7029387,0.0
2023-06-19 04:00:00,20.083,61.0,1.9313208,0.0
2023-06-19 05:00:00,19.283,68.0,1.0198039,0.0
2023-06-19 06:00:00,20.583,59.0,1.0630146,53.0
2023-06-19 07:00:00,21.783,53.0,1.118034,191.0
2023-06-19 08:00:00,23.182999,48.0,1.6401219,420.0
2023-06-19 09:00:00,24.983002,42.0,2.8,594.0
2023-06-19 10:00:00,26.783,34.0,3.354102,692.0
2023-06-19 11:00:00,28.182999,30.0,5.1,806.0
2023-06-19 12:00:00,29.383,28.0,5.8600345,937.0
2023-06-19 13:00:00,30.483002,25.0,6.352952,952.0
2023-06-19 14:00:00,30.783,24.0,7.0491138,913.0
2023-06-19 15:00:00,30.583,26.0,7.632169,750.0
2023-06-19 16:00:00,30.182999,26.0,7.7620873,591.0
2023-06-19 17:00:00,29.383,27.0,7.9246454,444.0
2023-06-19 18:00:00,27.983002,29.0,6.868042,193.0
2023-06-19 19:00:00,26.783,32.0,6.0827627,58.0
2023-06-19 20:00:00,25.283,35.0,5.872819,12.0
2023-06-19 21:00:00,24.182999,38.0,4.661545,0.0
2023-06-19 22:00:00,23.083,41.0,4.2190046,0.0
2023-06-19 23:00:00,21.883,45.0,3.538361,0.0
2023-06-20 00:00:00,20.983002,49.0,4.080441,0.0
2023-06-20 01:00:00,20.583,52.0,2.6627054,0.0
2023-06-20 02:00:00,20.233002,55.0,2.7294688,0.0
2023-06-20 03:00:00,19.182999,63.0,2.5079873,0.0
2023-06-20 04:00:00,18.182999,70.0,1.3038405,0.0
2023-06-20 05:00:00,17.682999,73.0,1.8384776,0.0
2023-06-20 06:00:00,17.983002,73.0,2.1023796,55.0
2023-06-20 07:00:00,18.883,70.0,1.8439089,192.0
2023-06-20 08:00:00,20.383,64.0,2.6172504,422.0
2023-06-20 09:00:00,22.182999,54.0,3.3241541,609.0
