dates,temp,rh,wind,solar_rad
2023-06-17 00:00:00,19.5045,90.0,3.104835,0.0
2023-06-17 01:00:00,19.404501,90.0,2.9410882,0.0
2023-06-17 02:00:00,19.2045,91.0,2.657066,0.0
2023-06-17 03:00:00,19.2045,91.0,2.8160257,0.0
2023-06-17 04:00:00,19.2045,91.0,2.7658634,0.0
2023-06-17 05:00:00,19.2045,91.0,2.9614186,0.0
2023-06-17 06:00:00,19.2045,91.0,3.1575305,0.0
2023-06-17 07:00:00,19.2045,90.0,3.008322,26.0
2023-06-17 08:00:00,19.404501,89.0,2.7784889,154.0
2023-06-17 09:00:00,19.8045,87.0,3.2572994,366.0
2023-06-17 10:00:00,20.404501,84.0,3.4481878,635.0
2023-06-17 11:00:00,20.8045,81.0,3.6687872,773.0
2023-06-17 12:00:00,20.904501,83.0,4.244997,870.0
2023-06-17 13:00:00,20.7045,83.0,4.86621,899.0
2023-06-17 14:00:00,20.5045,85.0,5.021952,871.0
2023-06-17 15:00:00,20.404501,87.0,5.1662364,696.0
2023-06-17 16:00:00,20.1045,87.0,4.669047,482.0
2023-06-17 17:00:00,20.2045,88.0,4.2426405,409.0
2023-06-17 18:00:00,20.1045,89.0,3.981206,331.0
2023-06-17 19:00:00,19.7045,90.0,4.2755113,178.0
2023-06-17 20:00:00,19.904501,89.0,4.1,38.0
2023-06-17 21:00:00,19.8045,90.0,3.640055,0.0
2023-06-17 22:00:00,20.0045,89.0,3.544009,0.0
2023-06-17 23:00:00,19.8045,87.0,3.7,0.0
2023-06-18 00:00:00,19.404501,87.0,3.8639357,0.0
2023-06-18 01:00:00,19.6045,85.0,3.2015622,0.0
2023-06-18 02:00:00,19.3045,86.0,3.0149627,0.0
2023-06-18 03:00:00,18.904501,87.0,3.0594118,0.0
2023-06-18 04:00:00,19.0045,88.0,3.4058774,0.0
2023-06-18 05:00:00,19.0045,87.0,2.915476,0.0
2023-06-18 06:00:00,19.0045,85.0,3.1064448,0.0
2023-06-18 07:00:00,19.0045,86.0,3.306055,20.0
2023-06-18 08:00:00,19.0045,86.0,3.6055512,99.0
2023-06-18 09:00:00,19.2045,85.0,3.4014704,176.0
2023-06-18 10:00:00,19.3045,86.0,3.8052595,292.0
2023-06-18 11:00:00,19.3045,85.0,3.622154,451.0
2023-06-18 12:00:00,19.7045,81.0,4.031129,727.0
2023-06-18 13:00:00,20.3045,78.0,4.2579336,918.0
2023-06-18 14:00:00,20.6045,78.0,4.785394,912.0
2023-06-18 15:00:00,20.5045,79.0,4.9477267,902.0
2023-06-18 16:00:00,20.5045,79.0,4.785394,767.0
2023-06-18 17:00:00,20.5045,79.0,4.632494,595.0
2023-06-18 18:00:00,20.5045,80.0,4.850773,417.0
2023-06-18 19:00:00,20.404501,81.0,4.016217,222.0
2023-06-18 20:00:00,20.3045,81.0,4.248529,51.0
2023-06-18 21:00:00,20.1045,83.0,3.7215588,0.0
2023-06-18 22:00:00,20.0045,84.0,3.5510561,0.0
2023-06-18 23:00:00,20.0045,84.0,3.5846896,0.0
2023-06-19 00:00:00,20.1045,84.0,4.0816665,0.0
2023-06-19 01:00:00,20.0045,86.0,4.1340055,0.0
2023-06-19 02:00:00,20.0545,87.0,3.8832977,0.0
2023-06-19 03:00:00,20.1045,87.0,3.9115214,0.0
2023-06-19 04:00:00,20.1045,87.0,3.9962482,0.0
