dates,temp,rh,wind,solar_rad
2023-06-17 00:00:00,19.102999,61.0,1.0630146,0.0
2023-06-17 01:00:00,18.703,63.0,1.7204651,0.0
2023-06-17 02:00:00,18.303,65.0,1.5652475,0.0
2023-06-17 03:00:00,18.003,67.0,1.360147,0.0
2023-06-17 04:00:00,18.003,66.0,1.6124516,0.0
2023-06-17 05:00:00,18.003,66.0,1.746425,10.0
2023-06-17 06:00:00,20.303,59.0,1.17047,99.0
2023-06-17 07:00:00,23.203,49.0,0.8062258,280.0
2023-06-17 08:00:00,26.102999,41.0,0.5,481.0
2023-06-17 09:00:00,27.803,35.0,1.4,612.0
2023-06-17 10:00:00,29.503,31.0,1.5811388,763.0
2023-06-17 11:00:00,30.803,29.0,1.8027756,859.0
2023-06-17 12:00:00,31.503,29.0,2.3600848,926.0
2023-06-17 13:00:00,32.003002,28.0,2.8017852,948.0
2023-06-17 14:00:00,32.203,27.0,3.224903,896.0
2023-06-17 15:00:00,32.203,26.0,3.1016126,796.0
2023-06-17 16:00:00,32.303,25.0,3.1575305,654.0
2023-06-17 17:00:00,30.602999,30.0,3.2695565,224.0
2023-06-17 18:00:00,21.803,71.0,4.8795495,154.0
2023-06-17 19:00:00,20.102999,85.0,4.4598203,3.0
2023-06-17 20:00:00,19.203,86.0,2.6683328,1.0
2023-06-17 21:00:00,18.503,89.0,0.82462114,0.0
2023-06-17 22:00:00,18.203,90.0,1.8027756,0.0
2023-06-17 23:00:00,17.703,94.0,3.8948684,0.0
2023-06-18 00:00:00,18.003,92.0,2.4738634,0.0
2023-06-18 01:00:00,17.602999,92.0,1.4866068,0.0
2023-06-18 02:00:00,18.053,89.0,0.14142136,0.0
2023-06-18 03:00:00,18.003,89.0,1.0198039,0.0
2023-06-18 04:00:00,17.003,92.0,0.6324555,0.0
2023-06-18 05:00:00,16.903,92.0,1.5033296,10.0
2023-06-18 06:00:00,18.102999,88.0,1.2,101.0
2023-06-18 07:00:00,19.703,81.0,1.5297059,260.0
2023-06-18 08:00:00,22.003,70.0,1.118034,404.0
2023-06-18 09:00:00,23.803,57.0,1.2206556,549.0
2023-06-18 10:00:00,24.303,52.0,1.431782,481.0
2023-06-18 11:00:00,25.803,44.0,1.8384775,593.0
2023-06-18 12:00:00,26.403,40.0,1.7029386,669.0
2023-06-18 13:00:00,27.903,34.0,2.280351,781.0
2023-06-18 14:00:00,28.703,32.0,2.236068,795.0
2023-06-18 15:00:00,28.403,33.0,2.9017239,646.0
2023-06-18 16:00:00,27.903,34.0,4.0112343,505.0
2023-06-18 17:00:00,26.803,37.0,2.7073975,336.0
2023-06-18 18:00:00,25.602999,42.0,2.118962,201.0
