dates,temp,rh,wind,solar_rad
2023-06-17 00:00:00,20.475,68.0,0.70710677,0.0
2023-06-17 01:00:00,20.275002,67.0,0.44721362,0.0
2023-06-17 02:00:00,20.025002,67.0,0.31622776,0.0
2023-06-17 03:00:00,19.775002,68.0,0.41231057,0.0
2023-06-17 04:00:00,19.575,69.0,0.50990194,0.0
2023-06-17 05:00:00,20.175001,67.0,0.6,12.0
2023-06-17 06:00:00,22.675001,58.0,0.36055514,132.0
2023-06-17 07:00:00,25.175001,49.0,1.1,318.0
2023-06-17 08:00:00,26.975,41.0,2.3537204,510.0
2023-06-17 09:00:00,28.375,37.0,3.544009,686.0
2023-06-17 10:00:00,29.075,35.0,4.535416,829.0
2023-06-17 11:00:00,29.275002,34.0,4.883646,927.0
2023-06-17 12:00:00,28.975,34.0,5.4589376,973.0
2023-06-17 13:00:00,28.875,34.0,5.656854,962.0
2023-06-17 14:00:00,28.475,35.0,5.731492,887.0
2023-06-17 15:00:00,28.075,38.0,5.5226803,781.0
2023-06-17 16:00:00,27.775002,40.0,4.909175,626.0
2023-06-17 17:00:00,27.275002,42.0,4.2107005,444.0
2023-06-17 18:00:00,26.575,45.0,3.535534,253.0
2023-06-17 19:00:00,24.275002,56.0,2.529822,78.0
2023-06-17 20:00:00,22.675001,61.0,1.7804494,2.0
2023-06-17 21:00:00,22.075,61.0,1.7117243,0.0
2023-06-17 22:00:00,21.575,60.0,2.0615528,0.0
2023-06-17 23:00:00,21.375,58.0,2.5,0.0
2023-06-18 00:00:00,21.375,54.0,2.7018511,0.0
2023-06-18 01:00:00,21.475,51.0,3.2202482,0.0
2023-06-18 02:00:00,21.675001,46.0,3.4669871,0.0
2023-06-18 03:00:00,21.675001,44.0,2.8844411,0.0
2023-06-18 04:00:00,21.475,46.0,3.5510561,0.0
2023-06-18 05:00:00,21.375,51.0,3.538361,11.0
2023-06-18 06:00:00,23.775002,48.0,3.4713109,130.0
2023-06-18 07:00:00,26.075,39.0,4.88467,270.0
2023-06-18 08:00:00,27.775002,33.0,4.4271884,420.0
2023-06-18 09:00:00,28.875,29.0,2.8160255,484.0
2023-06-18 10:00:00,30.975,25.0,1.7117243,802.0
2023-06-18 11:00:00,31.175001,28.0,2.4413111,853.0
2023-06-18 12:00:00,31.475,26.0,3.405877,834.0
2023-06-18 13:00:00,31.775002,26.0,4.3416586,783.0
2023-06-18 14:00:00,31.575,25.0,5.3851643,372.0
2023-06-18 15:00:00,31.275002,25.0,6.4629717,569.0
2023-06-18 16:00:00,30.375,25.0,7.648529,448.0
2023-06-18 17:00:00,28.875,28.0,6.1008196,333.0
2023-06-18 18:00:00,27.475,32.0,5.345091,170.0
2023-06-18 19:00:00,25.475,40.0,4.7759814,56.0
2023-06-18 20:00:00,24.075,41.0,3.905125,2.0
2023-06-18 21:00:00,23.975,39.0,3.4999998,0.0
2023-06-18 22:00:00,23.775002,39.0,3.5735137,0.0
2023-06-18 23:00:00,22.475,57.0,3.405877,0.0
2023-06-19 00:00:00,22.475,64.0,4.7801676,0.0
2023-06-19 01:00:00,23.475,52.0,3.0463092,0.0
2023-06-19 02:00:00,24.725,35.0,5.1662364,0.0
2023-06-19 03:00:00,23.375,38.0,3.2015622,0.0
2023-06-19 04:00:00,23.375,40.0,5.215362,0.0
2023-06-19 05:00:00,22.075,71.0,7.521303,11.0
2023-06-19 06:00:00,23.175001,73.0,7.9630394,128.0
2023-06-19 07:00:00,25.875,56.0,7.877182,273.0
2023-06-19 08:00:00,28.575,46.0,7.7491937,435.0
2023-06-19 09:00:00,31.575,37.0,6.8117547,582.0
2023-06-19 10:00:00,33.175,36.0,6.670832,731.0
2023-06-19 11:00:00,34.075,32.0,7.247068,830.0
2023-06-19 12:00:00,32.575,40.0,6.6490602,916.0
2023-06-19 13:00:00,31.075,49.0,5.4037027,933.0
2023-06-19 14:00:00,31.075,47.0,5.0,835.0
2023-06-19 15:00:00,29.875,51.0,4.8093657,674.0
2023-06-19 16:00:00,29.175001,54.0,3.9115217,612.0
2023-06-19 17:00:00,28.675001,55.0,3.3241541,443.0
2023-06-19 18:00:00,28.775002,53.0,2.4596748,247.0
2023-06-19 19:00:00,26.575,60.0,0.5830952,71.0
2023-06-19 20:00:00,25.675001,61.0,0.22360681,2.0
2023-06-19 21:00:00,25.175001,62.0,0.50990194,0.0
2023-06-19 22:00:00,24.375,67.0,0.82462114,0.0
2023-06-19 23:00:00,23.775002,70.0,0.5,0.0
2023-06-20 00:00:00,23.575,75.0,0.9,0.0
2023-06-20 01:00:00,23.175001,79.0,1.2806249,0.0
2023-06-20 02:00:00,22.725,83.0,0.7211103,0.0
2023-06-20 03:00:00,22.675001,86.0,0.84852815,0.0
2023-06-20 04:00:00,22.675001,89.0,2.3430748,0.0
2023-06-20 05:00:00,22.875,91.0,2.4166093,11.0
2023-06-20 06:00:00,24.475,83.0,2.3706539,110.0
2023-06-20 07:00:00,26.475,70.0,2.630589,289.0
2023-06-20 08:00:00,29.875,51.0,1.8248286,498.0
2023-06-20 09:00:00,32.075,42.0,2.657066,676.0
2023-06-20 10:00:00,31.775002,47.0,5.1971145,813.0
2023-06-20 11:00:00,29.175001,59.0,5.9481087,889.0
2023-06-20 12:00:00,29.875,55.0,5.5470715,868.0
2023-06-20 13:00:00,28.775002,61.0,5.4120235,860.0
2023-06-20 14:00:00,27.675001,68.0,5.60803,812.0
2023-06-20 15:00:00,27.175001,69.0,4.148494,678.0
2023-06-20 16:00:00,26.875,71.0,4.1231055,532.0
2023-06-20 17:00:00,26.275002,73.0,3.0805843,407.0
2023-06-20 18:00:00,26.275002,72.0,3.0016663,251.0
2023-06-20 19:00:00,24.675001,81.0,1.6278821,79.0
2023-06-20 20:00:00,23.675001,85.0,0.53851646,2.0
2023-06-20 21:00:00,24.175001,78.0,1.5524175,0.0
2023-06-20 22:00:00,24.275002,74.0,2.184033,0.0
2023-06-20 23:00:00,24.275002,70.0,2.5612497,0.0
2023-06-21 00:00:00,25.475,56.0,2.828427,0.0
2023-06-21 01:00:00,25.675001,49.0,3.0066593,0.0
2023-06-21 02:00:00,25.775002,45.0,3.4999998,0.0
2023-06-21 03:00:00,25.575,47.0,3.6400552,0.0
2023-06-21 04:00:00,24.275002,61.0,3.3286633,0.0
2023-06-21 05:00:00,23.975,71.0,2.280351,10.0
2023-06-21 06:00:00,25.775002,63.0,1.4560219,102.0
2023-06-21 07:00:00,27.775002,54.0,1.7,309.0
2023-06-21 08:00:00,28.275002,52.0,3.6069376,412.0
2023-06-21 09:00:00,28.475,53.0,3.1622775,549.0
2023-06-21 10:00:00,30.075,50.0,4.0706263,756.0
2023-06-21 11:00:00,30.475,50.0,4.792703,868.0
2023-06-21 12:00:00,29.975,52.0,5.239275,922.0
2023-06-21 13:00:00,29.275002,56.0,5.3712196,924.0
2023-06-21 14:00:00,28.975,57.0,4.3462625,814.0
2023-06-21 15:00:00,28.375,60.0,4.6872168,642.0
2023-06-21 16:00:00,28.375,60.0,3.733631,511.0
2023-06-21 17:00:00,28.175001,60.0,3.5693135,417.0
2023-06-21 18:00:00,27.175001,63.0,2.8442926,216.0
2023-06-21 19:00:00,24.975,76.0,3.6715121,67.0
2023-06-21 20:00:00,23.275002,85.0,3.5171013,2.0
2023-06-21 21:00:00,22.675001,86.0,2.9154758,0.0
2023-06-21 22:00:00,22.875,82.0,2.745906,0.0
2023-06-21 23:00:00,22.675001,84.0,2.505993,0.0
2023-06-22 00:00:00,22.175001,91.0,2.9546573,0.0
2023-06-22 01:00:00,21.675001,93.0,2.886174,0.0
2023-06-22 02:00:00,21.375,93.0,3.1384711,0.0
2023-06-22 03:00:00,21.375,92.0,2.5632012,0.0
2023-06-22 04:00:00,21.575,91.0,2.8844411,0.0
2023-06-22 05:00:00,22.775002,82.0,2.996665,10.0
2023-06-22 06:00:00,25.375,70.0,2.6870058,86.0
2023-06-22 07:00:00,27.375,62.0,3.3241541,256.0
2023-06-22 08:00:00,29.175001,52.0,3.1384711,477.0
2023-06-22 09:00:00,30.075,46.0,3.8470767,466.0
2023-06-22 10:00:00,30.575,42.0,4.3,608.0
2023-06-22 11:00:00,31.875,38.0,4.785394,889.0
2023-06-22 12:00:00,32.575,35.0,4.6010866,948.0
2023-06-22 13:00:00,32.875,34.0,4.110961,944.0
2023-06-22 14:00:00,33.075,31.0,3.8327537,883.0
2023-06-22 15:00:00,33.175,29.0,3.8483763,772.0
2023-06-22 16:00:00,33.175,28.0,3.8013155,622.0
2023-06-22 17:00:00,33.175,27.0,3.939543,444.0
2023-06-22 18:00:00,31.775002,36.0,4.318565,255.0
2023-06-22 19:00:00,28.075,51.0,6.726812,80.0
2023-06-22 20:00:00,25.375,58.0,2.5079873,2.0
2023-06-22 21:00:00,24.575,58.0,2.4020824,0.0
2023-06-22 22:00:00,23.275002,60.0,3.104835,0.0
2023-06-22 23:00:00,22.175001,69.0,3.4409301,0.0
2023-06-23 00:00:00,21.675001,81.0,3.2802439,0.0
2023-06-23 01:00:00,21.475,81.0,3.3941126,0.0
2023-06-23 02:00:00,21.475,77.0,3.2802439,0.0
2023-06-23 03:00:00,21.675001,72.0,3.3837848,0.0
2023-06-23 04:00:00,21.775002,68.0,3.5805027,0.0
2023-06-23 05:00:00,22.375,63.0,3.4713109,11.0
2023-06-23 06:00:00,25.075,54.0,3.920459,127.0
2023-06-23 07:00:00,27.075,47.0,4.049691,310.0
2023-06-23 08:00:00,28.375,44.0,3.471311,501.0
2023-06-23 09:00:00,29.775002,41.0,1.8973665,674.0
2023-06-23 10:00:00,30.775002,39.0,3.6249137,816.0
2023-06-23 11:00:00,30.575,43.0,6.96563,914.0
2023-06-23 12:00:00,29.675001,47.0,6.96563,957.0
2023-06-23 13:00:00,31.775002,40.0,5.3263493,947.0
2023-06-23 14:00:00,30.975,42.0,5.9816384,887.0
2023-06-23 15:00:00,29.775002,46.0,5.5226803,774.0
2023-06-23 16:00:00,29.575,47.0,4.924429,621.0
2023-06-23 17:00:00,27.975,54.0,4.588028,442.0
2023-06-23 18:00:00,25.675001,62.0,4.295346,252.0
2023-06-23 19:00:00,23.475,72.0,3.1144822,80.0
2023-06-23 20:00:00,21.875,81.0,1.6278821,2.0
2023-06-23 21:00:00,21.675001,81.0,0.44721362,0.0
2023-06-23 22:00:00,21.375,81.0,0.94868326,0.0
2023-06-23 23:00:00,21.175001,79.0,1.3341664,0.0
2023-06-24 00:00:00,21.175001,75.0,1.104536,0.0
2023-06-24 01:00:00,21.275002,73.0,1.0630146,0.0
2023-06-24 02:00:00,21.175001,73.0,1.4142135,0.0
2023-06-24 03:00:00,20.975,72.0,1.5,0.0
2023-06-24 04:00:00,20.775002,72.0,1.4142135,0.0
2023-06-24 05:00:00,21.275002,68.0,1.5033296,10.0
2023-06-24 06:00:00,23.975,56.0,1.2165525,127.0
2023-06-24 07:00:00,26.675001,45.0,0.7615773,312.0
2023-06-24 08:00:00,28.375,37.0,2.3345234,504.0
2023-06-24 09:00:00,29.375,36.0,3.544009,680.0
2023-06-24 10:00:00,29.775002,37.0,4.8754487,823.0
2023-06-24 11:00:00,29.675001,37.0,6.0827627,921.0
2023-06-24 12:00:00,29.475,38.0,6.397656,967.0
2023-06-24 13:00:00,29.375,39.0,6.4660654,958.0
2023-06-24 14:00:00,29.175001,40.0,5.8309517,893.0
2023-06-24 15:00:00,28.775002,42.0,5.6797886,781.0
2023-06-24 16:00:00,27.975,45.0,5.3235326,628.0
2023-06-24 17:00:00,27.075,47.0,4.6647615,447.0
