dates,temp,rh,wind,solar_rad
2023-06-17 00:00:00,26.866001,33.0,2.1260293,0.0
2023-06-17 01:00:00,26.066,34.0,2.3600848,0.0
2023-06-17 02:00:00,25.116001,37.0,2.4758837,0.0
2023-06-17 03:00:00,24.266,43.0,1.8788295,0.0
2023-06-17 04:00:00,23.866001,47.0,2.236068,0.0
2023-06-17 05:00:00,23.266,51.0,2.2203605,1.0
2023-06-17 06:00:00,24.066,50.0,2.376973,63.0
2023-06-17 07:00:00,25.866001,44.0,3.720215,239.0
2023-06-17 08:00:00,28.066,37.0,3.8600519,434.0
2023-06-17 09:00:00,29.766,31.0,2.404163,619.0
2023-06-17 10:00:00,31.366001,27.0,1.9646883,777.0
2023-06-17 11:00:00,32.666,24.0,1.8439089,895.0
2023-06-17 12:00:00,33.466,22.0,1.2083046,939.0
2023-06-17 13:00:00,34.466,20.0,1.6970563,939.0
2023-06-17 14:00:00,35.266,19.0,4.548626,820.0
2023-06-17 15:00:00,35.066,19.0,6.462198,584.0
2023-06-17 16:00:00,35.266,18.0,5.99333,637.0
2023-06-17 17:00:00,35.166,18.0,6.3031735,507.0
2023-06-17 18:00:00,34.066,20.0,7.0213957,332.0
2023-06-17 19:00:00,32.266,24.0,6.7186303,134.0
2023-06-17 20:00:00,29.566,30.0,5.2392745,19.0
2023-06-17 21:00:00,28.566,31.0,3.6345563,0.0
2023-06-17 22:00:00,27.566,33.0,2.4020824,0.0
2023-06-17 23:00:00,26.866001,35.0,1.4560219,0.0
2023-06-18 00:00:00,26.266,36.0,1.5652475,0.0
2023-06-18 01:00:00,25.666,38.0,2.147091,0.0
2023-06-18 02:00:00,24.166,41.0,2.376973,0.0
2023-06-18 03:00:00,23.166,45.0,2.5553863,0.0
2023-06-18 04:00:00,22.466,48.0,2.4698176,0.0
2023-06-18 05:00:00,20.866001,58.0,2.624881,1.0
2023-06-18 06:00:00,21.266,58.0,2.147091,56.0
2023-06-18 07:00:00,22.866001,51.0,1.2165525,151.0
2023-06-18 08:00:00,24.666,45.0,2.1023796,341.0
2023-06-18 09:00:00,25.966,40.0,2.3706539,488.0
2023-06-18 10:00:00,27.266,36.0,2.8792362,657.0
2023-06-18 11:00:00,28.366001,34.0,2.751363,790.0
2023-06-18 12:00:00,29.366001,31.0,2.5495098,799.0
2023-06-18 13:00:00,30.366001,29.0,3.2015622,906.0
2023-06-18 14:00:00,30.966,27.0,2.433105,901.0
2023-06-18 15:00:00,31.866001,24.0,2.1400933,841.0
2023-06-18 16:00:00,32.766,22.0,5.325411,695.0
2023-06-18 17:00:00,32.566,21.0,4.022437,534.0
2023-06-18 18:00:00,31.466,24.0,5.508176,324.0
2023-06-18 19:00:00,29.266,28.0,6.264982,74.0
2023-06-18 20:00:00,28.066,29.0,5.0921507,14.0
2023-06-18 21:00:00,27.366001,28.0,3.945884,0.0
2023-06-18 22:00:00,25.866001,32.0,3.4132097,0.0
2023-06-18 23:00:00,23.866001,40.0,3.275668,0.0
2023-06-19 00:00:00,23.266,44.0,3.2526913,0.0
2023-06-19 01:00:00,22.466,48.0,2.4515302,0.0
2023-06-19 02:00:00,20.966,59.0,2.433105,0.0
2023-06-19 03:00:00,20.666,61.0,1.0816654,0.0
2023-06-19 04:00:00,20.166,65.0,2.0615528,0.0
2023-06-19 05:00:00,20.666,61.0,1.4142135,0.0
2023-06-19 06:00:00,20.866001,59.0,2.059126,61.0
2023-06-19 07:00:00,21.366001,56.0,2.0248456,198.0
2023-06-19 08:00:00,22.766,49.0,1.2369317,370.0
2023-06-19 09:00:00,24.666,43.0,2.2472205,514.0
2023-06-19 10:00:00,26.366001,39.0,2.7892652,639.0
2023-06-19 11:00:00,28.066,36.0,3.8052595,855.0
2023-06-19 12:00:00,29.266,31.0,3.522783,884.0
2023-06-19 13:00:00,30.966,27.0,6.539113,961.0
2023-06-19 14:00:00,31.466,24.0,6.7230945,766.0
2023-06-19 15:00:00,31.466,23.0,7.151223,457.0
2023-06-19 16:00:00,32.166,22.0,8.013114,590.0
2023-06-19 17:00:00,31.766,23.0,8.236504,401.0
2023-06-19 18:00:00,29.966,27.0,7.6216793,58.0
2023-06-19 19:00:00,27.666,32.0,8.405355,75.0
2023-06-19 20:00:00,27.566,32.0,7.017834,9.0
2023-06-19 21:00:00,27.066,33.0,7.0092793,0.0
2023-06-19 22:00:00,26.166,35.0,6.8007355,0.0
2023-06-19 23:00:00,24.766,40.0,4.3737855,0.0
2023-06-20 00:00:00,23.066,47.0,2.2022717,0.0
2023-06-20 01:00:00,22.266,49.0,2.8,0.0
2023-06-20 02:00:00,20.466,60.0,3.905125,0.0
2023-06-20 03:00:00,19.866001,65.0,2.5961509,0.0
2023-06-20 04:00:00,19.666,66.0,2.8442926,0.0
2023-06-20 05:00:00,19.166,69.0,3.3955853,1.0
2023-06-20 06:00:00,19.166,71.0,4.609772,59.0
2023-06-20 07:00:00,20.266,67.0,5.4341516,230.0
2023-06-20 08:00:00,21.466,61.0,4.707441,427.0
2023-06-20 09:00:00,22.666,56.0,3.7696154,611.0
2023-06-20 10:00:00,24.066,49.0,2.9154758,770.0
2023-06-20 11:00:00,25.966,39.0,2.4698176,851.0
2023-06-20 12:00:00,27.566,34.0,4.356604,891.0
2023-06-20 13:00:00,28.266,32.0,5.077401,845.0
2023-06-20 14:00:00,28.766,30.0,4.770744,859.0
2023-06-20 15:00:00,29.166,28.0,4.9193497,785.0
2023-06-20 16:00:00,29.166,27.0,5.3758717,563.0
2023-06-20 17:00:00,28.666,28.0,7.006426,460.0
2023-06-20 18:00:00,26.966,32.0,6.9231496,251.0
2023-06-20 19:00:00,25.966,35.0,6.0876927,118.0
2023-06-20 20:00:00,24.266,41.0,4.7010636,19.0
2023-06-20 21:00:00,23.266,46.0,3.9661064,0.0
2023-06-20 22:00:00,22.766,49.0,2.8792362,0.0
2023-06-20 23:00:00,22.266,51.0,2.2203605,0.0
2023-06-21 00:00:00,21.766,54.0,1.8,0.0
2023-06-21 01:00:00,21.666,54.0,1.17047,0.0
2023-06-21 02:00:00,20.966,56.0,0.98488575,0.0
2023-06-21 03:00:00,20.866001,55.0,1.118034,0.0
2023-06-21 04:00:00,20.466,55.0,1.3416408,0.0
2023-06-21 05:00:00,20.066,54.0,2.1931713,1.0
2023-06-21 06:00:00,20.766,53.0,0.94868326,56.0
2023-06-21 07:00:00,21.866001,48.0,0.31622776,223.0
2023-06-21 08:00:00,23.266,44.0,0.8062258,415.0
2023-06-21 09:00:00,24.166,42.0,1.5132746,400.0
2023-06-21 10:00:00,25.366001,39.0,1.0816654,685.0
2023-06-21 11:00:00,26.366001,37.0,0.781025,767.0
2023-06-21 12:00:00,27.066,35.0,1.3928387,768.0
