dates,temp,rh,wind,solar_rad
2023-06-17 00:00:00,25.479,38.0,1.7888545,0.0
2023-06-17 01:00:00,24.479,40.0,1.3416408,0.0
2023-06-17 02:00:00,23.529001,43.0,1.3892444,0.0
2023-06-17 03:00:00,22.679,47.0,1.0816654,0.0
2023-06-17 04:00:00,22.179,49.0,0.89442724,0.0
2023-06-17 05:00:00,21.879002,50.0,1.421267,0.0
2023-06-17 06:00:00,22.879002,47.0,1.8601075,36.0
2023-06-17 07:00:00,25.479,41.0,1.8788295,198.0
2023-06-17 08:00:00,27.879002,36.0,2.236068,395.0
2023-06-17 09:00:00,30.379002,30.0,2.3345237,589.0
2023-06-17 10:00:00,32.579002,26.0,2.4698179,746.0
2023-06-17 11:00:00,34.479,23.0,2.751363,886.0
2023-06-17 12:00:00,35.879,20.0,3.0232434,966.0
2023-06-17 13:00:00,37.179,17.0,3.4999998,990.0
2023-06-17 14:00:00,38.179,16.0,4.2520585,951.0
2023-06-17 15:00:00,38.179,16.0,6.3890533,859.0
2023-06-17 16:00:00,37.479,17.0,6.296825,700.0
2023-06-17 17:00:00,36.879,17.0,6.3780875,545.0
2023-06-17 18:00:00,35.179,19.0,6.2289643,355.0
2023-06-17 19:00:00,32.979,24.0,5.661272,164.0
2023-06-17 20:00:00,28.979,34.0,5.056679,21.0
2023-06-17 21:00:00,26.279001,41.0,3.4785054,0.0
2023-06-17 22:00:00,25.279001,43.0,3.1780498,0.0
2023-06-17 23:00:00,24.479,45.0,2.6172504,0.0
2023-06-18 00:00:00,23.979,47.0,2.4698179,0.0
2023-06-18 01:00:00,23.479,49.0,1.5,0.0
2023-06-18 02:00:00,22.979,51.0,1.2041595,0.0
2023-06-18 03:00:00,22.579,52.0,1.7117243,0.0
2023-06-18 04:00:00,22.579,51.0,1.5264337,0.0
2023-06-18 05:00:00,21.679,54.0,1.2041595,0.0
2023-06-18 06:00:00,22.779001,51.0,1.8248286,29.0
2023-06-18 07:00:00,24.479,45.0,0.22360681,138.0
2023-06-18 08:00:00,26.079,41.0,2.3345234,291.0
