dates,temp,rh,wind,solar_rad
2023-06-17 00:00:00,23.4385,58.0,2.5806975,0.0
2023-06-17 01:00:00,23.0385,60.0,2.376973,0.0
2023-06-17 02:00:00,22.488499,63.0,2.5495098,0.0
2023-06-17 03:00:00,21.9385,66.0,2.6476402,0.0
2023-06-17 04:00:00,21.5385,67.0,2.657066,0.0
2023-06-17 05:00:00,21.3385,67.0,2.3345234,8.0
2023-06-17 06:00:00,22.1385,63.0,2.570992,93.0
2023-06-17 07:00:00,24.1385,53.0,2.8635643,291.0
2023-06-17 08:00:00,26.238499,45.0,3.2893767,478.0
2023-06-17 09:00:00,28.3385,38.0,3.275668,652.0
2023-06-17 10:00:00,30.238499,32.0,3.7215588,797.0
2023-06-17 11:00:00,31.738499,29.0,3.3734255,886.0
2023-06-17 12:00:00,33.038498,28.0,3.613862,954.0
2023-06-17 13:00:00,34.1385,28.0,4.9335585,953.0
2023-06-17 14:00:00,34.1385,31.0,7.0213957,898.0
2023-06-17 15:00:00,33.6385,34.0,8.489994,794.0
2023-06-17 16:00:00,33.3385,36.0,6.981404,641.0
2023-06-17 17:00:00,29.9385,45.0,6.449806,136.0
2023-06-17 18:00:00,27.6385,46.0,8.6977005,7.0
2023-06-17 19:00:00,25.1385,52.0,8.080842,97.0
2023-06-17 20:00:00,23.9385,56.0,9.7652445,2.0
2023-06-17 21:00:00,23.6385,64.0,6.2361846,0.0
2023-06-17 22:00:00,22.5385,69.0,3.4058774,0.0
2023-06-17 23:00:00,21.5385,72.0,2.9529645,0.0
2023-06-18 00:00:00,20.5385,79.0,2.147091,0.0
2023-06-18 01:00:00,20.238499,80.0,2.3323808,0.0
2023-06-18 02:00:00,19.6385,81.0,1.2206556,0.0
2023-06-18 03:00:00,19.3385,83.0,1.5811387,0.0
2023-06-18 04:00:00,19.238499,83.0,1.8384775,0.0
2023-06-18 05:00:00,19.1385,82.0,1.8027756,7.0
2023-06-18 06:00:00,19.9385,75.0,2.3086793,83.0
2023-06-18 07:00:00,21.4385,67.0,3.8832974,233.0
2023-06-18 08:00:00,22.9385,57.0,4.531004,379.0
