dates,temp,rh,wind,solar_rad
2023-06-17 00:00:00,23.6135,33.0,1.4866068,0.0
2023-06-17 01:00:00,23.0135,36.0,1.360147,0.0
2023-06-17 02:00:00,22.063501,42.0,1.9235384,0.0
2023-06-17 03:00:00,21.9135,44.0,1.7804494,0.0
2023-06-17 04:00:00,21.6135,44.0,2.404163,0.0
2023-06-17 05:00:00,20.9135,46.0,2.8231187,6.0
2023-06-17 06:00:00,22.1135,47.0,2.9154758,97.0
2023-06-17 07:00:00,24.213501,42.0,5.0537114,251.0
2023-06-17 08:00:00,25.713501,39.0,5.5803227,378.0
2023-06-17 09:00:00,27.4135,33.0,5.249762,501.0
2023-06-17 10:00:00,29.5135,27.0,4.8270073,727.0
2023-06-17 11:00:00,31.313501,24.0,4.9396353,859.0
2023-06-17 12:00:00,31.9135,26.0,4.531004,898.0
2023-06-17 13:00:00,33.1135,26.0,4.701064,946.0
2023-06-17 14:00:00,33.8135,25.0,6.1220913,902.0
2023-06-17 15:00:00,34.0135,24.0,5.491812,674.0
2023-06-17 16:00:00,28.0135,44.0,2.8442926,565.0
2023-06-17 17:00:00,22.6135,69.0,4.318565,3.0
2023-06-17 18:00:00,23.4135,64.0,6.6030297,75.0
2023-06-17 19:00:00,22.5135,69.0,3.9357338,56.0
2023-06-17 20:00:00,21.313501,76.0,3.1064448,11.0
2023-06-17 21:00:00,21.0135,77.0,0.89442724,0.0
2023-06-17 22:00:00,20.4135,81.0,2.5019991,0.0
2023-06-17 23:00:00,20.0135,82.0,6.2128897,0.0
2023-06-18 00:00:00,18.813501,82.0,5.5317264,0.0
2023-06-18 01:00:00,18.5135,85.0,4.9406476,0.0
2023-06-18 02:00:00,18.5135,82.0,5.448853,0.0
2023-06-18 03:00:00,17.813501,84.0,5.0990195,0.0
2023-06-18 04:00:00,17.4135,87.0,3.6124785,0.0
2023-06-18 05:00:00,17.5135,89.0,4.2801867,6.0
2023-06-18 06:00:00,18.5135,84.0,5.2630787,80.0
2023-06-18 07:00:00,19.813501,74.0,6.989278,193.0
2023-06-18 08:00:00,21.1135,64.0,7.998125,332.0
2023-06-18 09:00:00,22.213501,59.0,8.450444,491.0
2023-06-18 10:00:00,23.313501,54.0,7.2862887,591.0
2023-06-18 11:00:00,24.713501,48.0,7.5742984,670.0
2023-06-18 12:00:00,25.713501,43.0,7.939773,734.0
2023-06-18 13:00:00,26.6135,40.0,7.5927596,749.0
2023-06-18 14:00:00,27.5135,37.0,7.44043,775.0
2023-06-18 15:00:00,27.4135,39.0,8.080223,741.0
2023-06-18 16:00:00,28.213501,35.0,8.591274,597.0
2023-06-18 17:00:00,27.4135,39.0,9.0,450.0
2023-06-18 18:00:00,24.813501,50.0,6.280127,279.0
2023-06-18 19:00:00,22.5135,62.0,1.7029387,98.0
2023-06-18 20:00:00,20.713501,68.0,2.302173,14.0
2023-06-18 21:00:00,19.213501,74.0,2.8442926,0.0
2023-06-18 22:00:00,18.813501,73.0,2.942788,0.0
2023-06-18 23:00:00,19.313501,72.0,0.92195445,0.0
2023-06-19 00:00:00,19.213501,73.0,1.5811388,0.0
2023-06-19 01:00:00,18.313501,79.0,2.2671568,0.0
2023-06-19 02:00:00,17.463501,85.0,1.8027756,0.0
2023-06-19 03:00:00,18.313501,79.0,1.4142135,0.0
2023-06-19 04:00:00,17.1135,85.0,2.5455844,0.0
2023-06-19 05:00:00,17.0135,86.0,2.0,5.0
2023-06-19 06:00:00,17.9135,82.0,3.7735925,57.0
2023-06-19 07:00:00,17.1135,84.0,6.618912,85.0
2023-06-19 08:00:00,17.4135,84.0,7.068239,147.0
2023-06-19 09:00:00,19.213501,75.0,5.240229,250.0
2023-06-19 10:00:00,20.213501,70.0,5.800862,230.0
2023-06-19 11:00:00,22.1135,64.0,5.5470715,271.0
2023-06-19 12:00:00,24.9135,52.0,7.2945185,830.0
2023-06-19 13:00:00,26.1135,45.0,8.132035,890.0
2023-06-19 14:00:00,26.6135,44.0,7.7155685,889.0
2023-06-19 15:00:00,26.213501,44.0,10.095543,798.0
2023-06-19 16:00:00,26.9135,41.0,9.840732,666.0
2023-06-19 17:00:00,26.6135,43.0,9.402128,483.0
2023-06-19 18:00:00,25.5135,45.0,8.588364,256.0
2023-06-19 19:00:00,22.813501,56.0,8.149233,121.0
2023-06-19 20:00:00,19.0135,79.0,7.1344237,5.0
2023-06-19 21:00:00,18.6135,81.0,4.9739323,0.0
2023-06-19 22:00:00,18.713501,83.0,3.8418746,0.0
2023-06-19 23:00:00,18.9135,83.0,0.56568545,0.0
2023-06-20 00:00:00,19.0135,82.0,1.8384776,0.0
2023-06-20 01:00:00,18.813501,82.0,2.0099752,0.0
2023-06-20 02:00:00,17.963501,85.0,0.7615773,0.0
2023-06-20 03:00:00,17.713501,85.0,0.94868326,0.0
2023-06-20 04:00:00,17.6135,85.0,0.60827625,0.0
2023-06-20 05:00:00,18.1135,82.0,0.5,5.0
2023-06-20 06:00:00,18.313501,83.0,2.1400933,63.0
2023-06-20 07:00:00,19.713501,75.0,2.8442926,214.0
2023-06-20 08:00:00,21.713501,65.0,3.2280025,413.0
2023-06-20 09:00:00,23.713501,58.0,4.20119,625.0
2023-06-20 10:00:00,25.213501,53.0,4.68188,773.0
2023-06-20 11:00:00,26.4135,49.0,5.333854,876.0
2023-06-20 12:00:00,27.6135,45.0,4.0261645,936.0
2023-06-20 13:00:00,28.813501,39.0,4.172529,945.0
2023-06-20 14:00:00,29.813501,35.0,5.502726,746.0
2023-06-20 15:00:00,28.6135,40.0,3.9446166,271.0
2023-06-20 16:00:00,26.6135,46.0,8.130191,199.0
2023-06-20 17:00:00,24.713501,51.0,8.077747,73.0
2023-06-20 18:00:00,25.213501,52.0,4.438468,236.0
2023-06-20 19:00:00,24.1135,56.0,3.436568,63.0
2023-06-20 20:00:00,23.313501,59.0,2.2561028,6.0
2023-06-20 21:00:00,22.213501,65.0,4.4,0.0
2023-06-20 22:00:00,19.9135,76.0,4.9030604,0.0
2023-06-20 23:00:00,19.9135,82.0,4.68188,0.0
2023-06-21 00:00:00,19.313501,85.0,2.5495098,0.0
2023-06-21 01:00:00,19.213501,84.0,0.89442724,0.0
2023-06-21 02:00:00,18.4135,87.0,0.22360681,0.0
2023-06-21 03:00:00,18.213501,88.0,0.8544004,0.0
2023-06-21 04:00:00,17.713501,89.0,1.555635,0.0
2023-06-21 05:00:00,17.313501,92.0,1.7691805,5.0
2023-06-21 06:00:00,18.213501,85.0,2.0,72.0
2023-06-21 07:00:00,19.5135,78.0,2.1400933,219.0
2023-06-21 08:00:00,20.813501,73.0,2.5632012,421.0
2023-06-21 09:00:00,21.5135,71.0,3.0016663,429.0
2023-06-21 10:00:00,21.5135,71.0,1.8867962,422.0
2023-06-21 11:00:00,21.4135,73.0,1.9416487,221.0
2023-06-21 12:00:00,24.6135,61.0,2.9068885,776.0
2023-06-21 13:00:00,26.0135,55.0,3.0463092,794.0
2023-06-21 14:00:00,26.4135,53.0,3.0805843,740.0
2023-06-21 15:00:00,26.0135,53.0,3.2449963,386.0
2023-06-21 16:00:00,25.713501,55.0,4.494441,328.0
2023-06-21 17:00:00,22.6135,71.0,6.5604877,170.0
2023-06-21 18:00:00,21.4135,76.0,0.50990194,16.0
2023-06-21 19:00:00,19.213501,82.0,5.3740115,53.0
2023-06-21 20:00:00,18.313501,88.0,4.016217,9.0
2023-06-21 21:00:00,18.1135,78.0,5.6515484,0.0
2023-06-21 22:00:00,17.713501,83.0,2.059126,0.0
2023-06-21 23:00:00,16.9135,89.0,3.6055512,0.0
2023-06-22 00:00:00,16.313501,94.0,4.118252,0.0
2023-06-22 01:00:00,16.5135,92.0,2.8017852,0.0
2023-06-22 02:00:00,16.4135,92.0,1.9313208,0.0
2023-06-22 03:00:00,16.213501,91.0,2.9206164,0.0
2023-06-22 04:00:00,16.313501,89.0,3.1241,0.0
2023-06-22 05:00:00,16.5135,88.0,3.6124785,4.0
2023-06-22 06:00:00,17.213501,87.0,4.5803933,91.0
2023-06-22 07:00:00,18.813501,79.0,5.800862,245.0
2023-06-22 08:00:00,20.4135,70.0,6.6400304,452.0
