dates,temp,rh,solar_rad,wind,Estacion,Servicio
2023-06-18 00:00:00,23.1,62.69,0,0.3055555555555556,AL41,VC
2023-06-18 01:00:00,22.6,62.58,0,1.1111111111111112,AL41,VC
2023-06-18 02:00:00,21.9,62.42,0,1.1111111111111112,AL41,VC
2023-06-18 03:00:00,21.2,64.32,0,1.3888888888888888,AL41,VC
2023-06-18 04:00:00,21.0,60.62,0,1.5,AL41,VC
2023-06-18 05:00:00,21.0,57.15,0,1.5,AL41,VC
2023-06-18 06:00:00,21.0,56.4,0,2.0,AL41,VC
2023-06-18 07:00:00,20.9,57.88,0,2.111111111111111,AL41,VC
2023-06-18 08:00:00,21.4,60.32,23,0.6111111111111112,AL41,VC
2023-06-18 09:00:00,22.6,57.54,77,2.388888888888889,AL41,VC
2023-06-18 10:00:00,24.0,47.31,129,3.5,AL41,VC
2023-06-18 11:00:00,25.7,38.44,366,3.3055555555555554,AL41,VC
2023-06-18 12:00:00,26.7,33.89,581,3.111111111111111,AL41,VC
2023-06-18 13:00:00,29.0,25.18,455,2.5,AL41,VC
2023-06-18 14:00:00,30.4,23.07,536,2.5,AL41,VC
2023-06-18 15:00:00,31.4,23.49,729,3.611111111111111,AL41,VC
2023-06-18 16:00:00,32.3,23.25,807,4.111111111111111,AL41,VC
2023-06-18 17:00:00,32.1,27.07,659,4.5,AL41,VC
2023-06-18 18:00:00,31.3,26.85,486,4.694444444444445,AL41,VC
2023-06-18 19:00:00,30.0,28.16,416,4.888888888888889,AL41,VC
2023-06-18 20:00:00,28.6,30.94,212,3.888888888888889,AL41,VC
2023-06-18 21:00:00,27.1,35.16,100,2.1944444444444446,AL41,VC
2023-06-18 22:00:00,25.0,47.27,7,1.1111111111111112,AL41,VC
2023-06-18 23:00:00,23.9,54.59,0,0.6111111111111112,AL41,VC
2023-06-19 00:00:00,23.1,53.68,0,1.3055555555555556,AL41,VC
2023-06-19 01:00:00,22.2,49.05,0,2.388888888888889,AL41,VC
2023-06-19 02:00:00,22.4,40.7,0,1.6111111111111112,AL41,VC
2023-06-19 03:00:00,22.3,34.99,0,1.6944444444444444,AL41,VC
2023-06-19 04:00:00,22.1,35.17,0,2.8055555555555554,AL41,VC
2023-06-19 05:00:00,21.6,42.74,0,1.6111111111111112,AL41,VC
2023-06-19 06:00:00,20.8,43.98,0,1.3055555555555556,AL41,VC
2023-06-19 07:00:00,21.0,49.39,1,0.3055555555555556,AL41,VC
