dates,temp,rh,solar_rad,wind,Estacion,Servicio
2023-06-18 00:00:00,23.2,80,0.0,2.21,CA73,WB
2023-06-18 01:00:00,23.1,82,0.0,2.7,CA73,WB
2023-06-18 02:00:00,22.6,85,0.0,1.4,CA73,WB
2023-06-18 03:00:00,22.3,85,0.0,2.73,CA73,WB
2023-06-18 04:00:00,22.5,79,0.0,2.71,CA73,WB
2023-06-18 05:00:00,22.6,75,0.0,3.13,CA73,WB
2023-06-18 06:00:00,22.6,71,0.0,2.09,CA73,WB
2023-06-18 07:00:00,22.7,65,28.820719,4.22,CA73,WB
2023-06-18 08:00:00,23.3,58,90.49492,1.95,CA73,WB
2023-06-18 09:00:00,23.6,62,163.08691,5.99,CA73,WB
2023-06-18 10:00:00,24.1,61,158.62689,5.54,CA73,WB
2023-06-18 11:00:00,24.9,61,530.97766,5.65,CA73,WB
2023-06-18 12:00:00,25.9,55,643.3982,5.78,CA73,WB
2023-06-18 13:00:00,26.3,54,771.2106,6.03,CA73,WB
2023-06-18 14:00:00,26.6,54,881.12885,6.78,CA73,WB
2023-06-18 15:00:00,26.3,54,935.7272,7.02,CA73,WB
2023-06-18 16:00:00,26.6,54,862.97595,6.44,CA73,WB
2023-06-18 17:00:00,26.5,54,463.16168,6.47,CA73,WB
2023-06-18 18:00:00,26.2,57,385.54868,6.54,CA73,WB
2023-06-18 19:00:00,25.7,61,382.0777,5.39,CA73,WB
2023-06-18 20:00:00,25.0,68,192.25565,4.63,CA73,WB
2023-06-18 21:00:00,24.3,76,34.120327,2.73,CA73,WB
2023-06-18 22:00:00,23.6,79,0.0,1.79,CA73,WB
2023-06-18 23:00:00,23.3,82,0.0,2.36,CA73,WB
2023-06-19 00:00:00,23.1,79,0.0,4.17,CA73,WB
2023-06-19 01:00:00,22.8,81,0.0,4.22,CA73,WB
2023-06-19 02:00:00,23.0,76,0.0,3.89,CA73,WB
2023-06-19 03:00:00,23.1,67,0.0,3.71,CA73,WB
2023-06-19 04:00:00,23.3,59,0.0,2.54,CA73,WB
2023-06-19 05:00:00,22.9,59,0.0,1.79,CA73,WB
2023-06-19 06:00:00,22.7,63,0.0,0.82,CA73,WB
2023-06-19 07:00:00,22.4,61,33.18038,0.91,CA73,WB
2023-06-19 08:00:00,22.9,70,165.84955,1.37,CA73,WB
2023-06-19 09:00:00,24.0,75,325.63953,2.5,CA73,WB
2023-06-19 10:00:00,24.8,70,467.3972,2.46,CA73,WB
2023-06-19 11:00:00,25.6,62,646.0481,2.4,CA73,WB
2023-06-19 12:00:00,26.4,56,820.99164,3.21,CA73,WB
2023-06-19 13:00:00,26.8,58,927.5936,3.24,CA73,WB
2023-06-19 14:00:00,27.1,59,959.7013,2.88,CA73,WB
2023-06-19 15:00:00,27.3,61,935.3435,2.88,CA73,WB
2023-06-19 16:00:00,27.3,60,848.8085,2.48,CA73,WB
2023-06-19 17:00:00,27.2,62,728.9402,2.45,CA73,WB
2023-06-19 18:00:00,27.5,50,571.1437,2.28,CA73,WB
2023-06-19 19:00:00,27.3,40,388.39044,2.72,CA73,WB
2023-06-19 20:00:00,25.5,66,194.16711,3.2,CA73,WB
2023-06-19 21:00:00,24.5,76,34.87884,2.25,CA73,WB
2023-06-19 22:00:00,23.9,76,0.0,1.78,CA73,WB
2023-06-19 23:00:00,23.6,76,0.0,1.58,CA73,WB
2023-06-20 00:00:00,23.1,86,0.0,2.5,CA73,WB
2023-06-20 01:00:00,23.0,86,0.0,3.02,CA73,WB
2023-06-20 02:00:00,22.9,87,0.0,3.36,CA73,WB
2023-06-20 03:00:00,22.9,87,0.0,5.24,CA73,WB
2023-06-20 04:00:00,23.1,83,0.0,3.76,CA73,WB
2023-06-20 05:00:00,23.1,80,0.0,2.34,CA73,WB
2023-06-20 06:00:00,23.2,78,0.0,1.75,CA73,WB
2023-06-20 07:00:00,22.9,80,34.535126,1.22,CA73,WB
2023-06-20 08:00:00,23.3,78,160.00923,1.52,CA73,WB
2023-06-20 09:00:00,24.2,78,349.56396,3.04,CA73,WB
2023-06-20 10:00:00,24.9,75,535.69604,3.95,CA73,WB
2023-06-20 11:00:00,25.1,76,701.63947,4.52,CA73,WB
2023-06-20 12:00:00,25.7,72,724.7317,3.72,CA73,WB
2023-06-20 13:00:00,26.5,66,917.2689,3.72,CA73,WB
2023-06-20 14:00:00,27.3,58,869.7873,3.81,CA73,WB
2023-06-20 15:00:00,27.8,54,774.2821,3.77,CA73,WB
2023-06-20 16:00:00,27.9,54,682.75867,3.67,CA73,WB
2023-06-20 17:00:00,28.0,50,584.49646,2.93,CA73,WB
2023-06-20 18:00:00,27.2,54,452.66098,3.25,CA73,WB
2023-06-20 19:00:00,26.4,60,355.65244,3.22,CA73,WB
2023-06-20 20:00:00,25.6,64,195.08386,2.73,CA73,WB
2023-06-20 21:00:00,24.9,67,35.53422,1.15,CA73,WB
2023-06-20 22:00:00,23.8,80,0.0,1.87,CA73,WB
2023-06-20 23:00:00,23.3,83,0.0,0.69,CA73,WB
2023-06-21 00:00:00,22.8,88,0.0,1.86,CA73,WB
2023-06-21 01:00:00,22.7,86,0.0,1.48,CA73,WB
2023-06-21 02:00:00,22.6,87,0.0,1.34,CA73,WB
2023-06-21 03:00:00,22.3,90,0.0,0.67,CA73,WB
2023-06-21 04:00:00,22.1,92,0.0,0.84,CA73,WB
2023-06-21 05:00:00,21.9,90,0.0,0.99,CA73,WB
2023-06-21 06:00:00,21.8,92,0.0,0.52,CA73,WB
2023-06-21 07:00:00,21.7,93,33.934097,0.72,CA73,WB
2023-06-21 08:00:00,22.3,91,136.29558,1.2,CA73,WB
2023-06-21 09:00:00,23.2,87,289.27792,1.04,CA73,WB
2023-06-21 10:00:00,24.1,80,533.101,1.9,CA73,WB
