dates,temp,rh,solar_rad,wind,Estacion,Servicio
2023-06-18 00:00:00,22.5,56,0.0,1.1,CI42,WB
2023-06-18 01:00:00,21.4,60,0.0,0.78,CI42,WB
2023-06-18 02:00:00,20.7,63,0.0,0.68,CI42,WB
2023-06-18 03:00:00,19.6,67,0.0,1.07,CI42,WB
2023-06-18 04:00:00,18.9,68,0.0,1.26,CI42,WB
2023-06-18 05:00:00,18.3,70,0.0,1.28,CI42,WB
2023-06-18 06:00:00,18.6,70,0.0,1.17,CI42,WB
2023-06-18 07:00:00,17.7,78,34.406826,1.45,CI42,WB
2023-06-18 08:00:00,18.4,78,69.021355,0.34,CI42,WB
2023-06-18 09:00:00,20.8,67,146.8926,1.14,CI42,WB
2023-06-18 10:00:00,21.9,60,132.19258,1.5,CI42,WB
2023-06-18 11:00:00,22.4,59,154.41267,1.43,CI42,WB
2023-06-18 12:00:00,21.1,67,195.53647,3.63,CI42,WB
2023-06-18 13:00:00,20.8,66,238.63556,1.25,CI42,WB
2023-06-18 14:00:00,20.7,67,151.18439,2.3,CI42,WB
2023-06-18 15:00:00,21.6,64,832.0388,1.99,CI42,WB
2023-06-18 16:00:00,23.9,57,749.1451,3.13,CI42,WB
2023-06-18 17:00:00,26.2,47,635.73126,0.67,CI42,WB
2023-06-18 18:00:00,26.1,53,492.23395,0.95,CI42,WB
2023-06-18 19:00:00,26.9,47,319.47327,0.82,CI42,WB
2023-06-18 20:00:00,26.6,49,190.23187,1.67,CI42,WB
2023-06-18 21:00:00,25.4,40,38.167316,2.28,CI42,WB
2023-06-18 22:00:00,23.5,48,0.0,1.36,CI42,WB
2023-06-18 23:00:00,22.3,54,0.0,0.48,CI42,WB
2023-06-19 00:00:00,21.0,57,0.0,0.62,CI42,WB
2023-06-19 01:00:00,19.7,61,0.0,1.19,CI42,WB
2023-06-19 02:00:00,18.0,71,0.0,1.27,CI42,WB
2023-06-19 03:00:00,17.4,73,0.0,1.45,CI42,WB
2023-06-19 04:00:00,18.1,67,0.0,1.57,CI42,WB
2023-06-19 05:00:00,18.4,66,0.0,1.12,CI42,WB
2023-06-19 06:00:00,18.7,67,0.0,1.07,CI42,WB
2023-06-19 07:00:00,18.9,66,28.216711,0.91,CI42,WB
2023-06-19 08:00:00,18.9,68,79.93177,0.86,CI42,WB
2023-06-19 09:00:00,19.7,72,176.85095,1.23,CI42,WB
2023-06-19 10:00:00,21.4,66,147.69391,1.3,CI42,WB
2023-06-19 11:00:00,22.5,61,190.39789,2.32,CI42,WB
2023-06-19 12:00:00,25.0,55,823.9375,1.16,CI42,WB
2023-06-19 13:00:00,27.0,48,921.33826,1.57,CI42,WB
2023-06-19 14:00:00,28.9,41,972.69415,0.95,CI42,WB
2023-06-19 15:00:00,30.3,38,939.7386,0.68,CI42,WB
2023-06-19 16:00:00,31.2,36,858.05133,1.29,CI42,WB
2023-06-19 17:00:00,31.4,35,702.2295,2.11,CI42,WB
2023-06-19 18:00:00,31.5,34,559.12427,3.19,CI42,WB
2023-06-19 19:00:00,30.8,36,383.17,4.36,CI42,WB
2023-06-19 20:00:00,29.3,42,202.65074,5.1,CI42,WB
2023-06-19 21:00:00,27.7,44,39.860477,4.23,CI42,WB
2023-06-19 22:00:00,25.9,42,0.0,3.76,CI42,WB
2023-06-19 23:00:00,24.4,42,0.0,2.65,CI42,WB
2023-06-20 00:00:00,22.5,49,0.0,1.59,CI42,WB
2023-06-20 01:00:00,21.1,57,0.0,1.53,CI42,WB
2023-06-20 02:00:00,20.7,58,0.0,1.51,CI42,WB
2023-06-20 03:00:00,20.4,62,0.0,0.84,CI42,WB
2023-06-20 04:00:00,20.1,62,0.0,0.49,CI42,WB
2023-06-20 05:00:00,19.8,63,0.0,0.62,CI42,WB
2023-06-20 06:00:00,20.1,65,0.0,1.4,CI42,WB
2023-06-20 07:00:00,20.1,67,20.164015,1.74,CI42,WB
2023-06-20 08:00:00,20.5,69,88.65173,1.96,CI42,WB
2023-06-20 09:00:00,21.3,67,321.6567,1.52,CI42,WB
2023-06-20 10:00:00,22.8,64,539.0666,2.18,CI42,WB
2023-06-20 11:00:00,24.8,60,700.8741,3.21,CI42,WB
2023-06-20 12:00:00,26.8,52,842.3152,2.19,CI42,WB
2023-06-20 13:00:00,28.9,46,933.3166,2.22,CI42,WB
2023-06-20 14:00:00,30.5,40,969.6659,1.04,CI42,WB
2023-06-20 15:00:00,31.4,38,942.815,1.01,CI42,WB
2023-06-20 16:00:00,31.9,37,626.594,0.8,CI42,WB
2023-06-20 17:00:00,32.1,37,525.1133,1.28,CI42,WB
2023-06-20 18:00:00,32.2,36,573.70685,1.09,CI42,WB
2023-06-20 19:00:00,31.0,40,287.92273,3.31,CI42,WB
2023-06-20 20:00:00,30.0,43,153.88074,0.89,CI42,WB
2023-06-20 21:00:00,28.4,43,61.0036,2.22,CI42,WB
2023-06-20 22:00:00,25.8,55,0.0,2.38,CI42,WB
2023-06-20 23:00:00,24.2,67,0.0,1.26,CI42,WB
2023-06-21 00:00:00,23.4,61,0.0,1.07,CI42,WB
2023-06-21 01:00:00,22.4,67,0.0,1.34,CI42,WB
2023-06-21 02:00:00,21.4,73,0.0,0.95,CI42,WB
2023-06-21 03:00:00,20.4,78,0.0,0.86,CI42,WB
2023-06-21 04:00:00,19.7,81,0.0,1.1,CI42,WB
2023-06-21 05:00:00,19.5,82,0.0,0.76,CI42,WB
2023-06-21 06:00:00,19.9,79,0.0,0.96,CI42,WB
2023-06-21 07:00:00,20.3,76,24.747913,1.13,CI42,WB
2023-06-21 08:00:00,21.0,76,113.68087,1.66,CI42,WB
2023-06-21 09:00:00,23.2,71,193.55849,1.46,CI42,WB
2023-06-21 10:00:00,24.6,65,336.1269,1.05,CI42,WB
2023-06-21 11:00:00,25.6,64,572.32086,1.78,CI42,WB
2023-06-21 12:00:00,27.1,58,721.09845,1.02,CI42,WB
2023-06-21 13:00:00,28.4,52,551.90515,1.0,CI42,WB
2023-06-21 14:00:00,28.2,52,763.90247,2.26,CI42,WB
2023-06-21 15:00:00,25.7,63,662.0488,4.09,CI42,WB
2023-06-21 16:00:00,26.7,62,732.6748,2.95,CI42,WB
2023-06-21 17:00:00,27.3,58,606.98315,2.73,CI42,WB
2023-06-21 18:00:00,27.2,57,428.587,3.59,CI42,WB
2023-06-21 19:00:00,26.0,61,389.14886,3.53,CI42,WB
2023-06-21 20:00:00,26.1,60,202.22624,1.33,CI42,WB
2023-06-21 21:00:00,25.4,63,40.584938,1.4,CI42,WB
2023-06-21 22:00:00,24.1,69,0.0,1.1,CI42,WB
2023-06-21 23:00:00,22.8,74,0.0,1.05,CI42,WB
2023-06-22 00:00:00,21.7,77,0.0,1.15,CI42,WB
2023-06-22 01:00:00,21.4,78,0.0,1.11,CI42,WB
2023-06-22 02:00:00,20.9,80,0.0,1.0,CI42,WB
2023-06-22 03:00:00,20.4,83,0.0,0.85,CI42,WB
2023-06-22 04:00:00,19.9,86,0.0,1.02,CI42,WB
2023-06-22 05:00:00,19.6,86,0.0,1.07,CI42,WB
2023-06-22 06:00:00,19.1,88,0.0,0.78,CI42,WB
2023-06-22 07:00:00,18.3,91,33.137703,0.78,CI42,WB
2023-06-22 08:00:00,19.0,89,161.36923,0.87,CI42,WB
2023-06-22 09:00:00,21.9,74,347.29993,1.12,CI42,WB
2023-06-22 10:00:00,24.4,64,535.2492,1.31,CI42,WB
2023-06-22 11:00:00,26.9,52,707.1459,1.94,CI42,WB
2023-06-22 12:00:00,28.9,43,845.2318,1.59,CI42,WB
2023-06-22 13:00:00,30.8,36,937.8879,0.98,CI42,WB
2023-06-22 14:00:00,32.1,31,975.61066,0.33,CI42,WB
2023-06-22 15:00:00,32.8,27,956.8961,0.28,CI42,WB
2023-06-22 16:00:00,33.6,25,879.6441,0.42,CI42,WB
2023-06-22 17:00:00,33.9,24,752.5392,0.79,CI42,WB
2023-06-22 18:00:00,33.9,23,605.17,1.28,CI42,WB
2023-06-22 19:00:00,33.7,23,410.75,1.97,CI42,WB
2023-06-22 20:00:00,33.3,22,213.07,2.56,CI42,WB
2023-06-22 21:00:00,29.1,47,41.10759,6.32,CI42,WB
2023-06-22 22:00:00,26.6,55,0.0,3.47,CI42,WB
2023-06-22 23:00:00,25.1,59,0.0,2.28,CI42,WB
2023-06-23 00:00:00,24.2,61,0.0,1.59,CI42,WB
2023-06-23 01:00:00,23.1,63,0.0,1.15,CI42,WB
2023-06-23 02:00:00,22.0,68,0.0,1.06,CI42,WB
2023-06-23 03:00:00,20.9,73,0.0,1.0,CI42,WB
