dates,temp,rh,solar_rad,wind,Estacion,Servicio
2023-06-18 00:00:00,19.9,51.8,0,0.8888888888888888,CR12,VC
2023-06-18 01:00:00,18.9,55.13,0,1.1111111111111112,CR12,VC
2023-06-18 02:00:00,18.0,61.12,0,1.0,CR12,VC
2023-06-18 03:00:00,17.8,60.67,0,1.1944444444444444,CR12,VC
2023-06-18 04:00:00,16.8,61.25,0,1.5,CR12,VC
2023-06-18 05:00:00,16.5,58.35,0,2.388888888888889,CR12,VC
2023-06-18 06:00:00,16.5,61.18,0,1.3888888888888888,CR12,VC
2023-06-18 07:00:00,16.0,62.74,0,1.1944444444444444,CR12,VC
2023-06-18 08:00:00,17.2,57.35,19,2.388888888888889,CR12,VC
2023-06-18 09:00:00,18.5,60.03,68,1.0,CR12,VC
2023-06-18 10:00:00,20.1,46.24,144,1.1111111111111112,CR12,VC
2023-06-18 11:00:00,17.8,63.99,167,1.8888888888888888,CR12,VC
2023-06-18 12:00:00,16.9,70.95,260,1.1944444444444444,CR12,VC
2023-06-18 13:00:00,18.1,69.79,343,2.3055555555555554,CR12,VC
2023-06-18 14:00:00,19.7,66.99,366,3.888888888888889,CR12,VC
2023-06-18 15:00:00,22.2,61.69,504,4.111111111111111,CR12,VC
2023-06-18 16:00:00,24.0,58.25,795,3.611111111111111,CR12,VC
2023-06-18 17:00:00,24.5,55.45,531,5.805555555555555,CR12,VC
2023-06-18 18:00:00,24.7,53.05,350,3.1944444444444446,CR12,VC
2023-06-18 19:00:00,24.5,54.74,428,3.0,CR12,VC
2023-06-18 20:00:00,24.3,56.48,304,2.388888888888889,CR12,VC
2023-06-18 21:00:00,22.7,42.47,110,3.611111111111111,CR12,VC
2023-06-18 22:00:00,21.1,43.77,9,2.3055555555555554,CR12,VC
2023-06-18 23:00:00,20.2,45.95,0,1.0,CR12,VC
2023-06-19 00:00:00,18.4,69.4,0,0.6111111111111112,CR12,VC
2023-06-19 01:00:00,17.8,71.12,0,1.1111111111111112,CR12,VC
2023-06-19 02:00:00,16.8,74.78,0,1.8055555555555556,CR12,VC
2023-06-19 03:00:00,17.4,71.52,0,1.3055555555555556,CR12,VC
2023-06-19 04:00:00,18.1,69.34,0,1.8888888888888888,CR12,VC
2023-06-19 05:00:00,19.0,64.26,0,1.6111111111111112,CR12,VC
2023-06-19 06:00:00,19.1,57.82,0,2.8055555555555554,CR12,VC
2023-06-19 07:00:00,18.8,57.36,0,3.0,CR12,VC
2023-06-19 08:00:00,18.8,58.91,25,1.6944444444444444,CR12,VC
2023-06-19 09:00:00,19.4,56.37,83,3.0,CR12,VC
2023-06-19 10:00:00,20.3,54.03,155,1.8888888888888888,CR12,VC
2023-06-19 11:00:00,20.7,56.7,345,1.1111111111111112,CR12,VC
2023-06-19 12:00:00,22.5,47.85,532,0.8888888888888888,CR12,VC
2023-06-19 13:00:00,24.3,43.49,865,2.111111111111111,CR12,VC
2023-06-19 14:00:00,25.4,44.09,956,2.611111111111111,CR12,VC
2023-06-19 15:00:00,26.2,44.31,986,3.111111111111111,CR12,VC
2023-06-19 16:00:00,26.8,43.05,902,3.111111111111111,CR12,VC
2023-06-19 17:00:00,26.8,41.66,760,2.1944444444444446,CR12,VC
2023-06-19 18:00:00,27.0,41.45,682,3.0,CR12,VC
2023-06-19 19:00:00,26.1,45.45,471,3.611111111111111,CR12,VC
2023-06-19 20:00:00,24.6,48.73,257,4.305555555555555,CR12,VC
2023-06-19 21:00:00,23.2,51.98,95,2.888888888888889,CR12,VC
2023-06-19 22:00:00,21.6,56.92,7,2.1944444444444446,CR12,VC
2023-06-19 23:00:00,20.3,62.88,0,1.3055555555555556,CR12,VC
2023-06-20 00:00:00,18.9,63.81,0,1.0,CR12,VC
2023-06-20 01:00:00,17.7,72.52,0,1.0,CR12,VC
2023-06-20 02:00:00,17.2,75.34,0,1.6111111111111112,CR12,VC
2023-06-20 03:00:00,17.6,76.89,0,0.8888888888888888,CR12,VC
2023-06-20 04:00:00,17.1,79.88,0,1.1944444444444444,CR12,VC
2023-06-20 05:00:00,17.5,76.38,0,3.111111111111111,CR12,VC
2023-06-20 06:00:00,17.1,84.68,0,2.111111111111111,CR12,VC
2023-06-20 07:00:00,16.8,86.86,1,3.6944444444444446,CR12,VC
2023-06-20 08:00:00,16.8,87.99,50,0.8888888888888888,CR12,VC
2023-06-20 09:00:00,17.7,81.53,189,1.8055555555555556,CR12,VC
2023-06-20 10:00:00,19.3,76.66,398,2.0,CR12,VC
2023-06-20 11:00:00,21.0,71.26,591,2.0,CR12,VC
2023-06-20 12:00:00,23.0,61.08,790,2.111111111111111,CR12,VC
2023-06-20 13:00:00,24.9,52.08,909,3.3055555555555554,CR12,VC
2023-06-20 14:00:00,26.0,48.16,974,3.5,CR12,VC
2023-06-20 15:00:00,26.7,46.21,977,4.0,CR12,VC
2023-06-20 16:00:00,26.4,47.65,930,4.111111111111111,CR12,VC
2023-06-20 17:00:00,26.1,49.13,830,3.3055555555555554,CR12,VC
2023-06-20 18:00:00,23.7,62.43,682,2.3055555555555554,CR12,VC
2023-06-20 19:00:00,22.9,66.78,486,2.888888888888889,CR12,VC
2023-06-20 20:00:00,22.2,67.07,239,3.3055555555555554,CR12,VC
2023-06-20 21:00:00,21.2,69.94,85,2.611111111111111,CR12,VC
2023-06-20 22:00:00,20.2,74.38,7,1.0,CR12,VC
2023-06-20 23:00:00,19.5,79.19,0,0.6111111111111112,CR12,VC
2023-06-21 00:00:00,19.2,81.2,0,1.0,CR12,VC
2023-06-21 01:00:00,18.7,85.39,0,0.6111111111111112,CR12,VC
2023-06-21 02:00:00,18.7,84.85,0,0.8055555555555556,CR12,VC
2023-06-21 03:00:00,18.3,85.35,0,0.6944444444444444,CR12,VC
2023-06-21 04:00:00,17.9,87.53,0,1.0,CR12,VC
2023-06-21 05:00:00,17.9,88.09,0,1.5,CR12,VC
2023-06-21 06:00:00,18.3,86.45,0,1.0,CR12,VC
2023-06-21 07:00:00,17.8,89.78,1,1.1111111111111112,CR12,VC
2023-06-21 08:00:00,18.3,85.9,66,2.1944444444444446,CR12,VC
2023-06-21 09:00:00,19.5,79.19,202,1.8055555555555556,CR12,VC
2023-06-21 10:00:00,20.4,75.38,325,3.111111111111111,CR12,VC
2023-06-21 11:00:00,21.0,72.64,555,1.8888888888888888,CR12,VC
2023-06-21 12:00:00,21.8,65.71,689,3.888888888888889,CR12,VC
2023-06-21 13:00:00,22.1,63.69,833,3.6944444444444446,CR12,VC
2023-06-21 14:00:00,20.8,76.41,973,4.805555555555555,CR12,VC
2023-06-21 15:00:00,21.3,69.51,982,3.111111111111111,CR12,VC
2023-06-21 16:00:00,22.0,67.46,914,4.5,CR12,VC
2023-06-21 17:00:00,21.4,71.33,826,4.305555555555555,CR12,VC
2023-06-21 18:00:00,21.6,70.92,675,3.6944444444444446,CR12,VC
2023-06-21 19:00:00,21.6,68.68,487,4.0,CR12,VC
2023-06-21 20:00:00,21.8,64.04,236,4.388888888888889,CR12,VC
2023-06-21 21:00:00,21.0,63.04,101,3.611111111111111,CR12,VC
2023-06-21 22:00:00,19.8,69.22,6,2.611111111111111,CR12,VC
2023-06-21 23:00:00,19.0,73.7,0,2.0,CR12,VC
2023-06-22 00:00:00,18.2,83.72,0,1.6111111111111112,CR12,VC
2023-06-22 01:00:00,17.7,84.2,0,1.8055555555555556,CR12,VC
2023-06-22 02:00:00,17.2,84.14,0,1.5,CR12,VC
2023-06-22 03:00:00,16.4,87.96,0,1.1111111111111112,CR12,VC
2023-06-22 04:00:00,15.7,90.79,0,1.1944444444444444,CR12,VC
2023-06-22 05:00:00,15.1,91.94,0,1.3888888888888888,CR12,VC
2023-06-22 06:00:00,14.8,90.14,0,1.5,CR12,VC
2023-06-22 07:00:00,14.4,89.53,1,1.6111111111111112,CR12,VC
2023-06-22 08:00:00,15.2,86.71,73,1.3055555555555556,CR12,VC
2023-06-22 09:00:00,18.6,78.05,256,0.8055555555555556,CR12,VC
2023-06-22 10:00:00,20.7,69.4,457,0.6111111111111112,CR12,VC
2023-06-22 11:00:00,22.3,66.24,647,1.5,CR12,VC
2023-06-22 12:00:00,23.9,58.98,811,1.8055555555555556,CR12,VC
2023-06-22 13:00:00,25.3,49.88,929,1.8055555555555556,CR12,VC
2023-06-22 14:00:00,26.5,44.39,995,1.5,CR12,VC
2023-06-22 15:00:00,27.4,39.7,1005,1.3055555555555556,CR12,VC
2023-06-22 16:00:00,28.1,37.36,957,1.6944444444444444,CR12,VC
2023-06-22 17:00:00,28.4,37.69,855,2.388888888888889,CR12,VC
2023-06-22 18:00:00,28.2,38.13,706,2.6944444444444446,CR12,VC
2023-06-22 19:00:00,27.0,46.59,521,4.611111111111111,CR12,VC
2023-06-22 20:00:00,25.7,49.99,321,3.611111111111111,CR12,VC
2023-06-22 21:00:00,24.4,55.43,122,2.611111111111111,CR12,VC
2023-06-22 22:00:00,22.9,60.28,9,1.5,CR12,VC
2023-06-22 23:00:00,21.6,65.24,0,1.1944444444444444,CR12,VC
2023-06-23 00:00:00,20.7,66.76,0,0.6944444444444444,CR12,VC
2023-06-23 01:00:00,20.0,68.81,0,0.3055555555555556,CR12,VC
2023-06-23 02:00:00,19.6,68.29,0,0.3888888888888889,CR12,VC
2023-06-23 03:00:00,19.3,68.67,0,0.3888888888888889,CR12,VC
2023-06-23 04:00:00,18.7,68.55,0,1.0,CR12,VC
2023-06-23 05:00:00,17.1,76.31,0,1.3055555555555556,CR12,VC
2023-06-23 06:00:00,16.3,79.25,0,1.3888888888888888,CR12,VC
2023-06-23 07:00:00,16.4,75.7,1,1.3055555555555556,CR12,VC
2023-06-23 08:00:00,16.9,76.78,73,1.5,CR12,VC
2023-06-23 09:00:00,19.8,70.58,255,1.1944444444444444,CR12,VC
2023-06-23 10:00:00,21.8,53.7,456,2.111111111111111,CR12,VC
2023-06-23 11:00:00,23.0,50.92,646,2.8055555555555554,CR12,VC
2023-06-23 12:00:00,24.2,49.59,808,3.611111111111111,CR12,VC
2023-06-23 13:00:00,25.3,45.53,927,4.194444444444445,CR12,VC
2023-06-23 14:00:00,26.0,41.71,994,4.5,CR12,VC
2023-06-23 15:00:00,26.5,42.68,1003,4.611111111111111,CR12,VC
2023-06-23 16:00:00,27.0,41.99,954,4.694444444444445,CR12,VC
2023-06-23 17:00:00,27.0,41.45,851,4.611111111111111,CR12,VC
2023-06-23 18:00:00,26.7,40.82,702,4.611111111111111,CR12,VC
2023-06-23 19:00:00,26.0,41.17,519,4.388888888888889,CR12,VC
2023-06-23 20:00:00,24.8,44.51,321,3.888888888888889,CR12,VC
2023-06-23 21:00:00,23.1,52.99,129,2.611111111111111,CR12,VC
2023-06-23 22:00:00,21.2,62.67,9,0.8888888888888888,CR12,VC
2023-06-23 23:00:00,20.0,68.81,0,0.5,CR12,VC
2023-06-24 00:00:00,19.4,73.3,0,0.5,CR12,VC
2023-06-24 01:00:00,18.2,77.99,0,1.3888888888888888,CR12,VC
2023-06-24 02:00:00,17.3,82.54,0,1.5,CR12,VC
2023-06-24 03:00:00,16.6,84.08,0,1.3888888888888888,CR12,VC
2023-06-24 04:00:00,16.4,81.89,0,1.3888888888888888,CR12,VC
2023-06-24 05:00:00,16.1,80.26,0,1.3055555555555556,CR12,VC
2023-06-24 06:00:00,15.7,80.21,0,1.3888888888888888,CR12,VC
2023-06-24 07:00:00,15.2,81.2,1,1.6111111111111112,CR12,VC
2023-06-24 08:00:00,15.9,78.67,73,1.5,CR12,VC
2023-06-24 09:00:00,18.9,73.21,257,1.0,CR12,VC
2023-06-24 10:00:00,22.1,54.13,458,0.5,CR12,VC
2023-06-24 11:00:00,24.0,45.17,649,0.8888888888888888,CR12,VC
2023-06-24 12:00:00,25.5,39.43,811,1.8055555555555556,CR12,VC
2023-06-24 13:00:00,26.7,37.22,931,2.611111111111111,CR12,VC
2023-06-24 14:00:00,27.7,37.25,999,2.888888888888889,CR12,VC
2023-06-24 15:00:00,28.7,35.14,1009,3.388888888888889,CR12,VC
2023-06-24 16:00:00,29.3,29.91,959,3.6944444444444446,CR12,VC
2023-06-24 17:00:00,29.3,30.73,853,3.6944444444444446,CR12,VC
2023-06-24 18:00:00,28.8,34.94,704,3.611111111111111,CR12,VC
2023-06-24 19:00:00,27.8,40.07,522,4.0,CR12,VC
2023-06-24 20:00:00,26.4,44.07,324,4.0,CR12,VC
2023-06-24 21:00:00,24.6,52.01,131,3.0,CR12,VC
2023-06-24 22:00:00,22.9,59.12,9,1.3055555555555556,CR12,VC
2023-06-24 23:00:00,21.4,67.34,0,0.8888888888888888,CR12,VC
2023-06-25 00:00:00,20.1,72.01,0,0.6944444444444444,CR12,VC
2023-06-25 01:00:00,19.1,77.62,0,1.3888888888888888,CR12,VC
2023-06-25 02:00:00,18.4,82.67,0,1.6111111111111112,CR12,VC
2023-06-25 03:00:00,18.0,83.16,0,1.5,CR12,VC
2023-06-25 04:00:00,17.6,82.58,0,1.5,CR12,VC
2023-06-25 05:00:00,17.4,82.55,0,1.6111111111111112,CR12,VC
2023-06-25 06:00:00,17.1,82.52,0,1.6111111111111112,CR12,VC
2023-06-25 07:00:00,16.9,81.96,1,1.6111111111111112,CR12,VC
2023-06-25 08:00:00,17.6,78.92,73,1.3888888888888888,CR12,VC
2023-06-25 09:00:00,21.0,70.8,257,0.8055555555555556,CR12,VC
2023-06-25 10:00:00,24.0,55.68,458,0.5,CR12,VC
2023-06-25 11:00:00,26.1,46.95,648,1.1111111111111112,CR12,VC
2023-06-25 12:00:00,27.9,41.7,809,2.111111111111111,CR12,VC
2023-06-25 13:00:00,29.4,36.04,928,2.611111111111111,CR12,VC
2023-06-25 14:00:00,30.6,30.88,993,2.611111111111111,CR12,VC
2023-06-25 15:00:00,31.6,28.41,1004,2.3055555555555554,CR12,VC
2023-06-25 16:00:00,32.3,27.3,956,2.0,CR12,VC
2023-06-25 17:00:00,32.7,26.69,855,1.8888888888888888,CR12,VC
