dates,temp,rh,solar_rad,wind,Estacion,Servicio
2023-06-18 00:00:00,22.2,44.38,0,1.3888888888888888,JU71,VC
2023-06-18 01:00:00,20.7,49.97,0,1.5,JU71,VC
2023-06-18 02:00:00,19.4,56.37,0,1.3055555555555556,JU71,VC
2023-06-18 03:00:00,18.9,58.94,0,1.6111111111111112,JU71,VC
2023-06-18 04:00:00,18.4,59.61,0,1.3888888888888888,JU71,VC
2023-06-18 05:00:00,17.3,65.17,0,1.8055555555555556,JU71,VC
2023-06-18 06:00:00,17.9,62.75,0,1.3888888888888888,JU71,VC
2023-06-18 07:00:00,17.9,64.44,2,1.3888888888888888,JU71,VC
2023-06-18 08:00:00,18.6,62.49,20,1.0,JU71,VC
2023-06-18 09:00:00,21.2,51.46,32,2.3055555555555554,JU71,VC
2023-06-18 10:00:00,22.5,47.21,187,2.3055555555555554,JU71,VC
2023-06-18 11:00:00,22.6,49.16,247,2.111111111111111,JU71,VC
2023-06-18 12:00:00,22.9,44.27,414,2.5,JU71,VC
2023-06-18 13:00:00,22.1,50.34,568,2.1944444444444446,JU71,VC
2023-06-18 14:00:00,23.3,47.12,563,1.3888888888888888,JU71,VC
2023-06-18 15:00:00,24.5,47.14,701,0.8888888888888888,JU71,VC
2023-06-18 16:00:00,26.9,39.82,657,1.3055555555555556,JU71,VC
2023-06-18 17:00:00,28.1,36.15,562,0.6944444444444444,JU71,VC
2023-06-18 18:00:00,28.5,32.83,425,1.6944444444444444,JU71,VC
2023-06-18 19:00:00,27.5,39.46,259,3.0,JU71,VC
2023-06-18 20:00:00,26.1,39.33,222,2.5,JU71,VC
2023-06-18 21:00:00,24.8,38.45,103,2.0,JU71,VC
2023-06-18 22:00:00,22.9,38.69,7,1.6111111111111112,JU71,VC
2023-06-18 23:00:00,21.5,40.72,0,1.5,JU71,VC
2023-06-19 00:00:00,19.9,59.18,0,1.1111111111111112,JU71,VC
2023-06-19 01:00:00,18.6,57.31,0,1.0,JU71,VC
2023-06-19 02:00:00,18.6,62.49,0,1.1111111111111112,JU71,VC
2023-06-19 03:00:00,17.5,77.88,0,1.6111111111111112,JU71,VC
2023-06-19 04:00:00,17.2,85.24,0,2.111111111111111,JU71,VC
2023-06-19 05:00:00,18.2,79.52,0,1.6944444444444444,JU71,VC
