dates,temp,rh,solar_rad,wind,Estacion,Servicio
2023-06-18 00:00:00,24.1,46.11,0,1.1111111111111112,LO51,VC
2023-06-18 01:00:00,23.2,49.65,0,1.6111111111111112,LO51,VC
2023-06-18 02:00:00,22.8,51.2,0,1.8055555555555556,LO51,VC
2023-06-18 03:00:00,23.2,49.65,0,2.1944444444444446,LO51,VC
2023-06-18 04:00:00,23.7,41.35,0,2.611111111111111,LO51,VC
2023-06-18 05:00:00,23.7,37.88,0,2.0,LO51,VC
2023-06-18 06:00:00,23.9,41.68,0,3.8055555555555554,LO51,VC
2023-06-18 07:00:00,24.0,40.61,1,1.0,LO51,VC
2023-06-18 08:00:00,25.0,32.96,39,3.388888888888889,LO51,VC
2023-06-18 09:00:00,25.4,33.53,92,3.1944444444444446,LO51,VC
2023-06-18 10:00:00,25.8,30.79,212,2.888888888888889,LO51,VC
2023-06-18 11:00:00,26.8,35.31,514,1.8888888888888888,LO51,VC
2023-06-18 12:00:00,28.1,35.91,609,1.6111111111111112,LO51,VC
2023-06-18 13:00:00,29.4,38.72,686,2.611111111111111,LO51,VC
2023-06-18 14:00:00,29.3,38.44,826,3.8055555555555554,LO51,VC
2023-06-18 15:00:00,29.4,40.78,843,4.111111111111111,LO51,VC
2023-06-18 16:00:00,29.2,44.27,822,4.611111111111111,LO51,VC
2023-06-18 17:00:00,29.1,42.85,627,4.305555555555555,LO51,VC
2023-06-18 18:00:00,28.8,42.49,512,4.5,LO51,VC
2023-06-18 19:00:00,28.1,43.13,361,3.611111111111111,LO51,VC
2023-06-18 20:00:00,27.1,46.92,220,1.8888888888888888,LO51,VC
2023-06-18 21:00:00,25.9,52.01,87,1.6944444444444444,LO51,VC
2023-06-18 22:00:00,24.3,64.17,6,1.3055555555555556,LO51,VC
2023-06-18 23:00:00,23.6,65.67,0,1.3055555555555556,LO51,VC
2023-06-19 00:00:00,24.3,53.29,0,1.5,LO51,VC
2023-06-19 01:00:00,24.0,48.57,0,1.6111111111111112,LO51,VC
2023-06-19 02:00:00,23.8,46.94,0,1.6111111111111112,LO51,VC
2023-06-19 03:00:00,23.9,43.38,0,1.1944444444444444,LO51,VC
2023-06-19 04:00:00,23.9,45.75,0,2.3055555555555554,LO51,VC
2023-06-19 05:00:00,23.7,47.86,0,1.1111111111111112,LO51,VC
2023-06-19 06:00:00,22.8,55.02,0,0.6944444444444444,LO51,VC
2023-06-19 07:00:00,22.2,68.8,1,0.8888888888888888,LO51,VC
2023-06-19 08:00:00,21.8,79.01,44,0.6111111111111112,LO51,VC
2023-06-19 09:00:00,22.7,69.34,106,1.3055555555555556,LO51,VC
2023-06-19 10:00:00,24.1,56.07,290,1.0,LO51,VC
2023-06-19 11:00:00,25.3,48.29,375,2.611111111111111,LO51,VC
2023-06-19 12:00:00,26.2,51.42,681,3.388888888888889,LO51,VC
2023-06-19 13:00:00,26.8,50.6,858,4.305555555555555,LO51,VC
2023-06-19 14:00:00,26.6,53.54,967,4.194444444444445,LO51,VC
2023-06-19 15:00:00,27.2,47.56,950,4.305555555555555,LO51,VC
2023-06-19 16:00:00,27.1,51.33,923,4.805555555555555,LO51,VC
2023-06-19 17:00:00,26.8,52.57,813,4.111111111111111,LO51,VC
2023-06-19 18:00:00,26.6,50.87,668,3.388888888888889,LO51,VC
2023-06-19 19:00:00,26.5,49.55,375,2.6944444444444446,LO51,VC
2023-06-19 20:00:00,25.3,55.65,235,2.611111111111111,LO51,VC
2023-06-19 21:00:00,24.2,64.97,101,1.6944444444444444,LO51,VC
2023-06-19 22:00:00,23.4,69.04,6,0.8888888888888888,LO51,VC
2023-06-19 23:00:00,23.0,72.08,0,0.3888888888888889,LO51,VC
2023-06-20 00:00:00,22.8,72.04,0,0.3888888888888889,LO51,VC
2023-06-20 01:00:00,22.5,71.08,0,0.8888888888888888,LO51,VC
2023-06-20 02:00:00,22.1,76.13,0,0.6111111111111112,LO51,VC
2023-06-20 03:00:00,22.0,76.11,0,1.6944444444444444,LO51,VC
2023-06-20 04:00:00,22.2,68.8,0,2.111111111111111,LO51,VC
2023-06-20 05:00:00,22.3,62.92,0,1.8888888888888888,LO51,VC
2023-06-20 06:00:00,22.7,59.07,0,2.1944444444444446,LO51,VC
2023-06-20 07:00:00,23.1,56.92,1,2.611111111111111,LO51,VC
2023-06-20 08:00:00,23.6,61.61,51,0.8055555555555556,LO51,VC
2023-06-20 09:00:00,24.2,75.51,182,2.0,LO51,VC
2023-06-20 10:00:00,24.6,71.47,375,1.8055555555555556,LO51,VC
2023-06-20 11:00:00,26.0,61.76,630,2.0,LO51,VC
2023-06-20 12:00:00,26.8,62.33,786,3.611111111111111,LO51,VC
2023-06-20 13:00:00,27.1,62.4,900,3.388888888888889,LO51,VC
2023-06-20 14:00:00,27.7,60.62,963,3.1944444444444446,LO51,VC
2023-06-20 15:00:00,27.9,55.93,970,3.5,LO51,VC
2023-06-20 16:00:00,28.2,53.6,921,2.888888888888889,LO51,VC
2023-06-20 17:00:00,28.0,53.89,818,2.8055555555555554,LO51,VC
2023-06-20 18:00:00,27.5,55.84,672,2.3055555555555554,LO51,VC
2023-06-20 19:00:00,27.2,56.12,495,1.8888888888888888,LO51,VC
2023-06-20 20:00:00,26.5,57.38,300,1.5,LO51,VC
2023-06-20 21:00:00,25.8,63.29,100,1.0,LO51,VC
2023-06-20 22:00:00,24.6,72.82,6,1.1944444444444444,LO51,VC
2023-06-20 23:00:00,23.4,81.73,0,1.6944444444444444,LO51,VC
2023-06-21 00:00:00,22.2,91.78,0,1.1944444444444444,LO51,VC
2023-06-21 01:00:00,22.0,93.48,0,0.3888888888888889,LO51,VC
2023-06-21 02:00:00,21.8,94.05,0,0.6111111111111112,LO51,VC
2023-06-21 03:00:00,21.6,93.46,0,1.5,LO51,VC
2023-06-21 04:00:00,21.9,81.04,0,1.8055555555555556,LO51,VC
2023-06-21 05:00:00,22.3,67.52,0,1.8055555555555556,LO51,VC
2023-06-21 06:00:00,22.9,62.25,0,2.0,LO51,VC
2023-06-21 07:00:00,22.8,65.5,1,1.1111111111111112,LO51,VC
2023-06-21 08:00:00,22.7,77.67,51,0.8055555555555556,LO51,VC
2023-06-21 09:00:00,23.6,78.29,174,0.6944444444444444,LO51,VC
2023-06-21 10:00:00,24.3,80.85,379,1.8888888888888888,LO51,VC
2023-06-21 11:00:00,25.0,77.53,613,3.0,LO51,VC
2023-06-21 12:00:00,25.3,73.39,765,4.0,LO51,VC
2023-06-21 13:00:00,25.5,69.44,895,3.8055555555555554,LO51,VC
2023-06-21 14:00:00,26.4,65.84,960,3.611111111111111,LO51,VC
2023-06-21 15:00:00,27.4,57.23,970,3.111111111111111,LO51,VC
2023-06-21 16:00:00,27.8,53.5,920,2.5,LO51,VC
2023-06-21 17:00:00,28.2,51.28,819,1.8055555555555556,LO51,VC
2023-06-21 18:00:00,27.7,51.48,672,2.8055555555555554,LO51,VC
2023-06-21 19:00:00,26.8,52.57,431,2.3055555555555554,LO51,VC
2023-06-21 20:00:00,25.8,57.57,259,1.3888888888888888,LO51,VC
2023-06-21 21:00:00,25.2,63.56,113,0.6111111111111112,LO51,VC
2023-06-21 22:00:00,24.3,69.65,6,1.0,LO51,VC
2023-06-21 23:00:00,23.5,76.83,0,0.6111111111111112,LO51,VC
2023-06-22 00:00:00,22.9,85.82,0,0.3888888888888889,LO51,VC
2023-06-22 01:00:00,22.5,88.47,0,0.6944444444444444,LO51,VC
2023-06-22 02:00:00,22.3,85.23,0,1.1111111111111112,LO51,VC
2023-06-22 03:00:00,22.1,80.56,0,1.1111111111111112,LO51,VC
2023-06-22 04:00:00,21.9,80.03,0,1.3888888888888888,LO51,VC
2023-06-22 05:00:00,21.7,81.01,0,1.3888888888888888,LO51,VC
2023-06-22 06:00:00,21.3,76.49,0,1.8055555555555556,LO51,VC
2023-06-22 07:00:00,21.2,74.08,1,1.8055555555555556,LO51,VC
