Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2023-06-18,26.84,16.02,88.5,37.69,2.337,14.7,4.271748
2023-06-19,29.24,15.33,99.8,36.65,1.686,15.06,4.08792
2023-06-20,28.64,15.01,99.4,41.25,1.425,24.04,4.958639
2023-06-21,25.56,14.47,99.8,53.85,1.391,9.99,2.651552
2023-06-22,28.83,11.62,99.9,35.77,0.783,29.32,5.330207
2023-06-23,30.65,15.22,99.5,32.12,1.822,29.96,6.330757
2023-06-24,31.93,16.35,90.1,29.21,1.887,30.37,6.721401
2023-06-25,35.9,15.14,95.0,26.9,1.376,29.94,6.731485
2023-06-26,35.04,18.98,87.9,28.4,2.348,22.16,6.496147
2023-06-27,33.63,16.61,88.9,30.22,2.627,27.91,7.126906
2023-06-28,35.51,18.58,67.32,24.8,2.253,28.13,7.548208
2023-06-29,35.5,15.95,95.9,20.08,1.768,27.44,6.80514
2023-06-30,30.72,19.32,94.3,28.07,2.068,28.68,6.522823
2023-07-01,31.52,16.69,93.5,29.41,1.478,29.78,6.299269
2023-07-02,33.75,19.45,94.9,25.96,2.1,25.25,6.533046
2023-07-03,35.63,19.72,90.0,24.27,2.495,27.98,7.606144
2023-07-04,34.84,16.7,95.6,16.7,2.337,29.72,7.606635
2023-07-05,33.83,12.37,99.9,22.24,1.89,26.83,6.528745
2023-07-06,32.81,18.45,97.7,32.45,2.906,27.65,6.995699
2023-07-07,32.54,19.18,91.2,30.02,2.217,18.6,5.52739
2023-07-08,35.5,15.81,99.8,24.2,1.629,28.96,6.776771
2023-07-09,36.77,16.49,93.9,25.62,1.529,28.32,6.763624
2023-07-10,38.27,19.18,90.5,17.85,2.318,25.87,7.638705
2023-07-11,41.35,21.28,83.3,18.45,2.169,26.09,8.103627
2023-07-12,38.68,17.37,70.3,13.04,2.315,28.44,8.267391
2023-07-13,36.5,14.14,89.1,17.23,1.826,29.38,7.266506
2023-07-14,36.1,20.33,94.8,26.76,2.949,29.23,8.012102
2023-07-15,35.77,18.65,94.3,16.83,2.339,29.82,7.75275
2023-07-16,35.23,13.73,83.9,28.93,2.501,25.47,6.954909
2023-07-17,39.42,20.8,94.3,21.7,4.235,28.49,9.899055
2023-07-18,40.69,20.52,85.6,14.19,2.172,28.42,8.283306
2023-07-19,39.21,22.36,49.76,19.87,1.792,24.71,7.219774
2023-07-20,37.4,21.0,57.01,15.28,2.798,25.38,8.296521
2023-07-21,35.37,18.45,88.7,12.91,2.8,29.54,8.233692
2023-07-22,34.34,12.31,87.9,24.61,2.911,27.03,7.402166
2023-07-23,36.9,20.32,95.3,30.95,2.335,25.61,7.012897
2023-07-24,35.7,22.75,44.0,15.62,2.926,25.37,8.499632
2023-07-25,32.95,16.15,56.14,16.29,2.351,29.11,7.469379
2023-07-26,33.0,13.05,88.2,28.26,2.668,27.5,6.939409
2023-07-27,33.41,18.5,92.4,19.81,2.856,24.97,7.116347
2023-07-28,35.62,13.59,97.0,20.95,1.915,28.27,6.903137
2023-07-29,37.72,14.6,91.0,14.06,1.647,28.76,7.094083
2023-07-30,38.58,17.09,82.4,16.35,1.797,28.32,7.355869
2023-07-31,38.19,18.31,92.8,17.77,1.774,27.91,7.186819
2023-08-01,35.77,19.46,45.37,16.29,2.155,28.26,7.61982
2023-08-02,37.52,14.67,74.1,17.1,2.314,28.03,7.734761
2023-08-03,34.49,20.12,85.8,22.31,2.773,27.61,7.533427
2023-08-04,29.15,17.96,86.4,17.31,2.234,28.28,6.451377
2023-08-05,32.8,11.35,74.7,12.78,1.563,28.23,6.267904
2023-08-06,36.23,11.63,81.6,16.22,1.456,27.87,6.427168
2023-08-07,32.47,18.5,94.6,35.28,4.392,26.7,7.36881
2023-08-08,35.09,20.19,92.2,27.23,4.11,23.2,7.83201
2023-08-09,39.77,18.16,92.6,21.28,1.699,23.58,6.591625
2023-08-10,39.68,20.61,78.5,14.87,2.159,25.37,7.605966
2023-08-11,38.59,13.59,80.2,14.05,1.964,27.22,7.334138
2023-08-12,36.56,19.33,87.6,22.3,3.466,26.52,8.244749
2023-08-13,34.89,19.86,88.2,25.34,4.919,26.09,8.760692
2023-08-14,35.35,18.98,96.9,23.85,3.458,24.86,7.581646
2023-08-15,36.56,16.55,98.5,20.2,2.77,24.2,7.270016
2023-08-16,35.29,19.11,91.5,23.65,2.581,23.87,6.804986
2023-08-17,35.68,16.68,98.3,16.35,1.254,26.15,5.859619
2023-08-18,36.42,14.2,78.3,13.24,1.448,25.58,6.111904
2023-08-19,35.95,14.6,74.7,17.37,1.309,26.01,5.882525
2023-08-20,38.71,15.6,88.0,18.38,1.442,25.55,6.300635
2023-08-21,37.37,19.25,89.8,17.09,2.065,25.45,6.935311
2023-08-22,36.63,15.95,74.4,20.34,2.074,25.18,6.73269
2023-08-23,36.02,16.15,79.1,16.56,1.96,25.38,6.610244
2023-08-24,37.63,14.88,72.0,14.8,1.588,25.64,6.359272
2023-08-25,38.85,16.55,75.5,15.54,1.814,24.16,6.630872
2023-08-26,35.68,17.45,56.42,17.85,2.358,15.71,6.163038
2023-08-27,25.37,14.38,55.37,23.41,4.366,24.59,6.739474
