Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2023-06-18,28.64,14.33,100.0,47.63,1.701,21.76,4.630873
2023-06-19,26.11,14.85,100.0,43.07,1.61,17.44,3.922307
2023-06-20,26.84,12.08,100.0,46.08,1.249,18.41,3.852006
2023-06-21,25.82,15.19,100.0,56.09,0.913,11.92,2.686391
2023-06-22,25.98,13.58,100.0,53.27,0.99,17.54,3.513236
2023-06-23,30.37,11.02,100.0,33.3,1.023,24.12,4.880316
2023-06-24,33.92,10.09,100.0,18.57,0.865,27.6,5.601319
2023-06-25,33.18,13.38,100.0,32.95,1.957,26.48,6.242052
2023-06-26,23.7,16.39,100.0,63.43,2.069,11.07,2.677844
2023-06-27,21.94,16.2,87.2,59.78,2.022,10.71,2.787536
2023-06-28,24.67,14.92,92.9,54.87,1.737,18.11,3.779191
2023-06-29,23.56,11.43,100.0,50.37,1.769,16.19,3.443163
2023-06-30,22.15,9.8,99.2,43.28,1.426,17.21,3.454132
2023-07-01,27.56,14.92,86.4,46.21,1.246,19.8,4.204984
2023-07-02,27.64,11.9,100.0,46.22,1.592,24.45,4.828796
2023-07-03,28.64,10.75,100.0,41.14,1.527,24.86,4.994182
2023-07-04,28.17,10.62,100.0,41.76,1.672,28.74,5.482282
2023-07-05,28.1,13.45,97.3,37.83,1.188,21.94,4.500879
2023-07-06,28.83,15.26,100.0,46.88,0.96,17.85,3.782383
2023-07-07,30.37,13.58,100.0,47.28,1.224,19.7,4.284308
2023-07-08,31.65,13.38,100.0,26.76,0.893,18.95,4.299985
2023-07-09,32.19,13.31,100.0,31.34,1.772,26.61,5.994622
2023-07-10,34.78,16.41,94.8,27.0,0.961,25.81,5.603439
2023-07-11,31.78,13.04,100.0,42.95,1.936,27.1,5.818163
2023-07-12,27.96,11.91,100.0,43.03,1.865,24.67,5.017838
2023-07-13,27.56,14.44,100.0,48.03,1.254,20.06,4.106551
2023-07-14,36.73,11.43,100.0,16.26,1.665,28.28,6.991553
2023-07-15,29.85,11.91,97.9,27.9,2.731,23.84,6.093043
2023-07-16,27.15,14.85,82.5,41.82,2.149,25.99,5.42971
2023-07-17,30.77,16.0,92.4,38.36,1.255,23.66,5.040827
2023-07-18,38.69,14.46,100.0,17.88,2.357,24.0,7.826118
2023-07-19,26.36,15.51,90.2,48.79,2.531,23.72,4.983294
2023-07-20,25.48,11.29,96.8,52.24,2.486,24.2,4.663018
2023-07-21,25.7,10.96,96.6,38.53,1.666,19.56,4.176546
2023-07-22,29.42,8.6,100.0,34.04,1.426,26.15,5.181789
2023-07-23,35.06,9.48,99.8,13.09,1.673,27.19,6.680025
2023-07-24,24.34,10.82,99.3,52.65,1.934,16.54,3.4983
2023-07-25,24.49,9.6,90.9,36.78,2.169,22.3,4.623691
2023-07-26,29.1,10.69,97.2,35.53,1.009,26.86,4.981456
2023-07-27,32.51,10.48,100.0,29.23,1.219,21.39,4.858965
2023-07-28,34.17,10.69,100.0,19.84,1.265,23.9,5.533556
2023-07-29,31.97,11.63,100.0,31.6,2.374,23.65,5.932885
2023-07-30,28.48,12.71,98.4,41.81,1.497,19.48,4.251048
2023-07-31,32.64,9.07,100.0,24.71,1.473,26.92,5.788758
2023-08-01,31.5,11.09,100.0,38.15,1.42,25.58,5.268486
2023-08-02,33.99,13.31,100.0,31.06,2.586,23.11,6.410286
2023-08-03,25.83,10.89,94.9,30.41,2.125,21.23,4.724366
2023-08-04,22.01,8.47,95.4,41.45,2.544,17.89,3.841511
2023-08-05,29.9,5.974,100.0,13.24,1.71,26.55,5.748157
2023-08-06,24.61,9.87,96.2,38.73,2.385,26.22,4.951059
2023-08-07,29.63,6.788,100.0,23.98,1.221,26.53,5.066442
2023-08-08,35.25,7.53,98.3,15.72,0.868,26.11,5.247878
2023-08-09,38.92,11.7,97.6,21.16,1.372,23.1,5.961604
2023-08-10,32.1,13.9,100.0,22.17,1.409,24.92,5.430901
2023-08-11,37.32,11.16,100.0,18.69,1.371,25.38,6.107787
2023-08-12,30.55,10.96,87.4,31.88,1.962,24.72,5.519904
2023-08-13,30.82,17.54,87.3,45.5,1.785,19.74,4.678866
2023-08-14,34.03,15.18,88.6,30.1,1.847,21.81,5.660004
2023-08-15,29.89,14.58,91.8,42.0,1.902,20.25,4.674835
2023-08-16,28.95,18.13,88.2,47.54,2.003,19.0,4.454151
2023-08-17,35.97,17.47,92.2,25.51,1.087,21.02,5.016284
2023-08-18,36.13,15.39,94.0,14.65,1.299,16.96,4.876415
2023-08-19,37.05,16.07,94.6,18.08,1.548,24.45,6.094022
2023-08-20,36.1,15.53,100.0,32.45,1.503,23.8,5.632236
2023-08-21,38.64,15.46,95.4,22.12,1.09,23.61,5.535666
2023-08-22,37.56,16.07,100.0,24.68,0.821,22.77,4.936594
2023-08-23,41.04,17.14,94.9,16.38,0.947,22.85,5.440325
2023-08-24,41.24,18.22,84.0,10.79,1.447,22.78,6.356423
2023-08-25,30.62,16.4,94.3,34.77,2.11,22.19,5.191068
2023-08-26,25.48,12.82,96.3,43.32,2.538,15.24,3.803489
2023-08-27,21.24,11.16,99.7,47.82,2.471,13.83,3.051581
2023-08-28,23.5,14.26,83.9,45.84,3.057,15.2,3.893749
2023-08-29,25.34,13.09,89.2,31.83,1.684,19.69,4.084099
2023-08-30,22.81,9.01,99.5,46.51,1.336,13.78,2.772814
2023-08-31,29.21,7.06,100.0,30.25,0.847,22.68,3.942157
2023-09-01,33.05,9.14,100.0,22.68,1.73,18.44,4.95228
2023-09-02,18.87,11.43,100.0,72.3,0.879,4.77,1.263271
2023-09-03,24.24,11.36,100.0,58.97,1.455,7.9,2.093612
2023-09-04,30.64,14.31,100.0,41.47,1.593,10.5,3.217237
2023-09-05,29.96,12.63,100.0,41.8,1.119,16.91,3.532273
2023-09-06,30.82,17.02,98.3,39.43,1.313,18.26,3.971536
2023-09-07,31.42,17.4,100.0,36.38,1.345,16.06,3.82639
2023-09-08,31.16,17.47,100.0,33.22,1.154,17.56,3.850024
2023-09-09,31.43,16.79,100.0,38.01,1.506,16.64,3.93228
2023-09-10,31.48,15.26,100.0,33.08,1.253,19.56,4.111424
2023-09-11,29.16,16.07,100.0,39.65,1.145,14.06,3.174553
2023-09-12,24.67,14.24,100.0,51.77,1.383,11.39,2.524674
2023-09-13,24.42,13.7,100.0,50.3,1.001,11.56,2.374695
2023-09-14,27.6,15.73,97.1,46.06,0.88,14.75,2.878835
2023-09-15,24.49,15.53,100.0,58.21,1.763,9.61,2.33989
2023-09-16,26.1,15.87,100.0,51.36,1.694,12.49,2.838516
2023-09-17,23.38,12.97,99.7,42.48,1.872,8.81,2.534538
2023-09-18,25.89,15.45,91.5,36.56,2.141,12.52,3.456327
2023-09-19,26.46,12.41,100.0,38.24,0.712,15.48,2.710357
2023-09-20,27.29,10.02,100.0,31.82,1.99,15.91,3.733436
2023-09-21,21.84,10.28,100.0,54.22,2.652,8.47,2.373523
2023-09-22,20.88,8.47,100.0,41.81,1.856,13.27,2.651706
2023-09-23,24.47,4.633,100.0,29.25,0.736,17.77,2.654721
2023-09-24,29.76,4.972,100.0,21.95,1.104,17.86,3.483184
2023-09-25,30.55,5.974,95.8,17.42,0.87,18.0,3.265489
2023-09-26,29.2,7.8,100.0,34.44,0.789,17.59,2.945803
2023-09-27,29.23,9.68,100.0,37.29,1.399,14.16,3.171694
2023-09-28,31.1,8.74,100.0,21.67,1.159,17.41,3.537029
2023-09-29,32.21,10.08,100.0,28.75,0.814,17.33,3.152043
2023-09-30,33.7,9.94,100.0,23.01,0.778,17.27,3.212069
2023-10-01,34.74,9.62,100.0,20.24,0.954,16.979,3.509835
2023-10-02,31.02,10.6,100.0,35.22,1.56,17.17,3.630817
