Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2023-06-18,26.28,17.62,87.3,43.96,0.598,9.99,2.503734
2023-06-19,31.3,16.75,94.8,31.52,1.185,25.87,5.476821
2023-06-20,31.84,18.77,82.0,34.68,0.886,27.31,5.567961
2023-06-21,31.71,20.31,65.56,30.58,0.988,28.2,5.87913
2023-06-22,32.18,17.76,74.8,28.97,0.739,29.89,5.806832
2023-06-23,29.9,14.74,80.2,34.01,1.759,29.06,6.143833
2023-06-24,29.63,20.77,63.46,35.75,1.894,29.01,6.529512
2023-06-25,30.77,16.96,68.39,27.96,1.074,28.75,5.846109
2023-06-26,34.46,15.01,76.4,19.29,0.952,29.39,6.087937
2023-06-27,33.05,15.55,77.5,19.02,0.742,29.72,5.775217
2023-06-28,32.72,14.81,73.2,28.36,0.693,26.3,5.237254
2023-06-29,37.76,16.89,73.1,28.49,0.994,27.7,6.260627
2023-06-30,33.92,17.76,68.78,19.22,1.13,29.26,6.32377
2023-07-01,29.36,15.75,85.2,49.67,1.062,27.76,5.347147
2023-07-02,30.43,17.62,100.0,41.6,0.895,28.24,5.496201
2023-07-03,33.05,16.02,90.9,29.84,0.654,29.32,5.671761
2023-07-04,36.55,17.15,77.5,28.16,0.703,29.21,6.010523
2023-07-05,36.55,19.37,55.46,16.13,0.621,26.62,5.507605
2023-07-06,31.3,14.47,84.4,38.52,0.774,27.92,5.372654
2023-07-07,32.51,18.56,88.4,28.02,0.824,26.28,5.421923
2023-07-08,37.22,14.27,81.3,16.87,0.774,29.28,6.044034
2023-07-09,34.46,19.17,57.96,26.34,0.667,27.76,5.628876
2023-07-10,31.44,18.43,89.0,41.81,0.824,25.75,5.228247
2023-07-11,38.16,22.32,91.6,24.33,0.615,25.35,5.617133
2023-07-12,41.52,18.7,61.93,7.8,0.515,28.78,5.770733
2023-07-13,36.88,21.59,90.0,11.9,0.89,29.23,6.374534
2023-07-14,32.72,23.26,94.8,45.09,0.81,26.79,5.637127
2023-07-15,33.99,19.84,72.5,34.34,1.796,29.09,6.833113
2023-07-16,37.02,20.45,57.15,11.02,0.727,27.4,5.772675
2023-07-17,32.11,19.37,88.5,48.86,1.164,27.29,5.666397
2023-07-18,35.13,19.37,100.0,31.65,0.613,24.62,5.190347
2023-07-19,42.19,23.53,67.09,16.33,0.752,25.35,6.048296
2023-07-20,36.88,23.13,51.16,13.44,1.983,23.76,7.361596
2023-07-21,35.27,21.19,63.27,15.73,1.417,24.78,6.360474
2023-07-22,36.88,20.98,54.26,15.79,0.621,27.54,5.610398
2023-07-23,32.92,17.69,63.2,38.66,0.69,22.29,4.698118
2023-07-24,34.4,22.52,60.91,17.94,1.635,26.91,6.836046
2023-07-25,34.53,20.85,67.84,19.29,1.326,28.8,6.579927
2023-07-26,34.6,17.89,60.25,17.34,0.877,28.48,5.853156
2023-07-27,32.38,15.14,65.03,26.95,0.859,27.27,5.411362
2023-07-28,37.28,14.54,80.6,12.03,0.653,28.63,5.632503
2023-07-29,36.88,16.15,58.03,18.21,0.574,27.42,5.359902
2023-07-30,39.16,18.9,59.04,20.29,0.776,28.05,6.029849
2023-07-31,38.16,18.83,52.24,10.35,1.257,28.49,6.717725
2023-08-01,35.54,21.78,63.6,19.96,1.048,28.3,6.236165
2023-08-02,36.74,22.45,56.81,20.77,1.365,27.98,6.774606
2023-08-03,33.66,22.72,65.88,18.95,1.856,27.99,7.014002
2023-08-04,32.31,19.84,72.0,21.84,1.756,27.12,6.434347
2023-08-05,30.63,18.5,71.7,20.7,2.244,27.47,6.648209
2023-08-06,31.71,14.81,75.9,22.11,0.974,27.47,5.429081
2023-08-07,29.56,15.74,70.9,40.81,1.907,25.44,5.574972
2023-08-08,30.03,23.05,87.5,42.2,1.576,24.12,5.344553
2023-08-09,32.04,20.1,100.0,44.89,0.689,22.99,4.652999
2023-08-10,38.41,20.03,87.9,30.3,0.705,23.56,5.246964
2023-08-11,35.21,19.97,89.2,17.0,0.923,25.51,5.530289
2023-08-12,32.58,21.18,97.8,41.06,0.663,25.11,5.039402
2023-08-13,30.9,19.37,84.5,47.78,0.727,25.12,4.876875
