Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2023-06-18,31.76,18.32,85.9,27.97,1.135,23.56,5.313498
2023-06-19,30.8,19.3,70.92,28.96,2.178,22.58,6.056551
2023-06-20,27.74,17.17,85.5,32.75,1.845,25.2,5.546823
2023-06-21,29.45,17.07,93.2,33.38,1.267,20.18,4.619455
2023-06-22,30.0,14.15,97.8,29.93,1.022,29.05,5.664019
2023-06-23,34.23,15.9,90.4,23.32,1.317,29.93,6.548151
2023-06-24,35.67,18.22,79.07,21.8,1.072,29.78,6.51748
2023-06-25,37.99,18.69,81.9,18.41,0.916,29.34,6.49176
2023-06-26,39.02,20.67,71.38,12.26,1.644,29.16,7.641598
2023-06-27,36.78,17.2,75.98,13.82,1.083,27.14,6.263296
2023-06-28,36.18,17.95,80.5,18.11,1.267,25.57,6.222465
2023-06-29,36.95,17.92,74.73,14.8,2.059,28.72,7.738657
2023-06-30,31.64,19.09,60.44,18.79,2.153,29.67,7.273645
2023-07-01,33.31,19.7,55.65,24.61,1.477,29.79,6.788403
2023-07-02,35.55,17.48,73.34,21.39,0.959,27.66,6.052393
2023-07-03,36.22,19.5,77.53,18.86,1.872,28.05,7.257739
2023-07-04,35.0,16.48,66.17,12.73,1.731,30.3,7.290361
2023-07-05,35.44,14.63,72.57,10.94,1.247,26.0,6.161081
2023-07-06,33.92,18.12,61.47,11.38,1.396,27.61,6.508867
2023-07-07,34.26,14.9,70.13,14.26,1.825,29.54,7.131093
2023-07-08,33.52,15.29,71.23,17.03,1.324,30.11,6.531285
2023-07-09,36.01,14.85,71.81,16.72,0.912,29.55,6.182381
2023-07-10,40.72,17.26,67.16,13.54,1.038,28.09,6.645918
2023-07-11,38.88,21.22,60.26,12.06,2.148,28.8,8.264258
2023-07-12,35.51,15.7,63.4,11.11,1.993,28.91,7.496502
2023-07-13,35.84,15.73,69.97,15.48,1.368,29.72,6.781621
2023-07-14,35.88,17.02,70.92,14.9,1.797,29.73,7.328758
2023-07-15,31.27,18.06,64.29,21.57,1.884,29.71,6.831924
2023-07-16,35.47,14.02,80.4,12.94,1.064,29.6,6.283631
2023-07-17,41.32,16.41,65.36,11.51,1.125,27.62,6.763669
2023-07-18,39.07,18.86,62.9,14.46,1.5,26.73,6.97035
2023-07-19,37.87,21.11,62.81,19.94,1.794,27.05,7.272955
2023-07-20,35.44,18.32,73.34,8.95,2.173,29.4,7.753078
2023-07-21,32.17,14.53,70.03,13.99,1.717,28.37,6.560818
2023-07-22,34.42,13.51,74.61,15.34,1.043,28.98,6.031447
2023-07-23,36.51,14.42,70.34,11.89,1.538,28.27,6.851354
2023-07-24,32.72,15.02,62.01,21.19,2.318,28.92,7.195232
2023-07-25,32.11,13.54,71.76,12.57,1.39,29.17,6.228045
2023-07-26,35.4,14.59,64.15,13.38,0.944,28.88,5.957338
2023-07-27,33.41,17.49,58.39,10.5,2.077,29.09,7.310096
2023-07-28,34.76,14.46,70.13,14.15,1.288,28.68,6.329675
2023-07-29,36.21,13.99,65.33,18.68,1.355,28.6,6.516861
2023-07-30,37.19,17.47,77.24,15.64,1.595,28.33,6.945327
2023-07-31,36.28,18.15,70.53,8.64,1.592,28.85,6.974921
2023-08-01,36.24,16.51,72.86,11.48,1.057,28.41,6.127951
2023-08-02,34.67,17.18,68.17,18.62,1.961,28.14,6.991749
2023-08-03,33.5,17.92,80.2,18.06,1.594,27.99,6.433251
2023-08-04,29.72,18.9,48.63,14.6,2.362,28.4,7.094834
