Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2023-06-18,25.58,14.89,78.2,34.87,1.929,10.04,3.585634
2023-06-19,27.31,13.89,86.9,29.91,2.145,25.59,5.670271
2023-06-20,28.31,15.29,93.2,35.53,1.619,23.18,5.077005
2023-06-21,27.05,14.35,91.7,33.46,1.625,19.02,4.463326
2023-06-22,29.25,11.42,93.2,14.14,1.519,30.48,6.200751
2023-06-23,28.51,15.16,76.9,31.98,2.62,30.34,6.711829
2023-06-24,30.52,14.63,76.8,26.01,2.078,30.67,6.804886
2023-06-25,33.39,14.49,79.3,22.18,1.645,29.84,6.750411
2023-06-26,34.26,17.64,73.5,15.36,2.291,24.23,7.182608
2023-06-27,32.26,15.9,67.24,16.77,2.266,28.37,7.187113
2023-06-28,34.13,14.09,73.7,10.92,1.916,29.44,7.254599
2023-06-29,33.32,14.22,82.7,14.95,2.056,28.86,7.08322
2023-06-30,32.46,16.1,87.8,13.81,2.4,28.93,7.365515
2023-07-01,29.78,19.04,84.9,36.6,1.875,27.49,6.071821
2023-07-02,32.12,15.49,98.6,25.67,1.868,26.41,6.207506
2023-07-03,33.79,14.83,88.1,15.62,1.838,29.97,7.056467
2023-07-04,32.59,14.23,81.3,13.54,2.071,30.92,7.256018
2023-07-05,32.79,12.63,87.8,14.88,1.815,28.75,6.719953
2023-07-06,30.72,16.23,100.0,34.52,2.162,26.34,6.006259
2023-07-07,31.98,18.24,90.2,28.56,2.19,25.33,6.326909
2023-07-08,33.58,15.63,93.3,27.34,1.758,28.75,6.598972
2023-07-09,37.47,17.44,84.0,16.42,1.856,29.02,7.479886
2023-07-10,39.28,17.71,73.4,8.51,2.752,28.85,8.986889
2023-07-11,40.21,18.78,68.37,8.44,2.79,26.24,9.045708
2023-07-12,37.47,16.17,51.94,7.1,2.836,29.98,8.997035
2023-07-13,36.01,15.56,90.6,5.496,2.546,30.75,8.367821
2023-07-14,35.73,17.16,100.0,9.05,1.946,30.35,7.521528
2023-07-15,35.0,14.23,80.5,8.58,2.385,30.25,7.923973
2023-07-16,36.8,14.49,82.2,13.0,2.674,27.91,8.199877
2023-07-17,38.41,16.9,84.4,5.897,2.904,29.74,9.098722
2023-07-18,39.54,16.84,53.61,3.016,2.063,29.47,8.23505
2023-07-19,37.87,18.31,50.66,12.06,2.134,26.64,7.756451
2023-07-20,35.47,18.24,49.65,15.08,2.746,22.22,7.696416
2023-07-21,33.19,12.76,47.12,4.692,2.375,25.36,7.344167
2023-07-22,34.45,12.02,76.9,14.14,1.786,26.06,6.579284
2023-07-23,37.8,16.03,87.0,11.26,2.39,23.32,7.488837
2023-07-24,34.26,18.44,49.25,10.66,3.52,24.79,8.736324
2023-07-25,32.99,15.3,58.12,5.027,3.03,30.23,8.503474
2023-07-26,31.11,12.42,77.4,25.81,2.586,29.13,6.90449
2023-07-27,32.65,17.04,91.4,21.58,2.231,27.68,6.787045
2023-07-28,35.19,13.02,82.7,11.46,2.084,29.12,7.366362
2023-07-29,36.26,14.43,69.73,7.04,2.414,29.15,8.070739
2023-07-30,37.0,14.43,56.11,6.567,2.452,29.65,8.351739
2023-07-31,36.06,14.5,66.1,10.86,2.571,29.36,8.130165
2023-08-01,34.65,12.42,43.83,11.8,2.036,29.13,7.238017
2023-08-02,35.72,13.09,47.18,7.57,2.563,29.34,8.168634
2023-08-03,34.12,15.83,49.73,6.501,2.755,29.13,8.182578
2023-08-04,30.91,13.56,86.1,27.08,2.157,26.53,6.162589
