Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2023-06-18,25.9,15.4,100.0,59.56,0.545,11.05,2.412597
2023-06-19,24.64,13.87,100.0,57.24,0.481,9.82,2.178035
2023-06-20,26.9,14.74,100.0,56.76,0.677,10.302,2.402647
2023-06-21,24.24,14.94,100.0,78.7,0.523,9.03,1.95353
2023-06-22,29.94,14.61,100.0,46.07,0.572,23.5,4.494079
2023-06-23,30.74,14.21,100.0,45.94,0.97,26.85,5.274531
2023-06-24,32.93,14.35,100.0,39.14,0.82,27.35,5.481001
2023-06-25,35.72,14.41,100.0,34.2,0.729,27.22,5.659418
2023-06-26,34.66,17.01,100.0,36.53,0.978,26.37,5.718133
2023-06-27,32.6,18.01,100.0,49.61,0.789,20.21,4.387257
2023-06-28,31.61,18.07,100.0,52.34,0.817,17.52,3.879513
2023-06-29,30.94,17.12,100.0,54.34,1.025,16.75,3.749494
2023-06-30,28.21,13.54,100.0,28.94,0.643,25.3,4.689576
2023-07-01,30.88,11.62,100.0,42.34,0.848,24.55,4.819362
2023-07-02,32.53,13.62,100.0,38.0,1.05,27.64,5.634868
2023-07-03,29.01,16.01,100.0,49.81,1.104,22.69,4.591871
2023-07-04,29.22,15.07,100.0,48.35,0.466,17.24,3.485302
2023-07-05,28.95,15.27,100.0,51.28,1.095,17.85,3.855902
2023-07-06,26.42,15.01,100.0,54.42,0.458,11.82,2.535289
2023-07-07,32.6,13.58,100.0,40.21,0.668,19.87,4.157857
2023-07-08,34.6,13.62,100.0,29.8,0.526,26.07,5.134853
2023-07-09,35.13,16.61,100.0,33.33,0.693,23.46,5.04324
2023-07-10,36.12,17.08,100.0,37.07,0.75,26.08,5.586299
2023-07-11,39.99,19.47,100.0,24.13,0.647,25.04,5.67101
2023-07-12,33.07,18.48,100.0,28.54,0.951,21.63,4.903515
2023-07-13,33.47,15.94,91.6,34.2,0.963,24.78,5.313178
2023-07-14,35.13,16.68,91.6,27.6,0.833,26.19,5.586121
2023-07-15,36.52,19.27,100.0,23.86,0.835,26.01,5.73375
2023-07-16,32.54,19.33,100.0,33.67,0.936,23.13,5.025998
2023-07-17,36.05,17.88,96.4,37.86,0.68,24.58,5.274959
2023-07-18,41.59,21.39,97.0,17.33,0.711,24.62,5.818687
2023-07-19,36.19,21.44,84.4,25.31,0.69,24.33,5.342954
2023-07-20,34.87,16.88,74.9,28.87,1.046,27.9,5.998846
2023-07-21,32.88,16.48,81.9,20.0,1.143,26.09,5.694628
2023-07-22,30.41,15.27,83.1,31.54,0.815,23.62,4.76589
2023-07-23,35.07,15.94,81.3,28.47,0.896,25.32,5.458349
2023-07-24,34.2,18.73,87.4,24.4,1.065,21.53,5.117632
2023-07-25,29.81,12.69,76.6,26.6,1.235,27.31,5.480726
2023-07-26,31.07,11.02,76.4,24.6,1.134,28.53,5.618242
2023-07-27,35.12,13.54,94.6,25.86,1.221,25.11,5.701838
2023-07-28,32.74,13.29,95.2,25.0,0.642,26.07,4.992518
2023-07-29,35.32,16.28,91.3,24.06,0.712,25.51,5.266722
2023-07-30,34.0,18.86,80.3,24.53,0.936,18.2,4.50411
2023-07-31,36.32,13.61,80.2,19.47,0.928,28.04,5.852609
2023-08-01,35.19,14.41,73.4,21.27,0.824,27.601,5.569858
2023-08-02,36.99,14.74,74.8,19.06,0.825,27.34,5.682909
2023-08-03,30.33,16.88,73.1,24.27,1.267,27.57,5.658632
2023-08-04,27.48,11.88,56.36,20.87,1.502,28.47,5.609469
2023-08-05,33.13,8.5,69.41,21.27,1.055,27.6,5.508256
2023-08-06,32.2,10.75,76.4,16.07,1.248,27.92,5.720291
2023-08-07,29.53,10.82,60.17,27.14,1.289,27.3,5.371773
2023-08-08,33.59,11.62,78.1,26.34,1.086,26.88,5.499461
2023-08-09,37.91,15.07,80.8,27.46,1.166,25.88,5.942814
2023-08-10,39.64,20.53,67.8,12.33,0.908,25.57,5.821328
2023-08-11,36.58,16.74,64.35,22.4,1.177,25.86,5.881055
2023-08-12,36.64,16.48,75.5,21.8,1.072,24.64,5.565034
2023-08-13,36.65,17.99,82.9,22.13,1.086,25.22,5.679552
2023-08-14,36.52,17.39,85.4,25.46,1.277,23.81,5.663001
2023-08-15,35.12,15.41,97.3,25.4,0.956,24.4,5.173708
2023-08-16,35.57,16.07,72.6,21.0,1.006,21.45,4.96051
2023-08-17,37.64,15.93,73.3,17.13,0.886,24.97,5.359453
2023-08-18,37.24,17.86,64.6,17.39,0.833,22.45,4.978427
2023-08-19,38.44,16.61,63.14,20.73,1.286,24.65,5.958377
2023-08-20,39.77,19.39,61.8,19.73,1.075,24.29,5.773585
2023-08-21,40.31,20.46,62.2,21.26,1.185,24.02,5.968163
2023-08-22,40.3,20.59,73.5,21.52,0.907,21.25,5.237504
2023-08-23,40.84,17.79,79.9,17.39,1.117,24.0,5.82316
2023-08-24,39.64,19.79,64.06,18.79,0.972,23.76,5.472235
2023-08-25,37.57,18.26,67.47,15.26,1.02,21.98,5.139627
2023-08-26,27.56,18.53,95.5,37.09,0.891,10.04,2.645457
2023-08-27,24.76,14.12,99.7,26.34,1.194,18.51,3.655098
2023-08-28,28.2,13.14,76.1,14.73,1.185,24.0,4.623959
2023-08-29,28.53,10.14,91.5,16.87,1.047,20.05,4.024592
2023-08-30,28.73,9.28,85.9,28.93,0.829,22.53,3.966821
2023-08-31,28.47,10.35,92.4,31.13,1.048,23.52,4.225953
2023-09-01,31.98,11.6,89.5,27.13,0.945,21.31,4.229907
2023-09-02,20.77,13.54,99.8,73.6,0.392,4.059,1.110962
2023-09-03,30.0,13.87,100.0,41.67,0.431,11.54,2.403449
2023-09-04,33.71,15.66,95.8,23.86,1.456,17.76,4.57514
2023-09-05,33.51,15.4,89.4,21.59,0.576,20.8,3.860842
2023-09-06,31.44,14.41,90.7,27.8,0.713,20.85,3.865472
2023-09-07,31.44,14.21,90.8,32.39,0.541,19.76,3.547591
2023-09-08,31.84,13.94,93.3,29.99,0.82,21.53,4.022197
2023-09-09,32.98,13.07,91.8,23.53,0.961,21.57,4.248226
2023-09-10,32.84,15.4,88.0,23.66,0.991,21.71,4.312899
2023-09-11,31.12,16.26,94.6,27.4,1.095,19.71,4.041837
2023-09-12,27.34,13.6,97.2,42.27,0.648,10.89,2.333629
2023-09-13,27.53,10.74,98.3,42.13,0.815,18.83,3.205837
2023-09-14,28.68,12.2,99.0,35.86,0.507,18.85,3.099681
2023-09-15,26.49,14.4,99.7,44.75,0.686,8.3,1.998857
2023-09-16,27.67,13.27,100.0,42.87,0.439,16.22,2.709493
2023-09-17,28.33,15.07,99.8,46.0,0.828,12.55,2.604187
