Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2023-06-18,30.5,17.08,91.1,28.49,1.479,21.86,5.176531
2023-06-19,30.9,21.56,94.0,49.75,0.908,22.77,4.822456
2023-06-20,32.49,22.02,89.0,48.27,1.237,24.01,5.350034
2023-06-21,32.49,19.96,100.0,56.14,1.11,24.59,5.167074
2023-06-22,34.03,17.47,85.2,30.96,0.998,28.03,5.951727
2023-06-23,31.02,18.01,99.0,45.18,1.405,28.59,5.854475
2023-06-24,33.5,16.61,100.0,37.56,1.027,28.69,5.902284
2023-06-25,34.58,15.2,100.0,33.92,1.183,29.05,6.186464
2023-06-26,34.17,15.74,85.4,32.37,1.007,25.37,5.543139
2023-06-27,33.89,17.62,100.0,35.67,1.224,27.64,6.002544
2023-06-28,32.84,19.36,100.0,37.96,1.501,23.92,5.533968
2023-06-29,33.23,18.82,100.0,39.71,1.393,26.26,5.813019
2023-06-30,30.96,19.62,88.9,52.58,0.83,26.54,5.325051
2023-07-01,29.38,17.81,96.2,54.34,0.649,17.96,3.72793
2023-07-02,32.51,16.34,100.0,44.17,0.941,24.23,5.056504
2023-07-03,32.3,18.21,99.6,43.89,1.249,24.91,5.36434
2023-07-04,33.63,20.49,92.7,46.85,1.103,27.75,5.905625
2023-07-05,32.5,19.02,100.0,56.07,1.25,22.93,4.943358
2023-07-06,31.9,19.62,100.0,55.66,1.29,24.08,5.109298
2023-07-07,34.71,18.62,98.8,44.69,0.888,24.66,5.326731
2023-07-08,33.42,22.24,87.0,46.17,1.127,25.82,5.709476
2023-07-09,36.5,21.96,94.0,52.77,0.944,25.08,5.653121
2023-07-10,34.43,22.03,98.9,57.82,1.351,25.44,5.650639
2023-07-11,38.78,21.43,96.9,38.01,1.202,25.57,6.237149
2023-07-12,38.51,22.71,84.7,45.01,0.775,25.96,5.935494
2023-07-13,33.44,21.15,84.2,46.52,1.897,26.98,6.287127
2023-07-14,34.91,18.62,94.3,36.54,1.489,27.86,6.333962
2023-07-15,35.5,21.43,92.5,50.74,1.522,25.96,6.009412
2023-07-16,34.59,21.29,96.9,56.21,1.359,21.47,4.995222
2023-07-17,36.11,22.5,95.2,52.49,1.256,25.71,5.876124
2023-07-18,40.65,20.29,100.0,35.25,0.85,27.07,6.289652
2023-07-19,38.04,20.49,81.2,33.93,0.769,26.22,5.860688
2023-07-20,35.46,22.57,96.0,55.94,1.192,17.2,4.308511
2023-07-21,35.51,24.31,92.3,40.44,0.993,21.86,5.21127
2023-07-22,32.8,23.63,97.5,59.06,2.125,14.18,3.948822
2023-07-23,33.72,24.91,91.8,59.18,1.449,16.89,4.277052
2023-07-24,36.25,20.89,100.0,47.98,0.974,18.17,4.440264
2023-07-25,34.7,22.04,98.1,48.19,1.022,24.27,5.370877
2023-07-26,32.83,20.83,95.1,41.21,1.451,22.84,5.297894
2023-07-27,32.62,20.76,98.3,50.62,1.498,21.41,4.90422
2023-07-28,33.7,18.62,99.3,44.49,1.17,23.99,5.253204
2023-07-29,34.63,18.95,100.0,49.6,1.246,26.34,5.693995
2023-07-30,35.52,21.17,100.0,52.84,0.818,15.17,3.714894
2023-07-31,32.18,20.36,93.4,58.51,0.874,13.04,3.194625
2023-08-01,35.33,21.56,96.1,54.86,0.813,14.12,3.528174
2023-08-02,36.03,20.56,100.0,44.81,1.829,24.91,6.031947
2023-08-03,35.84,20.74,100.0,45.69,1.411,20.08,4.998328
2023-08-04,28.35,16.66,100.0,40.34,1.2,26.71,5.107633
2023-08-05,30.56,18.08,88.2,30.77,0.873,27.4,5.303263
2023-08-06,33.69,17.42,98.1,34.66,0.691,26.79,5.256736
2023-08-07,29.83,17.49,89.3,51.11,2.252,24.61,5.322611
2023-08-08,30.96,18.55,93.4,50.96,1.417,24.31,5.045004
2023-08-09,34.09,18.01,95.9,38.76,1.026,24.37,5.209171
2023-08-10,36.5,20.62,95.1,35.74,1.417,22.85,5.640319
2023-08-11,34.24,20.76,97.7,47.11,1.225,25.16,5.464705
2023-08-12,36.31,19.02,100.0,34.65,0.806,25.0,5.321447
2023-08-13,33.69,20.5,99.1,49.87,1.283,24.54,5.282739
2023-08-14,34.32,19.69,100.0,49.6,1.43,24.81,5.426077
2023-08-15,35.32,19.7,100.0,38.23,1.545,24.52,5.722891
2023-08-16,34.52,20.36,100.0,51.9,1.472,23.78,5.286992
2023-08-17,34.64,21.56,100.0,52.96,0.669,21.49,4.552088
2023-08-18,35.3,19.83,100.0,49.6,1.021,24.05,5.161219
2023-08-19,34.5,19.02,100.0,52.7,0.817,23.72,4.875165
2023-08-20,36.77,19.56,100.0,45.7,0.746,24.55,5.163429
2023-08-21,37.9,19.49,100.0,38.35,0.622,23.99,5.067043
2023-08-22,36.71,20.56,100.0,30.28,0.945,23.95,5.309268
2023-08-23,39.31,19.22,98.1,29.34,0.645,23.96,5.141339
2023-08-24,38.72,19.9,92.5,32.5,0.835,24.25,5.369597
2023-08-25,35.84,18.14,100.0,39.3,1.324,23.7,5.357521
2023-08-26,36.97,20.89,100.0,29.27,1.313,21.06,5.269438
2023-08-27,27.07,18.02,100.0,44.39,1.794,10.38,3.033573
2023-08-28,28.48,20.44,73.5,37.98,1.819,24.16,5.240879
2023-08-29,29.67,17.67,91.9,43.89,0.926,22.07,4.26117
2023-08-30,29.48,14.73,100.0,37.43,0.567,20.77,3.73701
2023-08-31,31.89,14.47,100.0,42.68,0.81,21.77,4.167981
2023-09-01,31.02,17.67,100.0,50.96,1.603,22.15,4.570564
